ASNUM,ASTYP,MATKL,MEINS,BKLAS,TAXIM,LOEKZ,ERNAM,ERDAT
0000500087,SERV,SRV-LOG,ST,3210,V0,,T.BRANDT,2018-11-18
0000500088,SERV,SRV-LOG,STD,3220,V1,,BATCHUSER,2024-01-12
0000500089,SERV,SRV-LOG,STD,3210,V1,,J.WEBER,2026-12-01
0000500090,SERV,SRV-LOG,STD,3200,V1,,A.NOWAK,2011-09-10
0000500091,,SRV-LOG,STD,3220,V1,,A.NOWAK,2017-01-04
0000500092,SERV,SRV-LOG,STD,3220,V1,,M.HOFFMANN,2015-03-04
0000500093,SERV,SRV-LOG,STD,3210,V1,,M.HOFFMANN,2020-04-14
0000500094,SERV,SRV-LOG,STD,3210,V1,,A.NOWAK,2016-05-18
0000500095,SERV,SRV-LOG,STD,3210,V0,,BATCHUSER,2021-01-02
0000500096,SERV,SRV-LOG,STD,3210,V1,,S.KELLER,2022-12-16
0000500097,SERV,SRV-SEC,STD,3200,V1,,BATCHUSER,2015-04-18
0000500098,SERV,SRV-SEC,STD,3210,V1,,A.NOWAK,2013-03-20
0000500099,SERV,SRV-SEC,STD,3200,V1,,BATCHUSER,2022-10-20
0000500100,SERV,SRV-SEC,STD,3220,V1,,J.WEBER,2011-12-01
0000500101,SERV,SRV-SEC,STD,3210,V1,,A.NOWAK,2022-12-25
0000500102,SERV,SRV-SEC,m2,3200,V1,,BATCHUSER,2016-02-20
0000500103,SERV,SRV-SEC,STD,3200,V1,,S.KELLER,2011-10-18
0000500104,SERV,SRV-SEC,STD,3220,V0,,M.HOFFMANN,2012-03-22
0000500105,SERV,SRV-SEC,STD,3210,V0,X,S.KELLER,2023-03-01
0000500106,SERV,SRV-SEC,STD,3220,V1,,M.HOFFMANN,2015-09-15
0000500107,SERV,,STD,3200,V0,,M.HOFFMANN,2021-04-26
0000500108,SERV,SRV-SEC,STD,3220,V1,,A.NOWAK,2018-05-11
0000500109,SERV,SRV-SEC,STD,3220,V1,,T.BRANDT,2014-11-22
0000500110,SERV,SRV-SEC,STD,3210,V1,,A.NOWAK,2022-08-19
0000500111,SERV,SRV-SEC,STD,3200,V1,,J.WEBER,2012-03-01
0000500112,SERV,SRV-SEC,,3210,V1,,J.WEBER,2012-02-09
0000500113,SERV,SRV-SEC,STD,3210,V1,,BATCHUSER,2014-12-12
0000500114,SERV,SRV-SEC,STD,32XX,V1,,S.KELLER,2025-11-11
0000500115,SERV,SRV-SEC,STD,3200,V1,,M.HOFFMANN,2011-06-26
0000500116,SERV,SRV-SEC,XX,3220,V1,,M.HOFFMANN,2019-05-12
0000500117,SERV,SRV-SEC,STD,3210,V1,,J.WEBER,2016-06-21
0000500118,SERV,SRV-SEC,STD,3210,V0,,J.WEBER,2024-03-07
0000500119,SERV,SRV-SEC,STD,3200,V0,X,BATCHUSER,2014-03-07
0000500120,SERV,SRV-MERCH,STD,3200,V1,,M.HOFFMANN,2025-03-02
0000500121,SERV,SRV-MERCH,STD,3210,V1,,BATCHUSER,2024-03-23
0000500122,SERV,SRV-MERCH,STD,3200,V1,,S.KELLER,2014-01-18
0000500123,SERV,SRV-MERCH,STD,3200,V1,,M.HOFFMANN,2018-06-23
0000500124,SERV,SRV-MERCH,STD,3200,V1,,J.WEBER,2020-11-05
0000500125,SERV,SRV-MERCH,STD,3210,V0,,S.KELLER,2022-08-28
0000500126,SERV,SRV-MERCH,STD,3210,V1,,M.HOFFMANN,2023-11-11
0000500127,SERV,SRV-MERCH,STD,3200,V0,,A.NOWAK,2025-06-18
0000500128,SERV,SRV-MERCH,STD,3220,V1,,M.HOFFMANN,2026-12-08
0000500129,SERV,SRV-MERCH,STD,3220,V1,,J.WEBER,2012-04-01
0000500130,SERV,SRV-MERCH,STD,3220,V1,,S.KELLER,2014-03-09
0000500131,SERV,SRV-MERCH,STD,3210,V1,,A.NOWAK,2019-03-01
0000500132,SERV,SRV-MERCH,STD,3210,V0,,T.BRANDT,2022-03-17
0000500133,SERV,SRV-MERCH,STD,3210,V1,,S.KELLER,2012-04-25
0000500134,SERV,SRV-MERCH,STD,3210,V1,,M.HOFFMANN,2017-01-28
0000500135,SERV,SRV-MERCH,STD,3220,V1,,J.WEBER,2013-08-26
0000500136,SERV,SRV-MERCH,STD,3200,V0,,BATCHUSER,2021-11-11
0000500137,SERV,SRV-MERCH,STD,3200,V0,,M.HOFFMANN,2013-06-04
0000500138,SERV,SRV-MERCH,STD,3210,V1,,M.HOFFMANN,2025-10-23
0000500139,SERV,SRV-MERCH,STD,3200,V0,,S.KELLER,2013-11-21
0000500140,SERV,SRV-MERCH,STD,3220,V1,,BATCHUSER,2012-01-09
0000500141,SERV,SRV-MERCH,STD,3200,V1,,BATCHUSER,2025-10-28
0000500142,SERV,SRV-MERCH,STD,3200,V1,,A.NOWAK,2019-02-02
0000500143,SERV,SRV-MERCH,STD,3220,V1,,J.WEBER,2027-02-16
0000500144,SERV,SRV-MERCH,ST,3210,V1,,M.HOFFMANN,2016-12-21
0000500145,SERV,SRV-MERCH,ST,3210,V0,,BATCHUSER,2013-09-06
0000500146,SERV,SRV-MERCH,ST,3200,V1,,S.KELLER,2024-01-11
0000500147,SERV,SRV-MERCH,ST,3220,V0,X,S.KELLER,2020-10-19
0000500148,SERV,SRV-MERCH,ST,3220,V0,,M.HOFFMANN,2016-01-13
0000500149,SERV,SRV-MERCH,ST,3210,V1,,M.HOFFMANN,2016-05-12
0000500150,SERV,SRV-MERCH,ST,3200,V1,X,J.WEBER,2019-12-28
0000500151,SERV,SRV-MERCH,ST,3220,V1,,BATCHUSER,2026-09-05
0000500152,SERV,SRV-MERCH,ST,3220,V1,,BATCHUSER,2011-03-18
0000500153,SERV,SRV-WASTE,TO,3220,V0,X,J.WEBER,2026-05-20
0000500154,SERV,SRV-WASTE,TO,3220,V0,,T.BRANDT,2018-03-07
0000500155,SERV,SRV-WASTE,TO,3210,V1,,BATCHUSER,2023-07-01
0000500156,SERV,SRV-WASTE,TO,3220,V1,,J.WEBER,2017-07-13
0000500157,SERV,SRV-WASTE,TO,3220,V1,,T.BRANDT,2019-11-28
0000500158,SERV,SRV-WASTE,TO,3200,V1,,T.BRANDT,2011-07-08
0000500159,SERV,SRV-WASTE,TO,3210,V1,,J.WEBER,2026-06-26
0000500160,SERV,SRV-WASTE,TO,3220,V1,,T.BRANDT,2025-01-06
0000500161,SERV,SRV-WASTE,TO,3220,V1,,T.BRANDT,2014-05-02
0000500162,SERV,SRV-WASTE,TO,3220,V1,,J.WEBER,2022-12-13
0000500163,SERV,SRV-WASTE,TO,3210,V1,,J.WEBER,2014-10-06
0000500164,SERV,SRV-WASTE,TO,3220,V1,,S.KELLER,2019-06-25
0000500165,SERV,SRV-WASTE,TO,3200,V1,,T.BRANDT,2023-12-07
0000500166,SERV,SRV-WASTE,TO,3220,V1,,J.WEBER,2013-04-19
0000500167,SERV,SRV-WASTE,L,3210,V1,,BATCHUSER,2018-02-26
0000500168,SERV,SRV-WASTE,L,3210,V1,,J.WEBER,2013-11-04
0000500169,SERV,SRV-WASTE,L,3220,V1,,A.NOWAK,2021-12-22
0000500170,SERV,SRV-WASTE,L,3200,V1,,J.WEBER,2015-03-09
0000500171,SERV,SRV-WASTE,L,3200,V1,,M.HOFFMANN,2020-12-25
0000500172,SERV,SRV-WASTE,L,3220,V1,,S.KELLER,2024-11-25
0000500173,SERV,SRV-WASTE,L,3220,V1,X,BATCHUSER,2014-09-12
0000500174,SERV,SRV-IT,STD,3210,V1,,S.KELLER,2017-11-25
0000500175,SERV,SRV-IT,STD,3200,V1,X,S.KELLER,2019-03-18
0000500176,SERV,SRV-IT,STD,3210,V0,,S.KELLER,2014-08-19
0000500177,SERV,,STD,3220,V1,,A.NOWAK,2023-09-27
0000500178,SERV,SRV-IT,STD,3210,V1,,T.BRANDT,2022-03-19
0000500179,SERV,SRV-IT,STD,3200,V1,,T.BRANDT,2016-07-16
0000500180,SERV,SRV-IT,STD,3220,V1,,M.HOFFMANN,2021-07-03
0000500181,SERV,SRV-IT,STD,3200,V1,,A.NOWAK,2021-04-09
0000500182,SERV,SRV-IT,MON,3200,V1,,T.BRANDT,2011-11-09
0000500183,SERV,SRV-IT,MON,3220,V1,,S.KELLER,2011-12-18
0000500184,SERV,SRV-IT,MON,3220,V1,,M.HOFFMANN,2012-02-08
0000500185,SERV,SRV-IT,MON,3210,V1,,S.KELLER,2020-12-01
0000500186,SERV,SRV-IT,MON,3210,V1,,M.HOFFMANN,2016-02-05
0000500187,SERV,SRV-IT,MON,3220,V0,,A.NOWAK,2025-11-16
0000500188,SERV,0000,MON,3210,V1,,BATCHUSER,2015-07-15
0000500189,SERV,SRV-IT,ST,3200,V1,X,J.WEBER,2017-06-11
0000500190,SERV,SRV-IT,ST,3200,V1,,A.NOWAK,2019-02-01
0000500191,SERV,SRV-IT,ST,3220,V1,,A.NOWAK,2022-08-04
0000500192,SERV,SRV-IT,ST,3220,V1,,S.KELLER,2025-01-03
0000500193,SERV,SRV-IT,ST,3200,V1,,A.NOWAK,2021-05-28
0000500194,SERV,SRV-IT,ST,3210,V1,,M.HOFFMANN,2021-09-22
0000500195,SERV,SRV-IT,ST,3220,V1,,J.WEBER,2016-04-09
0000500196,SERV,SRV-IT,ST,3210,V1,,A.NOWAK,2012-08-01
0000500197,SERV,SRV-HR,TAG,3210,V1,,A.NOWAK,2016-04-21
0000500198,SERV,SRV-HR,HOUR,3220,V1,,A.NOWAK,2013-01-05
0000500199,SERV,,TAG,3200,V1,,M.HOFFMANN,2018-08-01
0000500200,SERV,SRV-HR,TAG,3210,V1,,BATCHUSER,2019-05-01
0000500201,SERV,SRV-HR,TAG,3220,V1,,A.NOWAK,2011-04-27
0000500202,SERV,SRV-HR,TAG,3210,V1,,S.KELLER,2020-10-23
0000500203,SERV,SRV-HR,,3210,V1,,A.NOWAK,2018-08-22
0000500204,SERV,SRV-HR,STD,3220,V1,,T.BRANDT,2026-10-09
0000500205,SERV,SRV-HR,STD,3210,V1,,A.NOWAK,2011-02-04
0000500206,SERV,SRV-HR,XX,3220,V1,,T.BRANDT,2015-08-19
0000500207,SERV,SRV-HR,STD,3200,V1,,T.BRANDT,2011-06-04
0000500208,SERV,SRV-HR,STD,3220,V0,,S.KELLER,2011-06-01
0000500209,SERV,SRV-HR,STD,0000,V1,,S.KELLER,2013-07-23
0000500210,SERV,SRV-HR,STD,3200,V0,,J.WEBER,2017-11-27
0000500211,SERV,SRV-OLD,STD,3220,V1,,J.WEBER,2023-01-23
0000500212,SERV,SRV-HR,STD,3210,V0,,S.KELLER,2011-01-27
0000500213,SERV,SRV-HR,STD,3210,V1,,J.WEBER,2015-08-10
0000500214,SERV,SRV-HR,STD,3210,V0,,S.KELLER,2012-10-21
0000500215,SERV,SRV-CONS,TAG,3220,V0,,BATCHUSER,2012-09-16
0000500216,SERV,SRV-CONS,TAG,3200,V1,,M.HOFFMANN,2017-01-07
0000500217,SERV,SRV-CONS,TAG,3210,V0,X,J.WEBER,2022-09-25
0000500218,SERV,SRV-CONS,TAG,3200,V1,,M.HOFFMANN,2019-05-13
0000500219,SERV,SRV-CONS,TAG,3220,V1,,S.KELLER,2022-09-09
0000500220,SERV,SRV-CONS,TAG,3210,V1,,J.WEBER,2012-09-13
0000500221,SERV,SRV-CONS,TAG,3220,V1,,BATCHUSER,2021-10-01
0000500222,SERV,SRV-CONS,TAG,3200,V1,X,BATCHUSER,2013-02-18
0000500223,SERV,SRV-CONS,TAG,3220,V1,,M.HOFFMANN,2026-12-05
0000500224,SERV,SRV-CONS,TAG,3220,V1,,A.NOWAK,2019-07-07
0000500225,SERV,SRV-CONS,TAG,3210,V1,,S.KELLER,2021-02-08
0000500226,SERV,SRV-CONS,TAG,3200,V1,,S.KELLER,2015-07-09
0000500227,SERV,SRV-CONS,TAG,3200,V0,,M.HOFFMANN,2019-11-18
0000500228,SERV,SRV-CONS,TAG,3200,V1,,M.HOFFMANN,2020-01-03
0000500229,SERV,SRV-CONS,TAG,3200,V1,,S.KELLER,2011-03-18
0000500230,SERV,SRV-CONS,TAG,3220,V1,,M.HOFFMANN,2014-01-14
0000500231,SERV,SRV-CONS,TAG,3210,V1,,S.KELLER,2011-10-27
0000500232,SERV,SRV-XXX,TAG,3210,V1,,J.WEBER,2017-12-03
0000500233,SERV,SRV-MKT,ST,32XX,V0,,T.BRANDT,2019-01-27
0000500234,SERV,SRV-MKT,ST,3220,V1,,T.BRANDT,2025-10-18
0000500235,SERV,SRV-MKT,,3200,V1,,BATCHUSER,2025-02-13
0000500236,SERV,SRV-MKT,,3220,V1,,M.HOFFMANN,2016-10-28
0000500237,SERV,SRV-MKT,ST,3210,V1,,J.WEBER,2017-01-21
0000500238,SERV,SRV-MKT,ST,3220,V1,,A.NOWAK,2017-09-17
0000500239,SERV,SRV-MKT,ST,3210,V1,,M.HOFFMANN,2017-04-14
0000500240,SERV,SRV-MKT,ST,3210,V0,,BATCHUSER,2025-12-10
0000500241,SERV,SRV-MKT,ST,3220,V1,,S.KELLER,2016-04-03
0000500242,SERV,SRV-MKT,ST,3200,V1,,T.BRANDT,2025-03-02
0000500243,SERV,SRV-MKT,,3220,V1,,A.NOWAK,2011-06-06
0000500244,SERV,SRV-MKT,ST,3200,V1,,S.KELLER,2014-12-17
0000500245,SERV,SRV-MKT,ST,3220,V1,,J.WEBER,2020-12-17
0000500246,SERV,SRV-BUILD,STD,3220,V1,,S.KELLER,2014-05-16
0000500247,SERV,SRV-BUILD,STD,3210,V1,,J.WEBER,2023-02-25
0000500248,SERV,SRV-BUILD,STD,3220,V0,,S.KELLER,2026-06-21
0000500249,SERV,SRV-BUILD,STD,3210,V1,,T.BRANDT,2013-11-07
0000500250,SERV,SRV-BUILD,STD,3220,V0,,T.BRANDT,2024-01-05
0000500251,SERV,SRV-BUILD,STD,3200,V1,,BATCHUSER,2014-12-18
0000500252,SERV,SRV-BUILD,STD,3200,V1,,A.NOWAK,2014-04-14
0000500253,SERV,SRV-BUILD,STD,3200,V1,,T.BRANDT,2024-11-09
0000500254,SERV,SRV-BUILD,XX,3200,V1,,S.KELLER,2017-07-19
0000500255,SERV,SRV-BUILD,EA,3200,V0,,M.HOFFMANN,2012-10-06
0000500256,SERV,SRV-BUILD,M2,3200,V1,,BATCHUSER,2024-06-03
0000500257,SERV,SRV-BUILD,M2,3210,V1,,T.BRANDT,2016-03-02
0000500258,SERV,SRV-BUILD,M2,3220,V0,,A.NOWAK,2026-09-20
0000500259,SERV,SRV-BUILD,M2,3210,V1,,A.NOWAK,2017-05-26
0000500260,SERV,SRV-BUILD,M2,3200,V1,,J.WEBER,2017-09-07
0000500261,SERV,SRV-BUILD,,3200,V1,,J.WEBER,2015-08-05
0000500262,,SRV-BUILD,M2,3210,V1,,M.HOFFMANN,2025-12-07
0000500263,SERV,SRV-BUILD,M2,3200,V1,,J.WEBER,2014-07-26
0000500264,SERV,SRV-BUILD,M2,3220,V1,,M.HOFFMANN,2016-01-10
0000500265,SERV,ZZZZ,M2,3210,V1,,T.BRANDT,2013-03-22
0000500266,SERV,SRV-XXX,M2,3220,V1,,A.NOWAK,2015-11-20
0000500267,SERV,SRV-BUILD,M2,3210,V1,,S.KELLER,2015-02-03
0000500268,SERV,SRV-BUILD,M2,3200,V1,X,M.HOFFMANN,2026-02-19
0000500269,SERV,SRV-BUILD,M2,3220,V1,X,T.BRANDT,2021-09-07
0000500270,SERV,SRV-BUILD,M2,3200,V1,,T.BRANDT,2026-01-24
0000500271,SERV,SRV-BUILD,M2,3220,V0,,BATCHUSER,2013-04-11
0000500272,SERV,SRV-BUILD,M2,3200,V1,X,J.WEBER,2016-04-27
0000500273,SERV,SRV-BUILD,M2,3210,V1,,BATCHUSER,2025-06-28
0000500274,SERV,SRV-BUILD,M2,3200,V1,,BATCHUSER,2017-03-28
0000500275,SERV,SRV-BUILD,M2,3210,V1,X,M.HOFFMANN,2014-01-08
0000500276,SERV,SRV-BUILD,M2,3220,V1,,M.HOFFMANN,2016-04-18
0000500277,SERV,SRV-BUILD,M2,3200,V1,,M.HOFFMANN,2024-04-15
0000500278,SERV,SRV-BUILD,M2,3210,V1,,M.HOFFMANN,2021-10-13
0000500279,SERV,SRV-BUILD,ST,3220,V1,,J.WEBER,2011-02-09
0000500280,SERV,SRV-BUILD,ST,3200,V0,,BATCHUSER,2015-01-14
0000500281,SERV,SRV-BUILD,ST,3210,V1,,M.HOFFMANN,2021-08-15
0000500282,SERV,SRV-BUILD,ST,3220,V1,,J.WEBER,2014-03-11
0000500283,SERV,SRV-BUILD,ST,3220,V1,,M.HOFFMANN,2020-04-13
0000500284,SERV,SRV-BUILD,ST,3200,V0,,J.WEBER,2017-02-28
0000500285,SERV,SRV-LOG,STD,3210,V1,,A.NOWAK,2021-06-15
0000500286,SERV,SRV-LOG,ST,3220,V1,,BATCHUSER,2023-05-09
0000500287,SERV,SRV-LOG,ST,3200,V1,,J.WEBER,2021-07-03
0000500288,SERV,,MON,3210,V1,,BATCHUSER,2020-05-28
0000500289,SERV,SRV-CONS,TAG,32XX,V1,,T.BRANDT,2024-03-14
0000500290,SERV,SRV-MERCH,STD,3210,V1,,A.NOWAK,2021-02-22
0000500291,SERV,SRV-IT,ST,3200,V1,,M.HOFFMANN,2025-12-14
0000500292,SERV,SRV-WASTE,TO,3220,V1,,J.WEBER,2024-09-21
0000500293,SERV,SRV-IT,ST,3220,V1,,BATCHUSER,2024-10-21
0000500294,SERV,SRV-BUILD,M2,3220,V1,,J.WEBER,2019-04-10
0000500295,SERV,SRV-LOG,ST,3210,V0,X,BATCHUSER,2024-05-26
0000500296,SERV,,STD,3200,V1,,T.BRANDT,2026-12-12
0000500297,SERV,SRV-IT,MON,3220,V1,,A.NOWAK,2020-09-22
0000500298,SERV,SRV-IT,STD,3200,V1,,A.NOWAK,2019-05-17
0000500299,SERV,SRV-LOG,,3200,V0,,S.KELLER,2020-09-20
0000500300,SERV,SRV-CLEAN,M2,3210,V0,,M.HOFFMANN,2021-01-04
0000500301,SERV,SRV-CONS,TAG,3220,V1,,M.HOFFMANN,2022-04-10
0000500302,SERV,SRV-MAINT,ST,3210,V1,,S.KELLER,2020-06-12
0000500303,SERV,SRV-MERCH,STD,3220,V1,,A.NOWAK,2023-12-14
0000500304,SERV,SRV-SEC,STD,3210,V1,,S.KELLER,2024-01-09
0000500305,SERV,SRV-MAINT,STD,3210,V1,,A.NOWAK,2021-11-03
0000500306,SERV,SRV-MKT,ST,3210,V0,,BATCHUSER,2023-11-14
0000500307,SERV,SRV-BUILD,M2,3220,V1,,S.KELLER,2022-01-24
0000500308,SERV,,M2,3200,V1,,BATCHUSER,2019-09-14
0000500309,SERV,SRV-CLEAN,,3220,V1,,BATCHUSER,2025-10-18
0000500310,SERV,SRV-MERCH,,3200,V1,,S.KELLER,2024-01-05
