ASNUM,SPRAS,ASKTX
0000500052,EN,Fire alarm inspection on call
0000500053,DE,Prüfung Brandmeldeanlage Wochenende
0000500053,EN,Fire alarm inspection weekend
0000500054,DE,Prüfung Brandmeldeanlage Sonderaktion
0000500054,EN,Fire alarm inspection special campaign
0000500055,DE,Prüfung Elektroanlage
0000500055,EN,Electrical installation inspection
0000500057,DE,Prüfung Elektroanlage Filiale Nord
0000500057,EN,Electrical installation inspection Branch North
0000500058,DE,Prüfung Elektroanlage nach Aufwand
0000500059,DE,Prüfung Elektroanlage Pauschale
0000500059,EN,Electrical installation inspection flat rate
0000500060,DE,Prüfung Elektroanlage Rufbereitschaft
0000500062,DE,Transport Palette national
0000500062,EN,National pallet transport
0000500063,DE,Transport Palette national monatlich
0000500063,EN,National pallet transport monthly
0000500064,DE,Transport Palette national quartalsweise
0000500064,EN,National pallet transport quarterly
0000500065,DE,Transport Palette national Filiale Süd
0000500066,DE,Transport Palette national Zentrallager
0000500068,DE,Transport Palette national Rufbereitschaft
0000500068,EN,National pallet transport on call
0000500069,DE,Transport Palette national Wochenende
0000500069,EN,National pallet transport weekend
0000500070,DE,Transport Palette national Sonderaktion
0000500070,EN,National pallet transport special campaign
0000500071,DE,Transport Kühlware
0000500071,EN,Refrigerated goods transport
0000500072,DE,Transport Kühlware quartalsweise
0000500072,EN,Refrigerated goods transport quarterly
0000500073,DE,Transport Kühlware jährlich
0000500073,EN,Refrigerated goods transport annual
0000500074,DE,Transport Kühlware Filiale Nord
0000500074,EN,Refrigerated goods transport Branch North
0000500075,DE,Transport Kühlware Filiale Süd
0000500075,EN,Refrigerated goods transport Branch South
0000500076,DE,Transport Kühlware nach Aufwand
0000500076,EN,Refrigerated goods transport time and material
0000500077,DE,Transport Kühlware Pauschale
0000500078,DE,Transport Kühlware Rufbereitschaft
0000500079,DE,Transport Kühlware Sonderaktion
0000500079,EN,Refrigerated goods transport special campaign
0000500080,DE,Kurierdienst Express
0000500080,EN,Express courier service
0000500081,DE,Kurierdienst Express quartalsweise
0000500082,DE,Kurierdienst Express jährlich
0000500083,DE,Kurierdienst Express Filiale Nord
0000500083,EN,Express courier service Branch North
0000500084,DE,Kurierdienst Express nach Aufwand
0000500084,EN,Express courier service time and material
0000500085,DE,Kurierdienst Express Pauschale
0000500085,EN,Express courier service flat rate
0000500086,DE,Kurierdienst Express Rufbereitschaft
0000500086,EN,Express courier service on call
0000500087,DE,Kurierdienst Express Wochenende
0000500087,EN,Express courier service weekend
0000500088,DE,Umschlag Wareneingang
0000500088,EN,Inbound goods handling
0000500089,DE,Umschlag Wareneingang monatlich
0000500090,DE,Umschlag Wareneingang quartalsweise
0000500090,EN,Inbound goods handling quarterly
0000500091,DE,Umschlag Wareneingang jährlich
0000500092,DE,xxx
0000500093,DE,Umschlag Wareneingang nach Aufwand
0000500093,EN,Inbound goods handling time and material
0000500094,DE,Umschlag Wareneingang Pauschale
0000500095,DE,Umschlag Wareneingang Rufbereitschaft
0000500096,DE,Umschlag Wareneingang Wochenende
0000500096,EN,Inbound goods handling weekend
0000500097,DE,Sicherheitsdienst Nachtschicht
0000500097,EN,Night shift security service
0000500098,DE,Sicherheitsdienst Nachtschicht monatlich
0000500098,EN,Night shift security service monthly
0000500099,DE,Sicherheitsdienst Nachtschicht quartalsweise
0000500100,DE,Sicherheitsdienst Nachtschicht jährlich
0000500100,EN,Night shift security service annual
0000500101,DE,Sicherheitsdienst Nachtschicht Filiale Nord
0000500101,EN,Night shift security service Branch North
0000500102,DE,Sicherheitsdienst Nachtschicht Filiale Süd
0000500102,EN,Night shift security service Branch South
0000500103,DE,Sicherheitsdienst Nachtschicht Zentrallager
0000500103,EN,Night shift security service Central warehouse
0000500104,DE,Sicherheitsdienst Nachtschicht Rufbereitschaft
0000500104,EN,Night shift security service on call
0000500105,DE,Sicherheitsdienst Nachtschicht Sonderaktion
0000500106,DE,Sicherheitsdienst Tagschicht
0000500106,EN,Day shift security service
0000500107,DE,Sicherheitsdienst Tagschicht monatlich
0000500107,EN,Day shift security service monthly
0000500108,DE,Sicherheitsdienst Tagschicht Filiale Nord
0000500108,EN,Day shift security service Branch North
0000500109,DE,Sicherheitsdienst Tagschicht Filiale Süd
0000500110,DE,Sicherheitsdienst Tagschicht nach Aufwand
0000500111,DE,Sicherheitsdienst Tagschicht Pauschale
0000500112,DE,Sicherheitsdienst Tagschicht Rufbereitschaft
0000500113,DE,Sicherheitsdienst Tagschicht Wochenende
0000500113,EN,Day shift security service weekend
0000500114,DE,  Empfangsdienst 
0000500114,EN,Reception service
0000500115,DE,Empfangsdienst Filiale Süd
0000500116,DE,zzz nicht verwenden
0000500117,DE,Empfangsdienst Pauschale
0000500117,EN,Reception service flat rate
0000500118,DE,Empfangsdienst Wochenende
0000500118,EN,Reception service weekend
0000500119,DE,neu anlegen
0000500120,DE,Regalpflege
0000500120,EN,Shelf maintenance
0000500121,DE,Regalpflege monatlich
0000500121,EN,Shelf maintenance monthly
0000500122,DE,Regalpflege Filiale Süd
0000500122,EN,Shelf maintenance Branch South
0000500123,DE,Regalpflege Zentrallager
0000500124,DE,Regalpflege nach Aufwand
0000500124,EN,Shelf maintenance time and material
0000500125,DE,Regalpflege Pauschale
0000500125,EN,Shelf maintenance flat rate
0000500126,DE,Regalpflege Sonderaktion
0000500126,EN,Shelf maintenance special campaign
0000500127,DE,Warenverräumung
0000500127,EN,Goods replenishment
0000500128,DE,Dummy
0000500128,EN,Goods replenishment monthly
0000500129,DE,Warenverräumung quartalsweise
0000500130,DE,Warenverräumung jährlich
0000500130,EN,Goods replenishment annual
0000500131,DE,Warenverräumung Filiale Nord
0000500131,EN,Goods replenishment Branch North
0000500132,DE,Warenverräumung Filiale Süd
0000500132,EN,Goods replenishment Branch South
0000500133,DE,Warenverräumung Zentrallager
0000500133,EN,Goods replenishment Central warehouse
0000500134,DE,Warenverräumung Pauschale
0000500134,EN,Goods replenishment flat rate
0000500135,DE,Warenverräumung Rufbereitschaft
0000500135,EN,Goods replenishment on call
0000500136,DE,Warenverräumung Wochenende
0000500136,EN,Goods replenishment weekend
0000500137,DE,Inventurunterstützung
0000500137,EN,Inventory count support
0000500138,DE,Inventurunterstützung jährlich
0000500138,EN,Inventory count support annual
0000500139,DE,Inventurunterstützung Filiale Nord
0000500140,DE,Inventurunterstützung Filiale Süd
0000500141,DE,Inventurunterstützung Zentrallager
0000500141,EN,Inventory count support Central warehouse
0000500142,DE,Inventurunterstützung Rufbereitschaft
0000500142,EN,Inventory count support on call
0000500143,DE,Inventurunterstützung Wochenende
0000500143,EN,Inventory count support weekend
0000500144,DE,Aufbau Werbedisplay
0000500144,EN,Promotional display setup
0000500145,DE,Aufbau Werbedisplay monatlich
0000500145,EN,Promotional display setup monthly
0000500146,DE,Aufbau Werbedisplay quartalsweise
0000500146,EN,Promotional display setup quarterly
0000500147,DE,  Aufbau Werbedisplay jährlich 
0000500147,EN,Promotional display setup annual
0000500148,DE,TBD
0000500148,EN,Promotional display setup Branch North
0000500149,DE,Aufbau Werbedisplay Filiale Süd
0000500149,EN,Promotional display setup Branch South
0000500150,DE,Aufbau Werbedisplay Zentrallager
0000500150,EN,Promotional display setup Central warehouse
0000500151,DE,Aufbau Werbedisplay Pauschale
0000500151,EN,Promotional display setup flat rate
0000500152,DE,Aufbau Werbedisplay Sonderaktion
0000500153,DE,Entsorgung Kartonage
0000500153,EN,Cardboard disposal
0000500154,DE,Entsorgung Kartonage monatlich
0000500154,EN,Cardboard disposal monthly
0000500155,DE,Entsorgung Kartonage Filiale Nord
0000500155,EN,Cardboard disposal Branch North
0000500156,DE,Entsorgung Kartonage Zentrallager
0000500157,DE,Entsorgung Kartonage nach Aufwand
0000500157,EN,Cardboard disposal time and material
0000500158,DE,Entsorgung Kartonage Rufbereitschaft
0000500158,EN,Cardboard disposal on call
0000500159,DE,Entsorgung Restmüll
0000500159,EN,General waste disposal
0000500160,DE,Entsorgung Restmüll monatlich
0000500161,DE,Entsorgung Restmüll jährlich
0000500161,EN,General waste disposal annual
0000500162,DE,Entsorgung Restmüll Filiale Nord
0000500163,DE,Entsorgung Restmüll Filiale Süd
0000500163,EN,General waste disposal Branch South
0000500164,DE,Entsorgung Restmüll nach Aufwand
0000500164,EN,General waste disposal time and material
0000500165,DE,Entsorgung Restmüll Pauschale
0000500165,EN,General waste disposal flat rate
0000500166,DE,Entsorgung Restmüll Rufbereitschaft
0000500166,EN,General waste disposal on call
0000500167,DE,Entsorgung Altöl
0000500167,EN,Waste oil disposal
0000500168,DE,.
0000500168,EN,Waste oil disposal monthly
0000500169,DE,Entsorgung Altöl quartalsweise
0000500169,EN,Waste oil disposal quarterly
0000500170,DE,Entsorgung Altöl jährlich
0000500171,DE,Entsorgung Altöl Filiale Süd
0000500171,EN,Waste oil disposal Branch South
0000500172,DE,Entsorgung Altöl Zentrallager
0000500172,EN,Waste oil disposal Central warehouse
0000500173,DE,Entsorgung Altöl nach Aufwand
0000500173,EN,Waste oil disposal time and material
0000500174,DE,IT-Support Kassensystem
0000500174,EN,POS system IT support
0000500175,DE,IT-Support Kassensystem monatlich
0000500175,EN,POS system IT support monthly
0000500177,DE,IT-Support Kassensystem Filiale Süd
0000500177,EN,POS system IT support Branch South
0000500178,DE,IT-Support Kassensystem Zentrallager
0000500178,EN,POS system IT support Central warehouse
0000500179,DE,IT-Support Kassensystem nach Aufwand
0000500179,EN,POS system IT support time and material
0000500180,DE,IT-Support Kassensystem Pauschale
0000500180,EN,POS system IT support flat rate
0000500181,DE,IT-Support Kassensystem Wochenende
0000500181,EN,POS system IT support weekend
0000500182,DE,Netzwerkbetreuung Filiale
0000500183,DE,Netzwerkbetreuung Filiale monatlich
0000500183,EN,Branch network support monthly
0000500184,DE,Netzwerkbetreuung Filiale quartalsweise
0000500184,EN,Branch network support quarterly
0000500185,DE,Netzwerkbetreuung Filiale Filiale Süd
0000500185,EN,Branch network support Branch South
0000500186,DE,Netzwerkbetreuung Filiale nach Aufwand
0000500186,EN,Branch network support time and material
0000500187,DE,Netzwerkbetreuung Filiale Pauschale
0000500187,EN,Branch network support flat rate
0000500188,DE,Netzwerkbetreuung Filiale Rufbereitschaft
0000500188,EN,Branch network support on call
0000500189,DE,Wartung Waagen
0000500189,EN,Weighing scale maintenance
0000500190,DE,Wartung Waagen monatlich
0000500190,EN,Weighing scale maintenance monthly
0000500191,DE,Wartung Waagen quartalsweise
0000500191,EN,Weighing scale maintenance quarterly
0000500192,DE,Wartung Waagen Filiale Süd
0000500192,EN,Weighing scale maintenance Branch South
0000500193,DE,Wartung Waagen Zentrallager
0000500193,EN,Weighing scale maintenance Central warehouse
0000500194,DE,  Wartung Waagen Rufbereitschaft 
0000500195,DE,Wartung Waagen Wochenende
0000500196,DE,Wartung Waagen Sonderaktion
0000500196,EN,Weighing scale maintenance special campaign
0000500197,DE,Schulung Kassenpersonal
0000500197,EN,Checkout staff training
0000500198,DE,Schulung Kassenpersonal monatlich
0000500199,DE,Schulung Kassenpersonal quartalsweise
0000500200,DE,Schulung Kassenpersonal jährlich
0000500200,EN,Checkout staff training annual
0000500201,DE,Schulung Kassenpersonal Filiale Süd
0000500202,DE,Schulung Kassenpersonal Rufbereitschaft
0000500202,EN,Checkout staff training on call
0000500203,DE,Schulung Kassenpersonal Sonderaktion
0000500204,DE,Personalvermittlung Aushilfe
0000500204,EN,Temporary staff placement
0000500205,DE,Personalvermittlung Aushilfe monatlich
0000500205,EN,Temporary staff placement monthly
0000500206,DE,Personalvermittlung Aushilfe quartalsweise
0000500207,DE,Personalvermittlung Aushilfe jährlich
0000500207,EN,Temporary staff placement annual
0000500208,DE,Personalvermittlung Aushilfe Filiale Nord
0000500208,EN,Temporary staff placement Branch North
0000500209,DE,Personalvermittlung Aushilfe Zentrallager
0000500209,EN,Temporary staff placement Central warehouse
0000500210,DE,Personalvermittlung Aushilfe nach Aufwand
0000500210,EN,Temporary staff placement time and material
0000500211,DE,Personalvermittlung Aushilfe Pauschale
0000500211,EN,Temporary staff placement flat rate
0000500212,DE,Personalvermittlung Aushilfe Rufbereitschaft
0000500212,EN,Temporary staff placement on call
0000500214,DE,Personalvermittlung Aushilfe Sonderaktion
0000500214,EN,Temporary staff placement special campaign
0000500215,DE,Beratung Sortimentsplanung
0000500215,EN,Assortment planning consultancy
0000500216,DE,Beratung Sortimentsplanung monatlich
0000500217,DE,Beratung Sortimentsplanung quartalsweise
0000500217,EN,Assortment planning consultancy quarterly
0000500218,DE,Beratung Sortimentsplanung jährlich
0000500218,EN,Assortment planning consultancy annual
0000500219,DE,Beratung Sortimentsplanung Filiale Nord
0000500220,DE,Beratung Sortimentsplanung Zentrallager
0000500221,DE,Beratung Sortimentsplanung nach Aufwand
0000500222,DE,Beratung Sortimentsplanung Rufbereitschaft
0000500223,DE,Beratung Sortimentsplanung Wochenende
0000500224,DE,Beratung Energieeffizienz
0000500224,EN,Energy efficiency consultancy
0000500225,DE,Beratung Energieeffizienz monatlich
0000500226,DE,Beratung Energieeffizienz quartalsweise
0000500226,EN,Energy efficiency consultancy quarterly
0000500227,DE,Beratung Energieeffizienz jährlich
0000500228,DE,Beratung Energieeffizienz Zentrallager
0000500228,EN,Energy efficiency consultancy Central warehouse
0000500229,DE,Beratung Energieeffizienz nach Aufwand
0000500229,EN,Energy efficiency consultancy time and material
0000500230,DE,Beratung Energieeffizienz Pauschale
0000500230,EN,Energy efficiency consultancy flat rate
0000500231,DE,Beratung Energieeffizienz Rufbereitschaft
0000500232,DE,Beratung Energieeffizienz Sonderaktion
0000500232,EN,Energy efficiency consultancy special campaign
0000500233,DE,GRAFIKDESIGN WERBEMITTEL
0000500233,EN,Advertising artwork design
0000500234,DE,Grafikdesign Werbemittel monatlich
0000500234,EN,Advertising artwork design monthly
0000500235,DE,Grafikdesign Werbemittel jährlich
0000500236,DE,Grafikdesign Werbemittel Filiale Nord
0000500237,DE,Grafikdesign Werbemittel Zentrallager
0000500237,EN,Advertising artwork design Central warehouse
0000500238,DE,Grafikdesign Werbemittel Sonderaktion
0000500239,DE,Druck Prospekt
0000500239,EN,Leaflet printing
0000500240,DE,Druck Prospekt monatlich
0000500240,EN,Leaflet printing monthly
0000500241,DE,Druck Prospekt quartalsweise
0000500241,EN,Leaflet printing quarterly
0000500242,DE,Druck Prospekt Filiale Nord
0000500242,EN,Leaflet printing Branch North
0000500243,DE,Druck Prospekt nach Aufwand
0000500243,EN,Leaflet printing time and material
0000500244,DE,Druck Prospekt Rufbereitschaft
0000500244,EN,Leaflet printing on call
0000500245,DE,Druck Prospekt Wochenende
0000500246,DE,Gärtnerarbeiten Außenanlage
0000500246,EN,Exterior grounds maintenance
0000500247,DE,Gärtnerarbeiten Außenanlage quartalsweise
0000500247,EN,Exterior grounds maintenance quarterly
0000500248,DE,Gärtnerarbeiten Außenanlage Filiale Nord
0000500248,EN,Exterior grounds maintenance Branch North
0000500249,DE,Gärtnerarbeiten Außenanlage Filiale Süd
0000500249,EN,Exterior grounds maintenance Branch South
0000500250,DE,Gärtnerarbeiten Außenanlage Zentrallager
0000500250,EN,Exterior grounds maintenance Central warehouse
0000500251,DE,Gärtnerarbeiten Außenanlage nach Aufwand
0000500251,EN,Exterior grounds maintenance time and material
0000500252,DE,Gärtnerarbeiten Außenanlage Pauschale
0000500252,EN,Exterior grounds maintenance flat rate
0000500253,DE,GÄRTNERARBEITEN AUSSENANLAGE WOCHENENDE
0000500254,DE,Gärtnerarbeiten Außenanlage Sonderaktion
0000500254,EN,Exterior grounds maintenance special campaign
0000500255,DE,Winterdienst
0000500256,DE,WINTERDIENST MONATLICH
0000500256,EN,Winter road clearance monthly
0000500257,DE,Winterdienst quartalsweise
0000500258,DE,Winterdienst jährlich
0000500258,EN,Winter road clearance annual
0000500259,DE,Winterdienst Filiale Nord
0000500259,EN,Winter road clearance Branch North
0000500260,DE,Winterdienst Filiale Süd
0000500260,EN,Winter road clearance Branch South
0000500261,DE,Winterdienst nach Aufwand
0000500262,DE,Winterdienst Pauschale
0000500262,EN,Winter road clearance flat rate
0000500263,DE,Winterdienst Rufbereitschaft
0000500263,EN,Winter road clearance on call
0000500264,DE,Winterdienst Wochenende
0000500264,EN,Winter road clearance weekend
0000500265,DE,Winterdienst Sonderaktion
0000500266,DE,Malerarbeiten Innenbereich
0000500266,EN,Interior painting
0000500267,DE,MALERARBEITEN INNENBEREICH QUARTALSWEISE
0000500268,DE,Malerarbeiten Innenbereich jährlich
0000500269,DE,Malerarbeiten Innenbereich Filiale Nord
0000500269,EN,Interior painting Branch North
0000500270,DE,Malerarbeiten Innenbereich nach Aufwand
0000500270,EN,Interior painting time and material
0000500271,DE,Malerarbeiten Innenbereich Rufbereitschaft
0000500271,EN,Interior painting on call
0000500272,DE,Malerarbeiten Innenbereich Wochenende
0000500272,EN,Interior painting weekend
0000500273,DE,Bodenbelagsarbeiten
0000500273,EN,Floor covering work
0000500274,DE,Bodenbelagsarbeiten monatlich
0000500274,EN,Floor covering work monthly
0000500275,DE,Bodenbelagsarbeiten nach Aufwand
0000500276,DE,Bodenbelagsarbeiten Pauschale
0000500277,DE,Bodenbelagsarbeiten Rufbereitschaft
0000500278,DE,Bodenbelagsarbeiten Sonderaktion
0000500278,EN,Floor covering work special campaign
0000500279,DE,Schädlingsbekämpfung
0000500279,EN,Pest control
0000500280,DE,Schädlingsbekämpfung quartalsweise
0000500280,EN,Pest control quarterly
0000500281,DE,Schädlingsbekämpfung jährlich
0000500281,EN,Pest control annual
0000500282,DE,Schädlingsbekämpfung nach Aufwand
0000500282,EN,Pest control time and material
0000500283,DE,Schädlingsbekämpfung Pauschale
0000500283,EN,Pest control flat rate
0000500284,DE,Schädlingsbekämpfung Wochenende
0000500284,EN,Pest control weekend
0000500285,DE,Umschlag Wareneingang monatlich
0000500286,DE,Kurierdienst Express Filiale Nord
0000500287,DE,Transport Palette national Rufbereitschaft
0000500288,DE,Netzwerkbetreuung Filiale Rufbereitschaft
0000500289,DE,Beratung Sortimentsplanung Wochenende
0000500290,DE,Warenverräumung Pauschale
0000500291,DE,Wartung Waagen
0000500292,DE,Entsorgung Kartonage nach Aufwand
0000500293,DE,Wartung Waagen Filiale Süd
0000500294,DE,Malerarbeiten Innenbereich (neu)
0000500295,DE,Transport Palette national Zentrallager (neu)
0000500296,DE,Personalvermittlung Aushilfe jaehrlich
0000500297,DE,Netzwerkbetreuung Filiale quartalsweise (neu)
0000500298,DE,IT-Support Kassensystem monatlich (neu)
0000500299,DE,Transport Palette national Filiale Sued
0000500300,DE,Aufwand Fensterreinigung nach
0000500301,DE,Energieeffizienz Beratung
0000500302,DE,Rufbereitschaft Prüfung Brandmeldeanlage
0000500303,DE,Wochenende Inventurunterstützung
0000500304,DE,Pauschale Empfangsdienst
0000500305,DE,Monatlich Wartung Kühlanlage
0000500306,DE,monatlich Prospekt Druck
0000500307,DE,Nord Filiale Innenbereich Malerarbeiten
0000500308,DE,Aufwand nach Innenbereich Malerarbeiten
0000500309,DE,Grundreinigung Sozialräume gem. Vertrag
0000500310,DE,Süd Filiale Regalpflege
0000900000,DE,Altdienstleistung 1
0000900001,DE,Altdienstleistung 2
0000900002,DE,Altdienstleistung 3
0000900003,DE,Altdienstleistung 4
0000900004,DE,Altdienstleistung 5
0000900005,DE,Altdienstleistung 6
0000900006,DE,Altdienstleistung 7
0000900007,DE,Altdienstleistung 8
0000900008,DE,Altdienstleistung 9
