LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000000088,1000,211500,0014,T,BARC,,
0000000089,2000,211500,Z030,U,BNP1,,
0000000090,1000,211500,Z060,T,ICIC,,
0000000091,1000,160000,0030,U,BNP1,,
0000000092,2000,160200,Z090,B,SBI1,,
0000000093,1000,211500,Z060,E,HDFC,,
0000000094,1000,211000,0030,U,BARC,,
0000000095,2000,160100,Z090,E,DB01,,
0000000096,2000,211500,0090,T,HDFC,,
0000000097,4000,160000,Z090,E,BNP1,,
0000000098,3000,160100,Z060,B,SBI1,,
0000000099,1000,160000,0045,B,BARC,,
0000000100,2000,160000,0001,U,BNP1,,
0000000101,1000,160000,0030,U,HDFC,,
0000000102,1000,211000,0060,C,CITI,,
0000000103,2000,160000,0014,E,HDFC,,
0000000103,1000,211500,0014,T,BNP1,,
0000000104,2000,160200,0001,T,SBI1,,
0000000105,1000,160000,Z060,C,SBI1,,
0000000106,1000,160200,0045,C,SBI1,,
0000000107,1000,160000,Z060,U,BNP1,,
0000000108,1000,160200,Z090,C,DB01,,
0000000109,1000,160000,Z060,T,ICIC,,
0000000110,1000,211000,0090,U,SBI1,,
0000000111,1000,211000,0001,B,BARC,,
0000000112,1000,160100,0030,E,BARC,,
0000000113,2000,211500,Z060,C,ICIC,,
0000000114,2000,211500,0090,B,HDFC,,
0000000115,1000,211000,Z030,T,DB01,,
0000000116,1000,160200,Z030,E,SBI1,,
0000000117,1000,211500,0014,U,BARC,,
0000000118,1000,160200,Z060,E,SBI1,,
0000000119,1000,160200,0060,T,ICIC,,
0000000120,1000,160000,Z060,E,HDFC,,
0000000121,1000,160100,Z090,E,ICIC,,
0000000122,2000,211000,Z090,T,HDFC,,
0000000122,1000,160100,Z090,E,HDFC,,
0000000123,2000,160100,0060,E,ICIC,,
0000000123,1000,160100,Z090,B,SBI1,,
0000000124,2000,160200,Z060,C,CITI,,
0000000124,1000,160100,Z090,E,CITI,,
0000000125,2000,160100,0045,B,CITI,,
0000000126,3000,211000,0060,B,BARC,,
0000000126,1000,160100,0090,T,HDFC,,
0000000127,3000,160100,0014,U,ICIC,,
0000000128,1000,160200,0014,B,SBI1,,
0000000129,1000,211500,0045,T,DB01,,
0000000130,2000,160000,0060,T,BARC,,
0000000131,2000,211000,0001,B,DB01,,
0000000132,4000,160000,0014,T,CITI,,
0000000132,1000,160100,0001,U,BARC,,
0000000133,4000,160000,Z030,B,DB01,,
0000000134,1000,211500,0045,B,SBI1,,
0000000135,1000,211500,Z030,C,HDFC,,
0000000136,1000,160100,Z030,U,SBI1,,
0000000137,1000,160000,0014,B,SBI1,,
0000000138,2000,160000,0045,B,BARC,,
0000000139,1000,160100,0001,U,CITI,,
0000000140,2000,160100,Z030,E,BARC,,
0000000140,1000,211500,Z060,B,BNP1,,
0000000141,1000,211000,Z090,U,SBI1,,
0000000142,1000,160100,0060,E,SBI1,,
0000000143,1000,160200,Z090,E,ICIC,,
0000000144,2000,160100,Z060,C,HDFC,,
0000000145,1000,160200,0045,U,DB01,,
0000000146,4000,211500,Z030,B,HDFC,,
0000000147,1000,160000,0014,U,BNP1,,
0000000148,3000,160100,0014,U,ICIC,,
0000000149,2000,160200,0014,T,ICIC,,
0000000149,1000,211000,Z090,T,SBI1,,
0000000150,4000,160000,0014,B,BARC,,
0000000151,1000,160000,0014,B,CITI,,
0000000152,1000,160200,0045,T,BARC,,
0000000153,1000,211000,Z060,C,BARC,,
0000000154,1000,160100,Z060,E,BNP1,,
0000000155,1000,211500,Z060,B,ICIC,,
0000000156,2000,211500,Z030,C,ICIC,,
0000000157,4000,160000,0014,B,HDFC,,
0000000158,3000,160100,Z030,E,HDFC,,
0000000159,2000,160100,0045,B,DB01,,
0000000160,2000,160200,0014,C,ICIC,,
0000000161,1000,211000,0090,U,ICIC,,
0000000162,3000,160000,Z090,E,HDFC,,
0000000163,2000,160000,Z060,B,BARC,,
0000000164,2000,160100,0045,C,CITI,,
0000000164,1000,160000,0014,B,BNP1,,
0000000165,1000,211500,Z030,T,SBI1,,
0000000166,1000,160100,0014,B,CITI,,
0000000167,4000,211500,0045,T,BNP1,,
0000000168,4000,211500,0060,U,BARC,,
0000000169,1000,160100,0090,T,SBI1,,
0000000170,3000,211000,0030,C,CITI,,
0000000170,1000,160000,0045,T,CITI,,
0000000171,4000,160000,0014,B,BNP1,,
0000000172,2000,211500,Z060,U,BNP1,,
0000000172,1000,211500,0030,E,DB01,,
0000000173,2000,160100,0060,U,CITI,,
0000000174,1000,160000,0060,U,DB01,,
0000000175,1000,160200,0014,C,BARC,,
0000000176,1000,160200,0090,T,BNP1,,
0000000177,2000,211000,0014,C,HDFC,,
0000000178,1000,211500,0045,B,ICIC,,
0000000179,5000,160200,0001,C,BARC,,
0000000180,1000,211500,0090,T,CITI,,
0000000181,1000,160000,0030,B,DB01,,
0000000182,1000,160000,Z090,T,HDFC,,
0000000183,5000,160000,0045,C,ICIC,,
0000000184,1000,211000,Z030,B,CITI,,
0000000185,2000,211500,0014,E,HDFC,,
0000000186,3000,211500,0045,E,BARC,,
0000000187,1000,211000,0030,T,BARC,,
0000000188,5000,211000,Z060,C,DB01,,
0000000189,2000,211500,0014,U,CITI,,
0000000190,2000,211000,0001,C,BARC,,
0000000191,1000,160200,Z090,B,CITI,,
0000000192,4000,211500,0030,E,DB01,,
0000000193,2000,160200,0090,T,DB01,,
0000000194,3000,160000,0030,E,SBI1,,
0000000195,5000,160000,Z090,T,SBI1,,
0000000196,2000,160100,0030,U,HDFC,,
0000000196,1000,160000,Z030,C,ICIC,,
0000000197,1000,160000,0030,E,HDFC,,
0000000198,1000,211500,Z030,E,CITI,,
0000000199,2000,211500,Z090,U,SBI1,,
0000000200,1000,211000,Z030,B,ICIC,,
0000000201,2000,160200,0014,E,DB01,,
0000000202,3000,160100,0001,U,CITI,,
0000000203,1000,160100,0014,T,BARC,,
0000000204,5000,211500,0090,U,BARC,,
0000000205,3000,160100,Z030,U,ICIC,,
0000000206,2000,211000,0030,C,CITI,,
0000000206,1000,211500,0090,T,DB01,,
0000000207,1000,160200,0090,C,BNP1,,
0000000208,1000,211000,0001,C,CITI,,
0000000209,2000,160200,0014,C,DB01,,
0000000209,1000,211000,Z030,C,BNP1,,
0000000210,5000,211500,0060,T,ICIC,,
0000000211,2000,211000,0001,U,HDFC,,
0000000212,2000,160000,Z030,C,CITI,,
0000000213,2000,160100,0045,E,DB01,,
0000000214,2000,160100,0014,U,HDFC,,
0000000215,1000,211500,Z090,C,BNP1,,
0000000216,5000,160200,Z090,T,SBI1,,
0000000217,1000,160000,0001,T,HDFC,,
0000000218,3000,160200,Z030,B,BARC,,
0000000219,1000,160100,0014,C,HDFC,,
0000000220,1000,211000,Z060,E,BNP1,,
0000000221,2000,160100,0060,U,HDFC,,
0000000221,1000,160100,0001,B,ICIC,,
0000000222,1000,211000,Z060,U,HDFC,,
0000000223,1000,160200,Z090,B,HDFC,,
0000000224,1000,160100,Z030,E,SBI1,,
0000000225,1000,160200,0045,U,HDFC,,
0000000226,2000,160200,Z030,T,SBI1,,
0000000226,1000,160100,Z090,U,ICIC,,
0000000227,1000,211500,0014,E,ICIC,,
0000000228,1000,211500,0030,U,SBI1,,
0000000229,1000,160100,0060,C,BNP1,,
0000000230,3000,160100,0060,C,BARC,,
0000000231,4000,160100,0045,B,BNP1,,
0000000232,2000,160100,0090,C,SBI1,,
0000000233,3000,160000,0045,E,SBI1,,
0000000233,1000,160200,0045,U,DB01,,
0000000234,1000,160100,0060,E,HDFC,,
0000000235,1000,160100,0014,E,ICIC,,
0000000236,3000,211500,0045,E,ICIC,,
0000000236,1000,160200,0030,C,BARC,,
0000000237,1000,160000,0014,U,DB01,,
0000000238,3000,211000,0060,U,HDFC,,
0000000239,1000,160100,0060,E,DB01,,
0000000240,1000,211500,0030,U,DB01,,
0000000241,1000,211000,0001,T,SBI1,,
0000000242,1000,211000,Z060,B,CITI,,
0000000243,1000,160000,Z030,E,HDFC,,
0000000244,1000,211000,0030,B,SBI1,,
0000000245,1000,211000,0060,T,CITI,,
0000000246,1000,160200,0060,T,HDFC,,
0000000247,1000,160100,0030,B,CITI,,
0000000248,1000,211500,Z090,B,ICIC,,
0000000249,1000,211000,Z030,U,BARC,,
0000000250,1000,211000,Z060,U,DB01,,
0000000251,3000,160000,0090,C,SBI1,,
0000000252,3000,211500,0014,B,CITI,,
0000000253,1000,160000,0045,E,SBI1,,
0000000254,1000,160000,0090,B,BARC,,
0000000255,1000,211500,Z030,E,BARC,,
0000000256,3000,211000,0060,T,ICIC,,
0000000257,1000,211500,0090,C,BARC,,
0000000258,1000,160000,0014,C,DB01,,
0000000259,4000,211500,0030,T,BARC,,
0000000260,2000,160100,0001,U,DB01,,
0000000261,2000,160100,Z030,E,BARC,,
0000000262,1000,160100,0045,C,DB01,,
0000000263,3000,160200,Z060,C,HDFC,,
0000000263,1000,211000,0060,C,BNP1,,
0000000264,3000,160000,0014,C,SBI1,,
0000000264,1000,160200,0090,B,DB01,,
0000000265,3000,160000,0045,U,BNP1,,
0000000266,1000,160200,0030,B,CITI,,
0000000267,2000,160200,0060,B,CITI,,
0000000268,3000,211000,Z090,B,BARC,,
0000000269,2000,211000,0060,U,DB01,,
0000000269,1000,211500,0001,U,BARC,,
0000000270,1000,160100,0060,B,BNP1,,
0000000271,1000,211500,Z090,C,CITI,,
0000000272,1000,160000,0090,T,DB01,,
0000000273,1000,160000,0014,U,CITI,,
0000000274,5000,211500,0060,B,SBI1,,
0000000275,2000,160200,0045,B,CITI,,
0000000276,1000,160100,Z090,E,ICIC,,
0000000277,2000,160000,Z060,B,ICIC,,
0000000278,2000,160100,0001,E,BNP1,,
0000000279,1000,160100,0030,B,HDFC,,
0000000280,2000,160200,Z090,T,DB01,,
0000000281,1000,160200,0014,T,BNP1,,
0000000282,1000,211500,Z030,U,BNP1,,
0000000283,3000,160000,0060,B,DB01,,
0000000284,3000,160200,0030,U,SBI1,,
0000000284,1000,160200,0014,U,DB01,,
0000000285,1000,160200,Z060,T,ICIC,,
0000000286,1000,160200,0060,T,SBI1,,
0000000287,1000,211000,Z090,E,HDFC,,
0000000288,3000,211500,0045,C,BARC,,
0000000288,1000,211000,0060,U,DB01,,
0000000289,5000,211500,0001,T,HDFC,,
0000000289,1000,211500,0014,T,ICIC,,
0000000290,2000,211500,0060,C,DB01,,
0000000291,1000,160200,0030,T,BNP1,,
0000000292,2000,160100,0014,B,DB01,,
0000000292,1000,160000,Z090,T,BARC,,
0000000293,1000,211000,Z090,E,BNP1,,
0000000294,1000,211500,0014,E,BNP1,,
0000000295,3000,160200,0001,T,CITI,,
0000000295,1000,160100,0030,B,ICIC,,
0000000296,2000,160100,0030,E,BARC,,
0000000297,1000,211500,0030,E,HDFC,,
0000000298,1000,160100,0030,B,SBI1,,
0000000299,2000,160000,Z030,E,CITI,,
0000000299,1000,211000,0060,U,ICIC,,
0000000300,3000,160200,0060,C,ICIC,,
0000000301,3000,211000,0030,E,SBI1,,
0000000302,2000,160200,0014,E,BARC,,
0000000302,1000,211000,0060,C,BARC,,
0000000303,2000,160000,0001,E,DB01,,
0000000304,1000,160000,0001,C,CITI,,
0000000305,1000,211500,0060,U,ICIC,,
0000000306,1000,211000,0001,T,BNP1,,
0000000307,1000,160000,0030,U,BNP1,,
0000000308,1000,160100,0090,C,BARC,,
0000000309,1000,160100,Z060,E,DB01,,
0000000310,1000,160100,0045,C,ICIC,,
0000000311,1000,160100,0001,U,BNP1,,
0000000312,4000,160000,Z030,E,CITI,,
0000000312,1000,160000,Z090,U,CITI,,
0000000313,1000,160200,0045,C,HDFC,,
0000000314,5000,160100,0060,B,CITI,,
0000000314,1000,160100,0090,C,HDFC,,
0000000315,1000,160100,Z030,U,BARC,,
0000000316,1000,211000,0014,T,DB01,,
0000000317,2000,160100,Z090,B,DB01,,
0000000317,1000,211500,0045,E,SBI1,,
0000000318,3000,211000,0045,T,CITI,,
0000000319,3000,160200,Z060,B,SBI1,,
0000000320,4000,160000,0090,C,CITI,,
0000000321,5000,211500,0001,E,HDFC,,
0000000322,1000,160200,0001,T,BARC,,
0000000323,1000,160200,0045,T,BARC,,
0000000324,5000,211000,0014,U,HDFC,,
0000000325,3000,160000,0001,T,ICIC,,
0000000325,1000,160000,0045,U,ICIC,,
0000000326,1000,160000,Z030,E,BNP1,,
0000000327,1000,160200,Z090,T,HDFC,,
0000000328,4000,160200,0030,T,BARC,,
0000000329,1000,160000,0014,B,BARC,,
0000000330,1000,160100,0030,T,BNP1,,
0000000331,1000,160000,0014,U,SBI1,,
0000000332,1000,160100,0001,C,HDFC,,
0000000333,1000,211500,0001,E,ICIC,,
0000000334,1000,211000,Z090,T,SBI1,,
0000000335,1000,160200,0045,U,ICIC,,
0000000336,3000,211000,0045,C,SBI1,,
0000000337,3000,160200,Z030,C,BNP1,,
0000000338,5000,211500,Z090,E,BNP1,,
0000000339,2000,160000,Z090,C,SBI1,,
0000000340,1000,211000,Z030,B,SBI1,,
0000000341,2000,211000,0014,E,BNP1,,
0000000342,3000,160200,0030,B,DB01,,
0000000342,1000,160100,Z030,B,DB01,,
0000000343,3000,160100,0045,T,HDFC,,
0000000343,1000,211500,Z090,E,BARC,,
0000000344,5000,211500,0001,E,ICIC,,
0000000345,3000,160000,Z060,C,HDFC,,
0000000346,1000,211500,Z060,C,ICIC,,
0000000347,2000,160100,0090,U,BNP1,,
0000000348,1000,211000,Z030,U,BARC,,
0000000349,2000,160100,Z060,C,CITI,,
0000000350,3000,211500,0090,B,HDFC,,
0000000350,1000,160100,0060,C,BARC,,
0000000351,2000,211500,Z090,T,SBI1,,
0000000352,4000,160000,Z060,B,SBI1,,
0000000353,5000,211000,0045,T,CITI,,
0000000354,1000,211500,0001,B,ICIC,,
0000000355,3000,160200,0090,T,HDFC,,
0000000356,1000,211000,0030,E,HDFC,,
0000000357,2000,160000,0090,B,SBI1,,
0000000357,1000,160000,0030,T,BNP1,,
0000000358,4000,211500,Z060,T,ICIC,,
0000000358,1000,160200,Z060,T,HDFC,,
0000000359,1000,160000,0045,C,CITI,,
0000000360,2000,160000,0030,C,SBI1,,
0000000361,1000,160100,0090,U,SBI1,,
0000000362,4000,211500,Z090,T,CITI,,
0000000363,3000,160000,0014,T,ICIC,,
0000000364,3000,211000,0045,B,ICIC,,
0000000364,1000,160000,0001,C,CITI,,
0000000365,1000,160000,0045,T,SBI1,,
0000000366,1000,160000,0014,U,SBI1,,
0000000367,3000,160200,0090,U,SBI1,,
0000000368,1000,211000,0014,B,DB01,,
0000000369,2000,160200,0001,U,DB01,,
0000000369,1000,160200,Z090,E,BNP1,,
0000000370,2000,160200,0030,E,ICIC,,
0000000370,1000,160000,0060,E,BNP1,,
0000000371,3000,160200,0045,E,CITI,,
0000000372,4000,160000,0045,B,HDFC,,
0000000372,1000,160000,0030,E,BNP1,,
0000000373,1000,211500,0030,E,BARC,,
0000000374,4000,160100,Z030,U,ICIC,,
0000000374,1000,211500,0090,C,BNP1,,
0000000375,1000,160100,0001,B,HDFC,,
0000000376,1000,160100,0045,U,SBI1,,
0000000377,2000,160200,Z030,U,BNP1,,
0000000378,1000,160200,0090,B,DB01,,
0000000379,2000,211500,0030,C,BARC,,
0000000380,2000,160000,Z090,T,BARC,,
0000000381,4000,211000,0001,T,DB01,,
0000000382,2000,160100,0045,E,BNP1,,
0000000383,2000,160100,0001,T,BARC,,
0000000384,3000,160200,0014,E,DB01,,
0000000384,1000,211000,Z030,U,CITI,,
0000000385,2000,211000,0030,C,DB01,,
0000000386,2000,160200,0001,T,HDFC,,
0000000387,1000,160000,0060,U,BARC,,
0000000388,1000,160000,0060,T,ICIC,,
0000000389,1000,160100,Z030,T,CITI,,
0000000390,1000,160200,0045,T,DB01,,
0000000391,2000,160100,0090,E,SBI1,,
0000000392,1000,211000,Z060,C,BNP1,,
0000000393,1000,160200,0014,C,BNP1,,
0000000394,1000,160000,0045,E,SBI1,,
0000000395,3000,160000,0030,U,DB01,,
0000000396,2000,160100,Z030,E,CITI,,
0000000397,2000,160100,Z090,T,BNP1,,
0000000397,1000,160100,Z030,C,ICIC,,
0000000398,4000,160000,0030,T,BARC,,
0000000399,1000,211000,0060,T,BNP1,,
0000000400,1000,160000,0060,C,BNP1,,
0000000401,1000,211000,0060,B,BARC,,
0000000402,1000,160200,0014,B,BNP1,,
0000000403,2000,160200,0090,E,ICIC,,
0000000404,2000,160000,Z090,C,ICIC,,
0000000404,1000,160100,0045,U,ICIC,,
0000000405,1000,160000,Z090,U,BARC,,
0000000406,1000,211500,0001,B,CITI,,
0000000407,1000,160100,0090,E,SBI1,,
0000000408,1000,211000,0045,U,SBI1,,
0000000409,5000,211000,0045,B,BARC,,
0000000410,2000,211500,0001,T,BNP1,,
0000000411,3000,211500,0060,T,ICIC,,
0000000412,3000,160200,0001,B,CITI,,
0000000413,1000,160000,0045,C,ICIC,,
0000000414,2000,160100,0001,C,BARC,,
0000000415,1000,211500,0060,T,BARC,,
0000000416,1000,160200,0060,C,DB01,,
0000000417,4000,211000,Z090,C,BNP1,,
0000000417,1000,160100,Z030,U,BNP1,,
0000000418,3000,160100,0045,T,BNP1,,
0000000419,2000,160000,0014,U,HDFC,,
0000000419,1000,211500,0014,E,CITI,,
0000000420,4000,160000,0060,C,HDFC,,
0000000421,1000,211500,Z030,B,BARC,,
0000000422,2000,160100,Z030,B,SBI1,,
0000000423,3000,211500,Z060,B,ICIC,,
0000000424,1000,211000,Z030,B,HDFC,,
0000000425,1000,160000,Z090,B,HDFC,,
0000000426,5000,160000,0090,T,BNP1,,
0000000427,2000,211500,0090,B,CITI,,
0000000428,3000,211500,Z060,T,SBI1,,
0000000429,2000,160200,0030,B,HDFC,,
0000000430,3000,211000,Z060,B,HDFC,,
0000000431,1000,160100,0045,T,HDFC,,
0000000432,1000,211000,0060,C,BARC,,
0000000433,1000,211000,Z090,C,ICIC,,
0000000434,2000,211000,0090,T,CITI,,
0000000435,1000,160000,0001,U,DB01,,
0000000436,2000,160000,0090,U,SBI1,,
0000000436,1000,160200,0060,E,CITI,,
0000000437,1000,160200,0090,B,CITI,,
0000000438,1000,211000,Z090,U,HDFC,,
0000000439,1000,160100,0090,E,ICIC,,
0000000440,1000,211500,0030,B,BARC,,
0000000441,2000,160200,0090,C,BARC,,
0000000441,1000,211000,0045,B,CITI,,
0000000442,3000,160000,Z090,B,HDFC,,
0000000442,1000,211000,0090,C,ICIC,,
0000000443,2000,160100,0001,B,CITI,,
0000000444,1000,160100,0090,E,BNP1,,
0000000445,2000,160200,0030,C,SBI1,,
0000000446,4000,160000,Z060,U,ICIC,,
0000000447,2000,160100,Z090,B,DB01,,
0000000448,2000,211000,0030,T,BNP1,,
0000000449,1000,211000,0045,T,HDFC,,
0000000450,1000,160100,0014,T,SBI1,,
0000000451,1000,160200,0045,U,SBI1,,
0000000452,1000,160200,0060,E,ICIC,,
0000000453,1000,211500,0090,C,HDFC,,
0000000454,1000,211000,Z060,B,BNP1,,
0000000455,2000,160100,0001,C,BARC,,
0000000456,1000,211500,Z090,T,BARC,,
0000000457,1000,160200,0001,B,ICIC,,
0000000458,2000,211500,0030,U,DB01,,
0000000458,1000,211500,0090,T,SBI1,,
0000000459,4000,160000,0060,B,CITI,,
0000000460,2000,160200,Z090,U,ICIC,,
0000000461,3000,160100,0060,T,BARC,,
0000000462,1000,160000,0014,E,BARC,,
0000000463,3000,160200,0045,C,BNP1,,
0000000464,3000,160000,Z030,B,HDFC,,
0000000465,1000,160200,0045,E,ICIC,,
0000000466,1000,160100,0030,U,DB01,,
0000000467,5000,160000,0045,U,BARC,,
0000000467,1000,160000,0060,B,SBI1,,
0000000468,1000,160100,0090,E,ICIC,,
0000000469,1000,211000,0060,C,CITI,,
0000000470,1000,160200,0060,T,HDFC,,
0000000471,2000,160200,0060,B,CITI,,
0000000472,5000,160100,0014,B,CITI,,
0000000473,1000,211000,Z060,E,BARC,,
0000000474,3000,160100,0090,C,BARC,,
0000000474,1000,160200,0030,U,DB01,,
0000000475,1000,160200,0090,E,BARC,,
0000000476,1000,160000,0045,C,SBI1,,
0000000477,1000,160000,0090,E,BARC,,
0000000478,5000,211500,0060,C,BNP1,,
0000000478,1000,160200,0045,E,BARC,,
0000000479,1000,211500,0014,U,CITI,,
0000000480,1000,160100,Z060,E,CITI,,
0000000481,1000,160100,0001,U,BARC,,
0000000482,1000,211500,0060,T,BARC,,
0000000483,5000,160000,0030,C,CITI,,
0000000483,1000,160000,Z090,E,CITI,,
0000000484,1000,160200,0014,U,CITI,,
0000000485,1000,160200,0014,T,DB01,,
0000000486,2000,160000,0045,B,SBI1,,
0000000486,1000,160000,Z060,E,ICIC,,
0000000487,1000,211500,Z090,E,BARC,,
0000000488,1000,211000,0060,U,HDFC,,
0000000489,3000,160000,0090,E,BARC,,
0000000490,1000,211500,0060,C,BARC,,
0000000491,3000,211500,0014,B,SBI1,,
0000000492,1000,160200,0090,U,CITI,,
0000000493,1000,211000,0090,E,DB01,,
0000000494,1000,160200,Z060,B,CITI,,
0000000495,2000,160000,0014,U,DB01,,
0000000496,1000,211000,0045,T,BNP1,,
0000000497,1000,160000,0045,B,HDFC,,
0000000498,5000,211500,0014,U,DB01,,
0000000499,3000,211500,0030,C,CITI,,
0000000500,3000,211500,Z060,B,BARC,,
0000000500,1000,211500,0045,T,CITI,,
0000000501,4000,211500,0090,B,DB01,,
0000000502,1000,160100,Z060,B,DB01,,
0000000503,1000,160200,0090,U,CITI,,
0000000504,1000,211500,Z030,C,DB01,,
0000000505,4000,160200,Z030,T,HDFC,,
0000000506,4000,160100,Z060,E,BARC,,
0000000507,1000,160200,0014,B,BARC,,
0000000508,2000,211500,0001,E,ICIC,,
0000000509,3000,211500,0014,U,CITI,,
0000000510,2000,160200,0045,B,CITI,,
0000000510,1000,211000,0014,B,HDFC,,
0000000511,1000,160000,0014,C,ICIC,,
0000000512,5000,160200,0045,B,SBI1,,
0000000513,2000,160000,0001,E,ICIC,,
0000000513,1000,160200,0030,B,BARC,,
0000000514,1000,160100,0014,B,ICIC,,
0000000515,1000,160000,0045,U,BNP1,,
0000000516,3000,211000,0014,U,SBI1,,
0000000517,3000,160100,Z060,T,HDFC,,
0000000518,1000,160200,Z030,U,BARC,,
0000000519,2000,211000,Z090,B,BNP1,,
0000000520,1000,211500,0030,B,CITI,,
0000000521,1000,160100,0030,E,DB01,,
0000000522,3000,211500,0090,T,DB01,,
0000000522,1000,211500,Z060,C,SBI1,,
0000000523,2000,160000,Z090,E,HDFC,,
0000000524,1000,160000,0060,E,HDFC,,
0000000525,1000,160200,0090,E,BNP1,,
0000000526,2000,160200,Z090,B,HDFC,,
0000000527,2000,211500,0030,C,CITI,,
0000000528,2000,211000,0060,B,CITI,,
0000000529,1000,211500,0060,C,HDFC,,
0000000530,2000,160200,Z060,C,SBI1,,
0000000530,1000,211000,0060,U,BARC,,
0000000531,1000,211500,0045,T,BARC,,
0000000532,3000,160000,0090,T,DB01,,
0000000532,1000,211500,0045,C,SBI1,,
0000000533,1000,211000,0030,E,DB01,,
0000000534,1000,160100,0045,E,BNP1,,
0000000535,2000,160100,0030,E,CITI,,
