LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000000038,ZMRO,Klüber Lubrication High Temp Grease,Surface Coating Div,KLÜBERLUB,248 Sanand Industrial Zone,Nashik,422001,IN,EN,+40-551-6378746,sales@klüber.lubrication.high.t.com,33AAACTA9125O1Z4,X,,2016-10-10
0000000039,ZELE,Sick AG Industrial LiDAR & Vision,,SICKAGIN,360 Ambattur Industrial Estate,Cincinnati,45202,US,EN,+6-920-2212581,sales@sick.ag.industrial.lidar..com,54-9182041,X,,2020-02-07
0000000040,ZELE,Omron Industrial Automation Sensors,,OMRONINDU,30 Peenya Industrial Area,Munich,80331,DE,DE,+49-407-4742701,sales@omron.industrial.automati.com,DE602807284,X,,2019-01-29
0000000041,ZCMP,THK Precision Linear Guides,,THKPRECIS,104 Sanand Industrial Zone,Nashik,422001,IN,EN,+46-808-1467140,sales@thk.precision.linear.guid.com,29AAACTI2681W1Z3,X,,2018-01-21
0000000042,ZSUB,Supercut Wire EDM Machining Jobwork,,SUPERCUTW,305 Daimlerstraße,Mannheim,68161,DE,DE,+96-249-7978699,sales@supercut.wire.edm.machini.com,DE461962978,X,,2023-07-13
0000000043,ZMRO,Tyrolit Industrial Grinding Wheels,Surface Coating Div,TYROLITIN,223 Ambattur Industrial Estate,Frankfurt,60311,DE,DE,+26-340-6549199,sales@tyrolit.industrial.grindi.com,DE986123973,X,,2017-11-30
0000000044,ZMET,Jindal Stainless Structural Product,,JINDALSTA,42 Daimlerstraße,Ulsan,44000,KR,JA,+45-118-4708539,sales@jindal.stainless.structur.com,KR30417955,X,,2018-09-14
0000000045,ZMET,Voestalpine High Performance Metals,Surface Coating Div,VOESTALPIN,324 Foundry Lane,Düsseldorf,40213,DE,DE,+13-510-7420636,sales@voestalpine.high.performa.com,DE914600359,X,,2020-05-05
0000000046,ZELE,ABB Motion & Industrial Drives,Automotive Parts Wing,ABBMOTION,295 GIDC Vatva Industrial Park,Cleveland,44101,US,EN,+54-303-3587923,sales@abb.motion.and.industrial.com,70-2241556,X,,2016-03-24
0000000047,ZCMP,Renold Industrial Transmission Chai,,RENOLDIND,44 Parque Industrial Monterrey,Munich,80331,DE,DE,+76-388-4175913,sales@renold.industrial.transmi.com,DE664619454,X,,2020-04-07
0000000048,ZMRO,Seco Tools High Feed Milling,,SECOTOOLS,442 Daimlerstraße,Coimbatore,641001,IN,EN,+6-954-4076541,sales@seco.tools.high.feed.mill.com,33AAACTC4269V1Z5,X,,2019-12-02
0000000049,ZSUB,Lasertech CNC Laser Cutting & Bendi,,LASERTECH,208 Ambattur Industrial Estate,Detroit,48201,US,EN,+93-956-1746065,sales@lasertech.cnc.laser.cutti.com,63-9898199,X,,2022-02-15
0000000050,ZCMP,HIWIN Linear Motion Guides,Machining Plant 2,HIWINLINE,44 Foundry Lane,Faridabad,121001,IN,EN,+11-883-2644442,sales@hiwin.linear.motion.guide.com,24AAACTQ6418Z1Z9,,,2021-10-05
0000000051,ZMET,POSCO Steel Plate & Coil,,POSCOSTEE,334 Engineering Way,Cologne,50667,DE,DE,+21-792-5267543,sales@posco.steel.plate.and.coi.com,DE808782890,,,2021-11-24
0000000052,ZSUB,Oerlikon Balzers Surface Hardening,,OERLIKONB,94 GIDC Vatva Industrial Park,Munich,80331,DE,DE,+26-819-4760839,sales@oerlikon.balzers.surface..com,DE296529736,,,2016-08-16
0000000053,ZMRO,Saint-Gobain Abrasives & Ceramics,Machining Plant 2,SAINTGOBA,367 MIDC Industrial Area Bhosari,Toluca,50000,MX,ES,+81-318-5170183,sales@saintgobain.abrasives.and.com,KHP186700D16,,,2021-07-17
0000000054,ZSUB,Aalberts Surface Technologies Plati,Surface Coating Div,AALBERTSS,393 Peenya Industrial Area,Mannheim,68161,DE,DE,+7-720-8461460,sales@aalberts.surface.technolo.com,DE291267119,,,2018-01-09
0000000055,ZCMP,Danfoss Power Solutions Hydraulics,Foundry & Casting Works,DANFOSSPO,433 Ambattur Industrial Estate,Stuttgart,70173,DE,DE,+18-742-7643919,sales@danfoss.power.solutions.h.com,DE178517871,,X,2019-03-13
0000000056,ZCMP,Kuehne + Nagel Heavy Project Cargo,,KUEHNE+N,367 Sanand Industrial Zone,Pune,411001,IN,EN,+99-926-2885457,sales@kuehne.+.nagel.heavy.proj.com,27AAACTP8154U1Z5,,X,2021-06-25
0000000057,ZELE,ABB Motion & Industrial Drives,,ABBMOTION,417 Engineering Way,Cincinnati,45202,US,EN,+73-251-4058947,sales@abb.motion.and.industrial.com,40-6384507,,X,2023-01-08
0000000058,ZMRO,Kennametal Carbide Tooling Systems,,KENNAMETAL,340 Ambattur Industrial Estate,Düsseldorf,40213,DE,DE,+30-300-1636028,sales@kennametal.carbide.toolin.com,DE976028652,,X,2018-01-17
0000000059,ZMRO,Walter Industrial Milling Tools,Tooling Engineering Unit,WALTERIND,279 Daimlerstraße,Cologne,50667,DE,DE,+46-383-5247870,sales@walter.industrial.milling.com,DE401117746,,X,2020-09-22
0000000060,ZCMP,Parker Hannifin Fluid Connectors,,PARKERHAN,306 Manufacturing Parkway,Frankfurt,60311,DE,DE,+24-427-4889596,sales@parker.hannifin.fluid.con.com,DE663400801,,X,2017-02-26
0000000061,ZELE,Turck Industrial Proximity Sensors,Automotive Parts Wing,TURCKINDU,92 Manufacturing Parkway,Akron,44301,US,EN,+90-475-4653950,sales@turck.industrial.proximit.com,14-1332945,,X,2020-10-01
0000000062,ZMRO,Saint-Gobain Abrasives & Ceramics,,SAINTGOBA,434 Automotive Corridor Phase 2,Pittsburgh,15201,US,EN,+86-913-7623812,sales@saintgobain.abrasives.and.com,45-3332568,,X,2022-04-28
0000000063,ZCMP,Norgren Industrial Pneumatics,,NORGRENIN,282 GIDC Vatva Industrial Park,Nagoya,460-0001,JP,JA,+74-665-1067060,sales@norgren.industrial.pneuma.com,JP27940003,,X,2018-01-13
0000000064,ZMRO,Mobil Industrial Gear Oils & Grease,,MOBILINDU,186 Siemensstraße,Pune,411001,IN,EN,+81-521-3490507,sales@mobil.industrial.gear.oil.com,24AAACTC4697P1Z8,,X,2018-03-12
0000000065,ZCMP,Danfoss Power Solutions Hydraulics,,DANFOSSPO,328 Zona Industrial Norte,Essen,45127,DE,DE,+80-749-6721423,sales@danfoss.power.solutions.h.com,DE847376024,,X,2023-09-18
0000000066,ZCMP,Garlock Sealing Technologies,Surface Coating Div,GARLOCKSE,345 GIDC Vatva Industrial Park,Hanover,30159,DE,DE,+66-576-2575646,sales@garlock.sealing.technolog.com,DE505512871,,X,2016-04-17
0000000067,ZCMP,Danfoss Power Solutions Hydraulics,,DANFOSSPO,445 Industrial Tooling Way,Mannheim,68161,DE,DE,+75-600-3999922,sales@danfoss.power.solutions.h.com,DE749236573,,X,2019-08-06
0000000068,ZCMP,Schaeffler Technologies AG & Co,,SCHAEFFLER,158 Sanand Industrial Zone,Cleveland,44101,US,EN,+96-880-8977566,sales@schaeffler.technologies.a.com,81-8026656,,X,2018-10-31
0000000069,ZCMP,Swagelok Fluid System Components,,SWAGELOKF,279 Ambattur Industrial Estate,Monterrey,64000,MX,ES,+97-963-8638952,sales@swagelok.fluid.system.com.com,HLK747483X38,,X,2018-11-11
0000000070,ZCMP,Eaton Hydraulics & Hose Assemblies,,EATONHYDR,364 Zona Industrial Norte,Jamshedpur,831001,IN,EN,+73-485-3576156,sales@eaton.hydraulics.and.hose.com,24AAACTB9468L1Z9,,X,2020-09-28
0000000071,ZCMP,Norgren Industrial Pneumatics,,NORGRENIN,330 Foundry Lane,Nashik,422001,IN,EN,+91-219-1100424,sales@norgren.industrial.pneuma.com,24AAACTQ9703M1Z2,,X,2016-10-22
0000000072,ZMET,Bohler Special Steels Europe,Job-Work Division,BOHLERSPE,167 Industriestraße,Bengaluru,560001,IN,EN,+64-358-5261018,sales@bohler.special.steels.eur.com,33AAACTB4968U1Z5,,X,2020-11-30
0000000073,ZMET,Jindal Stainless Structural Product,,JINDALSTA,70 Zona Industrial Norte,Monterrey,64000,MX,ES,+52-807-3262260,sales@jindal.stainless.structur.com,PEU171012N71,,X,2022-12-27
0000000074,ZMRO,3M Industrial Safety & PPE Systems,Machining Plant 2,3MINDUSTR,313 Automotive Corridor Phase 2,Bengaluru,560001,IN,EN,+38-529-4927360,sales@3m.industrial.safety.and..com,06AAACTJ9223R1Z4,,X,2017-12-17
0000000075,ZMET,SSAB Swedish Steel Heavy Plate,,SSABSWEDI,312 Sanand Industrial Zone,Hanover,30159,DE,DE,+41-999-6006603,sales@ssab.swedish.steel.heavy..com,DE495622921,,X,2022-02-28
0000000076,ZCMP,MinebeaMitsumi Precision Components,,MINEBEAMIT,177 Siemensstraße,Düsseldorf,40213,DE,DE,+34-614-4314048,sales@minebeamitsumi.precision..com,DE654300666,,X,2021-12-18
0000000077,ZMRO,Castrol Industrial Metalworking Flu,,CASTROLIN,211 Peenya Industrial Area,Pune,411001,IN,EN,+29-387-1450852,sales@castrol.industrial.metalw.com,27AAACTL8302K1Z7,,X,2019-03-18
0000000078,ZCMP,Gates Industrial Power Transmission,,GATESINDU,104 Industriestraße,Jamshedpur,831001,IN,EN,+38-613-6952910,sales@gates.industrial.power.tr.com,24AAACTT4643Q1Z2,,X,2021-05-10
0000000079,ZCMP,Trelleborg Industrial Engineered Se,Foundry & Casting Works,TRELLEBORG,90 Sanand Industrial Zone,Chicago,60601,US,EN,+42-470-3088818,sales@trelleborg.industrial.eng.com,74-6921424,,X,2017-01-29
0000000080,ZCMP,Würth Industry Assembly Components,,WÜRTHINDU,113 Parque Industrial Monterrey,Coimbatore,641001,IN,EN,+62-117-5753936,sales@würth.industry.assembly.c.com,24AAACTN1173V1Z2,,X,2019-12-18
0000000081,ZELE,Keyence Precision Optical Sensors,,KEYENCEPR,231 Industriestraße,Indianapolis,46201,US,EN,+96-865-2651753,sales@keyence.precision.optical.com,68-8488258,,X,2017-01-22
0000000082,ZSUB,PPG Industrial Coatings & E-Coat,,PPGINDUST,22 Automotive Corridor Phase 2,Jamshedpur,831001,IN,EN,+89-849-1767893,sales@ppg.industrial.coatings.a.com,27AAACTO7341I1Z2,,X,2016-05-02
0000000083,ZMET,Sandvik Materials Technology AB,,SANDVIKMA,440 Assembly Boulevard,Chicago,60601,US,EN,+30-181-2981005,sales@sandvik.materials.technol.com,60-2093949,,X,2019-12-01
0000000084,ZCMP,Parker Hannifin Fluid Connectors,,PARKERHAN,55 Manufacturing Parkway,Munich,80331,DE,DE,+44-855-7967145,sales@parker.hannifin.fluid.con.com,DE871320903,,X,2018-01-09
0000000085,ZMET,Outokumpu Stainless Special Alloys,,OUTOKUMPU,405 Parque Industrial Monterrey,Pune,411001,IN,EN,+83-111-5155190,sales@outokumpu.stainless.speci.com,06AAACTW4001Y1Z7,,,2019-03-24
0000000086,ZCMP,Norgren Industrial Pneumatics,,NORGRENIN,398 Gewerbepark West,Chennai,600001,IN,EN,+34-352-3344787,sales@norgren.industrial.pneuma.com,06AAACTM7360A1Z6,,,2018-03-14
0000000087,ZMET,Sandvik Materials Technology AB,,SANDVIKMA,8 Parque Industrial Monterrey,Hanover,30159,DE,DE,+15-794-5311120,sales@sandvik.materials.technol.com,DE700847871,,,2018-07-07
0000000088,ZCMP,Kuehne + Nagel Heavy Project Cargo ,,KUEHNE+N,242 Manufacturing Parkway,Chennai,600001,IN,EN,+38-452-9543312,sales@kuehne.+.nagel.heavy.proj.com,24AAACTI7509W1Z9,,,2021-06-01
0000000089,ZMET,Kalyani Forgings & Metallurgy 89,,KALYANIFO,223 Sanand Industrial Zone,Munich,80331,DE,DE,+41-400-5407568,sales@kalyani.forgings.and.meta.com,DE102178528,,,2022-01-13
0000000090,ZSUB,Lasertech CNC Laser Cutting & Bendi,,LASERTECH,195 Zona Industrial Norte,Bengaluru,560001,IN,EN,+45-782-8108098,sales@lasertech.cnc.laser.cutti.com,29AAACTK9691S1Z1,,,2023-06-06
0000000091,ZCMP,Gates Industrial Power Transmission,,GATESINDU,449 Daimlerstraße,Pune,411001,IN,EN,+51-655-7604309,sales@gates.industrial.power.tr.com,24AAACTV3252D1Z6,,,2019-04-23
0000000092,ZSUB,Aalberts Surface Technologies Plati,,AALBERTSS,238 MIDC Industrial Area Bhosari,Nuremberg,90402,DE,DE,+12-643-2183872,sales@aalberts.surface.technolo.com,DE219327816,,,2016-03-08
0000000093,ZMET,Alcoa Aluminum Extrusions Corp 93,Automotive Parts Wing,ALCOAALUM,190 MIDC Industrial Area Bhosari,Bengaluru,560001,IN,EN,+57-308-2580429,sales@alcoa.aluminum.extrusions.com,27AAACTV7419S1Z4,,,2023-09-22
0000000094,ZMET,Bharat Forge Precision Machining 94,,BHARATFOR,63 Gewerbepark West,Bengaluru,560001,IN,EN,+7-241-5736806,sales@bharat.forge.precision.ma.com,06AAACTJ5115N1Z2,,,2022-04-10
0000000095,ZELE,Rockwell Automation Allen-Bradley 9,,ROCKWELLA,430 Automotive Corridor Phase 2,Hanover,30159,DE,DE,+91-757-9435476,sales@rockwell.automation.allen.com,DE463119299,,,2022-01-29
0000000096,ZCMP,Danfoss Power Solutions Hydraulics ,Job-Work Division,DANFOSSPO,262 Parque Industrial Monterrey,Hanover,30159,DE,DE,+19-109-2579919,sales@danfoss.power.solutions.h.com,DE459221844,,,2018-06-16
0000000097,ZMRO,Kennametal Carbide Tooling Systems ,,KENNAMETAL,255 Parque Industrial Monterrey,Coventry,CV1 1AA,GB,EN,+67-454-6969247,sales@kennametal.carbide.toolin.com,GB562646209,,,2019-01-05
0000000098,ZMRO,Mobil Industrial Gear Oils & Grease,,MOBILINDU,295 Industrial Tooling Way,Milwaukee,53201,US,EN,+62-138-9241693,sales@mobil.industrial.gear.oil.com,98-7721833,,,2018-10-20
0000000099,ZCMP,Garlock Sealing Technologies 99,,GARLOCKSE,393 GIDC Vatva Industrial Park,Ahmedabad,380001,IN,EN,+72-981-5413338,sales@garlock.sealing.technolog.com,27AAACTC8088F1Z1,,,2023-10-27
0000000100,ZSUB,PPG Industrial Coatings & E-Coat 10,,PPGINDUST,422 Peenya Industrial Area,Stuttgart,70173,DE,DE,+15-294-8921205,sales@ppg.industrial.coatings.a.com,DE263694849,,,2018-08-22
0000000101,ZMET,Tata Steel Heavy Tubular Products,Foundry & Casting Works,JINDALSTA,369 Zona Industrial Norte,Faridabad,121001,IN,EN,+92-777-6628618,sales@jindal.stainless.structur.com,27AAACT1234F1Z8,,,2016-12-12
0000000102,ZMRO,Tata Steel Tubes Division - Jobwork,,SANDVIKCO,143 Industrial Tooling Way,Faridabad,121001,IN,DE,+93-211-7663034,sales@sandvik.coromant.cutting..com,27AAACT1234F1Z8,,,2016-04-06
0000000103,ZMET,Bosch Rexroth Industrial Hydraulics,,ALCOAALUM,100 Zona Industrial Norte,Nuremberg,90402,DE,DE,+59-706-8785396,sales@alcoa.aluminum.extrusions.com,DE129847192,,,2019-02-09
0000000104,ZCMP,Bosch Rexroth AG - Fluid Power,,TCIFREIGH,274 Assembly Boulevard,Nuremberg,90402,DE,EN,+46-169-7834883,sales@tci.freight.heavy.haulage.com,DE129847192,,,2020-02-24
0000000105,ZELE,Sundram Fasteners Automotive Ltd,,SCHNEIDER,82 Parque Industrial Monterrey,Osaka,530-0001,JP,JA,+71-708-5762084,sales@schneider.electric.indust.com,33AAACT9876K1Z2,,,2019-10-09
0000000106,ZMRO,Sundram Fasteners Special Forgings,,GUHRINGPR,445 GIDC Vatva Industrial Park,Osaka,530-0001,JP,EN,+80-890-6228350,sales@guhring.precision.drills..com,33AAACT9876K1Z2,,,2017-08-12
0000000107,ZCMP,Parker Hannifin Fluid Connectors,,RENOLDIND,170 Ambattur Industrial Estate,Chennai,600001,IN,EN,+15-194-7521877,sales@renold.industrial.transmi.com,US38-1928471,,,2016-07-12
0000000108,ZELE,Parker Hannifin Hose Division,,MITSUBISHI,281 Sanand Industrial Zone,Chennai,600001,IN,EN,+4-650-5689371,sales@mitsubishi.electric.indus.com,US38-1928471,,,2021-04-10
0000000109,ZCMP,Schaeffler Technologies AG & Co,,SCHAEFFLER,438 Gewerbepark West,Faridabad,121001,IN,EN,+26-830-7929510,sales@schaeffler.technologies.a.com,DE812948194,,,2017-01-15
0000000110,ZSUB,Schaeffler Aerospace Bearings,,BODYCOTET,446 Ambattur Industrial Estate,Faridabad,121001,IN,EN,+28-376-2582369,sales@bodycote.thermal.processi.com,DE812948194,,,2022-02-22
0000000111,ZCMP,Bharat Forge Precision Machining,Machining Plant 2,GATESINDU,149 Parque Industrial Monterrey,Tokyo,100-0001,JP,JA,+50-735-8840946,sales@gates.industrial.power.tr.com,27AAACT5544M1Z1,,,2023-10-29
0000000112,ZELE,Bharat Forge Heavy Metallurgy,,BANNERENG,346 Industriestraße,Tokyo,100-0001,JP,EN,+29-388-5123724,sales@banner.engineering.safety.com,27AAACT5544M1Z1,,,2019-12-01
0000000113,ZMRO,Sandvik Coromant Cutting Tools,,WALTERIND,201 Industrial Tooling Way,Hanover,30159,DE,DE,+71-285-7806415,sales@walter.industrial.milling.com,DE918274619,,,2017-04-14
0000000114,ZMRO,Sandvik Coromant Carbide Inserts,,GUHRINGPR,233 Manufacturing Parkway,Hanover,30159,DE,JA,+53-381-4454103,sales@guhring.precision.drills..com,DE918274619,,,2017-10-21
0000000115,ZMET,Renold Industrial Transmission,,SANDVIKMA,168 GIDC Vatva Industrial Park,Jamshedpur,831001,IN,EN,+32-420-3432185,sales@sandvik.materials.technol.com,GB192837465,,,2022-09-24
0000000116,ZMET,Renold Power Transmission Gears,Tooling Engineering Unit,SANDVIKMA,140 Manufacturing Parkway,Jamshedpur,831001,IN,JA,+42-401-4808220,sales@sandvik.materials.technol.com,GB192837465,,,2019-04-25
0000000117,ZMET,Thyssenkrupp Materials Services Gmb,,THYSSENKRU,186 GIDC Vatva Industrial Park,Nashik,422001,IN,EN,+34-694-6464973,sales@thyssenkrupp.materials.se.com,33AAACTW6914S1Z5,,,2023-06-10
0000000118,ZCMP,Blue Dart Express Industrial Cargo ,,BLUEDART,433 Peenya Industrial Area,Chennai,600001,IN,EN,+63-634-5954269,sales@blue.dart.express.industr.com,33AAACTT4024T1Z1,,,2018-08-31
0000000119,ZMET,Bohler Special Steels Europe 119,Tooling Engineering Unit,BOHLERSPE,219 GIDC Vatva Industrial Park,Coimbatore,641001,IN,EN,+65-803-9354519,sales@bohler.special.steels.eur.com,33AAACTA6055L1Z2,,,2016-07-12
0000000120,ZELE,SKF Industrial Bearings & Seals,Tooling Engineering Unit,ROCKWELLA,30 Assembly Boulevard,Pune,411001,IN,EN,+91-474-8298826,sales@rockwell.automation.allen.com,34-9461372,,,2023-09-09
0000000121,ZELE,SKF Precision Bearings Ltd,,ROCKWELLA,179 Automotive Corridor Phase 2,Pune,411001,IN,EN,+34-402-2547447,sales@rockwell.automation.allen.com,33AAACTS2628O1Z4,,,2019-08-07
