PARTNER,ADDRNUMBER,XDFADR
0003000146,0000500146,X
0003000147,0000500147,X
0003000148,0000500148,X
0003000149,0000500149,X
0003000150,0000500150,X
0003000151,0000500151,X
0003000152,0000500152,X
0003000153,0000500153,X
0003000154,0000500154,X
0003000155,0000500155,X
0003000156,0000500156,X
0003000157,0000500157,X
0003000158,0000500158,X
0003000159,0000500159,X
0003000160,0000500160,X
0003000161,0000500161,X
0003000162,0000500162,X
0003000163,0000500163,X
0003000164,0000500164,X
0003000165,0000500165,X
0003000166,0000500166,X
0003000167,0000500167,X
0003000168,0000500168,X
0003000169,0000500169,X
0003000170,0000500170,X
0003000171,0000500171,X
0003000172,0000500172,X
0003000173,0000500173,X
0003000174,0000500174,X
0003000175,0000500175,X
0003000176,0000500176,X
0003000177,0000500177,X
0003000178,0000500178,X
0003000179,0000500179,X
0003000180,0000500180,X
0003000181,0000500181,X
0003000182,0000500182,X
0003000183,0000500183,X
0003000184,0000500184,X
0003000185,0000500185,X
0003000186,0000500186,X
0003000187,0000500187,X
0003000188,0000500188,X
0003000189,0000500189,X
0003000190,0000500190,X
0003000191,0000500191,X
0003000192,0000500192,X
0003000193,0000500193,X
0003000194,0000500194,X
0003000195,0000500195,X
0003000196,0000500196,X
0003000197,0000500197,X
0003000198,0000500198,X
0003000199,0000500199,X
0003000200,0000500200,X
0003000201,0000500201,X
0003000202,0000500202,X
0003000203,0000500203,X
0003000204,0000500204,X
0003000205,0000500205,X
0003000206,0000500206,X
0003000207,0000500207,X
0003000208,0000500208,X
0003000209,0000500209,X
0003000210,0000500210,X
0003000211,0000500211,X
0003000212,0000500212,X
0003000213,0000500213,X
0003000214,0000500214,X
0003000215,0000500215,X
0003000216,0000500216,X
0003000217,0000500217,X
0003000218,0000500218,X
0003000219,0000500219,X
0003000220,0000500220,X
0003000221,0000500221,X
0003000222,0000500222,X
0003000223,0000500223,X
0003000225,0000500225,X
0003000226,0000500226,X
0003000227,0000500227,X
0003000228,0000500228,X
0003000229,0000500229,X
0003000230,0000500230,X
0003000231,0000500231,X
0003000232,0000500232,X
0003000233,0000500233,X
0003000234,0000500234,X
0003000235,0000500235,X
0003000236,0000500236,X
0003000237,0000500237,X
0003000238,0000500238,X
0003000239,0000500239,X
0003000240,0000500240,X
0003000241,0000500241,X
0003000242,0000500242,X
0003000243,0000500243,X
0003000244,0000500244,X
0003000245,0000500245,X
0003000246,0000500246,X
0003000247,0000500247,X
0003000248,0000500248,X
0003000249,0000500249,X
0003000250,0000500250,X
0003000251,0000500251,X
0003000252,0000500252,X
0003000253,0000500253,X
0003000254,0000500254,X
0003000255,0000500255,X
0003000256,0000500256,X
0003000257,0000500257,X
0003000258,0000500258,X
0003000259,0000500259,X
0003000260,0000500260,X
0003000261,0000500261,X
0003000262,0000500262,X
0003000263,0000500263,X
0003000264,0000500264,X
0003000265,0000500265,X
0003000266,0000500266,X
0003000267,0000500267,X
0003000268,0000500268,X
0003000269,0000500269,X
0003000270,0000500270,X
0003000271,0000500271,X
0003000272,0000500272,X
0003000273,0000500273,X
0003000274,0000500274,X
0003000275,0000500275,X
0003000276,0000500276,X
0003000277,0000500277,X
0003000278,0000500278,X
0003000279,0000500279,X
0003000280,0000500280,X
0003000281,0000500281,X
0003000282,0000500282,X
0003000283,0000500283,X
0003000284,0000500284,X
0003000285,0000500285,X
0003000286,0000500286,X
0003000287,0000500287,X
0003000288,0000500288,X
0003000289,0000500289,X
0003000290,0000500290,X
0003000291,0000500291,X
0003000292,0000500292,X
0003000293,0000500293,X
0003000294,0000500294,X
0003000295,0000500295,X
0003000296,0000500296,X
0003000297,0000500297,X
0003000298,0000500298,X
0003000299,0000500299,X
0003000300,0000500300,X
0003000301,0000500301,X
0003000302,0000500302,X
0003000303,0000500303,X
0003000304,0000500304,X
0003000305,0000500305,X
0003000306,0000500306,X
0003000307,0000500307,X
0003000308,0000500308,X
0003000309,0000500309,X
0003000310,0000500310,X
0003000311,0000500311,X
0003000312,0000500312,X
0003000313,0000500313,X
0003000314,0000500314,X
0003000315,0000500315,X
0003000316,0000500316,X
0003000317,0000500317,X
0003000318,0000500318,X
0003000319,0000500319,X
0003000320,0000500320,X
0003000321,0000500321,X
0003000322,0000500322,X
0003000323,0000500323,X
0003000324,0000500324,X
0003000325,0000500325,X
0003000326,0000500326,X
0003000327,0000500327,X
0003000328,0000500328,X
0003000329,0000500329,X
0003000330,0000500330,X
0003000331,0000500331,X
0003000332,0000500332,X
0003000333,0000500333,X
0003000334,0000500334,X
0003000335,0000500335,X
0003000336,0000500336,X
0003000337,0000500337,X
0003000338,0000500338,X
0003000339,0000500339,X
0003000340,0000500340,X
0003000341,0000500341,X
0003000342,0000500342,X
0003000343,0000500343,X
0003000344,0000500344,X
0003000345,0000500345,X
0003000346,0000500346,X
0003000347,0000500347,X
0003000348,0000500348,X
0003000349,0000500349,X
0003000350,0000500350,X
0003000351,0000500351,X
0003000352,0000500352,X
0003000353,0000500353,X
0003000354,0000500354,X
0003000355,0000500355,X
0003000356,0000500356,X
0003000357,0000500357,X
0003000358,0000500358,X
0003000359,0000500359,X
0003000360,0000500360,X
0003000361,0000500361,X
0003000362,0000500362,X
0003000363,0000500363,X
0003000364,0000500364,X
0003000365,0000500365,X
0003000366,0000500366,X
0003000367,0000500367,X
0003000368,0000500368,X
0003000369,0000500369,X
0003000370,0000500370,X
0003000371,0000500371,X
0003000372,0000500372,X
0003000373,0000500373,X
0003000374,0000500374,X
0003000375,0000500375,X
0003000376,0000500376,X
0003000377,0000500377,X
0003000378,0000500378,X
0003000379,0000500379,X
0003000380,0000500380,X
0003000381,0000500381,X
0003000382,0000500382,X
0003000383,0000500383,X
0003000384,0000500384,X
0003000385,0000500385,X
0003000386,0000500386,X
0003000387,0000500387,X
0003000388,0000500388,X
0003000389,0000500389,X
0003000390,0000500390,X
0003000391,0000500391,X
0003000392,0000500392,X
0003000393,0000500393,X
0003000394,0000500394,X
0003000395,0000500395,X
0003000396,0000500396,X
0003000397,0000500397,X
0003000398,0000500398,X
0003000399,0000500399,X
0003000400,0000500400,X
0003000401,0000500401,X
0003000402,0000500402,X
0003000403,0000500403,X
0003000404,0000500404,X
0003000405,0000500405,X
0003000406,0000500406,X
0003000407,0000500407,X
0003000408,0000500408,X
0003000409,0000500409,X
0003000410,0000500410,X
0003000411,0000500411,X
0003000412,0000500412,X
0003000413,0000500413,X
0003000414,0000500414,X
0003000415,0000500415,X
0003000416,0000500416,X
0003000417,0000500417,X
0003000418,0000500418,X
0003000419,0000500419,X
0003000420,0000500420,X
0003000421,0000500421,X
0003000422,0000500422,X
0003000423,0000500423,X
0003000424,0000500424,X
0003000425,0000500425,X
0003000426,0000500426,X
0003000427,0000500427,X
0003000428,0000500428,X
0003000429,0000500429,X
0003000430,0000500430,X
0003000431,0000500431,X
0003000432,0000500432,X
0003000433,0000500433,X
0003000434,0000500434,X
0003000435,0000500435,X
0003000437,0000500437,X
0003000438,0000500438,X
0003000439,0000500439,X
0003000440,0000500440,X
0003000441,0000500441,X
0003000442,0000500442,X
0003000443,0000500443,X
0003000444,0000500444,X
0003000445,0000500445,X
0003000446,0000500446,X
0003000447,0000500447,X
0003000448,0000500448,X
0003000449,0000500449,X
0003000450,0000500450,X
0003000451,0000500451,X
0003000452,0000500452,X
0003000453,0000500453,X
0003000454,0000500454,X
0003000455,0000500455,X
0003000456,0000500456,X
0003000457,0000500457,X
0003000458,0000500458,X
0003000459,0000500459,X
0003000460,0000500460,X
0003000461,0000500461,X
0003000462,0000500462,X
0003000463,0000500463,X
0003000464,0000500464,X
0003000465,0000500465,X
0003000466,0000500466,X
0003000467,0000500467,X
0003000468,0000500468,X
0003000469,0000500469,X
0003000470,0000500470,X
0003000471,0000500471,X
0003000472,0000500472,X
0003000473,0000500473,X
0003000474,0000500474,X
0003000475,0000500475,X
0003000476,0000500476,X
0003000477,0000500477,X
0003000478,0000500478,X
0003000479,0000500479,X
0003000480,0000500480,X
0003000481,0000500481,X
0003000482,0000500482,X
0003000483,0000500483,X
0003000484,0000500484,X
0003000485,0000500485,X
0003000486,0000500486,X
0003000487,0000500487,X
0003000488,0000500488,X
0003000489,0000500489,X
0003000490,0000500490,X
0003000491,0000500491,X
0003000492,0000500492,X
0003000493,0000500493,X
0003000494,0000500494,X
0003000495,0000500495,X
0003000496,0000500496,X
0003000497,0000500497,X
0003000498,0000500498,X
0003000499,0000500499,X
0003000500,0000500500,X
0003000501,0000500501,X
0003000502,0000500502,X
0003000503,0000500503,X
0003000504,0000500504,X
0003000505,0000500505,X
0003000506,0000500506,X
0003000507,0000500507,X
0003000508,0000500508,X
0003000509,0000500509,X
0003000510,0000500510,X
0003000511,0000500511,X
0003000512,0000500512,X
0003000513,0000500513,X
0003000514,0000500514,X
0003000515,0000500515,X
0003000516,0000500516,X
0003000517,0000500517,X
0003000518,0000500518,X
0003000519,0000500519,X
0003000520,0000500520,X
0003000521,0000500521,X
0003000523,0000500523,X
0003000524,0000500524,X
0003000525,0000500525,X
0003000526,0000500526,X
0003000527,0000500527,X
0003000528,0000500528,X
0003000529,0000500529,X
0003000530,0000500530,X
0003000531,0000500531,X
0003000532,0000500532,X
0003000533,0000500533,X
0003000534,0000500534,X
0003000535,0000500535,X
0003000536,0000500536,X
0003000537,0000500537,X
0003000538,0000500538,X
0003000539,0000500539,X
0003000540,0000500540,X
0003000541,0000500541,X
0003000542,0000500542,X
0003000543,0000500543,X
0003000544,0000500544,X
0003000545,0000500545,X
0003000546,0000500546,X
0003000547,0000500547,X
0003000548,0000500548,X
0003000549,0000500549,X
0003000550,0000500550,X
0003000551,0000500551,X
0003000552,0000500552,X
0003000553,0000500553,X
0003000554,0000500554,X
0003000555,0000500555,X
0003000556,0000500556,X
0003000557,0000500557,X
0003000558,0000500558,X
0003000559,0000500559,X
0003000560,0000500560,X
0003000561,0000500561,X
0003000562,0000500562,X
0003000563,0000500563,X
0003000564,0000500564,X
0003000565,0000500565,X
0003000566,0000500566,X
0003000567,0000500567,X
0003000568,0000500568,X
0003000569,0000500569,X
0003000570,0000500570,X
0003000571,0000500571,X
0003000572,0000500572,X
0003000573,0000500573,X
0003000574,0000500574,X
0003000575,0000500575,X
0003000576,0000500576,X
0003000577,0000500577,X
0003000578,0000500578,X
0003000579,0000500579,X
0003000580,0000500580,X
0003000581,0000500581,X
0003000582,0000500582,X
0003000583,0000500583,X
0003000584,0000500584,X
0003000585,0000500585,X
0003000586,0000500586,X
0003000587,0000500587,X
0003000588,0000500588,X
0003000589,0000500589,X
0003000590,0000500590,X
0003000591,0000500591,X
0003000592,0000500592,X
0003000593,0000500593,X
0003000594,0000500594,X
0003000595,0000500595,X
0003000596,0000500596,X
0003000597,0000500597,X
0003000598,0000500598,X
0003000599,0000500599,X
0003000600,0000500600,X
0003000601,0000500601,X
0003000602,0000500602,X
0003000603,0000500603,X
0003000604,0000500604,X
0003000605,0000500605,X
0003000606,0000500606,X
0003000607,0000500607,X
0003000609,0000500609,X
0003000610,0000500610,X
0003000611,0000500611,X
0003000612,0000500612,X
0003000613,0000500613,X
0003000614,0000500614,X
0003000615,0000500615,X
0003000616,0000500616,X
0003000617,0000500617,X
0003000618,0000500618,X
0003000619,0000500619,X
0003000620,0000500620,X
0003000621,0000500621,X
0003000622,0000500622,X
0003000623,0000500623,X
0003000624,0000500624,X
0003000625,0000500625,X
0003000626,0000500626,X
0003000627,0000500627,X
0003000628,0000500628,X
0003000629,0000500629,X
0003000630,0000500630,X
0003000631,0000500631,X
0003000632,0000500632,X
0003000633,0000500633,X
0003000634,0000500634,X
0003000635,0000500635,X
0003000636,0000500636,X
0003000637,0000500637,X
0003000638,0000500638,X
0003000639,0000500639,X
0003000640,0000500640,X
0003000641,0000500641,X
0003000642,0000500642,X
0003000643,0000500643,X
0003000644,0000500644,X
0003000645,0000500645,X
0003000646,0000500646,X
0003000647,0000500647,X
0003000648,0000500648,X
0003000649,0000500649,X
0003000650,0000500650,X
0003000651,0000500651,X
0003000652,0000500652,X
0003000653,0000500653,X
0003000654,0000500654,X
0003000655,0000500655,X
0003000656,0000500656,X
0003000657,0000500657,X
0003000658,0000500658,X
0003000659,0000500659,X
0003000660,0000500660,X
0003000661,0000500661,X
0003000662,0000500662,X
0003000663,0000500663,X
0003000664,0000500664,X
0003000665,0000500665,X
0003000666,0000500666,X
0003000667,0000500667,X
0003000668,0000500668,X
0003000669,0000500669,X
0003000670,0000500670,X
0003000671,0000500671,X
0003000672,0000500672,X
0003000673,0000500673,X
0003000674,0000500674,X
0003000675,0000500675,X
0003000677,0000500677,X
0003000678,0000500678,X
0003000679,0000500679,X
0003000680,0000500680,X
0003000681,0000500681,X
0003000682,0000500682,X
0003000683,0000500683,X
0003000684,0000500684,X
0003000685,0000500685,X
0003000686,0000500686,X
0003000687,0000500687,X
0003000688,0000500688,X
0003000689,0000500689,X
0003000690,0000500690,X
0003000691,0000500691,X
0003000692,0000500692,X
0003000693,0000500693,X
0003000694,0000500694,X
0003000695,0000500695,X
0003000696,0000500696,X
0003000697,0000500697,X
0003000698,0000500698,X
0003000699,0000500699,X
0003000700,0000500700,X
0003000701,0000500701,X
0003000702,0000500702,X
0003000703,0000500703,X
0003000704,0000500704,X
0003000705,0000500705,X
0003000706,0000500706,X
0003000707,0000500707,X
0003000708,0000500708,X
0003000709,0000500709,X
0003000710,0000500710,X
0003000711,0000500711,X
0003000712,0000500712,X
0003000713,0000500713,X
0003000714,0000500714,X
0003000715,0000500715,X
0003000716,0000500716,X
0003000717,0000500717,X
0003000718,0000500718,X
0003000719,0000500719,X
0003000720,0000500720,X
0003000721,0000500721,X
0003000722,0000500722,X
0003000723,0000500723,X
0003000724,0000500724,X
0003000725,0000500725,X
0003000726,0000500726,X
0003000727,0000500727,X
0003000728,0000500728,X
0003000729,0000500729,X
0003000730,0000500730,X
0003000731,0000500731,X
0003000732,0000500732,X
0003000733,0000500733,X
0003000734,0000500734,X
0003000735,0000500735,X
0003000736,0000500736,X
0003000737,0000500737,X
0003000738,0000500738,X
0003000739,0000500739,X
0003000740,0000500740,X
0003000741,0000500741,X
0003000742,0000500742,X
0003000743,0000500743,X
0003000744,0000500744,X
0003000745,0000500745,X
0003000746,0000500746,X
0003000747,0000500747,X
0003000748,0000500748,X
0003000749,0000500749,X
0003000750,0000500750,X
0003000751,0000500751,X
0003000752,0000500752,X
0003000753,0000500753,X
0003000754,0000500754,X
0003000755,0000500755,X
0003000756,0000500756,X
0003000757,0000500757,X
0003000758,0000500758,X
0003000759,0000500759,X
0003000760,0000500760,X
0003000761,0000500761,X
0003000762,0000500762,X
0003000763,0000500763,X
0003000764,0000500764,X
0003000765,0000500765,X
0003000766,0000500766,X
0003000767,0000500767,X
0003000768,0000500768,X
0003000769,0000500769,X
0003000770,0000500770,X
0003000771,0000500771,X
0003000772,0000500772,X
0003000773,0000500773,X
0003000774,0000500774,X
0003000775,0000500775,X
0003000776,0000500776,X
0003000777,0000500777,X
0003000778,0000500778,X
0003000779,0000500779,X
0003000780,0000500780,X
0003000781,0000500781,X
0003000782,0000500782,X
0003000783,0000500783,X
0003000784,0000500784,X
0003000785,0000500785,X
0003000786,0000500786,X
0003000787,0000500787,X
0003000788,0000500788,X
0003000789,0000500789,X
0003000790,0000500790,X
0003000791,0000500791,X
0003000792,0000500792,X
0003000793,0000500793,X
0003000794,0000500794,X
0003000795,0000500795,X
0003000796,0000500796,X
0003000797,0000500797,X
0003000798,0000500798,X
0003000799,0000500799,X
0003000800,0000500800,X
0003000802,0000500802,X
0003000803,0000500803,X
0003000804,0000500804,X
0003000805,0000500805,X
0003000806,0000500806,X
0003000807,0000500807,X
0003000808,0000500808,X
0003000809,0000500809,X
0003000810,0000500810,X
0003000811,0000500811,X
0003000812,0000500812,X
0003000813,0000500813,X
0003000814,0000500814,X
0003000815,0000500815,X
0003000816,0000500816,X
0003000817,0000500817,X
0003000818,0000500818,X
0003000819,0000500819,X
0003000820,0000500820,X
0003000821,0000500821,X
0003000822,0000500822,X
0003000823,0000500823,X
0003000824,0000500824,X
0003000825,0000500825,X
0003000826,0000500826,X
0003000827,0000500827,X
0003000828,0000500828,X
0003000829,0000500829,X
0003000830,0000500830,X
0003000831,0000500831,X
0003000832,0000500832,X
0003000833,0000500833,X
0003000834,0000500834,X
0003000835,0000500835,X
0003000836,0000500836,X
0003000837,0000500837,X
0003000838,0000500838,X
0003000839,0000500839,X
0003000840,0000500840,X
0003000841,0000500841,X
0003000842,0000500842,X
0003000843,0000500843,X
0003000844,0000500844,X
0003000845,0000500845,X
0003000846,0000500846,X
0003000847,0000500847,X
0003000848,0000500848,X
0003000849,0000500849,X
0003000850,0000500850,X
0003000851,0000500851,X
0003000852,0000500852,X
0003000853,0000500853,X
0003000854,0000500854,X
0003000855,0000500855,X
0003000856,0000500856,X
0003000857,0000500857,X
0003000858,0000500858,X
0003000859,0000500859,X
0003000860,0000500860,X
0003000861,0000500861,X
0003000862,0000500862,X
0003000863,0000500863,X
0003000864,0000500864,X
0003000865,0000500865,X
0003000866,0000500866,X
0003000867,0000500867,X
0003000868,0000500868,X
0003000869,0000500869,X
0003000870,0000500870,X
0003000871,0000500871,X
0003000872,0000500872,X
0003000873,0000500873,X
0003000874,0000500874,X
0003000875,0000500875,X
0003000876,0000500876,X
0003000877,0000500877,X
0003000878,0000500878,X
0003000879,0000500879,X
0003000880,0000500880,X
0003000881,0000500881,X
0003000882,0000500882,X
0003000883,0000500883,X
0003000884,0000500884,X
0003000885,0000500885,X
0003000886,0000500886,X
0003000887,0000500887,X
0003000888,0000500888,X
0003000889,0000500889,X
0003000890,0000500890,X
0003000891,0000500891,X
0003000892,0000500892,X
0003000893,0000500893,X
0003000894,0000500894,X
0003000895,0000500895,X
0003000896,0000500896,X
0003000897,0000500897,X
0003000898,0000500898,X
0003000899,0000500899,X
0003000900,0000500900,X
0003000901,0000500901,X
0003000902,0000500902,X
0003000903,0000500903,X
0003000904,0000500904,X
0003000905,0000500905,X
0003000906,0000500906,X
0003000907,0000500907,X
0003000908,0000500908,X
0003000909,0000500909,X
0003000910,0000500910,X
0003000911,0000500911,X
0003000912,0000500912,X
0003000913,0000500913,X
0003000914,0000500914,X
0003000915,0000500915,X
0003000916,0000500916,X
0003000917,0000500917,X
0003000918,0000500918,X
0003000919,0000500919,X
0003000920,0000500920,X
0003000921,0000500921,X
0003000922,0000500922,X
0003000923,0000500923,X
0003000924,0000500924,X
0003000925,0000500925,X
0003000926,0000500926,X
0003000927,0000500927,X
0003000928,0000500928,X
0003000929,0000500929,X
0003000930,0000500930,X
0003000931,0000500931,X
0003000932,0000500932,X
0003000933,0000500933,X
0003000934,0000500934,X
0003000935,0000500935,X
0003000936,0000500936,X
0003000937,0000500937,X
0003000938,0000500938,X
0003000939,0000500939,X
0003000940,0000500940,X
0003000941,0000500941,X
0003000942,0000500942,X
0003000943,0000500943,X
0003000944,0000500944,X
0003000945,0000500945,X
0003000946,0000500946,X
0003000947,0000500947,X
0003000948,0000500948,X
0003000949,0000500949,X
0003000950,0000500950,X
0003000951,0000500951,X
0003000952,0000500952,X
0003000953,0000500953,X
0003000954,0000500954,X
0003000955,0000500955,X
0003000956,0000500956,X
0003000957,0000500957,X
0003000958,0000500958,X
0003000959,0000500959,X
0003000960,0000500960,X
0003000961,0000500961,X
0003000962,0000500962,X
0003000963,0000500963,X
0003000964,0000500964,X
0003000965,0000500965,X
0003000966,0000500966,X
0003000967,0000500967,X
0003000968,0000500968,X
0003000969,0000500969,X
0003000970,0000500970,X
0003000971,0000500971,X
0003000972,0000500972,X
0003000973,0000500973,X
0003000974,0000500974,X
0003000975,0000500975,X
0003000976,0000500976,X
0003000977,0000500977,X
0003000978,0000500978,X
0003000979,0000500979,X
0003000980,0000500980,X
0003000981,0000500981,X
0003000982,0000500982,X
0003000983,0000500983,X
0003000984,0000500984,X
0003000985,0000500985,X
0003000986,0000500986,X
0003000987,0000500987,X
0003000988,0000500988,X
0003000989,0000500989,X
0003000990,0000500990,X
0003000991,0000500991,X
0003000992,0000500992,X
0003000993,0000500993,X
0003000994,0000500994,X
0003000995,0000500995,X
0003000996,0000500996,X
0003000997,0000500997,X
0003000998,0000500998,X
0003000999,0000500999,X
0003001000,0000501000,X
0003001001,0000501001,X
0003001002,0000501002,X
0003001003,0000501003,X
0003001004,0000501004,X
0003001005,0000501005,X
0003001006,0000501006,X
0003001007,0000501007,X
0003001008,0000501008,X
0003001009,0000501009,X
0003001010,0000501010,X
0003001011,0000501011,X
0003001012,0000501012,X
0003001013,0000501013,X
0003001014,0000501014,X
0003001015,0000501015,X
0003001016,0000501016,X
0003001017,0000501017,X
0003001018,0000501018,X
0003001019,0000501019,X
0003001020,0000501020,X
0003001021,0000501021,X
0003001022,0000501022,X
0003001023,0000501023,X
0003001024,0000501024,X
0003001025,0000501025,X
0003001026,0000501026,X
0003001027,0000501027,X
0003001028,0000501028,X
0003001029,0000501029,X
0003001030,0000501030,X
0003001031,0000501031,X
0003001032,0000501032,X
0003001033,0000501033,X
0003001034,0000501034,X
0003001035,0000501035,X
0003001036,0000501036,X
0003001037,0000501037,X
0003001038,0000501038,X
0003001039,0000501039,X
0003001040,0000501040,X
0003001041,0000501041,X
0003001042,0000501042,X
0003001043,0000501043,X
0003001044,0000501044,X
0003001045,0000501045,X
0003001046,0000501046,X
0003001047,0000501047,X
0003001048,0000501048,X
0003001049,0000501049,X
0003001050,0000501050,X
0003001051,0000501051,X
0003001052,0000501052,X
0003001053,0000501053,X
0003001054,0009999999,X
0003001055,0000501055,X
0003001056,0000501056,X
0003001057,0000501057,X
0003001058,0000501058,X
0003001059,0000501059,X
0003001060,0000501060,X
0003001061,0000501061,X
0003001062,0000501062,X
0003001063,0000501063,X
0003001064,0000501064,X
0003001065,0000501065,X
0003001066,0000501066,X
0003001067,0000501067,X
0003001068,0000501068,X
0003001069,0000501069,X
0003001070,0000501070,X
0003001071,0000501071,X
0003001072,0000501072,X
0003001073,0000501073,X
0003001074,0000501074,X
0003001075,0000501075,X
0003001076,0000501076,X
0003001077,0000501077,X
0003001078,0000501078,X
0003001079,0000501079,X
0003001080,0000501080,X
0003001081,0000501081,X
0003001082,0000501082,X
0003001083,0000501083,X
0003001084,0000501084,X
0003001085,0000501085,X
0003001086,0000501086,X
0003001087,0000501087,X
0003001088,0000501088,X
0003001089,0000501089,X
0003001090,0000501090,X
0003001091,0000501091,X
0003001092,0000501092,X
0003001093,0000501093,X
0003001094,0000501094,X
0003001095,0000501095,X
0003001096,0000501096,X
0003001097,0000501097,X
0003001098,0000501098,X
0003001099,0000501099,X
0003001100,0000501100,X
0003001101,0000501101,X
0003001102,0000501102,X
0003001103,0000501103,X
0003001104,0000501104,X
0003001105,0000501105,X
0003001106,0000501106,X
0003001107,0000501107,X
0003001108,0000501108,X
0003001109,0000501109,X
0003001110,0000501110,X
0003001111,0000501111,X
0003001112,0000501112,X
0003001113,0000501113,X
0003001114,0000501114,X
0003001115,0000501115,X
0003001116,0000501116,X
0003001117,0000501117,X
0003001118,0000501118,X
0003001119,0000501119,X
0003001120,0000501120,X
0003001121,0000501121,X
0003001122,0000501122,X
0003001123,0000501123,X
0003001124,0000501124,X
0003001125,0000501125,X
0003001126,0000501126,X
0003001127,0000501127,X
0003001128,0000501128,X
0003001129,0000501129,X
0003001130,0000501130,X
0003001131,0000501131,X
0003001132,0000501132,X
0003001133,0000501133,X
0003001134,0000501134,X
0003001135,0000501135,X
0003001136,0000501136,X
0003001137,0000501137,X
0003001138,0000501138,X
0003001139,0000501139,X
0003001140,0000501140,X
0003001141,0000501141,X
0003001142,0000501142,X
0003001143,0000501143,X
0003001144,0000501144,X
0003001145,0000501145,X
0003001146,0000501146,X
0003001147,0000501147,X
0003001148,0000501148,X
0003001149,0000501149,X
0003001150,0000501150,X
0003001151,0000501151,X
0003001152,0000501152,X
0003001153,0000501153,X
0003001154,0000501154,X
0003001155,0000501155,X
0003001156,0000501156,X
0003001157,0000501157,X
0003001158,0000501158,X
0003001159,0000501159,X
0003001160,0000501160,X
0003001161,0000501161,X
0003001162,0000501162,X
0003001163,0000501163,X
0003001164,0000501164,X
0003001165,0000501165,X
0003001166,0000501166,X
0003001167,0000501167,X
0003001168,0000501168,X
0003001169,0000501169,X
0003001170,0000501170,X
