PARTNER,LIFNR
0003000181,0000078304
0003000182,0000078326
0003000183,0000078342
0003000184,0000078358
0003000185,0000078359
0003000186,0000078435
0003000187,0000078440
0003000188,0000078489
0003000189,0000078491
0003000190,0000078492
0003000191,0000078548
0003000192,0000078603
0003000193,0000078630
0003000195,0000078715
0003000196,0000078946
0003000197,0000078947
0003000198,0000079064
0003000199,0000079095
0003000200,0000079101
0003000201,0000079115
0003000202,0000079185
0003000203,0000079293
0003000204,0000079303
0003000205,0000079432
0003000206,0000079449
0003000207,0000079496
0003000208,0000079556
0003000209,0000079583
0003000210,0000079620
0003000211,0000079680
0003000212,0000079760
0003000214,0000079807
0003000215,0000079823
0003000216,0000079850
0003000217,0000079946
0003000218,0000079959
0003000219,0000079971
0003000220,0000100048
0003000221,0000100393
0003000222,0000100620
0003000223,0000101189
0003000224,0000101255
0003000225,0000101940
0003000226,0000101991
0003000227,0000102437
0003000228,0000102802
0003000229,0000103092
0003000230,0000103650
0003000231,0000104548
0003000232,0000104818
0003000233,0000104905
0003000234,0000105912
0003000235,0000106098
0003000236,0000106702
0003000237,0000106952
0003000238,0000107166
0003000239,0000108175
0003000240,0000108413
0003000241,0000108472
0003000242,0000108478
0003000243,0000108929
0003000244,0000108979
0003000245,0000109102
0003000246,0000109104
0003000247,0000110131
0003000249,0000110935
0003000250,0000111712
0003000251,0000111814
0003000252,0000112384
0003000253,0000112484
0003000254,0000112486
0003000255,0000112659
0003000256,0000113244
0003000257,0000113345
0003000258,0000113879
0003000259,0000114189
0003000260,0000114533
0003000261,0000114869
0003000262,0000114915
0003000263,0000115037
0003000264,0000115468
0003000265,0000116314
0003000267,0000116442
0003000268,0000117001
0003000269,0000117332
0003000270,0000117929
0003000271,0000118097
0003000272,0000119537
0003000273,0000119901
0003000274,0000120337
0003000275,0000120342
0003000276,0000121534
0003000277,0000121666
0003000278,0000121728
0003000279,0000122291
0003000280,0000123112
0003000281,0000123207
0003000282,0000123378
0003000283,0000123969
0003000284,0000124059
0003000285,0000124651
0003000286,0000125166
0003000287,0000125445
0003000288,0000125905
0003000289,0000125965
0003000290,0000126439
0003000291,0000126652
0003000292,0000127822
0003000293,0000129113
0003000294,0000129531
0003000295,0000130731
0003000296,0000130885
0003000297,0000131830
0003000298,0000131962
0003000299,0000132829
0003000300,0000133574
0003000301,0000133892
0003000302,0000134291
0003000303,0000134389
0003000304,0000134952
0003000305,0000135767
0003000306,0000135895
0003000307,0000136046
0003000308,0000136420
0003000309,0000136948
0003000310,0000136982
0003000311,0000137019
0003000312,0000137190
0003000313,0000137278
0003000314,0000137528
0003000315,0000138396
0003000316,0000139322
0003000317,0000140144
0003000318,0000140289
0003000319,0000140376
0003000320,0000140416
0003000321,0000140419
0003000322,0000140469
0003000323,0000140736
0003000324,0000140751
0003000325,0000141156
0003000326,0000141682
0003000327,0000141748
0003000328,0000141824
0003000330,0000142990
0003000331,0000143565
0003000332,0000144719
0003000333,0000145724
0003000334,0000146450
0003000335,0000146536
0003000336,0000147105
0003000337,0000147937
0003000338,0000148498
0003000339,0000149193
0003000340,0000149321
0003000341,0000149782
0003000342,0000150188
0003000343,0000150302
0003000344,0000150315
0003000345,0000150336
0003000346,0000150389
0003000347,0000150392
0003000348,0000150906
0003000349,0000151150
0003000350,0000151944
0003000351,0000152519
0003000352,0000153383
0003000353,0000153630
0003000354,0000153881
0003000355,0000153885
0003000356,0000154065
0003000357,0000154106
0003000358,0000154240
0003000359,0000154300
0003000360,0000154309
0003000361,0000154454
0003000362,0000154689
0003000363,0000154806
0003000364,0000155023
0003000365,0000155705
0003000366,0000155724
0003000367,0000156174
0003000368,0000157414
0003000369,0000157898
0003000370,0000159437
0003000371,0000159510
0003000372,0000160363
0003000373,0000160771
0003000374,0000160908
0003000375,0000161147
0003000376,0000161166
0003000377,0000162002
0003000378,0000162196
0003000379,0000162598
0003000380,0000162850
0003000381,0000162989
0003000382,0000163210
0003000383,0000163550
0003000384,0000164710
0003000385,0000164720
0003000386,0000165281
0003000387,0000165395
0003000388,0000165805
0003000389,0000165845
0003000390,0000166556
0003000391,0000166707
0003000392,0000166833
0003000393,0000166960
0003000394,0000167193
0003000395,0000167400
0003000396,0000168468
0003000397,0000169124
0003000398,0000169791
0003000399,0000170022
0003000400,0000170074
0003000401,0000170391
0003000402,0000171273
0003000403,0000171900
0003000404,0000172293
0003000405,0000172457
0003000406,0000172558
0003000407,0000173007
0003000408,0000174718
0003000409,0000174818
0003000410,0000174958
0003000411,0000175142
0003000412,0000175496
0003000413,0000175856
0003000414,0000176054
0003000415,0000176116
0003000416,0000176173
0003000417,0000176456
0003000418,0000176893
0003000419,0000177701
0003000420,0000177840
0003000421,0000178709
0003000423,0000179271
0003000424,0000179412
0003000425,0000180534
0003000426,0000181015
0003000427,0000181648
0003000428,0000181941
0003000429,0000182246
0003000430,0000182359
0003000431,0000182388
0003000432,0000182899
0003000434,0000184109
0003000435,0000184566
0003000436,0000184827
0003000437,0000185533
0003000438,0000185610
0003000439,0000185748
0003000440,0000186226
0003000441,0000186445
0003000442,0000186703
0003000443,0000186977
0003000444,0000187193
0003000445,0000187309
0003000446,0000187325
0003000447,0000187397
0003000448,0000187409
0003000449,0000187742
0003000450,0000188985
0003000451,0000189112
0003000453,0000189994
0003000454,0000189998
0003000455,0000190065
0003000456,0000190196
0003000457,0000190225
0003000458,0000190342
0003000459,0000190575
0003000460,0000190793
0003000461,0000190958
0003000462,0000191267
0003000463,0000191583
0003000465,0000192076
0003000466,0000193863
0003000467,0000193956
0003000468,0000194056
0003000469,0000195052
0003000470,0000195744
0003000471,0000195923
0003000472,0000195932
0003000473,0000196266
0003000474,0000197011
0003000475,0000197052
0003000476,0000197292
0003000477,0000198161
0003000478,0000198792
0003000479,0000199132
0003000480,0000199225
0003000481,0000199654
0003000482,0000199933
0003000483,0000200250
0003000484,0000200343
0003000485,0000200645
0003000486,0000200703
0003000487,0000201010
0003000488,0000201263
0003000489,0000201690
0003000490,0000202614
0003000491,0000202980
0003000492,0000203025
0003000493,0000203118
0003000494,0000203204
0003000495,0000203210
0003000496,0000203433
0003000497,0000203705
0003000498,0000203911
0003000499,0000204377
0003000500,0000204602
0003000501,0000204695
0003000503,0000205005
0003000504,0000205092
0003000505,0000205662
0003000506,0000206174
0003000507,0000206309
0003000508,0000206994
0003000509,0000207111
0003000510,0000207276
0003000511,0000207300
0003000512,0000207494
0003000513,0000207542
0003000514,0000207760
0003000515,0000207895
0003000516,0000208247
0003000517,0000208377
0003000518,0000208870
0003000520,0000209051
0003000521,0000209079
0003000522,0000209250
0003000523,0000209285
0003000524,0000209873
0003000525,0000209925
0003000526,0000210057
0003000527,0000210392
0003000528,0000210599
0003000529,0000210785
0003000530,0000210838
0003000531,0000211711
0003000532,0000211804
0003000533,0000212141
0003000534,0000212379
0003000535,0000212559
0003000536,0000212694
0003000537,0000212867
0003000538,0000213003
0003000539,0000213378
0003000540,0000213813
0003000541,0000214448
0003000542,0000214460
0003000543,0000214664
0003000544,0000214983
0003000545,0000215464
0003000546,0000215512
0003000547,0000215852
0003000548,0000215966
0003000550,0000216270
0003000551,0000216338
0003000552,0000216350
0003000553,0000216718
0003000554,0000216779
0003000555,0000217506
0003000556,0000218324
0003000557,0000218896
0003000558,0000219149
0003000559,0000219729
0003000560,0000219784
0003000561,0000220008
0003000562,0000220328
0003000563,0000220525
0003000564,0000221966
0003000565,0000222229
0003000566,0000222920
0003000567,0000223023
0003000568,0000223207
0003000569,0000223300
0003000570,0000223421
0003000571,0000224038
0003000572,0000224090
0003000573,0000224133
0003000574,0000224394
0003000575,0000224528
0003000576,0000224968
0003000577,0000225196
0003000579,0000226432
0003000580,0000227634
0003000581,0000227762
0003000582,0000227787
0003000583,0000228009
0003000584,0000228314
0003000585,0000228803
0003000586,0000229007
0003000587,0000229182
0003000588,0000229343
0003000589,0000229467
0003000590,0000229583
0003000591,0000229834
0003000592,0000229911
0003000593,0000230241
0003000594,0000230468
0003000595,0000230581
0003000596,0000231531
0003000597,0000231568
0003000598,0000232058
0003000599,0000232543
0003000600,0000233213
0003000601,0000234235
0003000602,0000234284
0003000603,0000234312
0003000604,0000234390
0003000605,0000234500
0003000606,0000234586
0003000607,0000234761
0003000608,0000235883
0003000609,0000236282
0003000610,0000236344
0003000611,0000236606
0003000612,0000236639
0003000613,0000237029
0003000614,0000237201
0003000615,0000237514
0003000616,0000237780
0003000617,0000237952
0003000618,0000238779
0003000619,0000238910
0003000620,0000239239
0003000621,0000239582
0003000622,0000240253
0003000623,0000240344
0003000624,0000240781
0003000625,0000241151
0003000626,0000241202
0003000627,0000241460
0003000628,0000241688
0003000629,0000241740
0003000630,0000241769
0003000631,0000241789
0003000632,0000242100
0003000633,0000242409
0003000634,0000242869
0003000635,0000243658
0003000636,0000243925
0003000637,0000244033
0003000638,0000244115
0003000639,0000244269
0003000640,0000244289
0003000641,0000244853
0003000642,0000244963
0003000643,0000245159
0003000644,0000245238
0003000645,0000245733
0003000646,0000245773
0003000647,0000245962
0003000648,0000246009
0003000649,0000246244
0003000650,0000246410
0003000651,0000246416
0003000652,0000247015
0003000653,0000247133
0003000654,0000247193
0003000655,0000247209
0003000656,0000247369
0003000657,0000247380
0003000659,0000248032
0003000660,0000248105
0003000661,0000248228
0003000662,0000248756
0003000663,0000248823
0003000664,0000248827
0003000665,0000249250
0003000666,0000249419
0003000667,0000249479
0003000668,0000249515
0003000669,0000250411
0003000670,0000250791
0003000671,0000250798
0003000672,0000250866
0003000673,0000250934
0003000674,0000251045
0003000675,0000251067
0003000676,0000251392
0003000677,0000251407
0003000678,0000253152
0003000679,0000253383
0003000680,0000253613
0003000681,0000253840
0003000682,0000254278
0003000683,0000254754
0003000684,0000254779
0003000685,0000255112
0003000686,0000255451
0003000687,0000255909
0003000688,0000255975
0003000689,0000256045
0003000690,0000256228
0003000691,0000256657
0003000692,0000256666
0003000693,0000257325
0003000694,0000257605
0003000695,0000258848
0003000696,0000259205
0003000697,0000259262
0003000698,0000259440
0003000699,0000259683
0003000700,0000260151
0003000701,0000260254
0003000702,0000260808
0003000703,0000261094
0003000704,0000261213
0003000705,0000261463
0003000706,0000261465
0003000707,0000261596
0003000708,0000261917
0003000709,0000263124
0003000710,0000263263
0003000711,0000263591
0003000712,0000263638
0003000713,0000263700
0003000714,0000263753
0003000715,0000263779
0003000716,0000263883
0003000717,0000263993
0003000718,0000264268
0003000719,0000264328
0003000720,0000264847
0003000721,0000265023
0003000722,0000265577
0003000723,0000266236
0003000724,0000266286
0003000725,0000266322
0003000726,0000266360
0003000727,0000267038
0003000728,0000267106
0003000729,0000267311
0003000730,0000267362
0003000731,0000267749
0003000732,0000268122
0003000733,0000268415
0003000734,0000268649
0003000735,0000269713
0003000736,0000269825
0003000737,0000270068
0003000738,0000270415
0003000739,0000270571
0003000740,0000270808
0003000741,0000270845
0003000743,0000271455
0003000744,0000271647
0003000745,0000272092
0003000746,0000272094
0003000747,0000272185
0003000748,0000272448
0003000749,0000272594
0003000750,0000273639
0003000751,0000273886
0003000752,0000274023
0003000753,0000274299
0003000754,0000274425
0003000755,0000274462
0003000756,0000274633
0003000757,0000274732
0003000758,0000274741
0003000759,0000274908
0003000760,0000275177
0003000761,0000275710
0003000762,0000275754
0003000763,0000275792
0003000764,0000275796
0003000765,0000275883
0003000766,0000276032
0003000767,0000276084
0003000768,0000276390
0003000769,0000276475
0003000770,0000276809
0003000771,0000276999
0003000772,0000277184
0003000773,0000277333
0003000774,0000278850
0003000775,0000279047
0003000776,0000279615
0003000777,0000279660
0003000778,0000279871
0003000779,0000280245
0003000780,0000280334
0003000781,0000281437
0003000782,0000281975
0003000783,0000282616
0003000784,0000282904
0003000785,0000283819
0003000786,0000283822
0003000787,0000283875
0003000788,0000283978
0003000789,0000284007
0003000790,0000284018
0003000791,0000284210
0003000792,0000285117
0003000793,0000285160
0003000794,0000285802
0003000795,0000286207
0003000796,0000286270
0003000797,0000286800
0003000798,0000286859
0003000799,0000287241
0003000800,0000287418
0003000801,0000287615
0003000802,0000288410
0003000803,0000288468
0003000804,0000289080
0003000805,0000289201
0003000806,0000289680
0003000807,0000289730
0003000808,0000289872
0003000809,0000290464
0003000810,0000290765
0003000811,0000290797
0003000812,0000290881
0003000813,0000291002
0003000814,0000291793
0003000815,0000292269
0003000816,0000292520
0003000817,0000292567
0003000818,0000292588
0003000819,0000293051
0003000820,0000293323
0003000821,0000293446
0003000822,0000293539
0003000823,0000293551
0003000824,0000293626
0003000825,0000294031
0003000826,0000294571
0003000827,0000294612
0003000828,0000294667
0003000829,0000295158
0003000830,0000295710
0003000831,0000296136
0003000832,0000296714
0003000833,0000296772
0003000834,0000297299
0003000835,0000297314
0003000836,0000297367
0003000837,0000297611
0003000838,0000297779
0003000839,0000298224
0003000841,0000298679
0003000842,0000298809
0003000843,0000299428
0003000844,0000299765
0003000845,0000299877
0003000846,0000299996
0003000847,0000337019
0003000848,0000354676
0003000849,0000370227
0003000850,0000374725
0003000851,0000377318
0003000852,0000398574
0003000853,0000402712
0003000854,0000403760
0003000855,0000403982
0003000856,0000404393
0003000857,0000405048
0003000858,0000406870
0003000859,0000407526
0003000860,0000407527
0003000861,0000408596
0003000862,0000409000
0003000863,0000409196
0003000864,0000410029
0003000865,0000410205
0003000866,0000411522
0003000867,0000412888
0003000868,0000413392
0003000869,0000415321
0003000871,0000415640
0003000872,0000416436
0003000873,0000416682
0003000874,0000416996
0003000875,0000417281
0003000876,0000418180
0003000877,0000418895
0003000878,0000419681
0003000879,0000419816
0003000880,0000420802
0003000881,0000421202
0003000882,0000421249
0003000883,0000423460
0003000884,0000425220
0003000885,0000425561
0003000886,0000427738
0003000887,0000428350
0003000888,0000430201
0003000889,0000431198
0003000890,0000431709
0003000891,0000433561
0003000892,0000434074
0003000893,0000436048
0003000894,0000437574
0003000895,0000438431
0003000896,0000438811
0003000897,0000439604
0003000898,0000439976
0003000899,0000440584
0003000900,0000441382
0003000901,0000441866
0003000902,0000442461
0003000903,0000442683
0003000904,0000443700
0003000905,0000443782
0003000906,0000447462
0003000907,0000449266
0003000908,0000449575
0003000909,0000449923
0003000910,0000450030
0003000911,0000450095
0003000912,0000450160
0003000913,0000450928
0003000914,0000453034
0003000915,0000453392
0003000916,0000453745
0003000917,0000453981
0003000918,0000454342
0003000919,0000455023
0003000920,0000459238
0003000921,0000459339
0003000922,0000461990
0003000923,0000462137
0003000924,0000462277
0003000925,0000462679
0003000926,0000463168
0003000927,0000464404
0003000928,0000464800
0003000929,0000465117
0003000930,0000465202
0003000931,0000465673
0003000932,0000466855
0003000933,0000467256
0003000934,0000467707
0003000935,0000468300
0003000936,0000468978
0003000937,0000469038
0003000938,0000469457
0003000939,0000473182
0003000940,0000473592
0003000941,0000473762
0003000942,0000474265
0003000943,0000475210
0003000944,0000476019
0003000945,0000477928
0003000946,0000478044
0003000947,0000478592
0003000948,0000479499
0003000949,0000479610
0003000950,0000480953
0003000951,0000481449
0003000952,0000482314
0003000953,0000482335
0003000954,0000482489
0003000955,0000483532
0003000956,0000483860
0003000957,0000484170
0003000958,0000484180
0003000959,0000485382
0003000960,0000485843
0003000961,0000486101
0003000962,0000486113
0003000963,0000486312
0003000964,0000488151
0003000965,0000489654
0003000966,0000492087
0003000967,0000494008
0003000969,0000494473
0003000970,0000495221
0003000971,0000495244
0003000972,0000495926
0003000973,0000497608
0003000974,0000497716
0003000975,0000498972
0003000976,0000500258
0003000977,0000504244
0003000978,0000511454
0003000979,0000513350
0003000980,0000516107
0003000981,0000521680
0003000982,0000523241
0003000983,0000530080
0003000984,0000530883
0003000985,0000536025
0003000986,0000536137
0003000987,0000543213
0003000988,0000544807
0003000989,0000551044
0003000990,0000553328
0003000991,0000558000
0003000992,0000572903
0003000993,0000574949
0003000994,0000578970
0003000995,0000579987
0003000996,0000586304
0003000997,0000589666
0003000998,0000590938
0003000999,0000595491
0003001000,0000597947
0009900000,0000070000
0009900001,0000070001
0009900002,0000070002
0009900003,0000070003
0009900004,0000070004
0009900005,0000070005
