PARTNER,RLTYP,VALID_FROM,VALID_TO
0003000024,FLCU01,2016-08-07,9999-12-31
0003000024,FLVN00,2010-01-25,9999-12-31
0003000024,FLVN01,2010-01-25,9999-12-31
0003000025,FLVN00,2010-02-03,9999-12-31
0003000025,FLVN01,2010-02-03,9999-12-31
0003000026,FLVN00,2013-03-18,9999-12-31
0003000026,FLVN01,2013-03-18,9999-12-31
0003000027,FLVN00,2012-10-22,9999-12-31
0003000027,FLVN01,2012-10-22,9999-12-31
0003000028,FLVN00,2013-09-23,9999-12-31
0003000028,FLVN01,2013-09-23,9999-12-31
0003000029,FLVN00,2015-11-06,9999-12-31
0003000029,FLVN01,2015-11-06,9999-12-31
0003000030,FLVN00,2015-08-11,9999-12-31
0003000030,FLVN01,2015-08-11,9999-12-31
0003000031,FLVN00,2016-04-01,9999-12-31
0003000031,FLVN01,2016-04-01,9999-12-31
0003000032,FLVN00,2010-02-14,9999-12-31
0003000032,FLVN01,2010-02-14,9999-12-31
0003000033,FLVN00,2011-06-28,9999-12-31
0003000033,FLVN01,2011-06-28,9999-12-31
0003000034,FLVN00,2012-10-20,9999-12-31
0003000034,FLVN01,2012-10-20,9999-12-31
0003000035,FLVN00,2016-04-01,9999-12-31
0003000035,FLVN01,2016-04-01,9999-12-31
0003000036,FLVN00,2015-08-16,9999-12-31
0003000036,FLVN01,2015-08-16,9999-12-31
0003000037,FLVN00,2014-03-18,9999-12-31
0003000037,FLVN01,2014-03-18,9999-12-31
0003000038,FLVN00,2014-01-10,9999-12-31
0003000038,FLVN01,2014-01-10,9999-12-31
0003000039,FLVN00,2016-04-01,9999-12-31
0003000039,FLVN01,2016-04-01,9999-12-31
0003000040,FLCU00,2021-12-02,9999-12-31
0003000040,FLCU01,2021-12-02,9999-12-31
0003000040,FLVN00,2016-04-01,9999-12-31
0003000040,FLVN01,2016-04-01,9999-12-31
0003000041,FLVN00,2014-12-30,9999-12-31
0003000041,FLVN01,2014-12-30,9999-12-31
0003000042,FLVN00,2010-07-13,9999-12-31
0003000042,FLVN01,2010-07-13,9999-12-31
0003000043,FLVN00,2011-12-11,9999-12-31
0003000043,FLVN01,2011-12-11,9999-12-31
0003000044,FLVN00,2011-07-02,9999-12-31
0003000044,FLVN01,2011-07-02,9999-12-31
0003000045,FLVN00,2010-09-21,9999-12-31
0003000045,FLVN01,2010-09-21,9999-12-31
0003000046,FLVN00,2016-04-01,9999-12-31
0003000046,FLVN01,2016-04-01,9999-12-31
0003000047,FLVN00,2016-04-01,9999-12-31
0003000047,FLVN01,2016-04-01,9999-12-31
0003000048,FLVN00,2016-04-01,9999-12-31
0003000048,FLVN01,2016-04-01,9999-12-31
0003000049,FLVN00,2010-09-03,9999-12-31
0003000049,FLVN01,2010-09-03,9999-12-31
0003000050,FLVN00,2016-04-01,9999-12-31
0003000050,FLVN01,2016-04-01,9999-12-31
0003000051,FLVN00,2012-01-10,9999-12-31
0003000051,FLVN01,2012-01-10,9999-12-31
0003000052,FLVN00,2014-06-19,9999-12-31
0003000052,FLVN01,2014-06-19,9999-12-31
0003000053,FLVN00,2015-08-04,9999-12-31
0003000053,FLVN01,2015-08-04,9999-12-31
0003000054,FLVN00,2011-07-03,9999-12-31
0003000054,FLVN01,2011-07-03,9999-12-31
0003000055,FLVN00,2016-02-08,9999-12-31
0003000055,FLVN01,2016-02-08,9999-12-31
0003000056,FLVN00,2016-04-01,9999-12-31
0003000056,FLVN01,2016-04-01,9999-12-31
0003000057,FLVN00,2016-04-01,9999-12-31
0003000057,FLVN01,2016-04-01,9999-12-31
0003000058,FLVN00,2011-06-01,9999-12-31
0003000058,FLVN01,2011-06-01,9999-12-31
0003000059,FLVN00,2016-04-01,9999-12-31
0003000059,FLVN01,2016-04-01,9999-12-31
0003000060,FLVN00,2016-04-01,9999-12-31
0003000060,FLVN01,2016-04-01,9999-12-31
0003000061,FLVN00,2016-04-01,9999-12-31
0003000061,FLVN01,2016-04-01,9999-12-31
0003000062,FLCU00,2019-11-15,9999-12-31
0003000062,FLCU01,2019-11-15,9999-12-31
0003000062,FLVN00,2016-04-01,9999-12-31
0003000062,FLVN01,2016-04-01,9999-12-31
0003000063,FLCU00,2017-06-08,9999-12-31
0003000063,FLCU01,2017-06-08,9999-12-31
0003000063,FLVN00,1900-01-01,9999-12-31
0003000063,FLVN01,1900-01-01,9999-12-31
0003000064,FLVN00,2016-04-01,9999-12-31
0003000064,FLVN01,2016-04-01,9999-12-31
0003000065,FLVN00,2008-03-07,9999-12-31
0003000065,FLVN01,2008-03-07,9999-12-31
0003000066,FLCU01,2020-12-17,9999-12-31
0003000066,FLVN00,2016-04-01,9999-12-31
0003000066,FLVN01,2016-04-01,9999-12-31
0003000067,FLVN00,2016-04-01,9999-12-31
0003000067,FLVN01,2016-04-01,9999-12-31
0003000068,FLVN00,2016-04-01,9999-12-31
0003000068,FLVN01,2016-04-01,9999-12-31
0003000069,FLVN00,2016-04-01,9999-12-31
0003000069,FLVN01,2016-04-01,9999-12-31
0003000070,FLVN00,2016-04-01,9999-12-31
0003000070,FLVN01,2016-04-01,9999-12-31
0003000072,FLVN00,2011-11-02,9999-12-31
0003000072,FLVN01,2011-11-02,9999-12-31
0003000073,FLVN00,2016-04-01,9999-12-31
0003000073,FLVN01,2016-04-01,9999-12-31
0003000074,FLVN00,2016-04-01,9999-12-31
0003000074,FLVN01,2016-04-01,9999-12-31
0003000075,FLVN00,2010-04-05,9999-12-31
0003000075,FLVN01,2010-04-05,9999-12-31
0003000076,FLVN00,2016-04-01,9999-12-31
0003000076,FLVN01,2016-04-01,9999-12-31
0003000077,FLVN00,2012-11-23,9999-12-31
0003000077,FLVN01,2012-11-23,9999-12-31
0003000078,FLVN00,2010-06-20,9999-12-31
0003000078,FLVN01,2010-06-20,9999-12-31
0003000079,FLVN00,2010-06-12,9999-12-31
0003000079,FLVN01,2010-06-12,9999-12-31
0003000080,FLVN00,2010-12-23,9999-12-31
0003000080,FLVN01,2010-12-23,9999-12-31
0003000081,FLVN00,2016-04-01,9999-12-31
0003000081,FLVN01,2016-04-01,9999-12-31
0003000082,FLVN00,2015-01-18,9999-12-31
0003000082,FLVN01,2015-01-18,9999-12-31
0003000083,FLVN00,2013-10-15,9999-12-31
0003000083,FLVN01,2013-10-15,9999-12-31
0003000084,FLVN00,2011-02-06,9999-12-31
0003000084,FLVN01,2011-02-06,9999-12-31
0003000085,FLVN00,2010-08-12,9999-12-31
0003000085,FLVN01,2010-08-12,9999-12-31
0003000086,FLVN00,2016-04-01,9999-12-31
0003000086,FLVN01,2016-04-01,9999-12-31
0003000087,FLVN00,2005-09-16,9999-12-31
0003000087,FLVN01,2005-09-16,9999-12-31
0003000088,FLVN00,2015-09-08,9999-12-31
0003000088,FLVN01,2015-09-08,9999-12-31
0003000089,FLVN00,2016-04-01,9999-12-31
0003000089,FLVN01,2016-04-01,9999-12-31
0003000090,FLVN00,2007-11-17,9999-12-31
0003000090,FLVN01,2007-11-17,9999-12-31
0003000091,FLVN00,2014-02-05,9999-12-31
0003000091,FLVN01,2014-02-05,9999-12-31
0003000092,FLVN00,2016-04-01,9999-12-31
0003000092,FLVN01,2016-04-01,9999-12-31
0003000093,FLVN00,2016-04-01,9999-12-31
0003000093,FLVN01,2016-04-01,9999-12-31
0003000094,FLVN01,2006-09-14,9999-12-31
0003000095,FLVN00,2016-04-01,9999-12-31
0003000095,FLVN01,2016-04-01,9999-12-31
0003000096,FLVN00,2016-04-01,9999-12-31
0003000096,FLVN01,2016-04-01,9999-12-31
0003000097,FLVN00,2016-04-01,9999-12-31
0003000097,FLVN01,2016-04-01,9999-12-31
0003000098,FLVN00,2016-04-01,9999-12-31
0003000098,FLVN01,2016-04-01,9999-12-31
0003000099,FLVN00,2007-03-25,9999-12-31
0003000099,FLVN01,2007-03-25,9999-12-31
0003000100,FLVN00,2014-03-10,9999-12-31
0003000100,FLVN01,2014-03-10,9999-12-31
0003000101,FLVN00,2016-04-01,9999-12-31
0003000101,FLVN01,2016-04-01,9999-12-31
0003000102,FLVN00,2009-11-25,9999-12-31
0003000102,FLVN01,2009-11-25,9999-12-31
0003000103,FLVN00,2009-03-09,9999-12-31
0003000103,FLVN01,2009-03-09,9999-12-31
0003000104,FLVN00,2016-04-01,9999-12-31
0003000104,FLVN01,2016-04-01,9999-12-31
0003000105,FLVN00,2006-07-21,9999-12-31
0003000105,FLVN01,2006-07-21,9999-12-31
0003000106,FLVN00,2027-02-06,9999-12-31
0003000106,FLVN01,2027-02-06,9999-12-31
0003000107,FLVN00,2016-04-01,9999-12-31
0003000107,FLVN01,2016-04-01,9999-12-31
0003000108,FLVN00,2016-04-01,9999-12-31
0003000108,FLVN01,2016-04-01,9999-12-31
0003000109,FLVN00,2013-06-07,9999-12-31
0003000109,FLVN01,2013-06-07,9999-12-31
0003000110,FLVN00,2010-01-07,9999-12-31
0003000110,FLVN01,2010-01-07,9999-12-31
0003000111,FLCU00,2013-06-15,9999-12-31
0003000111,FLCU01,2013-06-15,9999-12-31
0003000111,FLVN00,2014-03-06,9999-12-31
0003000111,FLVN01,2014-03-06,9999-12-31
0003000112,FLVN00,2016-04-01,9999-12-31
0003000112,FLVN01,2016-04-01,9999-12-31
0003000113,FLVN00,2016-04-01,9999-12-31
0003000113,FLVN01,2016-04-01,9999-12-31
0003000114,FLVN00,2005-12-27,9999-12-31
0003000114,FLVN01,2005-12-27,9999-12-31
0003000115,FLVN00,2011-03-15,9999-12-31
0003000115,FLVN01,2011-03-15,9999-12-31
0003000116,FLVN00,2016-04-01,9999-12-31
0003000116,FLVN01,2016-04-01,9999-12-31
0003000117,FLVN00,2007-07-05,9999-12-31
0003000117,FLVN01,2007-07-05,9999-12-31
0003000118,FLVN00,2016-04-01,9999-12-31
0003000118,FLVN01,2016-04-01,9999-12-31
0003000119,FLVN00,2016-04-01,9999-12-31
0003000119,FLVN01,2016-04-01,9999-12-31
0003000120,FLVN00,2012-06-06,9999-12-31
0003000120,FLVN01,2012-06-06,9999-12-31
0003000121,FLVN00,2016-04-01,9999-12-31
0003000121,FLVN01,2016-04-01,9999-12-31
0003000122,FLCU00,2015-09-15,9999-12-31
0003000122,FLCU01,2015-09-15,9999-12-31
0003000122,FLVN00,2013-11-03,9999-12-31
0003000122,FLVN01,2013-11-03,9999-12-31
0003000123,FLVN00,2012-01-10,9999-12-31
0003000123,FLVN01,2012-01-10,9999-12-31
0003000124,FLVN00,2014-02-25,9999-12-31
0003000124,FLVN01,2014-02-25,9999-12-31
0003000125,FLVN00,2016-04-01,9999-12-31
0003000125,FLVN01,2016-04-01,9999-12-31
0003000126,FLVN00,2015-09-23,9999-12-31
0003000126,FLVN01,2015-09-23,9999-12-31
0003000127,FLVN00,2010-10-13,9999-12-31
0003000127,FLVN01,2010-10-13,9999-12-31
0003000128,FLVN00,2013-11-23,9999-12-31
0003000128,FLVN01,2013-11-23,9999-12-31
0003000129,FLVN00,2016-04-01,9999-12-31
0003000129,FLVN01,2016-04-01,9999-12-31
0003000130,FLVN00,2013-12-08,9999-12-31
0003000130,FLVN01,2013-12-08,9999-12-31
0003000131,FLVN00,2011-11-27,9999-12-31
0003000131,FLVN01,2011-11-27,9999-12-31
0003000132,FLVN00,2009-05-30,9999-12-31
0003000132,FLVN01,2009-05-30,9999-12-31
0003000133,FLVN00,2016-04-01,9999-12-31
0003000133,FLVN01,2016-04-01,9999-12-31
0003000134,FLVN00,2014-06-12,9999-12-31
0003000134,FLVN01,2014-06-12,9999-12-31
0003000135,FLVN00,2014-02-23,9999-12-31
0003000135,FLVN01,2014-02-23,9999-12-31
0003000136,FLVN00,2016-04-01,9999-12-31
0003000136,FLVN01,2016-04-01,9999-12-31
0003000137,FLVN00,2011-01-08,9999-12-31
0003000137,FLVN01,2011-01-08,9999-12-31
0003000138,FLVN00,2016-04-01,9999-12-31
0003000138,FLVN01,2016-04-01,9999-12-31
0003000139,FLVN00,2016-04-01,9999-12-31
0003000139,FLVN01,2016-04-01,9999-12-31
0003000140,FLCU00,2026-04-10,9999-12-31
0003000140,FLCU01,2026-04-10,9999-12-31
0003000140,FLVN00,2016-04-01,9999-12-31
0003000140,FLVN01,2016-04-01,9999-12-31
0003000141,FLVN00,2012-03-24,9999-12-31
0003000141,FLVN01,2012-03-24,9999-12-31
0003000142,FLVN00,2010-09-05,9999-12-31
0003000142,FLVN01,2010-09-05,9999-12-31
0003000143,FLVN00,2016-04-01,9999-12-31
0003000143,FLVN01,2016-04-01,9999-12-31
0003000144,FLVN00,2016-04-01,9999-12-31
0003000144,FLVN01,2016-04-01,9999-12-31
0003000145,FLVN00,2011-10-17,9999-12-31
0003000145,FLVN01,2011-10-17,9999-12-31
0003000146,FLVN00,2016-04-01,9999-12-31
0003000146,FLVN01,2016-04-01,9999-12-31
0003000147,FLVN00,2009-05-24,9999-12-31
0003000147,FLVN01,2009-05-24,9999-12-31
0003000148,FLVN00,2016-04-01,9999-12-31
0003000148,FLVN01,2016-04-01,9999-12-31
0003000149,FLVN00,2012-06-16,9999-12-31
0003000149,FLVN01,2012-06-16,9999-12-31
0003000150,FLCU00,2025-04-06,9999-12-31
0003000150,FLCU01,2025-04-06,9999-12-31
0003000150,FLVN00,2016-04-01,9999-12-31
0003000150,FLVN01,2016-04-01,9999-12-31
0003000151,FLVN00,2016-04-01,9999-12-31
0003000151,FLVN01,2016-04-01,9999-12-31
0003000152,FLVN00,2010-02-25,9999-12-31
0003000152,FLVN01,2010-02-25,9999-12-31
0003000153,FLVN00,2016-04-01,9999-12-31
0003000153,FLVN01,2016-04-01,9999-12-31
0003000154,FLVN00,2014-01-09,9999-12-31
0003000154,FLVN01,2014-01-09,9999-12-31
0003000155,FLVN00,2012-01-19,9999-12-31
0003000155,FLVN01,2012-01-19,9999-12-31
0003000156,FLVN00,2010-11-22,9999-12-31
0003000156,FLVN01,2010-11-22,9999-12-31
0003000157,FLVN00,2014-12-08,9999-12-31
0003000157,FLVN01,2014-12-08,9999-12-31
0003000158,FLVN00,2011-04-17,9999-12-31
0003000158,FLVN01,2011-04-17,9999-12-31
0003000159,FLVN00,2016-04-01,9999-12-31
0003000159,FLVN01,2016-04-01,9999-12-31
0003000160,FLCU00,2014-08-12,9999-12-31
0003000160,FLCU01,2014-08-12,9999-12-31
0003000160,FLVN00,2016-04-01,9999-12-31
0003000160,FLVN01,2016-04-01,9999-12-31
0003000161,FLVN00,2016-04-01,9999-12-31
0003000161,FLVN01,2016-04-01,9999-12-31
0003000162,FLCU00,2021-09-06,9999-12-31
0003000162,FLCU01,2021-09-06,9999-12-31
0003000162,FLVN00,2012-08-31,9999-12-31
0003000162,FLVN01,2012-08-31,9999-12-31
0003000163,FLVN00,2016-04-01,9999-12-31
0003000163,FLVN01,2016-04-01,9999-12-31
0003000164,FLVN00,2016-04-01,9999-12-31
0003000164,FLVN01,2016-04-01,9999-12-31
0003000165,FLVN00,2016-04-01,9999-12-31
0003000165,FLVN01,2016-04-01,9999-12-31
0003000166,FLVN00,2016-04-01,9999-12-31
0003000166,FLVN01,2016-04-01,9999-12-31
0003000167,FLVN00,2013-06-25,9999-12-31
0003000167,FLVN01,2013-06-25,9999-12-31
0003000168,FLVN00,2012-10-26,9999-12-31
0003000168,FLVN01,2012-10-26,9999-12-31
0003000169,FLVN00,2016-04-01,9999-12-31
0003000169,FLVN01,2016-04-01,9999-12-31
0003000170,FLVN00,2007-10-18,9999-12-31
0003000170,FLVN01,2007-10-18,9999-12-31
0003000171,FLVN00,2016-04-01,9999-12-31
0003000171,FLVN01,2016-04-01,9999-12-31
0003000172,FLVN00,2016-04-01,9999-12-31
0003000172,FLVN01,2016-04-01,9999-12-31
0003000173,FLVN00,2016-04-01,9999-12-31
0003000173,FLVN01,2016-04-01,9999-12-31
0003000174,FLVN00,2013-07-30,9999-12-31
0003000174,FLVN01,2013-07-30,9999-12-31
0003000175,FLVN00,2009-10-07,9999-12-31
0003000175,FLVN01,2009-10-07,9999-12-31
0003000176,FLVN00,2016-04-01,9999-12-31
0003000176,FLVN01,2016-04-01,9999-12-31
0003000177,FLVN00,2015-02-11,9999-12-31
0003000177,FLVN01,2015-02-11,9999-12-31
0003000178,FLCU00,2016-10-17,9999-12-31
0003000178,FLCU01,2016-10-17,9999-12-31
0003000178,FLVN00,2016-04-01,9999-12-31
0003000178,FLVN01,2016-04-01,9999-12-31
0003000179,FLVN00,2016-04-01,9999-12-31
0003000179,FLVN01,2016-04-01,9999-12-31
0003000180,FLVN00,2005-08-06,9999-12-31
0003000180,FLVN01,2005-08-06,9999-12-31
0003000181,FLVN00,2015-08-06,9999-12-31
0003000181,FLVN01,2015-08-06,9999-12-31
0003000182,FLVN00,2008-10-26,9999-12-31
0003000182,FLVN01,2008-10-26,9999-12-31
0003000183,FLVN00,2016-04-01,9999-12-31
0003000183,FLVN01,2016-04-01,9999-12-31
0003000184,FLVN00,2011-05-19,9999-12-31
0003000184,FLVN01,2011-05-19,9999-12-31
0003000185,FLVN00,2016-04-01,9999-12-31
0003000185,FLVN01,2016-04-01,9999-12-31
0003000186,FLCU00,2017-08-04,9999-12-31
0003000186,FLCU01,2017-08-04,9999-12-31
0003000186,FLVN00,2012-11-07,9999-12-31
0003000186,FLVN01,2012-11-07,9999-12-31
0003000187,FLVN00,2016-04-01,9999-12-31
0003000187,FLVN01,2016-04-01,9999-12-31
0003000188,FLVN00,2008-03-17,9999-12-31
0003000188,FLVN01,2008-03-17,9999-12-31
0003000189,FLVN00,2016-01-19,9999-12-31
0003000189,FLVN01,2016-01-19,9999-12-31
0003000190,FLVN00,2011-08-27,9999-12-31
0003000190,FLVN01,2011-08-27,9999-12-31
0003000191,FLVN00,2014-11-14,9999-12-31
0003000191,FLVN01,2014-11-14,9999-12-31
0003000192,FLVN00,2016-04-01,9999-12-31
0003000192,FLVN01,2016-04-01,9999-12-31
0003000193,FLVN00,2009-11-01,9999-12-31
0003000193,FLVN01,2009-11-01,9999-12-31
0003000194,FLVN00,2016-04-01,9999-12-31
0003000194,FLVN01,2016-04-01,9999-12-31
0003000195,FLVN00,2014-05-21,9999-12-31
0003000195,FLVN01,2014-05-21,9999-12-31
0003000196,FLVN00,2014-06-02,9999-12-31
0003000196,FLVN01,2014-06-02,9999-12-31
0003000197,FLVN00,2008-12-08,9999-12-31
0003000197,FLVN01,2008-12-08,9999-12-31
0003000198,FLVN00,2016-04-01,9999-12-31
0003000198,FLVN01,2016-04-01,9999-12-31
0003000199,FLVN00,2009-02-05,9999-12-31
0003000199,FLVN01,2009-02-05,9999-12-31
0003000200,FLVN00,2016-04-01,9999-12-31
0003000200,FLVN01,2016-04-01,9999-12-31
0003000201,FLCU00,2013-09-06,9999-12-31
0003000201,FLCU01,2013-09-06,9999-12-31
0003000201,FLVN00,2014-06-18,9999-12-31
0003000201,FLVN01,2014-06-18,9999-12-31
0003000202,FLVN00,2012-06-12,9999-12-31
0003000202,FLVN01,2012-06-12,9999-12-31
0003000203,FLVN00,2012-06-08,9999-12-31
0003000203,FLVN01,2012-06-08,9999-12-31
0003000204,FLVN00,2006-06-02,9999-12-31
0003000204,FLVN01,2006-06-02,9999-12-31
0003000205,FLVN00,2016-04-01,9999-12-31
0003000205,FLVN01,2016-04-01,9999-12-31
0003000206,FLVN00,2016-04-01,9999-12-31
0003000206,FLVN01,2016-04-01,9999-12-31
0003000207,FLVN01,2015-04-25,9999-12-31
0003000208,FLVN00,2012-03-29,9999-12-31
0003000208,FLVN01,2012-03-29,9999-12-31
0003000209,FLVN00,2014-04-13,9999-12-31
0003000209,FLVN01,2014-04-13,9999-12-31
0003000210,FLVN00,2009-03-25,9999-12-31
0003000210,FLVN01,2009-03-25,9999-12-31
0003000211,FLVN00,2010-02-12,9999-12-31
0003000211,FLVN01,2010-02-12,9999-12-31
0003000212,FLCU00,2024-06-27,9999-12-31
0003000212,FLCU01,2024-06-27,9999-12-31
0003000212,FLVN00,2012-05-21,9999-12-31
0003000212,FLVN01,2012-05-21,9999-12-31
0003000213,FLCU00,2021-04-22,9999-12-31
0003000213,FLCU01,2021-04-22,9999-12-31
0003000213,FLVN00,2016-04-01,9999-12-31
0003000213,FLVN01,2016-04-01,9999-12-31
0003000214,FLVN00,2009-01-20,9999-12-31
0003000214,FLVN01,2009-01-20,9999-12-31
0003000215,FLVN00,2009-03-04,9999-12-31
0003000215,FLVN01,2009-03-04,9999-12-31
0003000216,FLVN00,2009-07-30,9999-12-31
0003000216,FLVN01,2009-07-30,9999-12-31
0003000217,FLVN00,2010-03-24,9999-12-31
0003000217,FLVN01,2010-03-24,9999-12-31
0003000218,FLVN00,2016-04-01,9999-12-31
0003000218,FLVN01,2016-04-01,9999-12-31
0003000219,FLVN00,2015-07-22,9999-12-31
0003000219,FLVN01,2015-07-22,9999-12-31
0003000220,FLVN00,2017-04-17,9999-12-31
0003000220,FLVN01,2017-04-17,9999-12-31
0003000221,FLVN00,2021-11-27,9999-12-31
0003000221,FLVN01,2021-11-27,9999-12-31
0003000222,FLVN00,2018-12-21,9999-12-31
0003000222,FLVN01,2018-12-21,9999-12-31
0003000223,FLVN00,2021-06-07,9999-12-31
0003000223,FLVN01,2021-06-07,9999-12-31
0003000224,FLCU00,2013-11-13,9999-12-31
0003000224,FLCU01,2013-11-13,9999-12-31
0003000224,FLVN00,2017-05-18,9999-12-31
0003000224,FLVN01,2017-05-18,9999-12-31
0003000225,FLVN00,2021-06-06,9999-12-31
0003000225,FLVN01,2021-06-06,9999-12-31
0003000226,FLVN00,2023-05-25,9999-12-31
0003000226,FLVN01,2023-05-25,9999-12-31
0003000227,FLVN00,2021-11-28,9999-12-31
0003000227,FLVN01,2021-11-28,9999-12-31
0003000228,FLVN00,2021-08-03,9999-12-31
0003000228,FLVN01,2021-08-03,9999-12-31
0003000229,FLVN00,2023-10-16,9999-12-31
0003000229,FLVN01,2023-10-16,9999-12-31
0003000230,FLVN00,2019-09-03,9999-12-31
0003000230,FLVN01,2019-09-03,9999-12-31
0003000231,FLVN00,2023-01-02,9999-12-31
0003000231,FLVN01,2023-01-02,9999-12-31
0003000232,FLVN00,2024-03-15,9999-12-31
0003000232,FLVN01,2024-03-15,9999-12-31
0003000233,FLVN00,2024-12-04,9999-12-31
0003000233,FLVN01,2024-12-04,9999-12-31
0003000234,FLVN00,2023-10-17,9999-12-31
0003000234,FLVN01,2023-10-17,9999-12-31
0003000235,FLVN00,2022-02-03,9999-12-31
0003000235,FLVN01,2022-02-03,9999-12-31
0003000236,FLVN00,2025-05-05,9999-12-31
0003000236,FLVN01,2025-05-05,9999-12-31
0003000237,FLVN00,2023-12-27,9999-12-31
0003000237,FLVN01,2023-12-27,9999-12-31
0003000238,FLVN00,2017-01-13,9999-12-31
0003000238,FLVN01,2017-01-13,9999-12-31
0003000239,FLVN00,2022-07-17,9999-12-31
0003000239,FLVN01,2022-07-17,9999-12-31
0003000240,FLVN00,2018-04-24,9999-12-31
0003000240,FLVN01,2018-04-24,9999-12-31
0003000241,FLVN00,2024-01-24,9999-12-31
0003000241,FLVN01,2024-01-24,9999-12-31
0003000242,FLVN00,2019-06-10,9999-12-31
0003000242,FLVN01,2019-06-10,9999-12-31
0003000243,FLVN00,2020-01-08,9999-12-31
0003000243,FLVN01,2020-01-08,9999-12-31
0003000244,FLVN00,2020-06-24,9999-12-31
0003000244,FLVN01,2020-06-24,9999-12-31
0003000245,FLVN00,2021-10-22,9999-12-31
0003000245,FLVN01,2021-10-22,9999-12-31
0003000246,FLVN00,2019-11-04,9999-12-31
0003000246,FLVN01,2019-11-04,9999-12-31
0003000247,FLVN00,2018-02-09,9999-12-31
0003000247,FLVN01,2018-02-09,9999-12-31
0003000248,FLVN00,2018-06-20,9999-12-31
0003000248,FLVN01,2018-06-20,9999-12-31
0003000249,FLVN00,2017-02-06,9999-12-31
0003000249,FLVN01,2017-02-06,9999-12-31
0003000250,FLVN00,2021-01-13,9999-12-31
0003000250,FLVN01,2021-01-13,9999-12-31
0003000251,FLVN00,2019-04-04,9999-12-31
0003000251,FLVN01,2019-04-04,9999-12-31
0003000252,FLVN00,2019-11-14,9999-12-31
0003000252,FLVN01,2019-11-14,9999-12-31
0003000253,FLVN00,2009-03-24,9999-12-31
0003000253,FLVN01,2009-03-24,9999-12-31
0003000254,FLVN00,2025-03-02,9999-12-31
0003000254,FLVN01,2025-03-02,9999-12-31
0003000255,FLVN00,2026-07-23,9999-12-31
0003000255,FLVN01,2026-07-23,9999-12-31
0003000256,FLVN00,2025-08-03,9999-12-31
0003000256,FLVN01,2025-08-03,9999-12-31
0003000257,FLVN00,2023-06-05,9999-12-31
0003000257,FLVN01,2023-06-05,9999-12-31
0003000258,FLVN00,2023-07-06,9999-12-31
0003000258,FLVN01,2023-07-06,9999-12-31
0003000259,FLVN00,2024-10-18,9999-12-31
0003000259,FLVN01,2024-10-18,9999-12-31
0003000260,FLVN00,2026-07-23,9999-12-31
0003000260,FLVN01,2026-07-23,9999-12-31
0003000261,FLVN00,2024-04-19,9999-12-31
0003000261,FLVN01,2024-04-19,9999-12-31
0003000262,FLVN00,2020-02-23,9999-12-31
0003000262,FLVN01,2020-02-23,9999-12-31
0003000263,FLVN00,2013-07-17,9999-12-31
0003000263,FLVN01,2013-07-17,9999-12-31
0003000264,FLVN00,2026-04-19,9999-12-31
