ADDRNUMBER,NAME1,STREET,HOUSE_NUM1,CITY1,POST_CODE1,COUNTRY,REGION,TEL_NUMBER,SMTP_ADDR
0000500053,Quarrymill Distribution & Partner Ltd,179 Station,Road,Nottingham,00000,GB,,+44 20 3538 0055,billing@quarrymill-distribution.co.uk
0000500054,Vermeer Techneik N.V.,Distributiestraat,71,Rotterdam,3058 GO,NL,,,sales@vermeer-techniek.nl
0000500055,Weissmann AG,Robert-Bosch-Straße,132,Bremen,28209,DE,,+49 341 678 1773,rechnung@weissmann.de
0000500056,Deverill Print Corp.,237 Industrial,Parkway,Chicago,60606,US,,+1 404 555 0416,
0000500057,Çukurova-Anadolu Halı Ltd. Şti.,"184. Sokak,",Merter,Bursa,16127,TR,,+90 224 973 3293,accounts@cukurova-anadolu.com.tr
0000500058,Bellevue-Hautefort Services S.A.,211 Rue du,Commerce,Paris,75006,FR,,+33 1 9981 8507,commercial@bellevue-hautefort.fr
0000500059,Yıldız Halı A.Ş.,Organize Sanayi Bölgesi 2.,Cadde,Denizli,20029,TR,,+90 312 767 1560,info@yıldız-halı.com.tr
0000500060,Donautal Textil GmbH,Industriestraße,132,Leipzig,04136,DE,,+49 211 675 5247,export@donautal-textil.de
0000500061,Schönfeld e.K.,Carl-Benz-Straße,9,Hannover,30212,DE,,N/A,buchhaltung@schonfeld-e.de
0000500062,Harlow Systems Ltd,173 Queens,Road,Nottingham,NG1 0PT,GB,,+44 115 684 0888,ap@harlow-systems.co.uk
0000500063,Ravenscroft Shopfitting Ltd,"Unit 138, Trafford",Park,Bristol,BS1 6ZF,GB,,+44 121 714 7375,admin@ravenscroft-shopfitting.co.uk
0000500064,Brenner Druck e.K.,Hafenstraße,9,Nürnberg,90423,DE,,+49 89 9661 0167,
0000500065,ELBTAL and VOGEL GMBH,HAFENSTRASSE,10,DUSSELDORF,40279,DE,,,export@elbtal-vogel.de
0000500066,Clifton-Brambleton Furniture Inc.,172 Airport,Road,Chicago,60649,US,,+1 973 555 3956,office@clifton-brambleton.com
0000500067,Clara Crestwood Ltd,169 Station,Road,Leeds,LS1 7JH,GB,,+44 115 535 8202,ap@clara-crestwood.co.uk
0000500068,Tannhof & Haustein GmbH,Lindenallee,191,München,803940,DE,,+49 89 8449 0258,vertrieb@tannhof-haustein.de
0000500069,Mühlbach e.K.,Fabrikweg,113,Hamburg,20151,DE,,+49 30 8030 1213,buchhaltung@muhlbach-e.de
0000500070,Thomas Sonnenfeld GmbH,Industriestraße,155,Berlin,10196,DE,,+49 69 8177 1065,rechnung@thomas-sonnenfeld.de
0000500071,Eichberg Verpackungen GmbH & Co. KG,Robert-Bosch-Straße,234,München,80371,DE,,+49 511 422 6101,
0000500072,Eichberg Systeme GmbH,Am Handelshof,146,Bremen,28234,DE,,+49 211 904 7821,vertrieb@eichberg-systeme.de
0000500073,Northgate Services PLC,"Unit 206, Kingsway Business",Park,Bristol,BS1 5EW,GB,,+44 141 504 9382,export@northgate-services.co.uk
0000500074,Greystone & Westbrook Ltd,"Unit 130, Trafford",Park,Birmingham,B1 3HQ,GB,,+44 115 510 8139,purchasing@greystone-westbrook.co.uk
0000500075,Kingsmere-Underhill Packaging Limited,"Unit 62, Trafford",Park,Nottingham,NG7 7GA,GB,,,billing@kingsmere-underhill.co.uk
0000500076,Zanetti-Ricciardi Servizi S.r.l.,Via Giuseppe Verdi,53,Torino,10136,IT,,+39 06 4009 66797,export@zanetti-ricciardi.it
0000500077,Hautefort Textiles SASU,"ZI Nord, Lot",102,Lille,59002,FR,,+33 5 5932 1204,contact@hautefort-textiles.fr
0000500078,HOLLINGWOOD-ASHFORD FACILITIES PLC,"UNIT 16, RIVERSIDE INDUSTRIAL",ESTATE,Bristol,BS1 9QS,GB,,+44 113 951 5155,billing@hollingwood-ashford.co.uk
0000500079,Clara Granville Limited,198 Albion,Way,Bristol,BS1 9GF,GB,,,info@clara-granville.co.uk
0000500080,Wieland Getränke GmbH,Fabrikweg,111,München,80410,DE,,+49 40 2306 4286,kontakt@wieland-getranke.de
0000500081,Kuipers Handel B.V.,Industrieweg,24,Utrecht,3528 ZQ,NL,,+31 40 618 0111,admin@kuipers-handel.nl
0000500082,Reinhardt Druck GmbH & Co. KG,Hauptstraße,127,Dortmund,44138,DE,,+49 511 783 8876,einkauf@reinhardt-druck.de
0000500083,Maibach Möbel & Partner GmbH,Hafenstraße,175,München,80408,DE,,+49 69 3210 9223,office@maibach-mobel.de
0000500084,THIEN AN & KIM SON JSC,39 NGUYEN VAN LINH,STREET,Ho Chi Minh City,700436,VN,,+84 274 641 6412,sales@thien-an-76.com.vn
0000500085,"Dongguan Sanhe Hardware & Partner Industrial Co., Ltd.","Block 17, Longgang",District,Dongguan,523069,CN,,+86 21 3562 8788,admin@dongguan-sanhe.com.cn
0000500086,"Hangzhou Fuhua Electronics Industrial Co., Ltd.",No. 192 Jinshan,Road,Hangzhou,310089,CN,,+86 571 444 8804,billing@hangzhou-fuhua.com.cn
0000500087,Zawadzki Cieślak Technologie Sp. z o.o.,ul. Kolejowa,32,Wrocław,50-089,PL,,,purchasing@zawadzki-cieslak.pl
0000500088,De Groot Systemen N.V.,Handelskade,226,Rotterdam,3011 JR,NL,,+31 30 290 6592,finance de-groot-33@de-groot-33.nl
0000500089,Reinhardt Handels GmbH,,,Leipzig,04189,DE,,+49 511 351 6382,export@reinhardt-handels.de
0000500090,Górksi Handel Sp. z o.o.,ul. Przemysłowa,135,Łódź,90-803,PL,,,sales@gorski-handel.pl
0000500091,Donautal & Kornblum AG,Zur Mühle,32,Graz,8018,AT,,1234,buchhaltung@donautal-kornblum.at
0000500092,Wieland Lebensmittel GmbH,Hafenstraße,230,Graz,8011,AT,,+43 732 741510,vertrieb@wieland-lebensmittel.at
0000500093,"GUANGZHOU JINFENG HARDWARE CO., LTD","BUILDING 80, XINGYE",ROAD,Guangzhou,5100000,CN,,+86 21 4317 7320,accounts@guangzhou-jinfeng.com.cn
0000500094,Ackermnan Systeme e.K.,Am Handelshof,185,Düsseldorf,40299,DE,,,vertrieb@ackermann-systeme.de
0000500095,Ravenscroft Foods & Partner Ltd,114 Albion,Way,Nottingham,NG7 6LB,GB,,+44 117 329 0504,purchasing@ravenscroft-foods.co.uk
0000500096,Clifton-Brambleton Print PLC,"Unit 104, Kingsway Business",Park,Glasgow,G1 2GX,GB,,+44 20 9915 8428,sales@clifton-brambleton.co.uk
0000500097,Clara Foxton Limited,"Unit 48, Riverside Industrial",Estate,Nottingham,NG7 6UA,GB,,,accounts@clara-foxton.co.uk
0000500098,Schouten Verpakkingen B.V.,Distributiestraat,60,Utrecht,3563 OF,EU,,+31 40 400 2774,export@schouten-verpakkingen.nl
0000500099,Meulenbelt BV,Distributiestraat,137,Utrecht,3537 DJ,NL,,,export@meulenbelt-b.nl
0000500100,Tannhof & Sonnenfeld AG,Industriestrasse,26,Basel,4055,CH,,+41 22 784 2618,
0000500101,Seibert Systeme GmbH,Hafenstraße,172,Bremen,28219,DE,,+49 30 2954 9266,service@seibert-systeme.de
0000500102,Weissmann-Hochstätt Systeme GmbH,Otto-Hahn-Straße,5,Bremen,28240,DE,,+49 89 5843 1380,office@weissmann-hochstatt.de
0000500103,Weissmann-Maibach Elektronik e.K.,Fabrikweg,73,Essen,45212,DE,,,export@weissmann-maibach.de
0000500104,Aubry-Montclair Cosmétiques SASU,142 Rue du,Commerce,Lille,59037,FR,,+33 2 8153 8353,comptabilite@aubry-montclair.fr
0000500105,Eichbreg Ladenbau AG,Robert-Bosch-Straße,51,Graz,8015,AT,,,vertrieb@eichberg-ladenbau.at
0000500106,Thornbury-Eastgate Supplies Limited,"Unit 182, Trafford",Park,Leeds,LS11 8SH,GB,,,sales@thornbury-eastgate.co.uk
0000500107,Kovář Technika s.r.o.,Nádražní,186,Praha,110 95,CZ,,+420 5 2841 8955,office@kovar-technika.cz
0000500108,Weissmann & Bergmann AG,Industriestraße,81,Hannover,30179,DE,,+49 89 4271 9509,
0000500109,Duarte Comercial S.L.,"Carretera de Valencia, km",93,Valencia,46002,ES,,+34 976 296508,admin@duarte-comercial.es
0000500110,Thomas Ackermann GmbH,Industriestraße,121,Leipzig,04128,DE,,+49 511 638 2895,n/a
0000500111,Kuipers Voeding N.V.,Industrieweg,41,Venlo,5970 EZ,NL,,+31 10 529 1492,finance@kuipers-voeding.nl
0000500112,Zawadzki Logistyka ^ Holdings,ul. Kolejowa,24,Wrocław,50-756,PL,,+48 42 866 6531,@zawadzki-logistyka.pl
0000500113,Foxton Services & Partner Ltd,"Unit 68, Trafford",Park,Manchester,M1 8RW,GB,,+44 117 967 0752,info@foxton-services.co.uk
0000500114,Guangzhou Fuhua Garment Co. Ltd.,No. 120 Zhenhai Industrial,Zone,Guangzhou,510018,CN,,,accounts@guangzhou-fuhua.com.cn
0000500115,Deverill Services Limited,40 Queens,Road,Bristol,BS2 2TA,GB,,+44 141 412 3375,
0000500116,Haustein Logistik AG,Zur Mühle,135,Dresden,01143,DE,,+49 69 4120 5085,rechnung@haustein-logistik.de
0000500117,Kuipers-Wassenaar Verpakkingen BV,Havenstraat,219,Eindhoven,5631 RK,NL,,,ap@kuipers-wassenaar.nl
0000500118,Ashulia Accessories & Partner Ltd.,201 Tejgaon Industrial,Area,Narayanganj,1411,BD,,+880 2 9738 6662,office@ashulia-accessories.com.bd
0000500119,Lewandowski S.A.,ul. Przemysłowa,112,Wrocław,50-031,PL,,+48 71 304 1151,export@lewandowski-s.pl
0000500120,Venturi Stampa & Partner S.p.A.,Via Giuseppe Verdi,64,Torino,10131,IT,,+39 055 2419 1754,accounts@venturi-stampa.it
0000500121,Lacroix Textiles SARL,88 Boulevard,Gambetta,Bordeaux,33011,FR,,+33 4 9355 0492,contact@lacroix-textiles.fr
0000500122,Schwarzwlad Textil GmbH,Bahnhofstraße,50,Dortmund,44140,DE,,,verwaltung@schwarzwald-textil.de
0000500123,Sancerre SAS,39 Avenue de la,République,Bordeaux,33027,FR,,+33 5 4051 2247,contact@sancerre.fr
0000500124,Zandvliet & Terlouw N.V.,,,Venlo,5960 QV,NL,,+31 77 323 7078,billing@zandvliet-terlouw.nl
0000500125,Falkenstein-Brenner Lebensmittel GmbH,Gewerbepark,56,Düsseldorf,40230,XX,,+49 221 994 3672,rechnung@falkenstein-brenner.de
0000500126,Bosphorus A.Ş.,Organize Sanayi Bölgesi 116.,Cadde,Denizli,20069,TR,,,info@bosphorus-a.com.tr
0000500127,Clifton Electronics & Partner Ltd,58 Mill,Lane,Bristol,BS1 8FA,GB,,+44 115 265 2930,admin@clifton-electronics.co.uk
0000500128,"Xiamen Baolong-Weilong Garment Co., Ltd.","Block 20, Longgang",District,Xiamen,361064,CN,,+86 571 204 5793,ap@xiamen-baolong.com.cn
0000500129,"Kim Son-An Binh Industries Co., Ltd",59 Le Duan,Street,Hanoi,100380,VN,,+84 274 223 9623,office@kim-son-89.com.vn
0000500130,Schouten Handel & Partner B.V.,Distributiestraat,16,Amsterdam,1067 RC,NL,,+31 30 533 5900,finance@schouten-handel.nl
0000500131,Toscani Arredamenti S.p.A.,Via del Commercio,52,Bologna,40146,IT,,+39 051 7327 1653,orders@toscani-arredamenti_toscani-arredamenti.it
0000500132,IZMIR LOJISTIK A.S.,SANAYI CADDESI,NO:240,ANKARA,06035,TR,,+90 232 840 9924,office@izmir-lojistik.com.tr
0000500133,"Shanghai Huayang-Lixin Hardware Co., Ltd.","Building 58, Xingye",Road,Shanghai,200187,CN,,+86 769 589 2580,purchasing@shanghai-huayang.com.cn
0000500134,Martin Schwarzwald GmbH & Co. KG,Carl-Benz-Straße,137,Essen,45203,DE,,+49 89 2172 4214,service@martin-schwarzwald.de
0000500135,Martin Osterbach GmbH,Am Handelshof,202,Münster,,DE,,+49 421 228 0374,service@martin-osterbach.de
0000500136,Osterbach Ladenbau & Partner GmbH,Otto-Hahn-Straße,92,Frankfurt am Main,60363,DE,,+49 40 3613 0188,
0000500137,Schwarzwald Logistik e.K.,Gewerbepark,85,Dresden,01137,DE,,+49 30 9085 6775,kontakt@schwarzwald-logistik.de
0000500138,Tannhof-Donautal Reinigung GmbH,Gewerbepark,7,Köln,50733,DE,,+49 221 757 8138,einkauf@tannhof-donautal.de
0000500139,Meridian Technologies & Partner Co.,239 Industrial,Parkway,Newark,07109,US,,+1 206 555 9251,ap@meridian-technologies.com
0000500140,Lindner-Hanse Sicherheit GmbH,Bahnhofstraße,25,Berlin,10120,DE,,+49 711 788 4401,office@lindner-hanse.de
0000500141,Schönfeld & Mühlbach GmbH,Gewerbepark,191,Nürnberg,90473,,,+49 421 355 3793,vertrieb@schonfeld-muhlbach.de
0000500142,Kranich Elektronik & Partner GmbH,Gewerbepark,109,Leipzig,04150,DE,,+49 30 5505 1361,kontakt@kranich-elektronik.de
0000500143,Marchetti Tessile S.r.l.,Via Giuseppe Verdi,164,Torino,10159,IT,,+39 081 6323 5777,
0000500144,Castaño Distribución S.A.,Avenida de la Constitución,16,Madrid,28007,ES,,+34 93 684 8252,office@castano-distribucion.es
0000500145,Sonnenfled Logistik GmbH,Bahnhofstraße,92,Essen,45216,DE,,,verwaltung@sonnenfeld-logistik.de
0000500146,Steinhaus-Elbtal Systeme GmbH,Lindenallee,205,Hamburg,20109,DE,,+49 89 3252 0017,
0000500147,Adler Elektronik & Partner GmbH,Bahnhofstraße,29,Köln,50749,DE,,./.,kontakt@adler-elektronik.de@de
0000500148,Julia Greystone Ltd,"Unit 51, Kingsway Business",Park,,W1F 1GF,GB,,+44 141 886 1741,admin@julia-greystone.co.uk
0000500149,Bragança Comércio S.A.,Avenida da Liberdade,157,Braga,4700-044,PT,,+351 21 236 3378,braganca-comercio.pt
0000500150,BUHLER SICHERHEIT & PARTNER E.K.,ROBERT-BOSCH-STRASSE,100,FRANKFURT AM MAIN,60331,DE,,+49 30 6653 6364,vertrieb@buhler-sicherheit.de
0000500151,Kaltenbach Sicherheit & Partner e.K.,Otto-Hahn-Straße,101,Nürnberg,90468,DE,,+49,rechnung@kaltenbach-sicherheit.de
0000500152,Yardley Shopfitting LLC,146 Industrial,Parkway,Los Angeles,90028,US,,+1 404 555 2566,accounts@yardley-shopfitting.com
0000500153,Lindner-Kaltenbach Getränke GmbH & Co. KG,Bahnhofstraße,76,Stuttgart,70237,DE,,+49 221 891 5457,buchhaltung@lindner-kaltenbach.de
0000500154,Trimurti-Shreeji Trading Private Limited,"SIDCO Industrial Estate, Unit",155,Ahmedabad,380053,IN,,+91 161 662 0943,orders@trimurti-shreeji.in
0000500155,Toros-Haliç Ambalaj A.Ş.,Atatürk Bulvarı,No:68,İzmir,35220,TR,,+90 312 505 9691,purchasing@toros-halic.com.tr
0000500156,"Guangzhou Mingda Textile Co., Ltd.","Building 181, Xingye",Road,Guangzhou,510062,CN,,+86 21 3396 1336,sales@@guangzhou-mingda.com.cn
0000500157,"Shenzhen Baolong Homeware & Partner Co., Ltd.",,,Shenzhen,518014,CN,,+86 592 395 2038,admin@shenzhen-baolong.com.cn
0000500158,Duarte Servicios & ^ Holdings,"Polígono Industrial Sur, Nave",84,Valencia,46037,ES,,+34 96 246 3323,contact@duarte-servicios.es
0000500159,Hochstätt Service AG,Carl-Benz-Straße,94,Leipzig,04115,DE,,+49 511 792 5651,service@hochstatt-service.de
0000500160,Hollingwood Foods Ltd,"Unit 159, Kingsway Business",Park,Birmingham,B7 1DS,GB,,+44 141 937 0796,export@hollingwood-foods.co.uk
0000500161,Nordwind-Westphal Service GmbH,Am Handelshof,216,Frankfurt am Main,60373,DE,,+49 341 623 9462,verwaltung@nordwind-westphal.de
0000500162,Elbtal Sicherheit AG,Bahnhofstraße,135,München,80378,DE,,+49 421 603 9042,office@elbtal-sicherheit.de
0000500163,"Shanghai Baolong Footwear Co., Ltd.","Building 83, Xingye",Road,Shanghai,200164,CN,,+86 21 2397 2393,office@shanghai-baolong.com.cn
0000500164,  Donautal  Sicherheit GmbH & Co. KG ,Fabrikweg,33,Nürnberg,90423,DE,,+49 211 604 7207,buchhaltung@donautal-sicherheit.de
0000500165,Ourcq Électronique S.A.,159 Rue du,Commerce,Nantes,974041,FR,,+33 1 7067 8667,facturation@ourcq-electronique.fr
0000500166,Sonnenfeld Frischdienst GmbH,Gewerbepark,121,Hannover,30213,DE,,+49 69 7781 7636,einkauf@sonnenfeld-frischdienst.de
0000500167,Crestwood & Longacre Limited,144 Mill,Lane,Birmingham,B7 0EJ,GB,,,contact@crestwood-longacre.co.uk
0000500168,Thornbury-Quarrymill Print PLC,"Unit 99, Kingsway Business",Park,Leeds,LS1 3HJ,GB,,+44 141 620 0041,admin@thornbury-quarrymill.co.uk
0000500169,Yıldız Deri A.Ş.,"227. Sokak,",Merter,İstanbul,34052,TR,,+90 312 761 0316,contact@yıldız-deri.com.tr
0000500170,Deverill Technologies Limited,"Unit 190, Riverside Industrial",Estate,Birmingham,B7 0XS,GB,,,purchasing@deverill-technologies.co.uk
0000500171,Stanmore-Larkfield Trading Inc.,165 Airport,Road,Newark,07155,US,,+1 206 555 7425,orders@stanmore-larkfield.com
0000500172,RICCIARDI-SALVATORI COMMERCIALE S.R.L.,VIALE DELLA REPUBBLICA,144,Napoli,80158,IT,,+39 02 8851 92415,purchasing@ricciardi-salvatori.it
0000500173,Zawadzki Handel Sp. z o.o.,ul. Handlowa,157,Poznań,60-877,PL,,+48 22 220 1125,
0000500174,"Shenzhen Haiyu-Meilin Hardware Co., Ltd.",No. 176 Zhenhai Industrial,Zone,Shenzhen,518008,CN,,+86 755 856 7890,contact@shenzhen-haiyu.com.cn
0000500175,Bartosz Dystrybucja Sp. z o.o.,,,Wrocław,50-834,PL,,+48 58 998 6257,
0000500176,Bühler & Sonnenfeld GmbH,Hafenstraße,171,Stuttgart,70184,DE,,+49 341 201 3124,service@buhler-sonnenfeld.de
0000500177,"Ningbo Ruiyang Textile Co., Ltd",No. 2 Jinshan,Road,Ningbo,315076,CN,,,admin@ningbo-ruiyang.com.cn
0000500178,Barcelo & Jiménez S.L.,Calle Industria,106,Madrid,28031,ES,,+34 93 272 9684,info@barcelo-jimenez.es
0000500179,Salvatori Stampa & Partner S.p.A.,Via Giuseppe Verdi,109,Roma,00156,IT,,+39 06 8420 46006,office@salvatori-stampa.it
0000500180,"Kim Son & Bao Tin Co., Limited","Lot 55, Song Than Industrial",Zone,Da Nang,550703,VN,,,purchasing@kim-son.com.vn
0000500181,Falkenstein Textil AG,Carl-Benz-Straße,162,Essen,45193,DE,,+49 211 246 0088,service@falkenstein-textil.de
0000500182,Rheinlnad Druck GmbH,Hauptstraße,229,Stuttgart,70192,DE,,,export@rheinland-druck.de
0000500183,Lacroix Technologies SAS,42 Avenue de la,République,Nantes,44019,FR,,+33 4 2300 3863,facturation@lacroix-technologies.fr
0000500184,"Guangzhou Antai & Lixin Co., Ltd.","Block 199, Longgang",District,Guangzhou,510043,CN,,+86 755 480 1764,admin@guangzhou-antai.com.cn
0000500185,  Sophie  Kirkstall Limited ,"Unit 88, Kingsway Business",Park,Bristol,BS2 9GX,GB,,+44 113 402 2643,purchasing@sophie-kirkstall.co.uk
0000500186,Schouten & Terlouw BV,Handelskade,136,Eindhoven,5668 XN,NL,,,export@schouten-terlouw.nl
0000500187,Thibault & Valmy S.A.,232 Chemin des,Vignes,Lille,456658,FR,,+33 3 5341 1012,
0000500188,Osterbach Lebensmitetl GmbH,Industriestraße,122,Stuttgart,70181,DE,,,kontakt@osterbach-lebensmittel.de
0000500189,Cieślak Tekstylia Sp. z o.o.,ul. Przemysłowa,24,Kraków,30-085,PL,,+48 12 630 6908,billing@cieslak-tekstylia.pl
0000500190,Granville Systems Inc.,145 Industrial,Parkway,Dallas,75225,US,,+1 973 555 4387,contact@granville-systems.com
0000500191,Osterbach Service ^ Holdings,Zur Mühle,2,Dortmund,44150,DE,,+49 421 425 2674,
0000500192,Dunmore & Vantage PLC,"Unit 193, Kingsway Business",Park,Manchester,16274,GB,,+44 113 735 2666,
0000500193,Valmy Électronique and Partner SAS,"ZI Nord, Lot",30,Nantes,44030,FR,,,info@valmy-electronique.fr
0000500194,BRENNER LADENBAU AG,HAFENSTRASSE,122,Wien,1012,AT,,+43 662 626339,service@brenner-ladenbau.at
0000500195,Weissmann Handels & Partner AG,Lindenallee,109,Hamburg,20121,DE,,,info@weissmann-handels.de
