LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000075375,1000,0000160000,0001,C,DB001,,
0000075375,3000,0000160000,Z060,,,,
0000075431,1000,0000160100,Z014,,,,
0000075447,2000,0000160100,Z030,TU,BARC1,,
0000075456,1000,0000160100,NT30,S,DB001,,
0000075456,2000,0000160100,0001,TU,HSBC1,,
0000075523,2000,0000160100,Z030,TU,BARC1,,
0000075526,1000,0000160000,Z060,,,,
0000075534,1000,0000160000,Z060,C,,,
0000075699,1000,0000160100,NT30,,,,
0000075699,2000,0000160100,NT30,T,,,
0000075714,1000,0000160000,Z060,T,CB001,,
0000075714,3000,0000160000,Z030,S,,,
0000075726,1000,0000160100,Z030,U,CB001,,
0000075750,1000,0000160100,0001,TU,CB001,,
0000075764,1000,0000160000,0002,S,,,
0000075777,1000,0000160000,0001,T,CB001,,
0000075812,1000,0000160100,Z030,C,CB001,,
0000075812,2000,0000160100,Z060,U,HSBC1,,
0000075826,1000,0000160000,NT30,S,CB001,,
0000075871,1000,0000160100,Z014,S,,,
0000075902,2000,0000160000,Z014,,,X,
0000075902,3000,0000160000,Z060,S,JPM01,,
0000075907,1000,0000160100,0002,S,CB001,,
0000075991,1000,0000160100,Z060,S,DB001,,
0000075991,3000,0000160100,NT30,S,BARC1,,
0000076048,1000,0000160100,Z030,T,CB001,,
0000076048,3000,0000160100,0001,,,,
0000076126,1000,0000160100,Z014,T,CB001,,
0000076221,1000,0000160100,Z014,TU,CB001,,
0000076221,2000,0000160100,Z014,S,,,
0000076274,1000,0000160000,NT30,,,,
0000076460,1000,0000160000,Z060,S,DB001,,
0000076516,1000,0000160000,0001,S,CB001,,
0000076516,3000,0000160000,Z014,S,,,
0000076542,1000,0000160000,Z014,C,CB001,,
0000076542,3000,0000160000,0002,C,JPM01,,
0000076620,3000,,Z014,,,,
0000076665,1000,0000160000,NT30,U,CB001,,
0000076693,1000,0000160000,0001,,,,
0000076696,1000,0000160000,NT30,U,DB001,,
0000076728,1000,0000160100,NT30,TU,,,
0000076748,1000,0000160100,NT30,S,DB001,,
0000076748,3000,0000160100,0002,U,,,
0000076970,1000,0000160000,Z030,S,DB001,,
0000076971,1000,0000160000,Z030,T,DB001,,
0000076971,3000,0000160000,0002,U,BOA01,,
0000077024,1000,0000160000,0001,C,DB001,,X
0000077033,2000,0000160000,NT30,,,,
0000077074,1000,0000160100,Z060,,,,
0000077254,1000,0000160000,Z014,TU,DB001,,
0000077270,1000,0000160000,Z060,U,DB001,,
0000077291,3000,0000160100,Z014,TU,,,
0000077302,1000,0000160000,NT30,,,,
0000077376,1000,0000160100,Z014,,,,
0000077400,1000,0000160100,0002,C,DB001,,
0000077406,1000,0000160100,NT30,U,CB001,,
0000077435,1000,0000160100,NT30,U,DB001,,
0000077475,1000,0000160000,Z030,TU,DB001,,
0000077503,1000,0000160000,Z060,T,CB001,,
0000077556,2000,0000160100,Z060,S,,,
0000077557,1000,0000160000,Z030,T,,,
0000077705,1000,0000160100,NT30,C,DB001,,
0000077705,3000,0000160100,Z030,C,JPM01,,
0000077712,1000,0000160000,Z060,S,,,
0000077750,1000,0000160100,0001,T,DB001,,
0000077866,1000,0000160000,0001,,,,
0000077902,2000,0000160100,0002,,,,
0000077985,1000,0000160100,Z014,C,,,
0000077985,2000,0000160100,Z014,U,HSBC1,,
0000077998,2000,0000160100,0002,T,BARC1,,
0000078015,3000,0000160100,0002,,,,
0000078039,1000,0000160000,0002,S,CB001,,
0000078064,1000,0000160100,NT30,,,,
0000078102,1000,0000160100,0001,,,,
0000078165,1000,0000160100,Z030,TU,DB001,,
0000078192,1000,0000160000,Z060,TU,CB001,,
0000078196,1000,0000160100,Z014,,,,X
0000078214,1000,0000160000,0002,T,CB001,,
0000078282,1000,0000160100,NT30,S,DB001,,
0000078284,1000,0000160100,Z014,TU,DB001,,
0000078304,1000,0000160000,NT30,,,,
0000078326,1000,0000160000,Z030,TU,DB001,,
0000078342,1000,0000160000,Z060,C,DB001,,
0000078359,2000,0000160100,Z014,T,,,
0000078435,1000,0000160100,Z060,,,,
0000078440,1000,0000160100,0001,,,,
0000078489,1000,0000160000,NT30,S,DB001,,
0000078489,2000,0000160000,,T,BARC1,,
0000078492,2000,0000160100,Z060,TU,,,
0000078492,3000,0000160100,Z060,U,BOA01,,
0000078548,1000,0000160000,Z030,U,DB001,,
0000078603,2000,0000160100,0001,T,HSBC1,,
0000078683,1000,0000160000,Z030,S,CB001,,
0000078715,1000,0000160000,0001,,,,
0000078947,1000,0000160000,0002,,,,
0000079064,1000,0000160100,Z030,T,DB001,,
0000079095,1000,0000160100,Z014,TU,CB001,,
0000079115,1000,0000160000,Z030,,,,
0000079293,2000,0000160100,Z060,T,,,
0000079303,1000,0000160000,0001,,,,
0000079432,1000,0000160000,0001,,,,
0000079432,2000,0000160000,Z030,TU,BARC1,,
0000079449,1000,0000160100,0001,,,,
0000079496,1000,0000160000,Z030,TU,CB001,,
0000079556,1000,0000160100,0001,C,CB001,,
0000079583,2000,0000160100,Z030,S,HSBC1,,
0000079620,1000,0000160100,0001,,,,
0000079620,2000,0000160100,Z014,,,,
0000079680,1000,0000160100,Z014,S,DB001,,
0000079760,1000,0000160000,0002,U,DB001,,
0000079764,1000,0000160000,Z030,,,,
0000079807,1000,0000160100,NT30,,,,
0000079823,1000,0000160000,0001,T,DB001,,
0000079850,1000,0000160000,Z014,,,,
0000079946,1000,0000160100,Z030,,,,
0000079946,2000,0000160100,,U,HSBC1,,
0000079959,1000,0000160000,Z030,T,DB001,,
0000079959,3000,0000160000,NT30,TU,BOA01,,
0000100048,1000,0000160000,0001,T,DB001,,
0000100393,1000,0000160000,Z060,,,,
0000100620,1000,0000160000,NT30,T,CB001,,
0000101189,1000,0000160000,0002,C,DB001,,
0000101255,1000,0000160000,Z060,,,,
0000101940,1000,0000160000,NT30,,,,
0000101940,2000,0000160000,Z030,S,HSBC1,,
0000101991,1000,,Z014,T,CB001,,
0000101991,3000,0000160000,NT30,,,,
0000102437,1000,0000160000,NT30,T,DB001,,
0000102802,1000,0000160000,Z030,TU,CB001,,
0000102802,2000,0000160000,NT30,T,BARC1,,
0000103092,1000,0000160000,NT30,C,,,
0000103092,3000,0000160000,,S,,,
0000103650,1000,0000160000,Z060,,,,
0000103650,2000,0000160000,0002,,,,
0000104548,1000,0000160000,0001,S,DB001,,
0000104818,1000,0000160000,Z060,T,CB001,,
0000104818,3000,0000160000,Z060,C,JPM01,,
0000104818,3000,0000160000,Z030,C,JPM01,,
0000104905,1000,0000160000,Z014,TU,CB001,,
0000104905,2000,0000160000,NT30,U,HSBC1,,
0000105912,1000,0000160000,Z014,S,,,
0000105912,3000,0000160000,NT30,,,,
0000106702,1000,0000160000,Z014,TU,DB001,,
0000106952,1000,0000160000,Z030,C,,,
0000106952,2000,0000160000,Z030,,,,
0000107166,1000,0000160000,0001,,,,
0000108175,1000,0000160000,0001,,,,
0000108413,1000,0000160000,NT30,S,CB001,,
0000108413,1000,0000160000,NT30,S,CB001,,
0000108472,1000,0000160000,Z060,U,CB001,,
0000108929,1000,0000160000,Z060,T,CB001,,
0000108929,2000,0000160000,Z014,C,BARC1,,
0000108979,1000,,Z030,TU,DB001,,
0000109102,1000,0000160000,0002,S,DB001,,
0000109102,2000,0000160000,0001,TU,BARC1,,
0000109104,1000,0000160000,Z014,C,CB001,,
0000110131,1000,0000160000,0002,S,DB001,,
0000110617,1000,0000160000,Z030,S,CB001,,
0000110935,1000,0000160000,0001,U,CB001,,
0000111712,1000,0000160000,0001,,,,
0000111712,3000,0000160000,Z030,T,JPM01,,
0000111814,1000,0000160000,Z030,T,DB001,,
0000112384,1000,0000160000,0002,S,DB001,,
0000112659,1000,0000160000,0002,S,DB001,,
0000113244,1000,0000160000,Z030,C,CB001,,
0000113345,1000,0000160000,Z060,T,DB001,,
0000113879,1000,0000160000,Z014,,,,
0000114189,1000,0000160000,Z060,,,,
0000114533,1000,0000160000,0002,U,CB001,,
0000114915,1000,0000160000,0002,U,CB001,,
0000116336,1000,0000160000,NT30,T,DB001,,
0000116442,1000,0000160000,NT30,T,CB001,,
0000117332,1000,0000160000,0001,S,CB001,,
0000117332,2000,0000160000,0002,C,HSBC1,,
0000117929,1000,0000160000,Z060,TU,CB001,,
0000118097,1000,0000160000,Z060,TU,,,
0000120342,1000,0000160000,Z014,,,,
0000120342,3000,,NT30,,,,
0000121534,1000,0000160000,0002,TU,DB001,,
0000121666,1000,0000160000,XXXX,S,CB001,,
0000121728,1000,0000160000,0001,C,CB001,,
0000122291,1000,0000160000,NT30,,,,
0000123112,1000,0000160000,0001,TU,DB001,,
0000123112,2000,0000160000,0001,U,,,
0000123207,1000,0000160000,Z014,T,DB001,,
0000123207,3000,0000160000,Z060,C,BOA01,,
0000123378,1000,0000160000,0002,TU,,,
0000123969,1000,0000160000,Z030,S,CB001,,
0000124059,1000,0000160000,0002,,,,
0000124651,1000,0000160000,Z060,T,DB001,,
0000124651,3000,0000160000,NT30,U,,,
0000125166,1000,0000160000,0001,C,,,
0000125445,1000,0000160000,0002,,,,
0000125965,1000,0000160000,0002,C,CB001,,
0000126439,1000,0000160000,Z030,C,CB001,,
0000127822,1000,0000160000,0001,U,CB001,,
0000129113,1000,0000160000,Z060,T,CB001,,
0000129531,1000,0000160000,Z014,S,CB001,,
0000130731,1000,0000160000,0002,,,,
0000130731,3000,,0002,C,BOA01,,
0000130885,1000,0000160000,Z030,TU,DB001,,
0000130885,3000,0000160000,Z060,,,,
0000131830,1000,0000160000,NT30,C,,,
0000131962,1000,0000160000,0001,T,CB001,,
0000132829,1000,0000160000,Z014,,,,
0000133574,1000,0000160000,Z014,S,DB001,,
0000134389,1000,0000160000,Z014,U,DB001,,
0000134389,2000,0000160000,Z030,T,BARC1,,
0000134952,1000,0000160000,Z014,TU,,,
0000134952,2000,0000160000,0002,U,HSBC1,,
0000135767,1000,0000160000,Z014,S,DB001,,
0000135895,1000,0000160000,0002,TU,DB001,,
0000136046,1000,0000160000,Z014,,,,
0000136420,1000,0000160000,Z060,TU,CB001,,
0000136948,1000,0000160000,Z030,S,,,
0000136948,1000,0000160000,Z014,S,,,
0000136982,1000,0000160000,0001,C,DB001,,
0000137019,1000,0000160000,0001,U,DB001,,
0000137190,1000,0000160000,0001,TU,,,
0000137278,1000,0000160000,Z014,TU,CB001,,
0000137278,2000,0000160000,0001,U,,,
0000137528,1000,0000160000,Z030,,,,
0000137528,3000,0000160000,NT30,,,,
0000138396,1000,0000160000,Z014,T,,,
0000140144,1000,0000160000,Z030,S,DB001,,
0000140289,1000,0000160000,NT30,TU,,,
0000140416,1000,0000160000,0002,TU,DB001,,
0000140419,1000,0000160000,NT30,T,,,
0000140469,1000,0000160000,NT30,U,CB001,,
0000140736,1000,0000160000,Z030,TU,DB001,,
0000140751,1000,0000160000,0002,,,,
0000140751,2000,0000160000,0001,T,HSBC1,,
0000141156,1000,0000160000,NT30,,,,
0000141682,1000,0000160000,0002,,,,
0000141682,2000,0000160000,Z060,S,BARC1,,
0000141748,1000,0000160000,Z014,C,DB001,,
0000142126,1000,0000160000,0002,U,DB001,,
0000143565,1000,0000160000,Z030,,,,
0000144719,1000,0000160000,Z030,,,,
0000145724,1000,0000160000,Z030,T,,,
0000145724,3000,,0001,U,BOA01,,
0000146450,1000,0000160000,0001,C,,,
0000147105,1000,0000160000,NT30,,,,
0000147937,1000,0000160000,0002,S,CB001,,X
0000147937,3000,0000160000,Z030,TU,BOA01,,X
0000149193,1000,0000160000,0001,T,CB001,,
0000149321,1000,0000160000,0002,,,,
0000149782,1000,0000160000,Z060,TU,CB001,,
0000150188,1000,0000160000,Z060,,,,
0000150302,1000,0000160000,0001,C,DB001,,
0000150315,1000,0000160000,0002,TU,CB001,,
0000150389,1000,0000160000,Z060,U,DB001,,
0000150392,1000,0000160000,Z030,,,,
0000150906,1000,0000160000,NT30,C,DB001,,
0000151150,1000,0000160000,Z060,U,CB001,,
0000151944,1000,0000160000,0002,S,DB001,,
0000153383,1000,0000160000,Z030,S,DB001,,
0000153383,2000,0000160000,NT30,T,HSBC1,,
0000153630,1000,0000160000,Z060,,,,
0000154065,1000,0000160000,Z060,,,,
0000154106,1000,0000160000,,U,DB001,,
0000154240,1000,0000160000,NT30,C,DB001,,
0000154300,1000,0000160000,Z014,T,CB001,,
0000154309,1000,0000160000,Z060,U,CB001,,
0000154454,1000,0000160000,0001,,,,
0000154689,1000,0000160000,Z030,T,,,
0000154689,2000,0000160000,Z060,,,,
0000154806,1000,0000160000,Z030,C,CB001,,
0000155023,1000,0000160000,Z030,T,CB001,,
0000155023,2000,0000160000,Z030,S,HSBC1,,
0000155705,1000,0000160000,0002,,,,
0000155724,1000,0000160000,Z060,C,DB001,,
0000155724,3000,0000160000,Z030,S,JPM01,,
0000156174,1000,0000160000,Z014,,,,
0000157414,1000,0000160000,NT30,U,DB001,,
0000157414,3000,0000160000,0002,T,JPM01,,
0000157898,1000,0000160000,NT30,TU,CB001,,
0000159437,1000,0000160000,Z014,C,,,
0000159437,2000,0000160000,Z030,T,HSBC1,,
0000159510,1000,0000160000,Z030,TU,DB001,,
0000160363,1000,0000160000,0002,T,DB001,,
0000160363,2000,0000160000,NT30,,,,
0000160771,1000,0000160000,NT30,S,,,
0000160908,1000,0000160000,0002,,,,
0000161147,1000,0000160000,Z030,TU,CB001,,
0000161166,1000,0000160000,0001,TU,DB001,,
0000162002,1000,0000160000,Z030,TU,CB001,,
0000162196,1000,0000160000,Z030,,,,
0000162598,1000,0000160000,Z014,,,,
0000162850,1000,0000160000,NT30,,,,
0000162989,1000,0000160000,Z060,,,,
0000163210,1000,0000160000,NT30,S,,,
0000163550,1000,0000160000,Z030,,,,
0000163550,3000,0000160000,0002,TU,BOA01,,
0000164710,1000,0000160000,0001,T,JPM01,,
0000165281,1000,0000160000,0001,C,CB001,,
0000165395,1000,0000160000,Z060,T,CB001,,
0000165805,1000,0000160000,NT30,T,CB001,,
0000165845,1000,0000160000,NT30,TU,DB001,,
0000166707,1000,0000160000,0001,,,,
0000166833,1000,0000160000,Z030,U,CB001,,
0000166960,1000,0000160000,Z030,,,,
0000167400,1000,0000160000,0001,,,,
0000169124,1000,0000160000,NT30,T,DB001,,
0000169124,2000,0000160000,0002,,,,
0000169791,1000,0000160000,NT30,U,DB001,,
0000170022,1000,0000160000,Z014,,,,
0000170074,1000,0000160000,NT30,S,CB001,,
0000170074,3000,0000160000,0002,,,,
0000170391,1000,0000160000,Z060,,,,
0000171273,1000,0000160000,NT30,,,,
0000171900,1000,0000160000,0001,C,DB001,,X
0000172293,1000,0000160000,Z014,S,CB001,,
0000172293,2000,0000160000,Z060,C,,,
0000172457,1000,0000160000,0002,U,DB001,,
0000172558,1000,0000160000,0002,U,DB001,,
0000172558,2000,0000160000,Z014,,,,
0000173007,1000,0000160000,Z030,C,DB001,,
0000173007,3000,0000160000,Z060,,,,
0000174818,1000,0000160000,Z060,C,,,
0000174958,1000,0000160000,Z030,TU,DB001,,
0000175142,1000,0000160000,0002,T,DB001,,
0000175142,3000,0000160000,Z030,,,,X
0000175496,1000,0000160000,0002,U,CB001,,
0000175856,1000,0000160000,Z030,U,DB001,,
0000176054,1000,0000160000,0002,S,CB001,,
0000176116,1000,0000160000,Z060,S,CB001,,
0000176173,1000,0000160000,NT30,,,X,
0000176893,1000,0000160000,Z014,TU,DB001,X,
0000177701,1000,0000160000,NT30,,,,
0000177840,1000,0000160000,Z014,TU,DB001,,
0000178709,1000,0000160000,Z060,S,CB001,,
0000178889,1000,0000160000,NT30,T,CB001,,
0000179271,1000,0000160000,Z060,TU,CB001,,
0000179271,3000,0000160000,Z030,S,BOA01,,X
0000179412,1000,0000160000,0001,,,,
0000180534,1000,0000160000,Z014,,,,
0000181015,1000,0000160000,Z030,S,,,
0000181648,1000,,0002,U,DB001,,
0000181941,1000,0000160000,Z014,U,,,
0000182246,1000,0000160000,0002,,,,
0000182359,1000,0000160000,NT30,,,,
0000182359,3000,0000160000,Z014,T,,,
0000182388,1000,0000160000,0002,,,,
0000182899,1000,0000160000,Z060,TU,CB001,,
0000183149,1000,0000160000,Z030,,,,
0000184109,1000,0000160000,Z060,U,CB001,,
0000184109,3000,0000160000,Z014,C,JPM01,,
0000184566,1000,0000160000,0001,,,,
0000184827,1000,0000160000,Z060,S,DB001,,
0000185533,1000,0000160000,NT30,S,CB001,,
0000185610,1000,0000160000,NT30,,,,
0000185748,1000,0000160000,0002,C,CB001,,
0000186226,1000,0000160000,0002,S,CB001,,
0000186445,1000,0000160000,Z060,C,DB001,,
0000186703,1000,0000160000,NT30,TU,DB001,,
0000186977,1000,0000160000,0002,S,CB001,,
0000187309,1000,0000160000,0001,,,,
0000187309,2000,0000160000,Z030,S,BARC1,,
0000187325,1000,0000160000,0001,C,CB001,,
0000187397,1000,0000160000,0001,,,,
0000187397,3000,0000160000,Z060,C,BOA01,,
0000187742,1000,0000160000,Z060,,,,
0000187742,2000,0000160000,NT30,S,HSBC1,,
0000189112,1000,0000160000,Z014,TU,,,
0000189112,3000,0000160000,0002,S,,,
0000189797,1000,0000160000,Z060,C,CB001,,
0000189797,2000,0000160000,0002,S,,,
0000189994,1000,0000160000,0002,T,DB001,,
0000189998,1000,0000160000,0001,S,DB001,,
0000190065,1000,0000160000,0002,U,DB001,,
0000190065,2000,0000160000,Z060,TU,BARC1,,
0000190196,1000,0000160000,Z030,T,CB001,,
0000190342,1000,0000160000,Z030,,,,
0000190342,3000,0000160000,Z014,S,BOA01,,
0000190575,1000,0000160000,Z030,S,CB001,,
0000190958,1000,0000160000,Z014,TU,DB001,,
0000191583,1000,0000160000,Z014,T,CB001,,
0000192076,1000,0000160000,0002,S,CB001,,
0000193956,1000,0000160000,Z030,T,DB001,,
0000194056,1000,0000160000,Z060,U,DB001,,
0000195052,1000,0000160000,Z060,C,DB001,,
0000195744,1000,0000160000,Z030,,,,
0000195923,1000,0000160000,NT30,,,,
0000197011,1000,0000160000,Z060,,,,
0000197052,1000,0000160000,XXXX,C,DB001,,
0000197292,1000,,Z060,S,CB001,,
0000198161,1000,0000160000,Z030,,,,
0000198161,3000,0000160000,Z060,,,,
0000198792,1000,0000160000,Z030,,,,
0000198792,3000,0000160000,Z060,T,BOA01,,
0000199132,1000,0000160000,0001,T,CB001,,
0000199225,1000,0000160000,Z014,S,CB001,,
0000199654,1000,0000160000,Z060,S,DB001,,
0000199933,1000,0000160000,Z060,S,DB001,,
0000200250,1000,,Z030,S,CB001,,
0000200343,3000,0000160100,NT30,,,,
0000200645,1000,0000160100,0001,T,CB001,,
0000200703,1000,0000160100,0002,T,,,
0000201010,1000,0000160100,Z030,C,CB001,,
0000201263,2000,0000160100,Z060,,,,
0000201690,1000,0000160100,Z060,TU,DB001,,
0000202614,1000,0000160100,Z014,,,,
0000203025,1000,0000160100,Z060,C,DB001,,
0000203118,1000,0000160100,Z014,U,DB001,,
0000203204,1000,0000160100,NT30,C,,,
0000203210,1000,0000160100,0001,TU,CB001,,
0000203210,3000,0000160100,NT30,TU,JPM01,,
0000203433,1000,0000160100,NT30,U,CB001,,
0000203705,3000,0000160100,0001,,,,
0000203911,3000,0000160100,0002,,,,
0000204377,2000,0000160100,0001,U,BARC1,,
0000204377,3000,0000160100,NT30,,,,
0000204602,1000,0000160100,Z030,,,,
0000204695,1000,0000160100,Z030,T,CB001,,
0000204907,1000,,Z014,,,,
0000205005,3000,0000160100,Z014,,,,
0000205092,1000,0000160100,Z030,U,,,
0000205092,2000,0000160100,NT30,,,,
0000205662,1000,0000160100,Z014,TU,,,
0000206174,1000,0000160100,0002,TU,CB001,,
0000206309,1000,0000160100,Z014,,,,
0000206994,2000,0000160100,0001,C,BARC1,,
0000207111,2000,0000160100,Z030,U,HSBC1,,
0000207111,3000,0000160100,Z014,T,BOA01,,
0000207276,3000,0000160100,Z060,U,BOA01,,
0000207300,1000,0000160100,Z014,C,,,
0000207300,3000,0000160100,Z014,,,,
0000207494,1000,0000160100,ZZZZ,U,,,
0000207542,1000,0000160100,,TU,DB001,,
0000207542,3000,0000160100,Z030,S,JPM01,,
0000207760,1000,0000160100,Z014,U,CB001,,
0000207895,1000,0000160100,NT30,T,,,
0000208247,1000,0000160100,Z060,T,DB001,,
0000208377,1000,0000160100,Z060,T,,,
0000208377,3000,0000160100,0002,TU,JPM01,,
0000209051,1000,0000160100,Z060,TU,DB001,,
0000209079,2000,0000160100,Z030,C,,,
0000209250,3000,0000160100,Z060,S,,,
0000209285,1000,0000160100,Z014,U,DB001,,
0000209873,1000,0000160100,NT30,U,,,
0000210057,1000,0000160100,NT30,TU,CB001,,
0000210392,1000,0000160100,Z014,C,CB001,,
0000210599,2000,0000160100,0001,T,HSBC1,,
0000210599,3000,0000160100,0002,,,,
0000210785,1000,0000160100,Z060,TU,DB001,,
0000211711,1000,0000160100,Z014,TU,,,
0000211711,2000,0000160100,0001,TU,BARC1,,
0000211804,3000,0000160100,0002,T,BOA01,,
0000212141,1000,0000160100,NT30,TU,CB001,,
0000212379,1000,0000160100,Z060,T,DB001,,
0000212559,1000,0000160100,0001,C,DB001,,
0000212867,2000,0000160100,0002,,,,
0000213003,1000,0000160100,Z060,C,CB001,,
0000213003,2000,0000160100,0002,U,BARC1,,
0000213378,1000,0000160100,Z014,,,,
0000213378,3000,0000160100,0002,S,JPM01,,
0000213813,1000,0000160100,Z060,,,,X
0000214448,1000,0000160100,0002,U,CB001,,
0000214460,1000,0000160100,Z030,C,CB001,,
0000214664,1000,0000160100,Z014,,,,
0000214983,1000,0000160100,Z060,,,,
0000214983,2000,0000160100,Z060,TU,HSBC1,,
0000215852,1000,,NT30,S,CB001,,
0000215966,1000,0000160100,NT30,,,,
0000216112,1000,0000160100,0001,S,CB001,,
0000216270,2000,0000160100,0002,U,BARC1,,
0000216338,2000,0000160100,0002,T,HSBC1,,
