LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000071251,LIEF,Alvarado Sistemas S.L.,,ALVARADO S,Avenida de la Constitución 4,Zaragoza,50034,ES,ES,+34 93 275 2940,office@alvarado-sistemas.es,ESE0127391G,,,2016-04-01
0000071275,KRED,Kessler Druck e.K.,,KESSLER DR,Gewerbepark 151,Dortmund,44186,DE,DE,+49 341 685 7731,export@kessler-druck.de,DE078769125,,,2010-02-14
0000071334,DIEN,Terlouw & Meulenbelt N.V.,,TERLOUWMEU,Distributiestraat 121,Eindhoven,5688 HZ,NL,EN,+31 20 972 2723,admin@terlouw-meulenbelt.nl,NL815503115B96,,,2011-06-28
0000071396,LIEF,Ravenscroft & Underhill Ltd,,RAVENSCROF,"Unit 50, Kingsway Business Park",Manchester,M4 5GS,GB,EN,+44 113 962 1334,sales@ravenscroft-underhill.co.uk,GB595213551,,X,2012-10-20
0000071454,DIEN,Zanetti Arredamenti & Partner S.r.l.,,ZANETTI AR,Viale della Repubblica 201,Milano,20125,IT,IT,+39 02 9550 13446,finance@zanetti-arredamenti.it,IT61359570351,,,2016-04-01
0000071469,LIEF,Estoril Comércio Lda.,,ESTORILCOM,Rua da Indústria 101,Lisboa,1000-707,PT,EN,+351 22 829 5247,export@estoril-comercio.pt,PT647491336,,,2015-08-16
0000071510,LIEF,Navarra & Donatelli S.p.A.,,NAVARRA DO,Via del Commercio 28,Firenze,,IT,IT,+39 055 3571 0311,purchasing@navarra-donatelli.it,IT60541707898,,,2014-03-18
0000071543,LIEF,Oostergo Meubelen & Partner B.V.,,OOSTERGOME,.,Eindhoven,5681 VD,NL,EN,+31 40 857 7612,orders@oostergo-meubelen.nl,NL315688461B48,,,2014-01-10
0000071625,DIEN,Ackermann & Rheinland e.K.,,ACKERMANN,Lindenallee 46,Stuttgart,70204,DE,DE,+49 421 324 4594,buchhaltung@ackermann-rheinland.de,,,,2016-04-01
0000071639,LIEF,Dunmore Textiles Co.,,DUNMORETEX,122 Industrial Parkway,Chicago,60657,US,EN,+1 614 555 1830,purchasing@dunmore-textiles.com,11-9859985,,,2016-04-01
0000071681,KRED,Maibach Technik & Partner GmbH & Co. KG,,MAIBACH TE,Otto-Hahn-Straße 78,München,80379,DE,DE,+49 511 702 7618,info@maibach-technik.de,DE271272689,,,2014-12-30
0000071688,DIEN,Shonar-Karnaphuli Textiles Limited,,SHONARKARN,174 Tejgaon Industrial Area,Chattogram,4014,BD,EN,+880 31 550 0417,orders@shonar-karnaphuli.com.bd,512181087-8756,,,2010-07-13
0000071795,LIEF,"Qingdao Antai & Longxin Co., Ltd.",,QINGDAO AN,"Building 199, Xingye Road",Qingdao,266003,CN,ZH,+86 532 253 7505,sales@qingdao-antai.com.cn,910684571HPKPHYY56,,,2011-12-11
0000071846,LIEF,Shreeji Fabrics Pvt Ltd,,SHREEJI FA,"Plot No. 17, Sector 8, IMT",Chennai,600057,IN,EN,+91 120 336 8652,finance@shreeji-fabrics.in,33KJWMZ9076L1ZV,,,2011-07-02
0000071920,KRED,Tannhof Technik & Partner GmbH & Co. KG,c/o Zentralregulierung Nord,TANNHOF TE,Carl-Benz-Straße 144,Bremen,28269,DE,DE,+49 341 664 1862,service@tannhof-technik.de,DE823203775,,,2010-09-21
0000071944,KRED,Lindner Technik AG,,LINDNER TE,Lindenallee 187,Köln,50744,DE,DE,+49 711 269 2667,kontakt@lindner-technik.de,DE229225726,,,2016-04-01
0000071945,DIEN,Kessler & Osterbach e.K.,,KESSLER OS,Hauptstraße 126,Hannover,30168,DE,DE,,rechnung@kessler-osterbach.de,DE345140545,,,2016-04-01
0000072000,DIEN,Vaishnavi & Mahavir Ltd,,VAISHNAVI,229 Avinashi Road,Ludhiana,141004,IN,EN,+91 11 5901 5116,purchasing@vaishnavi-mahavir.in,03XGATF7333I1ZY,,,2016-04-01
0000072086,KRED,Haustein Getränke GmbH,,HAUSTEIN G,Zur Mühle 222,Hamburg,20117,DE,DE,+49 341 675 2043,export@haustein-getranke.de,DE447263,,,2010-09-03
0000072214,LIEF,Ganapathy-Mahavir Garments Private Limited,,GANAPATHYM,"Plot 19, MIDC Industrial Area",Chennai,600048,IN,EN,,,33QRWZH4054C1ZS,,,2016-04-01
0000072259,DIEN,"Dongguan Jinfeng Textile Co., Ltd.",,DONGGUAN J,No. 171 Jinshan Road,Dongguan,523029,CN,ZH,+86 769 515 1894,contact@dongguan-jinfeng.com.cn,91942808269O8BXIL9,,,2012-01-10
0000072276,LIEF,Ricciardi Sistemi S.p.A.,Branch Office,RICCIARDI,Via Industriale 153,Milano,20160,IT,IT,+39 011 6646 8891,ap@ricciardi-sistemi.it,IT11897166321,,,2014-06-19
0000072333,LIEF,Quarrymill Distribution & Partner Ltd,,QUARRYMILL,179 Station Road,Nottingham,00000,GB,EN,+44 20 3538 0055,billing@quarrymill-distribution.co.uk,GB162560042,,,2015-08-04
0000072410,LIEF,Vermeer Techniek N.V.,Export Department,VERMEER TE,Distributiestraat 71,Rotterdam,3058 GO,NL,EN,+31 30 351 8563,sales@vermeer-techniek.nl,NL275235675B81,,,2016-04-01
0000072512,KRED,Weissmann AG,,WEISSMANNA,Robert-Bosch-Straße 132,Bremen,28209,DE,DE,+49 341 678 1773,rechnung@weissmann.de,DE552535802,,,2016-02-08
0000072535,LIEF,Deverill Print Corp.,,DEVERILL P,237 Industrial Parkway,Chicago,60606,US,EN,+1 404 555 0416,,96-3746231,,,2016-04-01
0000072755,LIEF,Çukurova-Anadolu Halı Ltd. Şti.,c/o Central Settlement,CUKUROVAAN,"184. Sokak, Merter",Bursa,16127,TR,EN,+90 224 973 3293,accounts@cukurova-anadolu.com.tr,2257628658,,,2016-04-01
0000072835,LIEF,Bellevue-Hautefort Services S.A.,,BELLEVUEHA,211 Rue du Commerce,Paris,75006,FR,FR,+33 1 9981 8507,commercial@bellevue-hautefort.fr,FR80018983222,,,2011-06-01
0000072911,LIEF,Yıldız Halı A.Ş.,,YILDIZHALI,Organize Sanayi Bölgesi 2. Cadde,Denizli,20029,TR,EN,+90 312 767 1560,info@yıldız-halı.com.tr,1374476084,,,2016-04-01
0000072992,KRED,Donautal Textil GmbH,,DONAUTALTE,Industriestraße 132,Leipzig,04136,DE,DE,+49 211 675 5247,export@donautal-textil.de,DE391236441,,,2016-04-01
0000073055,DIEN,Schönfeld e.K.,Geschäftsbereich Handel,SCHONFELD,Carl-Benz-Straße 9,Hannover,30212,DE,DE,N/A,buchhaltung@schonfeld-e.de,DE412936042,,,2016-04-01
0000073071,LIEF,Harlow Systems Ltd,Division Retail,HARLOW SYS,173 Queens Road,Nottingham,NG1 0PT,GB,EN,+44 115 684 0888,ap@harlow-systems.co.uk,GB507702548,,,2016-04-01
0000073101,LIEF,Ravenscroft Shopfitting Ltd,,RAVENSCROF,"Unit 138, Trafford Park",Bristol,BS1 6ZF,GB,EN,+44 121 714 7375,admin@ravenscroft-shopfitting.co.uk,GB421855896,,,1900-01-01
0000073148,DIEN,Brenner Druck e.K.,,BRENNER DR,Hafenstraße 9,Nürnberg,90423,DE,DE,+49 89 9661 0167,,DE639379065,,,2016-04-01
0000073169,KRED,ELBTAL & VOGEL GMBH,,ELBTALVOGE,HAFENSTRASSE 10,DUSSELDORF,40279,DE,DE,+49 421 894 0749,export@elbtal-vogel.de,DE 921 527453,,,2016-04-01
0000073172,LIEF,Clifton-Brambleton Furniture Inc.,,CLIFTONBRA,172 Airport Road,Chicago,60649,US,EN,+1 973 555 3956,office@clifton-brambleton.com,40-7037618,,,2016-04-01
0000073203,LIEF,Clara Crestwood Ltd,,CLARACREST,169 Station Road,Leeds,LS1 7JH,GB,EN,+44 115 535 8202,ap@clara-crestwood.co.uk,GB762001330,,,2016-04-01
0000073295,KRED,Tannhof & Haustein GmbH,,TANNHOF HA,Lindenallee 191,München,803940,DE,DE,+49 89 8449 0258,vertrieb@tannhof-haustein.de,DE002271507,,,2016-04-01
0000073298,KRED,Mühlbach e.K.,,MUHLBACH E,Fabrikweg 113,Hamburg,20151,DE,DE,+49 30 8030 1213,buchhaltung@muhlbach-e.de,DE896286981,,,2016-04-01
0000073301,KRED,Thomas Sonnenfeld GmbH,,THOMASSONN,Industriestraße 155,Berlin,10196,DE,DE,+49 69 8177 1065,rechnung@thomas-sonnenfeld.de,DE320057409,,,2016-04-01
0000073403,KRED,Eichberg Verpackungen GmbH & Co. KG,,EICHBERGVE,Robert-Bosch-Straße 234,München,80371,DE,DE,+49 511 422 6101,,DE885261354,,,2016-04-01
0000073442,KRED,Eichberg Systeme GmbH,,EICHBERG S,Am Handelshof 146,Bremen,28234,DE,DE,+49 211 904 7821,vertrieb@eichberg-systeme.de,DE548314004,,,2011-11-02
0000073457,LIEF,Northgate Services PLC,,NORTHGATE,"Unit 206, Kingsway Business Park",Bristol,BS1 5EW,GB,EN,+44 141 504 9382,export@northgate-services.co.uk,GB085713332,,,2016-04-01
0000073577,LIEF,Greystone & Westbrook Ltd,,,"Unit 130, Trafford Park",Birmingham,B1 3HQ,GB,EN,+44 115 510 8139,purchasing@greystone-westbrook.co.uk,GB563564453,,,2016-04-01
0000073608,LIEF,Kingsmere-Underhill Packaging Ltd,,KINGSMEREU,"Unit 62, Trafford Park",Nottingham,NG7 7GA,GB,EN,+44 141 681 0284,billing@kingsmere-underhill.co.uk,GB276132001,,,2012-02-13
0000073625,LIEF,Zanetti-Ricciardi Servizi S.r.l.,,ZANETTIRIC,Via Giuseppe Verdi 53,Torino,10136,IT,IT,+39 06 4009 66797,export@zanetti-ricciardi.it,IT66064731006,,,2016-04-01
0000073709,DIEN,Hautefort Textiles SASU,,HAUTEFORT,"ZI Nord, Lot 102",Lille,59002,FR,FR,+33 5 5932 1204,contact@hautefort-textiles.fr,fr29447168830,,,2012-11-23
0000073713,LIEF,HOLLINGWOOD-ASHFORD FACILITIES PLC,,HOLLINGWOO,"UNIT 16, RIVERSIDE INDUSTRIAL ESTATE",Bristol,BS1 9QS,GB,EN,+44 113 951 5155,billing@hollingwood-ashford.co.uk,GB514752254,,,2010-06-20
0000073760,LIEF,Clara Granville Ltd,,CLARAGRANV,198 Albion Way,Bristol,BS1 9GF,GB,EN,+44 117 285 2577,info@clara-granville.co.uk,GB869826997,,,2016-04-01
0000073890,KRED,Wieland Getränke GmbH,,WIELAND GE,Fabrikweg 111,München,80410,DE,DE,+49 40 2306 4286,kontakt@wieland-getranke.de,DE296844059,,,2010-12-23
0000073917,LIEF,Kuipers Handel B.V.,,KUIPERS HA,Industrieweg 24,Utrecht,3528 ZQ,NL,EN,+31 40 618 0111,admin@kuipers-handel.nl,NL406101441B41,,,2016-04-01
0000074109,KRED,Reinhardt Druck GmbH & Co. KG,,REINHARDT,Hauptstraße 127,Dortmund,44138,DE,DE,+49 511 783 8876,einkauf@reinhardt-druck.de,DE976141092,,,2015-01-18
0000074117,KRED,Maibach Möbel & Partner GmbH,,MAIBACH MO,Hafenstraße 175,München,80408,DE,DE,+49 69 3210 9223,office@maibach-mobel.de,DE847601033,,,2013-10-15
0000074355,LIEF,THIEN AN & KIM SON JSC,,THIENANKIM,39 NGUYEN VAN LINH STREET,Ho Chi Minh City,700436,VN,EN,+84 274 641 6412,sales@thien-an-76.com.vn,7304071556,,,2011-02-06
0000074446,LIEF,"Dongguan Sanhe Hardware & Partner Industrial Co., Ltd.",,DONGGUAN S,"Block 17, Longgang District",Dongguan,523069,CN,ZH,+86 21 3562 8788,admin@dongguan-sanhe.com.cn,912629851NIEF1QS63,,X,2010-08-12
0000074498,DIEN,"Hangzhou Fuhua Electronics Industrial Co., Ltd.",,HANGZHOU F,No. 192 Jinshan Road,Hangzhou,310089,CN,ZH,+86 571 444 8804,billing@hangzhou-fuhua.com.cn,910437227BQ6M2DQQ6,,,2016-04-01
0000074526,LIEF,Zawadzki-Cieślak Technologie Sp. z o.o.,,ZAWADZKICI,ul. Kolejowa 32,Wrocław,50-089,PL,EN,+48 61 220 6488,purchasing@zawadzki-cieslak.pl,PL9115669252,,,2016-04-01
0000074590,LIEF,De Groot Systemen N.V.,,DE GROOT S,Handelskade 226,Rotterdam,3011 JR,NL,EN,+31 30 290 6592,info@de-groot-33.nl,NL412539186B09,,,2015-09-08
0000074595,KRED,Reinhardt Handels GmbH,,REINHARDT,,Leipzig,04189,DE,DE,+49 511 351 6382,export@reinhardt-handels.de,DE347459403,,,2016-04-01
0000074606,LIEF,Górski Handel Sp. z o.o.,Division Retail,GORSKIHAND,ul. Przemysłowa 135,Łódź,90-803,PL,EN,+48 22 397 6774,sales@gorski-handel.pl,PL0339859633,,,2013-12-12
0000074634,KRED,Donautal & Kornblum AG,Logistikzentrum Ost,DONAUTAL K,Zur Mühle 32,Graz,8018,AT,DE,1234,buchhaltung@donautal-kornblum.at,ATU50499546,,,2014-02-05
0000074671,KRED,Wieland Lebensmittel GmbH,,WIELANDLEB,Hafenstraße 230,Graz,8011,AT,DE,+43 732 741510,vertrieb@wieland-lebensmittel.at,ATU82247376,,,2016-04-01
0000074678,LIEF,"GUANGZHOU JINFENG HARDWARE CO., LTD",,GUANGZHOU,"BUILDING 80, XINGYE ROAD",Guangzhou,5100000,CN,ZH,+86 21 4317 7320,accounts@guangzhou-jinfeng.com.cn,910454259TG96RNZ42,,,2016-04-01
0000074693,KRED,Ackermann Systeme e.K.,,ACKERMANN,Am Handelshof 185,Düsseldorf,40299,DE,DE,+49 89 3234 3798,vertrieb@ackermann-systeme.de,DE725076568,,,2010-05-30
0000074704,LIEF,Ravenscroft Foods & Partner Ltd,,RAVENSCROF,114 Albion Way,Nottingham,NG7 6LB,GB,EN,+44 117 329 0504,purchasing@ravenscroft-foods.co.uk,GB037417091,,,2016-04-01
0000074768,DIEN,Clifton-Brambleton Print PLC,,CLIFTONBRA,"Unit 104, Kingsway Business Park",Glasgow,G1 2GX,GB,EN,+44 20 9915 8428,sales@clifton-brambleton.co.uk,GB714404505,,,2016-04-01
0000074772,LIEF,Clara Foxton Limited,,CLARA FOXT,"Unit 48, Riverside Industrial Estate",Nottingham,NG7 6UA,GB,EN,,accounts@clara-foxton.co.uk,GB724421371,X,,2016-04-01
0000074783,LIEF,Schouten Verpakkingen B.V.,,SCHOUTEN V,Distributiestraat 60,Utrecht,3563 OF,EU,EN,+31 40 400 2774,export@schouten-verpakkingen.nl,NL745810123B65,,,2016-04-01
0000074850,DIEN,Meulenbelt B.V.,Division Retail,MEULENBELT,Distributiestraat 137,Utrecht,3537 DJ,NL,EN,+31 30 646 2282,export@meulenbelt-b.nl,NL280198342B83,,,2016-04-01
0000074858,KRED,Tannhof & Sonnenfeld AG,,TANNHOF SO,Industriestrasse 26,Basel,4055,CH,DE,+41 22 784 2618,,CHE-113.468.906 MWST,,,2014-03-10
0000074926,KRED,Seibert Systeme GmbH,,SEIBERT SY,Hafenstraße 172,Bremen,28219,DE,DE,+49 30 2954 9266,service@seibert-systeme.de,DE110838870,,,2016-04-01
0000074932,KRED,Weissmann-Hochstätt Systeme GmbH,c/o Zentralregulierung Nord,WEISSMANNH,Otto-Hahn-Straße 5,Bremen,28240,DE,DE,+49 89 5843 1380,office@weissmann-hochstatt.de,DE249702461,,,2009-11-25
0000074939,KRED,Weissmann-Maibach Elektronik e.K.,,WEISSMANNM,Fabrikweg 73,Essen,45212,DE,DE,,export@weissmann-maibach.de,DE890521655,,,2009-03-09
0000074952,LIEF,Aubry-Montclair Cosmétiques SASU,,AUBRYMONTC,142 Rue du Commerce,Lille,59037,FR,FR,+33 2 8153 8353,comptabilite@aubry-montclair.fr,FR24075936694,,,2016-04-01
0000075005,KRED,Eichberg Ladenbau AG,,EICHBERG L,Robert-Bosch-Straße 51,Graz,8015,AT,DE,+43 732 599797,vertrieb@eichberg-ladenbau.at,ATU77764847,,,2015-01-26
0000075038,DIEN,Thornbury-Eastgate Supplies Limited,,THORNBURYE,"Unit 182, Trafford Park",Leeds,LS11 8SH,GB,EN,,sales@thornbury-eastgate.co.uk,GB022915690,,,2027-02-06
0000075235,LIEF,Kovář Technika s.r.o.,,KOVAR TECH,Nádražní 186,Praha,110 95,CZ,EN,+420 5 2841 8955,office@kovar-technika.cz,CZ89547167,,,2016-04-01
0000075243,KRED,Weissmann & Bergmann AG,,WEISSMANN,Industriestraße 81,Hannover,30179,DE,DE,+49 89 4271 9509,,DE763559513,,,2016-04-01
0000075351,LIEF,Duarte Comercial S.L.,,DUARTE COM,"Carretera de Valencia, km 93",Valencia,46002,ES,ES,+34 976 296508,admin@duarte-comercial.es,EST6855259F,,,2013-06-07
0000075375,KRED,Thomas Ackermann GmbH,,THOMASACKE,Industriestraße 121,Leipzig,04128,DE,DE,+49 511 638 2895,n/a,DE851812645,,,2010-01-07
0000075416,LIEF,Kuipers Voeding N.V.,,KUIPERSVOE,Industrieweg 41,Venlo,5970 EZ,NL,EN,+31 10 529 1492,finance@kuipers-voeding.nl,NL094317056B81,,,2014-03-06
0000075431,LIEF,Zawadzki Logistyka & Partner Sp. z o.o.,,ZAWADZKILO,ul. Kolejowa 24,Wrocław,50-756,PL,EN,+48 42 866 6531,@zawadzki-logistyka.pl,PL3888174635,,,2016-04-01
0000075447,LIEF,Foxton Services & Partner Ltd,,FOXTONSERV,"Unit 68, Trafford Park",Manchester,M1 8RW,GB,EN,+44 117 967 0752,info@foxton-services.co.uk,GB984051073,,,2016-04-01
0000075456,LIEF,"Guangzhou Fuhua Garment Co., Ltd.",Division Retail,GUANGZHOU,No. 120 Zhenhai Industrial Zone,Guangzhou,510018,CN,ZH,+86 592 686 7499,accounts@guangzhou-fuhua.com.cn,91885250GA2Z0TD8H8,,,2010-04-30
0000075523,LIEF,Deverill Services Limited,,DEVERILL S,40 Queens Road,Bristol,BS2 2TA,GB,EN,+44 141 412 3375,,GB713587718,X,,2011-03-15
0000075526,KRED,Haustein Logistik AG,,,Zur Mühle 135,Dresden,01143,DE,DE,+49 69 4120 5085,rechnung@haustein-logistik.de,DE368961969,,,2016-04-01
0000075534,DIEN,Kuipers-Wassenaar Verpakkingen B.V.,c/o Central Settlement,KUIPERSWAS,Havenstraat 219,Eindhoven,5631 RK,NL,EN,+31 40 741 7063,ap@kuipers-wassenaar.nl,NL897949425B15,,,2012-10-30
0000075699,LIEF,Ashulia Accessories & Partner Ltd.,,ASHULIAACC,201 Tejgaon Industrial Area,Narayanganj,1411,BD,EN,+880 2 9738 6662,office@ashulia-accessories.com.bd,195761736-7502,,,2016-04-01
0000075714,,Lewandowski S.A.,,LEWANDOWSK,ul. Przemysłowa 112,Wrocław,50-031,PL,EN,+48 71 304 1151,export@lewandowski-s.pl,PL3956326918,,,2016-04-01
0000075726,LIEF,Venturi Stampa & Partner S.p.A.,,VENTURI ST,Via Giuseppe Verdi 64,Torino,10131,IT,IT,+39 055 2419 1754,accounts@venturi-stampa.it,IT54349614659,,,2012-06-06
0000075750,LIEF,Lacroix Textiles SARL,Sales Division,LACROIXTEX,88 Boulevard Gambetta,Bordeaux,33011,FR,FR,+33 4 9355 0492,contact@lacroix-textiles.fr,FR44175836586,,,2016-04-01
0000075764,DIEN,Schwarzwald Textil GmbH,,SCHWARZWAL,Bahnhofstraße 50,Dortmund,44140,DE,DE,+49 40 3099 0309,verwaltung@schwarzwald-textil.de,DE339873020,,,2016-04-01
0000075777,DIEN,Sancerre SAS,,SANCERRESA,39 Avenue de la République,Bordeaux,33027,FR,FR,+33 5 4051 2247,contact@sancerre.fr,FR66799491088,,,2012-01-10
0000075812,LIEF,Zandvliet & Terlouw N.V.,,ZANDVLIET,,Venlo,5960 QV,NL,EN,+31 77 323 7078,billing@zandvliet-terlouw.nl,NL097994538B00,,,2014-02-25
0000075826,DIEN,Falkenstein-Brenner Lebensmittel GmbH,,FALKENSTEI,Gewerbepark 56,Düsseldorf,40230,XX,DE,+49 221 994 3672,rechnung@falkenstein-brenner.de,DE255168457,,,2016-04-01
0000075871,LIEF,Bosphorus A.Ş.,,BOSPHORUS,Organize Sanayi Bölgesi 116. Cadde,Denizli,20069,TR,EN,,info@bosphorus-a.com.tr,,,,2015-09-23
0000075902,DIEN,Clifton Electronics & Partner Ltd,,CLIFTON EL,58 Mill Lane,Bristol,BS1 8FA,GB,EN,+44 115 265 2930,admin@clifton-electronics.co.uk,GB379429109,,,2010-10-13
0000075907,LIEF,"Xiamen Baolong-Weilong Garment Co., Ltd.",,XIAMEN BAO,"Block 20, Longgang District",Xiamen,361064,CN,ZH,+86 571 204 5793,ap@xiamen-baolong.com.cn,91804490DUOPFKFFM2,,,2013-11-23
0000075991,LIEF,"Kim Son-An Binh Industries Co., Ltd",,KIM SONAN,59 Le Duan Street,Hanoi,100380,VN,EN,+84 274 223 9623,office@kim-son-89.com.vn,0247638072,,,2016-04-01
0000076048,LIEF,Schouten Handel & Partner B.V.,Branch Office,SCHOUTEN H,Distributiestraat 16,Amsterdam,1067 RC,NL,EN,+31 30 533 5900,finance@schouten-handel.nl,NL531959447B52,,,2013-12-08
0000076126,LIEF,Toscani Arredamenti S.p.A.,,TOSCANI AR,Via del Commercio 52,Bologna,40146,IT,IT,+39 051 7327 1653,office@toscani-arredamenti.it,,,,2011-11-27
0000076221,LIEF,IZMIR LOJISTIK A.S.,,IZMIR LOJI,SANAYI CADDESI NO:240,ANKARA,06035,TR,EN,+90 232 840 9924,office@izmir-lojistik.com.tr,2237387437,,,2009-05-30
