LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000000054,EK04,INR,Z090,CIF,100,,
0000000055,EK02,USD,Z090,DDP,500,,
0000000056,EK04,INR,0014,DDP,0,,
0000000057,EK04,INR,0030,EXW,1000,,
0000000058,EK01,EUR,0090,DDP,250,,
0000000059,EK03,GBP,0007,CIP,500,,
0000000060,EK04,INR,Z030,CIF,250,,
0000000061,EK04,JPY,0090,EXW,250,,
0000000062,EK03,JPY,Z060,FCA,0,,
0000000063,EK04,JPY,0030,CIF,2500,,
0000000064,EK02,JPY,0014,CIF,1000,,
0000000065,EK01,JPY,0014,DAP,250,,
0000000066,EK01,JPY,Z030,FCA,100,,
0000000067,EK01,JPY,0001,FCA,500,,
0000000068,EK04,JPY,0060,CIF,500,,
0000000069,EK02,JPY,Z060,DAP,500,,
0000000070,EK03,JPY,0090,FCA,500,,
0000000071,EK02,JPY,0014,CIF,0,,
0000000072,EK04,JPY,0030,FCA,2500,,
0000000073,EK01,JPY,0007,FOB,250,,
0000000074,EK01,JPY,0001,FOB,500,,
0000000075,EK01,JPY,Z030,DAP,500,,
0000000076,EK02,USD,0007,CIP,250,,
0000000077,EK01,EUR,0090,DDP,1000,,
0000000078,EK03,GBP,Z090,CIF,0,,
0000000079,EK03,GBP,Z060,EXW,250,,
0000000080,EK02,USD,0090,FCA,250,,
0000000081,EK04,INR,Z090,FCA,0,,
0000000082,EK04,INR,0007,FCA,2500,,
0000000083,EK02,USD,Z090,FOB,0,,
0000000084,EK01,EUR,0001,CIP,100,,
0000000085,EK01,EUR,Z090,FOB,0,,
0000000086,EK01,EUR,Z060,CIF,250,,
0000000087,EK02,USD,Z060,FOB,1000,,
0000000088,EK01,EUR,0090,FOB,250,,
0000000089,EK02,USD,0001,DDP,1000,,
0000000090,EK02,USD,0007,CIF,500,,
0000000091,EK04,INR,Z030,DDP,1000,,
0000000092,EK01,EUR,0001,DAP,1000,,
0000000093,EK03,GBP,Z090,EXW,100,,
0000000094,EK02,USD,Z030,FOB,2500,,
0000000095,EK03,GBP,Z060,DAP,2500,,
0000000096,EK01,EUR,0060,FCA,100,,
0000000097,EK01,EUR,0030,EXW,1000,,
0000000098,EK03,GBP,Z030,FOB,500,,
0000000099,EK04,INR,0030,EXW,0,,
0000000100,EK01,EUR,0060,EXW,100,,
0000000101,EK04,INR,0030,CIF,1000,,
0000000102,EK04,INR,0030,CIF,100,,
0000000103,EK01,EUR,Z030,CIP,1000,,
0000000104,EK01,EUR,0060,FCA,0,,
0000000105,EK03,GBP,0007,FCA,0,,
0000000106,EK03,GBP,0060,DAP,500,,
0000000107,EK04,INR,0007,FCA,500,,
0000000108,EK04,INR,0014,DAP,500,,
0000000109,EK01,EUR,0007,EXW,2500,,
0000000110,EK01,EUR,Z060,DDP,250,,
0000000111,EK01,EUR,0090,DDP,500,,
0000000112,EK01,EUR,0060,CIP,1000,,
0000000113,EK03,GBP,Z090,DDP,2500,,
0000000114,EK03,GBP,0090,DAP,2500,,
0000000115,EK01,EUR,0090,CIP,100,,
0000000116,EK01,EUR,Z090,DAP,250,,
0000000117,EK04,INR,0030,FCA,0,,
0000000118,EK04,INR,Z030,CIF,250,,
0000000119,EK02,USD,0090,CIP,250,,
0000000120,EK02,USD,Z060,DAP,500,,
0000000121,EK02,USD,0001,CIP,250,,
0000000122,EK01,EUR,0060,EXW,100,,
0000000123,EK01,EUR,Z090,FCA,100,,
0000000124,EK02,USD,0030,CIF,100,,
0000000125,EK02,USD,0007,DAP,1000,,
0000000126,EK01,EUR,Z090,FOB,500,,
0000000127,EK01,EUR,Z030,CIF,1000,,
0000000128,EK02,USD,0090,FOB,0,,
0000000129,EK02,USD,0030,FCA,1000,,
0000000130,EK03,GBP,Z060,DAP,0,,
0000000131,EK03,GBP,0090,EXW,500,,
0000000132,EK01,EUR,Z030,DDP,500,,
0000000133,EK01,EUR,0014,CIF,500,,
0000000134,EK01,EUR,0001,FOB,250,,
0000000135,EK01,EUR,0007,FOB,100,,
0000000136,EK03,GBP,Z060,CIF,500,,
0000000137,EK02,USD,0030,CIF,500,,
0000000138,EK01,EUR,0030,FOB,100,,
0000000139,EK01,EUR,0014,FOB,100,,
0000000140,EK03,GBP,0090,CIP,500,,
0000000141,EK04,INR,0007,EXW,0,,
0000000142,EK03,GBP,0007,DDP,2500,,
0000000143,EK01,EUR,0001,FCA,1000,,
0000000144,EK02,USD,Z030,CIF,0,,
0000000145,EK03,GBP,0014,EXW,0,,
0000000146,EK01,EUR,Z060,FCA,0,,
0000000147,EK02,USD,0014,FOB,250,,
0000000148,EK01,EUR,0090,DAP,1000,,
0000000149,EK01,EUR,0007,EXW,100,,
0000000150,EK01,EUR,0060,FOB,0,,
0000000151,EK01,EUR,0001,CIP,0,,
0000000152,EK01,EUR,0001,CIP,0,,
0000000153,EK03,GBP,0030,DDP,100,,
0000000154,EK04,INR,Z030,DDP,500,,
0000000155,EK01,EUR,0007,FOB,1000,,
0000000156,EK04,INR,0060,CIP,1000,,
0000000157,EK02,USD,0007,DDP,1000,,
0000000158,EK04,INR,0060,FCA,0,,
0000000159,EK04,INR,Z060,CIP,250,,
0000000160,EK04,INR,0014,DAP,2500,,
0000000161,EK01,EUR,Z090,EXW,500,,
0000000162,EK03,GBP,0030,DAP,250,,
0000000163,EK01,EUR,0001,CIF,250,,
0000000164,EK04,INR,0014,DAP,500,,
0000000165,EK02,USD,Z060,FOB,1000,,
0000000166,EK04,INR,0060,FOB,2500,,
0000000167,EK01,EUR,Z030,CIF,100,,
0000000168,EK01,EUR,0060,DAP,250,,
0000000169,EK01,EUR,0030,FCA,500,,
0000000170,EK01,EUR,0014,DAP,100,,
0000000171,EK02,USD,0001,EXW,0,,
0000000172,EK03,GBP,0007,FCA,0,,
0000000173,EK01,EUR,Z060,FCA,100,,
0000000174,EK01,EUR,0007,FOB,250,,
0000000175,EK03,GBP,0090,CIP,100,,
0000000176,EK01,EUR,Z060,CIF,500,,
0000000177,EK02,USD,0007,DAP,2500,,
0000000178,EK01,EUR,Z090,DAP,1000,,
0000000179,EK01,EUR,0060,DAP,100,,
0000000180,EK01,EUR,Z060,DAP,0,,
0000000181,EK04,INR,0090,FCA,500,,
0000000182,EK02,USD,0030,FOB,0,,
0000000183,EK01,EUR,0001,EXW,250,,
0000000184,EK01,EUR,Z030,FCA,500,,
0000000185,EK03,GBP,Z060,DAP,500,,
0000000186,EK03,GBP,0090,CIF,100,,
0000000187,EK01,EUR,0090,DAP,2500,,
0000000188,EK02,USD,Z030,DAP,250,,
0000000189,EK01,EUR,0014,EXW,100,,
0000000190,EK03,GBP,0060,CIF,0,,
0000000191,EK02,USD,Z060,FOB,100,,
0000000192,EK02,USD,0001,FCA,100,,
0000000193,EK03,GBP,Z090,CIP,500,,
0000000194,EK04,INR,0060,FCA,2500,,
0000000195,EK01,EUR,0014,CIF,0,,
0000000196,EK01,EUR,0001,DAP,250,,
0000000197,EK01,EUR,0090,DDP,1000,,
0000000198,EK01,EUR,0090,FOB,0,,
0000000199,EK01,EUR,0007,CIF,1000,,
0000000200,EK04,INR,0030,FCA,100,,
0000000201,EK01,EUR,0090,DAP,2500,,
0000000202,EK02,USD,Z090,FOB,1000,,
0000000203,EK03,GBP,Z030,CIP,1000,,
0000000204,EK01,EUR,0030,CIF,2500,,
0000000205,EK01,EUR,0001,CIF,2500,,
0000000206,EK02,USD,Z090,FOB,1000,,
0000000207,EK02,USD,Z060,EXW,250,,
0000000208,EK04,INR,0090,EXW,500,,
0000000209,EK02,USD,0007,CIF,500,,
0000000210,EK01,EUR,Z060,CIP,1000,,
0000000211,EK04,INR,0030,FOB,1000,,
0000000212,EK02,USD,0030,CIF,250,,
0000000213,EK04,INR,0060,DAP,0,,
0000000214,EK03,GBP,0030,DAP,1000,,
0000000215,EK01,EUR,0060,CIF,250,,
0000000216,EK01,EUR,0001,CIP,100,,
0000000217,EK01,EUR,0001,FCA,500,,
0000000218,EK01,EUR,0030,CIF,0,,
0000000219,EK01,EUR,Z030,EXW,0,,
0000000220,EK02,USD,0060,CIP,1000,,
0000000221,EK02,USD,Z030,EXW,1000,,
0000000222,EK02,USD,0060,DDP,1000,,
0000000223,EK01,EUR,0001,CIF,1000,,
0000000224,EK03,GBP,0030,CIP,2500,,
0000000225,EK02,USD,Z090,FOB,0,,
0000000226,EK01,EUR,0030,CIF,1000,,
0000000227,EK03,GBP,0090,FCA,1000,,
0000000228,EK04,INR,0030,EXW,2500,,
0000000229,EK01,EUR,Z030,EXW,250,,
0000000230,EK02,USD,0030,CIF,0,,
0000000231,EK02,USD,0007,FCA,2500,,
0000000232,EK03,GBP,0060,FCA,2500,,
0000000233,EK01,EUR,0060,DAP,250,,
0000000234,EK02,USD,Z030,FCA,500,,
0000000235,EK01,EUR,0030,DAP,100,,
0000000236,EK01,EUR,0090,EXW,250,,
0000000237,EK01,EUR,0060,CIP,2500,,
0000000238,EK01,EUR,Z090,DAP,0,,
0000000239,EK01,EUR,0007,FCA,0,,
0000000240,EK01,EUR,0001,FCA,0,,
0000000241,EK01,EUR,0060,FCA,0,,
0000000242,EK01,EUR,Z060,FOB,0,,
0000000243,EK01,EUR,Z090,DDP,1000,,
0000000244,EK01,EUR,Z060,CIP,0,,
0000000245,EK02,USD,Z060,DAP,1000,,
0000000246,EK01,EUR,0060,DDP,0,,
0000000247,EK02,USD,0090,DDP,0,,
0000000248,EK01,EUR,0090,FCA,500,,
0000000249,EK03,GBP,0030,CIP,250,,
0000000250,EK01,EUR,0001,CIP,0,,
0000000251,EK04,INR,0007,FCA,100,,
0000000252,EK04,INR,0090,FCA,1000,,
0000000253,EK03,GBP,Z090,FCA,500,,
0000000254,EK02,USD,0090,EXW,250,,
0000000255,EK01,EUR,Z030,DDP,500,,
0000000256,EK02,USD,0007,DDP,1000,,
0000000257,EK02,USD,Z030,FCA,100,,
0000000258,EK01,EUR,0030,CIP,2500,,
0000000259,EK04,INR,Z060,DDP,1000,,
0000000260,EK04,INR,0007,DAP,100,,
0000000261,EK02,USD,Z060,CIP,500,,
0000000262,EK04,INR,Z030,FOB,2500,,
0000000263,EK01,EUR,0090,FCA,0,,
0000000264,EK02,USD,0001,CIF,100,,
0000000265,EK04,INR,0001,CIP,250,,
0000000266,EK01,EUR,0001,DAP,250,,
0000000267,EK02,USD,0090,CIF,2500,,
0000000268,EK02,USD,0001,FOB,500,,
0000000269,EK04,INR,0007,FCA,0,,
0000000270,EK03,GBP,Z090,CIP,0,,
0000000271,EK04,INR,0014,CIF,500,,
0000000272,EK04,INR,Z090,CIP,2500,,
0000000273,EK04,INR,0090,EXW,1000,,
0000000274,EK03,GBP,0001,DDP,2500,,
0000000275,EK02,USD,0090,FCA,250,,
0000000276,EK03,GBP,Z090,DDP,500,,
0000000277,EK01,EUR,0060,EXW,0,,
0000000278,EK03,GBP,0001,FOB,2500,,
0000000279,EK01,EUR,0014,DAP,250,,
0000000280,EK01,EUR,Z030,FCA,250,,
0000000281,EK02,USD,0090,DDP,500,,
0000000282,EK01,EUR,0007,CIP,250,,
0000000283,EK01,EUR,0007,CIF,250,,
0000000284,EK02,USD,0060,CIF,0,,
0000000285,EK03,GBP,0001,FOB,250,,
0000000286,EK02,USD,0014,DAP,0,,
0000000287,EK03,GBP,0014,CIP,1000,,
0000000288,EK02,USD,0007,FOB,0,,
0000000289,EK02,USD,0007,FOB,250,,
0000000290,EK02,USD,0090,EXW,100,,
0000000291,EK04,INR,0030,CIP,0,,
0000000292,EK01,EUR,0030,EXW,250,,
0000000293,EK02,USD,0060,DDP,1000,,
0000000294,EK01,EUR,Z090,DDP,0,,
0000000295,EK02,USD,Z090,CIP,2500,,
0000000296,EK01,EUR,Z090,FOB,1000,,
0000000297,EK01,EUR,0060,EXW,500,,
0000000298,EK01,EUR,0001,FOB,500,,
0000000299,EK04,INR,0007,DAP,250,,
0000000300,EK04,INR,0060,DAP,0,,
0000000301,EK01,EUR,0014,EXW,0,,
0000000302,EK01,EUR,0001,EXW,500,,
0000000303,EK01,EUR,0001,CIF,250,,
0000000304,EK01,EUR,Z030,CIP,0,,
0000000305,EK01,EUR,0060,FCA,1000,,
0000000306,EK01,EUR,Z090,DDP,100,,
0000000307,EK01,EUR,0007,FOB,100,,
0000000308,EK01,EUR,0014,DAP,1000,,
0000000309,EK01,EUR,0007,DAP,0,,
0000000310,EK01,EUR,Z060,FCA,2500,,
0000000311,EK01,EUR,0014,FCA,2500,,
0000000312,EK01,EUR,Z090,FCA,500,,
0000000313,EK02,USD,0001,DAP,1000,,
0000000314,EK02,USD,0060,CIP,2500,,
0000000315,EK03,GBP,0030,CIF,1000,,
0000000316,EK04,INR,0030,EXW,500,,
0000000317,EK04,INR,0030,CIP,2500,,
0000000318,EK04,INR,Z030,FCA,1000,,
0000000319,EK02,USD,0060,FOB,100,,
0000000320,EK03,GBP,Z030,CIP,500,,
0000000321,EK01,EUR,0060,FOB,100,,
0000000322,EK01,EUR,0007,DAP,500,,
0000000323,EK01,EUR,0060,DAP,1000,,
0000000324,EK01,EUR,Z060,EXW,0,,
0000000325,EK02,USD,Z030,CIP,100,,
0000000326,EK04,INR,0060,DAP,100,,
0000000327,EK02,USD,0014,DDP,2500,,
0000000328,EK02,USD,0007,DAP,100,,
0000000329,EK01,EUR,0014,DAP,0,,
0000000330,EK01,EUR,0030,FCA,2500,,
0000000331,EK04,INR,0001,DAP,0,,
0000000332,EK01,EUR,Z030,FCA,100,,
0000000333,EK02,USD,0060,EXW,1000,,
0000000334,EK02,USD,0001,DAP,100,,
0000000335,EK01,EUR,0007,DDP,2500,,
0000000336,EK02,USD,0001,CIF,0,,
0000000337,EK03,GBP,0090,FCA,500,,
0000000338,EK04,INR,0014,FCA,2500,,
0000000339,EK01,EUR,0007,DDP,250,,
0000000340,EK01,EUR,0090,CIF,500,,
0000000341,EK01,EUR,Z090,DAP,250,,
0000000342,EK01,EUR,Z060,DAP,100,,
0000000343,EK04,INR,0014,FCA,500,,
0000000344,EK01,EUR,0090,FCA,2500,,
0000000345,EK03,GBP,0030,CIF,500,,
0000000346,EK01,EUR,0060,CIF,0,,
0000000347,EK03,GBP,0060,EXW,500,,
0000000348,EK03,GBP,Z060,FCA,0,,
0000000349,EK04,INR,0001,DAP,500,,
0000000350,EK01,EUR,Z090,FOB,100,,
0000000351,EK02,USD,Z030,EXW,250,,
0000000352,EK04,INR,0014,FOB,250,,
0000000353,EK03,GBP,0014,CIF,0,,
0000000354,EK04,INR,Z060,DDP,1000,,
0000000355,EK01,EUR,0007,CIP,500,,
0000000356,EK02,USD,0090,FOB,2500,,
0000000357,EK01,EUR,0030,CIF,100,,
0000000358,EK02,USD,0060,DDP,500,,
0000000359,EK01,EUR,Z030,FOB,100,,
0000000360,EK04,INR,Z060,FCA,500,,
0000000361,EK04,INR,0014,EXW,100,,
0000000362,EK03,GBP,Z060,CIF,100,,
0000000363,EK01,EUR,Z090,CIP,2500,,
0000000364,EK04,INR,0014,EXW,250,,
0000000365,EK01,EUR,0090,CIP,250,,
0000000366,EK03,GBP,0007,FOB,2500,,
0000000367,EK02,USD,Z090,DDP,250,,
0000000368,EK02,USD,Z030,EXW,0,,
0000000369,EK01,EUR,0007,FCA,250,,
0000000370,EK01,EUR,0060,DDP,100,,
0000000371,EK01,EUR,Z090,DDP,1000,,
0000000372,EK04,INR,Z090,FCA,2500,,
0000000373,EK04,INR,Z060,CIP,0,,
0000000374,EK02,USD,0014,EXW,250,,
0000000375,EK01,EUR,Z090,CIF,1000,,
0000000376,EK02,USD,0090,EXW,500,,
0000000377,EK01,EUR,0030,FCA,0,,
0000000378,EK01,EUR,0060,DAP,500,,
0000000379,EK02,USD,0060,DAP,250,,
0000000380,EK02,USD,0030,DAP,500,,
0000000381,EK02,USD,0090,EXW,500,,
0000000382,EK02,USD,Z060,CIP,100,,
0000000383,EK02,USD,0030,FOB,0,,
0000000384,EK01,EUR,0090,FOB,500,,
0000000385,EK01,EUR,0030,CIP,250,,
0000000386,EK04,INR,Z060,FCA,500,,
0000000387,EK01,EUR,Z090,EXW,2500,,
0000000388,EK01,EUR,0007,EXW,1000,,
0000000389,EK03,GBP,0014,FCA,500,,
0000000390,EK03,GBP,0001,FCA,500,,
0000000391,EK01,EUR,Z030,CIP,2500,,
0000000392,EK01,EUR,0007,EXW,2500,,
0000000393,EK01,EUR,Z090,CIF,2500,,
0000000394,EK03,GBP,0014,FCA,2500,,
0000000395,EK01,EUR,0030,FCA,250,,
0000000396,EK04,INR,0007,EXW,250,,
0000000397,EK01,EUR,0001,CIP,500,,
0000000398,EK01,EUR,0007,FOB,2500,,
0000000399,EK03,GBP,Z060,FCA,0,,
0000000400,EK02,USD,0090,FCA,1000,,
0000000401,EK02,USD,0007,EXW,250,,
0000000402,EK04,INR,Z090,DAP,2500,,
0000000403,EK02,USD,0030,EXW,500,,
0000000404,EK01,EUR,0060,CIP,100,,
0000000405,EK04,INR,0001,DDP,500,,
0000000406,EK03,GBP,0030,DDP,500,,
0000000407,EK02,USD,0090,EXW,0,,
0000000408,EK02,USD,Z090,CIP,100,,
0000000409,EK04,INR,0060,EXW,500,,
0000000410,EK04,INR,0090,FOB,500,,
0000000411,EK01,EUR,Z090,DAP,100,,
0000000412,EK01,EUR,0001,DAP,0,,
0000000413,EK01,EUR,0001,DAP,250,,
0000000414,EK03,GBP,0030,FCA,100,,
0000000415,EK02,USD,0030,DAP,0,,
0000000416,EK01,EUR,0014,FCA,100,,
0000000417,EK03,GBP,0030,FCA,250,,
0000000418,EK04,INR,Z060,EXW,2500,,
0000000419,EK02,USD,Z060,FCA,1000,,
0000000420,EK02,USD,0014,EXW,0,,
0000000421,EK01,EUR,0030,FOB,2500,,
0000000422,EK01,EUR,0060,DDP,2500,,
0000000423,EK01,EUR,Z030,FCA,2500,,
0000000424,EK02,USD,0007,DDP,100,,
0000000425,EK04,INR,Z060,CIF,0,,
0000000426,EK02,USD,0014,FOB,0,,
0000000427,EK03,GBP,Z090,FCA,2500,,
0000000428,EK02,USD,Z030,EXW,0,,
0000000429,EK04,INR,0014,FCA,0,,
0000000430,EK04,INR,0014,CIF,0,,
0000000431,EK01,EUR,Z030,FCA,2500,,
0000000432,EK01,EUR,0014,FOB,2500,,
0000000433,EK02,USD,Z090,DAP,1000,,
0000000434,EK04,INR,Z090,CIP,1000,,
0000000435,EK04,INR,0090,CIF,100,,
0000000436,EK02,USD,Z090,DAP,1000,,
0000000437,EK01,EUR,0030,CIF,500,,
0000000438,EK02,USD,0014,CIP,500,,
0000000439,EK01,EUR,0060,FOB,250,,
0000000440,EK01,EUR,0030,DAP,0,,
0000000441,EK01,EUR,0030,CIF,250,,
0000000442,EK01,EUR,Z030,DDP,1000,,
0000000443,EK01,EUR,Z060,EXW,1000,,
0000000444,EK01,EUR,0007,DDP,2500,,
0000000445,EK04,INR,0014,EXW,100,,
0000000446,EK03,GBP,Z090,DDP,0,,
0000000447,EK04,INR,Z090,CIF,500,,
0000000448,EK02,USD,0014,EXW,1000,,
0000000449,EK01,EUR,0014,CIP,100,,
0000000450,EK01,EUR,0014,FCA,0,,
0000000451,EK01,EUR,Z090,DDP,1000,,
0000000452,EK01,EUR,Z090,EXW,100,,
0000000453,EK02,USD,Z090,CIP,0,,
0000000454,EK04,INR,0090,CIP,1000,,
0000000455,EK03,GBP,0007,FOB,250,,
0000000456,EK01,EUR,0090,CIP,100,,
0000000457,EK02,USD,0014,EXW,500,,
0000000458,EK02,USD,Z060,DDP,100,,
0000000459,EK01,EUR,0014,DDP,100,,
0000000460,EK01,EUR,0007,CIP,100,,
0000000461,EK02,USD,Z060,EXW,500,,
0000000462,EK03,GBP,Z090,EXW,2500,,
0000000463,EK03,GBP,0090,CIF,100,,
0000000464,EK01,EUR,0060,DDP,250,,
0000000465,EK04,INR,0001,EXW,0,,
0000000466,EK01,EUR,0001,DDP,2500,,
0000000467,EK01,EUR,0001,DDP,2500,,
0000000468,EK01,EUR,0001,EXW,250,,
0000000469,EK01,EUR,0014,DDP,2500,,
0000000470,EK02,USD,0007,EXW,2500,,
0000000471,EK01,EUR,0030,CIF,0,,
0000000472,EK01,EUR,Z060,DDP,1000,,
0000000473,EK04,INR,0090,EXW,2500,,
0000000474,EK04,INR,0001,DAP,100,,
0000000475,EK01,EUR,0090,FOB,500,,
0000000476,EK01,EUR,0007,DDP,1000,,
0000000477,EK01,EUR,0060,DDP,250,,
0000000478,EK02,USD,0060,FCA,0,,
0000000479,EK01,EUR,Z090,DDP,100,,
0000000480,EK01,EUR,Z090,CIF,250,,
0000000481,EK01,EUR,Z060,CIP,0,,
0000000482,EK02,USD,0014,FCA,250,,
0000000483,EK01,EUR,Z090,CIP,0,,
0000000484,EK03,GBP,0090,CIF,500,,
0000000485,EK01,EUR,0001,CIP,500,,
0000000486,EK02,USD,Z060,EXW,0,,
0000000487,EK01,EUR,0001,EXW,2500,,
0000000488,EK04,INR,0060,FCA,500,,
0000000489,EK03,GBP,0090,DAP,250,,
0000000490,EK01,EUR,0007,FOB,2500,,
0000000491,EK02,USD,Z090,FOB,1000,,
0000000492,EK01,EUR,0014,CIF,500,,
0000000493,EK04,INR,0007,FCA,500,,
0000000494,EK02,USD,0014,DDP,250,,
0000000495,EK04,INR,Z090,FCA,250,,
0000000496,EK02,USD,0090,DAP,0,,
0000000497,EK03,GBP,0090,FOB,100,,
0000000498,EK01,EUR,Z030,DAP,0,,
0000000499,EK02,USD,Z090,DAP,0,,
0000000500,EK02,USD,Z060,EXW,500,,
0000000501,EK02,USD,0030,FCA,500,,
0000000502,EK02,USD,Z090,CIF,1000,,
0000000503,EK04,INR,0090,DDP,0,,
0000000504,EK01,EUR,Z090,FCA,100,,
0000000505,EK04,INR,0007,EXW,250,,
0000000506,EK02,USD,0001,EXW,500,,
0000000507,EK01,EUR,0060,DDP,1000,,
0000000508,EK02,USD,0007,CIP,1000,,
0000000509,EK04,INR,0001,FOB,2500,,
0000000510,EK01,EUR,0060,DDP,2500,,
0000000511,EK04,INR,0014,CIP,500,,
0000000512,EK01,EUR,Z060,FCA,1000,,
0000000513,EK01,EUR,0030,CIF,2500,,
0000000514,EK02,USD,0030,CIP,2500,,
0000000515,EK03,GBP,0007,CIF,250,,
0000000516,EK02,USD,0030,FCA,2500,,
0000000517,EK01,EUR,0007,FCA,2500,,
0000000518,EK03,GBP,Z030,CIP,2500,,
0000000519,EK02,USD,0060,DAP,100,,
0000000520,EK01,EUR,Z090,CIP,2500,,
0000000521,EK04,INR,0060,CIF,250,,
0000000522,EK01,EUR,0014,EXW,100,,
0000000523,EK01,EUR,Z030,DDP,2500,,
0000000524,EK02,USD,0014,FOB,2500,,
0000000525,EK01,EUR,Z090,CIF,100,,
0000000526,EK04,INR,0007,FOB,250,,
0000000527,EK02,USD,0007,CIF,0,,
0000000528,EK01,EUR,Z030,FOB,2500,,
0000000529,EK01,EUR,Z030,FCA,250,,
0000000530,EK02,USD,0090,DDP,250,,
0000000531,EK01,EUR,0001,FCA,500,,
0000000532,EK04,INR,0030,DAP,2500,,
0000000533,EK01,EUR,0090,FOB,1000,,
0000000534,EK01,EUR,0014,FOB,100,,
0000000535,EK01,EUR,0001,DAP,0,,
0000000536,EK03,GBP,Z060,CIF,250,,
0000000537,EK03,GBP,Z030,DDP,250,,
0000000538,EK01,EUR,0060,CIP,1000,,
0000000539,EK04,INR,Z090,CIP,0,,
0000000540,EK02,USD,0030,DAP,0,,
0000000541,EK04,INR,0090,FCA,1000,,
0000000542,EK04,INR,Z090,CIP,100,,
0000000543,EK01,EUR,0060,FOB,2500,,
0000000544,EK01,EUR,0014,CIF,1000,,
0000000545,EK02,USD,0001,DAP,2500,,
0000000546,EK02,USD,0090,EXW,250,,
0000000547,EK01,EUR,0001,DDP,250,,
0000000548,EK04,INR,0030,FCA,100,,
0000000549,EK02,USD,0030,DDP,250,,
0000000550,EK04,INR,0030,DDP,1000,,
0000000551,EK02,USD,0060,CIP,250,,
0000000552,EK04,INR,0007,CIF,2500,,
0000000553,EK04,INR,0030,DDP,100,,
0000000554,EK04,INR,0007,EXW,0,,
0000000555,EK02,USD,Z060,CIP,500,,
0000000556,EK02,USD,0007,CIP,0,,
0000000557,EK02,USD,0030,FCA,1000,,
0000000558,EK01,EUR,0007,DAP,2500,,
0000000559,EK01,EUR,0030,CIF,100,,
0000000560,EK02,USD,0014,CIF,2500,,
0000000561,EK01,EUR,0090,FCA,0,,
0000000562,EK02,USD,Z030,DDP,0,,
0000000563,EK02,USD,0007,EXW,1000,,
0000000564,EK04,INR,Z090,CIF,250,,
0000000565,EK03,GBP,Z030,EXW,500,,
0000000566,EK04,INR,Z090,DDP,500,,
0000000567,EK03,GBP,Z090,DAP,1000,,
0000000568,EK03,GBP,0001,EXW,100,,
0000000569,EK03,GBP,0030,DDP,0,,
0000000570,EK04,INR,0001,CIP,0,,
0000000571,EK01,EUR,0090,DDP,500,,
0000000572,EK01,EUR,0007,CIP,100,,
0000000573,EK02,USD,Z090,EXW,100,,
0000000574,EK01,EUR,Z030,FOB,500,,
0000000575,EK02,USD,Z060,FOB,2500,,
0000000576,EK04,INR,0060,DDP,1000,,
0000000577,EK03,GBP,0007,DAP,500,,
0000000578,EK01,EUR,0001,CIP,2500,,
