LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000000033,ZPKG,Sealed Air Protective Packaging,,SEALEDAIR,46 Industrial Park West,Birmingham,B1 1AA,GB,EN,+82-368-3710895,contact@sealed.air.protective.pac.com,GB240466536,X,,2020-12-14
0000000034,ZSRV,HAVI Global Logistics & Supply Chai,Distribution Hub,HAVIGLOBA,10 Packaging Avenue,Gurugram,122001,IN,EN,+75-665-3484601,contact@havi.global.logistics.and.com,27R1590L1Z5,X,,2020-10-26
0000000035,ZPKG,SIG Combibloc Aseptic Systems,,SIGCOMBIB,921 Logistics Boulevard,Cologne,50667,DE,DE,+88-355-2724590,contact@sig.combibloc.aseptic.sys.com,DE325567963,X,,2019-12-19
0000000036,ZSRV,NFI Dedicated Fleet & Crossdock,,NFIDEDICA,998 Commerce Way,Curitiba,80010-000,BR,PT,+53-125-4009172,contact@nfi.dedicated.fleet.and.c.com,40.985.266/0001-32,X,,2019-09-22
0000000037,ZSRV,Cott Bottling & Beverage Services,,COTTBOTTL,831 Central Way,Ahmedabad,380001,IN,EN,+5-979-8896868,contact@cott.bottling.and.beverag.com,27Z2771M1Z5,X,,2018-06-30
0000000038,ZRAW,Cargill Food Ingredients & Starches,,CARGILLFO,359 Freight Terminal Drive,Pune,411001,IN,EN,+85-297-7685149,contact@cargill.food.ingredients..com,27H4652A1Z5,X,,2019-09-06
0000000039,ZRAW,Olam Agri Commodities & Nuts,,OLAMAGRI,360 Industriestraße,Campinas,13010-000,BR,PT,+34-282-5453786,contact@olam.agri.commodities.and.com,78.439.128/0001-24,X,,2016-06-05
0000000040,ZPKG,Sonoco Products Industrial,,SONOCOPRO,747 Harbor Road,Birmingham,B1 1AA,GB,EN,+15-494-4188992,contact@sonoco.products.industria.com,GB649136331,X,,2018-11-09
0000000041,ZPKG,Ball Beverage Packaging Corp,,BALLBEVER,533 Brewery Street,Mumbai,400001,IN,EN,+41-779-3090865,contact@ball.beverage.packaging.c.com,27C6409T1Z5,X,,2024-01-27
0000000042,ZRAW,AAK Specialty Vegetable Fats,,AAKSPECIA,335 Industriestraße,Los Angeles,90001,US,EN,+25-530-7361002,contact@aak.specialty.vegetable.f.com,80-3135534,X,,2023-08-06
0000000043,ZPKG,Novelis Aluminum Can Sheet,,NOVELISAL,416 Industrial Park West,Birmingham,B1 1AA,GB,EN,+56-904-6406444,contact@novelis.aluminum.can.shee.com,GB325681936,X,,2021-03-19
0000000044,ZSRV,Pacmoore Dry Blending & Sifting,,PACMOORED,524 Avenida Industrial,Cincinnati,45202,US,EN,+37-627-6623525,contact@pacmoore.dry.blending.and.com,31-2422633,X,,2017-01-17
0000000045,ZRAW,Bunge Refined Edible Oils,Plant Operations,BUNGEREFI,826 Brewery Street,Manchester,M1 1AD,GB,EN,+61-725-2221854,contact@bunge.refined.edible.oils.com,GB362897676,,,2021-02-08
0000000046,ZSRV,Fuchs Food Technology & Blending,,FUCHSFOOD,200 Industriestraße,Santos,11010-000,BR,PT,+1-868-2788238,contact@fuchs.food.technology.and.com,41.251.771/0001-98,,X,2020-10-07
0000000047,ZRAW,Symrise Taste & Nutrition Solutions,,SYMRISETA,476 Logistics Boulevard,Hanover,30159,DE,DE,+59-236-8795419,contact@symrise.taste.and.nutriti.com,DE230307805,,X,2023-06-27
0000000048,ZSRV,XPO Logistics Ambient & Reefer,,XPOLOGIST,973 Zone Industrielle,Basel,4001,CH,DE,+55-950-8481188,contact@xpo.logistics.ambient.and.com,CH77750178,,X,2017-10-13
0000000049,ZSRV,KDC/One FMCG Custom Manufacturing,,KDC/ONEFM,861 Supply Chain Park,Cincinnati,45202,US,EN,+81-344-5606980,contact@kdc.one.fmcg.custom.manuf.com,76-9130188,,X,2020-12-06
0000000050,ZPKG,Alpla Plastic Technologies,,ALPLAPLAS,279 Harbor Road,Bengaluru,560001,IN,EN,+20-336-7426265,contact@alpla.plastic.technologie.com,27R2320E1Z5,,X,2023-10-13
0000000051,ZPKG,AptarGroup Dispensing Systems,,APTARGROUP,425 Route Nationale,Mumbai,400001,IN,EN,+27-952-8048838,contact@aptargroup.dispensing.sys.com,27O7812B1Z5,,X,2020-05-14
0000000052,ZSRV,Ecolab Food & Beverage Hygiene,,ECOLABFOO,878 Industriestraße,Rotterdam,3011,NL,FR,+39-871-7542890,contact@ecolab.food.and.beverage..com,NL57212267,,X,2020-09-12
0000000053,ZSRV,DB Schenker Dedicated Fleet Logisti,,DBSCHENKE,820 Central Way,Gurugram,122001,IN,EN,+4-498-6639317,contact@db.schenker.dedicated.fle.com,27I8140P1Z5,,X,2023-07-02
0000000054,ZSRV,Kalyan Retail Display & POS Solutio,,KALYANRET,170 Zone Industrielle,Ahmedabad,380001,IN,EN,+51-706-1454696,contact@kalyan.retail.display.and.com,27T9751A1Z5,,X,2016-12-09
0000000055,ZSRV,Endress+Hauser Sanitary Instrumenta,,ENDRESS+HA,187 Logistics Boulevard,Seattle,98101,US,EN,+59-434-6662319,contact@endress+hauser.sanitary.i.com,51-4551070,,X,2020-04-01
0000000056,ZRAW,Olam Agri Commodities & Nuts,,OLAMAGRI,259 Factory Lane,Pune,411001,IN,EN,+45-329-2151225,contact@olam.agri.commodities.and.com,27X9837B1Z5,,X,2023-04-23
0000000057,ZPKG,Ball Beverage Packaging Corp,,BALLBEVER,205 Industrial Park West,Bengaluru,560001,IN,EN,+86-217-4656838,contact@ball.beverage.packaging.c.com,27H3068P1Z5,,X,2021-03-19
0000000058,ZSRV,Quad Packaging Retail Displays,,QUADPACKA,172 Packaging Avenue,Cologne,50667,DE,DE,+40-210-1430812,contact@quad.packaging.retail.dis.com,DE275842194,,X,2019-07-01
0000000059,ZSRV,Geodis Contract Logistics & Haulage,Distribution Hub,GEODISCON,407 Brewery Street,Leeds,LS1 1BA,GB,EN,+90-891-6059717,contact@geodis.contract.logistics.com,GB209415691,,X,2023-09-03
0000000060,ZSRV,Festo Pneumatics & Factory Automati,,FESTOPNEU,802 Logistics Boulevard,Gurugram,122001,IN,EN,+65-763-6724909,contact@festo.pneumatics.and.fact.com,27N7071C1Z5,,X,2016-02-21
0000000061,ZSRV,Fuchs Food Technology & Blending,,FUCHSFOOD,444 Gewerbestraße,São Paulo,01000-000,BR,PT,+23-851-9753457,contact@fuchs.food.technology.and.com,68.824.256/0001-65,,X,2023-04-18
0000000062,ZRAW,DSM-Firmenich Nutritional Products,,DSM-FIRMEN,794 Avenida Industrial,Bristol,BS1 1AA,GB,EN,+94-706-5502929,contact@dsm-firmenich.nutritional.com,GB986625773,,X,2019-08-13
0000000063,ZRAW,Roquette Frères Plant Proteins,Logistics Terminal,ROQUETTEF,286 Zone Industrielle,São Paulo,01000-000,BR,PT,+44-129-9293086,contact@roquette.frères.plant.pro.com,82.724.784/0001-58,,X,2019-08-24
0000000064,ZPKG,Mauser Packaging Solutions,,MAUSERPAC,817 Supply Chain Park,New York,10001,US,EN,+72-110-9667566,contact@mauser.packaging.solution.com,86-5635017,,X,2018-02-21
0000000065,ZPKG,Avery Dennison Label Solutions,,AVERYDENN,501 Central Way,Berlin,10117,DE,DE,+92-602-8519121,contact@avery.dennison.label.solu.com,DE793532952,,X,2016-03-11
0000000066,ZPKG,Sealed Air Protective Packaging,,SEALEDAIR,709 Central Way,Berlin,10117,DE,DE,+48-584-9907391,contact@sealed.air.protective.pac.com,DE724440558,,X,2019-11-09
0000000067,ZSRV,Nutra-Blend Contract Manufacturing,,NUTRA-BLEN,361 Zone Industrielle,Basel,4001,CH,DE,+30-223-4231028,contact@nutra-blend.contract.manu.com,CH43742830,,X,2019-07-16
0000000068,ZPKG,Graphic Packaging International,Logistics Terminal,GRAPHICPA,190 Brewery Street,Ahmedabad,380001,IN,EN,+37-202-4256752,contact@graphic.packaging.interna.com,27I9595T1Z5,,X,2019-04-28
0000000069,ZRAW,Kerry Taste & Nutrition Ingredients,,KERRYTAST,15 Commerce Way,Minneapolis,55401,US,EN,+90-229-9235577,contact@kerry.taste.and.nutrition.com,16-5901239,,X,2017-02-24
0000000070,ZPKG,Amcor Flexibles Packaging,,AMCORFLEX,491 Zone Industrielle,Leeds,LS1 1BA,GB,EN,+33-982-9014965,contact@amcor.flexibles.packaging.com,GB155165334,,X,2017-04-12
0000000071,ZPKG,Huhtamaki Foodservice Packaging,Regional HQ,HUHTAMAKI,591 Logistics Boulevard,Atlanta,30303,US,EN,+32-221-7982241,contact@huhtamaki.foodservice.pac.com,48-2429098,,X,2022-10-19
0000000072,ZSRV,Festo Pneumatics & Factory Automati,,FESTOPNEU,795 Industriestraße,Bengaluru,560001,IN,EN,+55-412-2010496,contact@festo.pneumatics.and.fact.com,27O5871S1Z5,,X,2022-11-02
0000000073,ZPKG,Constantia Flexibles Food Pkg,,CONSTANTIA,641 Brewery Street,Amsterdam,1012,NL,FR,+21-345-3916107,contact@constantia.flexibles.food.com,NL20896797,,X,2022-03-10
0000000074,ZPKG,Alpla Plastic Technologies,,ALPLAPLAS,462 Avenida Industrial,Berlin,10117,DE,DE,+37-823-5743227,contact@alpla.plastic.technologie.com,DE348545713,,X,2023-11-19
0000000075,ZSRV,Del Monte Toll Manufacturing,,DELMONTE,947 Supply Chain Park,Düsseldorf,40213,DE,DE,+76-777-4318855,contact@del.monte.toll.manufactur.com,DE771150922,,,2020-10-07
0000000076,ZPKG,Silgan Closures & Metal Containers,,SILGANCLO,931 Supply Chain Park,Dallas,75201,US,EN,+22-911-6160869,contact@silgan.closures.and.metal.com,19-2000560,,,2022-09-03
0000000077,ZSRV,Bollore Logistics Food Cargo,,BOLLORELO,128 Zone Industrielle,Lille,59000,FR,FR,+35-612-9284509,contact@bollore.logistics.food.ca.com,FR64023778,,,2020-11-28
0000000078,ZPKG,Avery Dennison Label Solutions,,AVERYDENN,753 Harbor Road,Leeds,LS1 1BA,GB,EN,+12-334-1348050,contact@avery.dennison.label.solu.com,GB127772220,,,2023-07-16
0000000079,ZRAW,DSM-Firmenich Nutritional Products,,DSM-FIRMEN,482 Zone Industrielle,Manchester,M1 1AD,GB,EN,+75-546-9249789,contact@dsm-firmenich.nutritional.com,GB294872482,,,2017-01-08
0000000080,ZSRV,KDC/One FMCG Custom Manufacturing,,KDC/ONEFM,329 Packaging Avenue,New York,10001,US,EN,+89-607-5835492,contact@kdc.one.fmcg.custom.manuf.com,52-7906258,,,2023-06-06
0000000081,ZSRV,Hearthside Food Solutions Co-Packin,Specialty Ingredients Div,HEARTHSIDE,38 Zone Industrielle,Gurugram,122001,IN,EN,+52-985-9633492,contact@hearthside.food.solutions.com,27K2899Y1Z5,,,2016-01-05
0000000082,ZSRV,Bühler Food Processing Machinery,Specialty Ingredients Div,BÜHLERFOO,424 Logistics Boulevard,Curitiba,80010-000,BR,PT,+57-878-1865901,contact@bühler.food.processing.ma.com,89.874.610/0001-90,,,2018-04-13
0000000083,ZRAW,DSM-Firmenich Nutritional Products,Regional HQ,DSM-FIRMEN,449 Avenida Industrial,Minneapolis,55401,US,EN,+40-664-1229419,contact@dsm-firmenich.nutritional.com,40-3657144,,,2022-03-12
0000000084,ZSRV,Cott Bottling & Beverage Services,,COTTBOTTL,473 Packaging Avenue,Hamburg,20095,DE,DE,+64-833-5896624,contact@cott.bottling.and.beverag.com,DE265325235,,,2021-09-15
0000000085,ZSRV,Menasha In-Store Merchandising,,MENASHAIN,484 Central Way,Nuremberg,90402,DE,DE,+50-295-9526867,contact@menasha.in-store.merchand.com,DE255308128,,,2017-07-13
0000000086,ZPKG,Huhtamaki Foodservice Packaging,,HUHTAMAKI,349 Supply Chain Park,Berlin,10117,DE,DE,+93-405-9214801,contact@huhtamaki.foodservice.pac.com,DE403696046,,,2017-08-31
0000000087,ZSRV,TreeHouse Private Brands Co-Packing,,TREEHOUSE,341 Industriestraße,New York,10001,US,EN,+90-344-7425184,contact@treehouse.private.brands..com,51-4165061,,,2018-08-14
0000000088,ZSRV,Cott Bottling & Beverage Services,,COTTBOTTL,723 Industriestraße,Nuremberg,90402,DE,DE,+84-255-9310235,contact@cott.bottling.and.beverag.com,DE812630453,,,2016-05-31
0000000089,ZPKG,SIG Combibloc Aseptic Systems,,SIGCOMBIB,891 Packaging Avenue,New York,10001,US,EN,+68-567-1257489,contact@sig.combibloc.aseptic.sys.com,66-2672884,,,2024-02-07
0000000090,ZPKG,DS Smith Corrugated Packaging,,DSSMITHC,77 Avenida Industrial,Dallas,75201,US,EN,+80-809-7668663,contact@ds.smith.corrugated.packa.com,43-6680114,,,2023-04-15
0000000091,ZPKG,Avery Dennison Label Solutions,,AVERYDENN,390 Harbor Road,Santos,11010-000,BR,PT,+80-170-4938791,contact@avery.dennison.label.solu.com,72.993.654/0001-14,,,2023-01-29
0000000092,ZSRV,Stora Enso Brand Activation Display,,STORAENSO,765 Factory Lane,Lyon,69001,FR,FR,+98-748-2686231,contact@stora.enso.brand.activati.com,FR23212812,,,2020-12-22
0000000093,ZPKG,Greif Industrial Drum Packaging 93,,GREIFINDU,48 Harbor Road,London,EC1A 1BB,GB,EN,+46-483-8225725,contact@greif.industrial.drum.pac.com,GB415001254,,,2017-08-19
0000000094,ZRAW,Roquette Frères Plant Proteins 94,Logistics Terminal,ROQUETTEF,175 Agri Park Road,Dallas,75201,US,EN,+64-697-3401116,contact@roquette.frères.plant.pro.com,89-5040453,,,2018-08-09
0000000095,ZSRV,Crest Foods Contract Blending 95,,CRESTFOOD,262 Industrial Park West,Leeds,LS1 1BA,GB,EN,+37-793-3650391,contact@crest.foods.contract.blen.com,GB599561877,,,2016-10-29
0000000096,ZSRV,Pacmoore Dry Blending & Sifting 96,,PACMOORED,655 Route Nationale,Utrecht,3511,NL,FR,+39-303-7454081,contact@pacmoore.dry.blending.and.com,NL71315464,,,2021-06-02
0000000097,ZPKG,Sonoco Products Industrial 97,,SONOCOPRO,589 Freight Terminal Drive,Cologne,50667,DE,DE,+3-949-7640518,contact@sonoco.products.industria.com,DE417001612,,,2019-01-29
0000000098,ZPKG,Amcor Flexibles Packaging 98,,AMCORFLEX,797 Logistics Boulevard,Glasgow,G1 1AA,GB,EN,+64-952-5801541,contact@amcor.flexibles.packaging.com,GB900122509,,,2018-07-31
0000000099,ZSRV,SKF Food Line Bearings & Lubricatio,,SKFFOODL,652 Brewery Street,Bengaluru,560001,IN,EN,+13-742-1661401,contact@skf.food.line.bearings.an.com,27V3240U1Z5,,,2019-06-19
0000000100,ZSRV,Pacmoore Dry Blending & Sifting 100,Specialty Ingredients Div,PACMOORED,750 Commerce Way,Cologne,50667,DE,DE,+96-525-3946751,contact@pacmoore.dry.blending.and.com,DE450811990,,,2018-04-02
0000000101,ZPKG,Tetra Pak Processing & Packaging Sy,,SIGCOMBIB,544 Supply Chain Park,Chennai,600001,IN,EN,+38-864-6682698,contact@sig.combibloc.aseptic.sys.com,DE129485720,,,2017-04-16
0000000102,ZSRV,Tetra Pak Packaging GmbH,,CRESTFOOD,773 Central Way,Chennai,600001,IN,FR,+72-474-2515030,contact@crest.foods.contract.blen.com,DE129485720,,,2020-06-04
0000000103,ZPKG,Amcor Flexibles Packaging NA,,AMCORFLEX,466 Gewerbestraße,Hamburg,20095,DE,DE,+34-698-7392547,contact@amcor.flexibles.packaging.com,US36-2819401,,,2023-02-28
0000000104,ZRAW,Amcor Packaging Solutions,,AGRANAFRU,483 Industrial Park West,Hamburg,20095,DE,DE,+42-724-4713925,contact@agrana.fruit.preparations.com,US36-2819401,,,2023-04-06
0000000105,ZPKG,Cargill Food Ingredients UK,,HUHTAMAKI,932 Freight Terminal Drive,Leeds,LS1 1BA,GB,EN,+18-146-1624315,contact@huhtamaki.foodservice.pac.com,GB918274619,,,2019-05-31
0000000106,ZSRV,Cargill Agricultural Starches,,DHLSUPPLY,909 Commerce Way,Leeds,LS1 1BA,GB,DE,+86-860-8031780,contact@dhl.supply.chain.cold-cha.com,GB918274619,,,2022-08-02
0000000107,ZPKG,Kerry Ingredients India Pvt,,APTARGROUP,854 Avenida Industrial,São Paulo,01000-000,BR,PT,+28-554-8460758,contact@aptargroup.dispensing.sys.com,27AABCG1234F1Z5,,,2018-08-25
0000000108,ZRAW,Kerry Taste & Flavours India,Specialty Ingredients Div,SUDZUCKER,558 Gewerbestraße,São Paulo,01000-000,BR,DE,+16-968-8628891,contact@sudzucker.industrial.suga.com,27AABCG1234F1Z5,,,2017-01-10
0000000109,ZSRV,Roquette Freres Nutrition,Distribution Hub,BÜHLERFOO,52 Harbor Road,Frankfurt,60311,DE,DE,+73-310-2151087,contact@bühler.food.processing.ma.com,FR829104928,,,2022-03-20
0000000110,ZRAW,Roquette Frères Ingrédients,,ARCHERDAN,337 Commerce Way,Frankfurt,60311,DE,EN,+1-383-3427461,contact@archer.daniels.midland.nu.com,FR829104928,,,2017-06-16
0000000111,ZSRV,Ball Beverage Packaging Corp,Specialty Ingredients Div,AMERICOLD,113 Industrial Park West,Munich,80331,DE,DE,+31-702-6431983,contact@americold.temperature-con.com,US41-9872134,,,2016-03-05
0000000112,ZPKG,Ball Beverage Can Division,,NOVELISAL,760 Route Nationale,Munich,80331,DE,DE,+9-587-8520810,contact@novelis.aluminum.can.shee.com,US41-9872134,,,2020-01-22
0000000113,ZSRV,Symrise Taste & Nutrition Solutions,,C.H.ROBIN,516 Central Way,Leeds,LS1 1BA,GB,EN,+94-902-9748499,contact@c.h..robinson.worldwide.f.com,DE812345678,,,2019-05-20
0000000114,ZSRV,Symrise Flavourings GmbH,,DELMONTE,63 Avenida Industrial,Leeds,LS1 1BA,GB,EN,+88-210-9225346,contact@del.monte.toll.manufactur.com,DE812345678,,,2023-12-27
0000000115,ZSRV,Refresco Beverages Bottling,Specialty Ingredients Div,PACMOORED,330 Commerce Way,Hamburg,20095,DE,DE,+82-699-6455706,contact@pacmoore.dry.blending.and.com,NL801928374B01,,,2020-04-09
0000000116,ZSRV,Refresco Bottling Europe BV,Plant Operations,FESTOPNEU,518 Route Nationale,Hamburg,20095,DE,EN,+56-562-4833486,contact@festo.pneumatics.and.fact.com,NL801928374B01,,,2020-08-21
0000000117,ZRAW,Sensient Technologies Flavors 117,,SENSIENTT,426 Packaging Avenue,Curitiba,80010-000,BR,PT,+20-803-8956894,contact@sensient.technologies.fla.com,50.781.361/0001-57,,,2016-10-01
0000000118,ZPKG,Sealed Air Protective Packaging 118,,SEALEDAIR,443 Packaging Avenue,São Paulo,01000-000,BR,PT,+8-700-6530541,contact@sealed.air.protective.pac.com,57.931.233/0001-81,,,2023-07-07
0000000119,ZPKG,Graphic Packaging International 119,,GRAPHICPA,889 Logistics Boulevard,Los Angeles,90001,US,EN,+46-206-9512969,contact@graphic.packaging.interna.com,86-6242022,,,2018-05-21
0000000120,ZPKG,Ecolab Food & Beverage Hygiene,,APTARGROUP,868 Packaging Avenue,Minneapolis,55401,US,EN,+48-217-5673599,contact@aptargroup.dispensing.sys.com,GB697285504,,,2022-06-09
0000000121,ZRAW,Ecolab F&B Hygiene Inc,,SYMRISETA,998 Industrial Park West,Minneapolis,55401,US,EN,+24-379-6183902,contact@symrise.taste.and.nutriti.com,27V5381A1Z5,,,2019-10-23
0000000122,ZRAW,Smurfit Kappa Corrugated PKG,Plant Operations,GLANBIANU,580 Industriestraße,Hanover,30159,DE,DE,+96-643-4609330,contact@glanbia.nutritionals.dair.com,DE198524063,,,2020-03-20
0000000123,ZSRV,Smurfit Kappa Corrugated BV,,FUCHSFOOD,379 Freight Terminal Drive,Hanover,30159,DE,EN,+7-259-3640899,contact@fuchs.food.technology.and.com,82-2425342,,,2022-12-05
0000000124,ZPKG,Lineage Logistics Refrigerated,,CROWNCORK,454 Route Nationale,Dallas,75201,US,EN,+54-379-4616647,contact@crown.cork.and.seal.europ.com,GB574641329,,,2021-09-29
0000000125,ZPKG,Lineage Cold Storage Logistics,,SILGANCLO,291 Avenida Industrial,Dallas,75201,US,EN,+29-504-1919088,contact@silgan.closures.and.metal.com,49-1761976,,,2016-02-01
0000000126,ZRAW,Givaudan Fragrances & Flavours,,ARCHERDAN,786 Commerce Way,Basel,4001,CH,EN,+16-107-9344741,contact@archer.daniels.midland.nu.com,47-6504979,,,2020-10-29
0000000127,ZPKG,Givaudan Flavours & Fragrances,,NOVELISAL,721 Central Way,Basel,4001,CH,DE,+86-925-6941939,contact@novelis.aluminum.can.shee.com,DE994807263,,,2016-10-22
0000000128,ZSRV,Berry Global Consumer Packaging,,REFRESCOB,447 Industrial Park West,Cincinnati,45202,US,PT,+55-687-7785090,contact@refresco.beverages.bottli.com,19.982.420/0001-83,,,2023-12-16
