LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000000227,1000,211000,Z060,C,CS01,,
0000000228,2000,211400,0030,E,CS01,,
0000000229,1000,160100,0090,E,DB01,,
0000000230,1000,160200,0001,B,BARC,,
0000000231,1000,211400,0030,T,SBI1,,
0000000232,4000,160200,Z060,U,BARC,,
0000000233,2000,160000,0060,B,SBI1,,
0000000234,1000,211400,0030,T,CS01,,
0000000235,1000,211000,0045,B,CITI,,
0000000236,1000,211000,0045,U,UBS1,,
0000000237,1000,160100,0090,E,DB01,,
0000000238,1000,160000,0030,B,SBI1,,
0000000239,1000,160200,0030,U,SBI1,,
0000000240,1000,211000,Z090,B,UBS1,,
0000000241,1000,160200,Z060,B,UBS1,,
0000000242,1000,160000,0030,C,SBI1,,
0000000243,1000,160200,0060,U,SBI1,,
0000000244,1000,160100,0001,B,UBS1,,
0000000245,1000,160000,0014,C,SBI1,,
0000000246,1000,160200,0045,C,UBS1,,
0000000247,1000,160100,0014,C,CS01,,
0000000248,1000,160200,Z030,U,SBI1,,
0000000249,1000,160200,0030,B,CS01,,
0000000250,4000,160000,Z090,C,SBI1,,
0000000250,1000,160100,Z030,U,DB01,,
0000000251,2000,211400,0060,U,CS01,,
0000000252,1000,160100,Z030,B,CITI,,
0000000253,1000,211000,0090,T,CITI,,
0000000254,1000,160100,0060,T,DB01,,
0000000255,2000,160200,0090,E,UBS1,,
0000000256,2000,160100,Z090,E,UBS1,,
0000000257,2000,160200,Z030,U,SBI1,,
0000000257,1000,160000,0090,B,BARC,,
0000000258,1000,211400,0014,E,DB01,,
0000000259,3000,211000,0014,T,DB01,,
0000000260,2000,160100,0060,C,SBI1,,
0000000261,2000,211000,0045,T,CS01,,
0000000262,2000,160000,0060,C,BARC,,
0000000262,1000,160200,0030,B,CITI,,
0000000263,2000,160200,Z030,T,UBS1,,
0000000264,1000,160100,0045,E,SBI1,,
0000000265,3000,160000,0030,U,SBI1,,
0000000266,2000,160100,Z090,C,CITI,,
0000000266,1000,211000,0060,E,CITI,,
0000000267,3000,160000,Z090,C,CITI,,
0000000267,1000,160100,0045,B,CS01,,
0000000268,3000,160200,Z090,C,HDFC,,
0000000269,3000,211400,Z030,C,DB01,,
0000000270,3000,160000,0001,B,BARC,,
0000000271,2000,160100,0060,T,SBI1,,
0000000272,2000,160000,0001,U,CITI,,
0000000272,1000,160100,Z030,U,HDFC,,
0000000273,1000,211400,0014,B,DB01,,
0000000274,2000,211400,0045,C,BARC,,
0000000275,2000,160200,Z090,T,UBS1,,
0000000275,1000,211000,0030,B,SBI1,,
0000000276,3000,211000,0001,T,DB01,,
0000000277,2000,211400,Z060,E,CS01,,
0000000278,1000,160200,0090,C,CS01,,
0000000279,3000,160100,0045,B,HDFC,,
0000000279,1000,160200,Z030,B,DB01,,
0000000280,1000,160200,0060,E,DB01,,
0000000281,4000,211000,0090,T,SBI1,,
0000000281,1000,211000,Z060,B,CITI,,
0000000282,2000,211000,Z060,C,HDFC,,
0000000282,1000,160000,0060,C,HDFC,,
0000000283,2000,160000,0001,B,CS01,,
0000000283,1000,160200,0060,C,DB01,,
0000000284,3000,160100,0060,C,BARC,,
0000000284,1000,160100,0060,B,CS01,,
0000000285,4000,160200,0090,T,DB01,,
0000000285,1000,160000,0090,U,UBS1,,
0000000286,3000,160000,0001,U,HDFC,,
0000000287,3000,211000,0090,E,CITI,,
0000000287,1000,211000,Z030,U,DB01,,
0000000288,2000,211400,0001,C,BARC,,
0000000289,5000,160200,0090,E,UBS1,,
0000000290,1000,211000,0001,T,SBI1,,
0000000291,2000,211400,0045,C,HDFC,,
0000000292,2000,211000,0001,T,DB01,,
0000000293,3000,160000,Z060,U,SBI1,,
0000000294,1000,160200,0014,B,CS01,,
0000000295,2000,211000,Z060,E,CS01,,
0000000296,2000,160100,0090,C,BARC,,
0000000297,4000,211400,0001,B,SBI1,,
0000000297,1000,160000,0001,U,CITI,,
0000000298,1000,160100,0030,B,CITI,,
0000000299,3000,211400,0045,U,BARC,,
0000000300,2000,160000,0060,B,DB01,,
0000000301,1000,160100,0030,B,CITI,,
0000000302,1000,160000,Z060,T,HDFC,,
0000000303,3000,160100,0014,U,DB01,,
0000000304,5000,160100,0014,E,UBS1,,
0000000304,1000,160000,Z090,T,UBS1,,
0000000305,1000,160200,0014,T,DB01,,
0000000306,1000,160000,0060,U,SBI1,,
0000000307,1000,160000,0030,T,CS01,,
0000000308,1000,160000,Z030,T,CS01,,
0000000309,1000,211000,0060,T,BARC,,
0000000310,1000,211400,0030,E,UBS1,,
0000000311,1000,160200,0060,B,BARC,,
0000000312,3000,160200,Z090,T,UBS1,,
0000000312,1000,211000,0030,B,CITI,,
0000000313,4000,211000,Z060,U,CS01,,
0000000313,1000,211400,0060,C,CITI,,
0000000314,2000,211000,0090,E,CITI,,
0000000315,2000,160000,0001,C,BARC,,
0000000315,1000,160200,Z090,E,CITI,,
0000000316,2000,160100,0014,U,SBI1,,
0000000317,1000,160200,0060,C,HDFC,,
0000000318,3000,160100,0014,T,CITI,,
0000000319,3000,160200,0045,B,BARC,,
0000000320,1000,211400,0030,C,HDFC,,
0000000321,4000,211000,0030,E,DB01,,
0000000321,1000,211000,Z090,U,SBI1,,
0000000322,1000,211400,Z090,U,HDFC,,
0000000323,1000,160000,0014,E,DB01,,
0000000324,4000,211000,0030,T,UBS1,,
0000000324,1000,211000,0090,U,BARC,,
0000000325,4000,160100,0030,E,SBI1,,
0000000325,1000,211000,Z090,C,DB01,,
0000000326,4000,211000,0001,T,CITI,,
0000000327,2000,160200,0060,U,UBS1,,
0000000328,2000,211000,Z060,T,SBI1,,
0000000329,3000,160100,Z030,T,DB01,,
0000000329,1000,160200,0001,T,UBS1,,
0000000330,2000,160100,Z090,B,SBI1,,
0000000331,1000,211000,Z090,T,BARC,,
0000000332,2000,160000,0014,B,BARC,,
0000000333,4000,211000,0014,B,SBI1,,
0000000334,1000,211400,0001,B,CITI,,
0000000335,3000,211000,Z060,U,CS01,,
0000000336,2000,211400,Z060,E,DB01,,
0000000337,1000,160000,Z060,U,CS01,,
0000000338,2000,160000,Z060,C,HDFC,,
0000000339,3000,211000,0014,T,DB01,,
0000000340,2000,160100,0045,E,UBS1,,
0000000340,1000,160100,Z090,U,HDFC,,
0000000341,1000,211000,0090,U,UBS1,,
0000000342,1000,160200,0090,T,SBI1,,
0000000343,3000,160100,0014,B,CITI,,
0000000344,3000,160000,Z090,C,SBI1,,
0000000345,1000,211400,0001,B,SBI1,,
0000000346,1000,211000,0045,B,CITI,,
0000000347,2000,211000,0045,U,SBI1,,
0000000348,2000,211000,0030,B,SBI1,,
0000000348,1000,160000,0060,U,CS01,,
0000000349,1000,160200,0001,U,HDFC,,
0000000350,1000,211000,Z090,C,CITI,,
0000000351,1000,211000,0090,B,SBI1,,
0000000352,1000,211000,0001,B,UBS1,,
0000000353,1000,211400,0001,E,HDFC,,
0000000354,1000,160000,0090,B,CITI,,
0000000355,2000,160000,0001,B,SBI1,,
0000000356,2000,160100,Z090,C,UBS1,,
0000000357,2000,160100,0060,E,CITI,,
0000000358,3000,160000,0001,C,BARC,,
0000000358,1000,160200,Z090,B,HDFC,,
0000000359,1000,211000,0045,C,BARC,,
0000000360,1000,160000,0060,B,BARC,,
0000000361,2000,211000,0060,E,SBI1,,
0000000362,1000,160200,0045,U,UBS1,,
0000000363,3000,211400,0090,U,DB01,,
0000000364,1000,160200,Z090,U,CITI,,
0000000365,1000,160100,0045,E,CITI,,
0000000366,1000,211000,0030,E,DB01,,
0000000367,2000,160100,0001,B,SBI1,,
0000000368,2000,160200,0014,C,CITI,,
0000000369,2000,211400,0014,B,CS01,,
0000000370,1000,211000,0060,U,BARC,,
0000000371,2000,211000,Z030,B,SBI1,,
0000000372,2000,160200,0045,E,UBS1,,
0000000373,3000,160000,0030,B,HDFC,,
0000000373,1000,160100,0045,T,UBS1,,
0000000374,1000,211000,0001,T,BARC,,
0000000375,2000,160200,0001,C,BARC,,
0000000376,3000,211400,0045,C,BARC,,
0000000376,1000,211000,Z060,B,HDFC,,
0000000377,1000,211400,Z030,T,BARC,,
0000000378,4000,211000,0014,U,DB01,,
0000000379,1000,211000,0090,B,HDFC,,
0000000380,2000,160200,0030,U,HDFC,,
0000000381,2000,160100,0030,E,SBI1,,
0000000382,1000,211000,0045,T,SBI1,,
0000000383,1000,160200,Z030,E,CS01,,
0000000384,3000,211400,Z060,U,DB01,,
0000000384,1000,211400,0045,E,CS01,,
0000000385,1000,160100,0090,C,CS01,,
0000000386,1000,160200,Z060,U,CITI,,
0000000387,2000,211400,Z060,B,SBI1,,
0000000388,3000,211400,Z060,B,HDFC,,
0000000389,1000,211400,Z090,B,CS01,,
0000000390,1000,160000,Z030,E,SBI1,,
0000000391,1000,160200,0045,T,SBI1,,
0000000392,3000,160000,Z090,T,DB01,,
0000000393,2000,160000,0014,T,DB01,,
0000000394,2000,160200,0014,T,DB01,,
0000000395,2000,211400,Z090,E,BARC,,
0000000396,2000,211000,0030,B,CITI,,
0000000396,1000,160000,0001,B,HDFC,,
0000000397,3000,211000,0001,B,BARC,,
0000000398,1000,160000,0090,B,CS01,,
0000000399,1000,160200,0001,T,DB01,,
0000000400,3000,211000,0014,T,CS01,,
0000000401,3000,160200,Z030,T,SBI1,,
0000000402,2000,160000,0030,U,SBI1,,
0000000403,2000,160100,Z090,U,CITI,,
0000000404,3000,160200,Z090,C,CITI,,
0000000405,2000,211400,0060,B,UBS1,,
0000000405,1000,211000,Z030,T,CITI,,
0000000406,2000,211400,0001,E,DB01,,
0000000407,2000,160000,Z090,B,CS01,,
0000000408,1000,211000,0060,T,CS01,,
0000000409,3000,160000,Z060,U,DB01,,
0000000409,1000,160200,0060,T,CS01,,
0000000410,1000,211000,Z060,U,DB01,,
0000000411,3000,160000,0001,B,DB01,,
0000000412,2000,160200,0001,B,HDFC,,
0000000413,1000,160200,0001,B,CS01,,
0000000414,2000,160200,Z030,U,BARC,,
0000000415,2000,211000,Z030,E,CS01,,
0000000416,1000,160200,0030,U,CITI,,
0000000417,2000,160200,0060,C,HDFC,,
0000000418,1000,211400,0030,B,BARC,,
0000000419,1000,160000,Z090,T,HDFC,,
0000000420,2000,211400,0001,T,CITI,,
0000000421,2000,211400,Z090,T,DB01,,
0000000422,3000,211400,0045,U,CITI,,
0000000423,1000,160100,Z090,B,CS01,,
0000000424,1000,160000,0014,T,CS01,,
0000000425,2000,211400,Z030,B,CS01,,
0000000425,1000,160000,Z060,B,CITI,,
0000000426,2000,160200,Z060,B,CS01,,
0000000427,3000,160100,Z060,B,CITI,,
0000000428,4000,211000,Z090,U,UBS1,,
0000000429,1000,160000,0014,E,CS01,,
0000000430,2000,211000,0045,U,CITI,,
0000000431,1000,160000,0030,B,DB01,,
0000000432,2000,211400,Z030,B,UBS1,,
0000000433,1000,211400,Z060,B,CS01,,
0000000434,4000,160100,0090,E,SBI1,,
0000000435,1000,211400,Z030,C,HDFC,,
0000000436,2000,211400,0014,E,HDFC,,
0000000437,1000,211000,Z030,C,HDFC,,
0000000438,1000,160200,0060,E,SBI1,,
0000000439,3000,160200,Z090,E,SBI1,,
0000000439,1000,211000,Z060,U,CITI,,
0000000440,5000,160100,Z090,B,HDFC,,
0000000441,1000,160100,0014,T,SBI1,,
0000000442,5000,211000,0001,T,SBI1,,
0000000442,1000,160200,Z090,B,CS01,,
0000000443,1000,211000,Z060,C,HDFC,,
0000000444,2000,160200,0030,E,DB01,,
0000000445,2000,160200,0060,C,DB01,,
0000000446,2000,160000,0014,T,DB01,,
0000000447,4000,211400,0090,C,CS01,,
0000000447,1000,211400,0030,E,UBS1,,
0000000448,2000,160000,Z030,C,UBS1,,
0000000449,1000,211000,0030,C,SBI1,,
0000000450,3000,211000,0060,C,UBS1,,
0000000451,2000,211400,Z030,E,DB01,,
0000000452,1000,160200,Z030,T,CITI,,
0000000453,1000,211400,Z030,T,SBI1,,
0000000454,1000,211400,0045,E,DB01,,
0000000455,2000,160200,0060,B,CS01,,
0000000455,1000,211400,0090,B,DB01,,
0000000456,1000,160200,0014,E,CS01,,
0000000457,1000,211400,0090,E,CITI,,
0000000458,1000,211400,0030,B,UBS1,,
0000000459,2000,160100,0030,C,BARC,,
0000000460,1000,160200,0060,T,CITI,,
0000000461,3000,160200,Z030,C,CS01,,
0000000462,3000,211400,0090,B,CS01,,
0000000463,1000,160100,0001,T,SBI1,,
0000000464,3000,160100,0060,B,CS01,,
0000000465,2000,211400,0060,B,SBI1,,
0000000465,1000,160200,0045,E,HDFC,,
0000000466,2000,211400,0030,T,DB01,,
0000000466,1000,160100,Z030,E,UBS1,,
0000000467,5000,160100,0030,B,CS01,,
0000000468,1000,211000,0014,C,CITI,,
0000000469,1000,160000,Z090,E,UBS1,,
0000000470,2000,211400,0001,E,SBI1,,
0000000470,1000,160000,Z060,T,BARC,,
0000000471,1000,160200,0001,T,SBI1,,
0000000472,2000,160100,0045,T,BARC,,
0000000473,3000,160100,0060,U,DB01,,
0000000473,1000,160200,0030,E,UBS1,,
0000000474,1000,160200,Z060,U,SBI1,,
0000000475,3000,211400,Z030,U,DB01,,
0000000475,1000,211000,0090,B,DB01,,
0000000476,2000,211000,Z090,T,DB01,,
0000000477,3000,160000,0030,T,HDFC,,
0000000478,1000,211000,Z090,C,UBS1,,
0000000479,3000,211000,0090,C,UBS1,,
0000000480,1000,160200,Z060,C,BARC,,
0000000481,2000,160000,0090,E,CITI,,
0000000482,5000,160200,0001,U,SBI1,,
0000000483,1000,160000,Z090,B,DB01,,
0000000484,5000,160200,0045,U,SBI1,,
0000000485,1000,160100,0014,C,CITI,,
0000000486,3000,160200,Z090,C,SBI1,,
0000000487,2000,211000,0001,B,SBI1,,
0000000488,2000,211000,Z030,C,DB01,,
0000000489,1000,211000,0030,C,DB01,,
0000000490,2000,160000,0014,C,CS01,,
0000000491,2000,160100,0090,T,CS01,,
0000000491,1000,160100,0001,U,CITI,,
0000000492,2000,211000,0030,U,DB01,,
0000000492,1000,160100,0001,B,DB01,,
0000000493,1000,211400,0001,E,SBI1,,
0000000494,1000,160100,Z090,T,BARC,,
0000000495,1000,211000,0014,E,CITI,,
0000000496,2000,211000,0001,U,UBS1,,
0000000496,1000,160200,0014,C,BARC,,
0000000497,2000,211400,0090,E,CITI,,
0000000498,3000,160100,Z060,E,UBS1,,
0000000499,2000,160000,0030,U,BARC,,
0000000500,2000,160200,0001,U,DB01,,
0000000501,5000,211400,0001,E,DB01,,
0000000502,2000,160200,0030,C,BARC,,
0000000502,1000,211000,Z030,T,BARC,,
0000000503,1000,160100,0045,U,DB01,,
0000000504,1000,160100,0045,C,DB01,,
0000000505,1000,160100,Z060,C,CITI,,
0000000506,2000,211000,0060,B,SBI1,,
0000000507,3000,211400,0060,C,CS01,,
0000000508,1000,160000,Z090,U,CS01,,
0000000509,1000,160200,Z060,B,UBS1,,
0000000510,1000,211000,0045,B,DB01,,
0000000511,3000,211400,Z030,E,BARC,,
0000000512,2000,211400,0030,U,BARC,,
0000000513,3000,160000,0090,T,DB01,,
0000000514,2000,160200,Z060,C,CS01,,
0000000514,1000,160200,0014,C,BARC,,
0000000515,1000,211000,0030,E,CITI,,
0000000516,3000,160000,0014,T,HDFC,,
0000000516,1000,211000,Z030,U,UBS1,,
0000000517,2000,211400,Z090,B,UBS1,,
0000000518,1000,160100,0090,E,CS01,,
0000000519,1000,211400,0030,T,CS01,,
0000000520,1000,160000,0030,C,CITI,,
0000000521,2000,160000,0090,B,SBI1,,
0000000522,3000,160000,0014,T,UBS1,,
0000000522,1000,160200,0001,E,BARC,,
0000000523,1000,211000,Z060,B,CITI,,
0000000524,1000,160000,Z030,T,DB01,,
