LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000000047,EK02,,Z060,DDP,10000,,
0000000048,EK03,,Z060,CIP,2500,,
0000000049,EK02,,0090,EXW,1000,,
0000000050,EK04,,0014,DDP,500,,
0000000051,EK04,USD,0090,FCA,10000,,
0000000052,EK03,EUR,0030,CPT,500,,
0000000053,EK02,INR,0001,CPT,500,,
0000000054,EK03,EUR,0045,CPT,2500,,
0000000055,EK02,INR,0090,EXW,2500,,
0000000056,EK03,EUR,Z090,CPT,2500,,
0000000057,EK02,INR,0014,CIP,1000,,
0000000058,EK04,USD,0014,EXW,0,,
0000000059,EK02,INR,0045,DDP,2500,,
0000000060,EK03,EUR,0030,EXW,0,,
0000000061,EK03,JPY,Z090,CIP,2500,,
0000000062,EK02,JPY,Z090,DAP,2500,,
0000000063,EK03,JPY,0001,EXW,500,,
0000000064,EK03,JPY,0014,FCA,1000,,
0000000065,EK02,JPY,0030,DAP,1000,,
0000000066,EK03,JPY,Z060,DDP,500,,
0000000067,EK02,JPY,Z030,CPT,2500,,
0000000068,EK02,JPY,0045,DDP,10000,,
0000000069,EK02,JPY,Z060,CPT,0,,
0000000070,EK03,JPY,Z090,CPT,2500,,
0000000071,EK03,JPY,Z060,CPT,2500,,
0000000072,EK03,JPY,0030,CPT,2500,,
0000000073,EK03,JPY,0030,CPT,500,,
0000000074,EK04,JPY,Z030,DDP,1000,,
0000000075,EK03,JPY,0014,EXW,2500,,
0000000076,EK03,EUR,0001,CIP,0,,
0000000077,EK04,USD,0060,CIP,10000,,
0000000078,EK02,INR,0060,EXW,0,,
0000000079,EK03,EUR,Z090,EXW,2500,,
0000000080,EK02,INR,0060,FCA,1000,,
0000000081,EK02,INR,Z090,FCA,10000,,
0000000082,EK02,INR,0060,CIP,1000,,
0000000083,EK02,INR,0045,EXW,500,,
0000000084,EK04,USD,Z090,CIP,1000,,
0000000085,EK03,EUR,0090,CPT,500,,
0000000086,EK03,EUR,0030,DAP,500,,
0000000087,EK02,INR,0045,EXW,0,,
0000000088,EK04,USD,0090,CIP,1000,,
0000000089,EK03,EUR,Z060,DDP,500,,
0000000090,EK02,INR,0090,CPT,10000,,
0000000091,EK02,INR,Z030,DAP,2500,,
0000000092,EK03,EUR,Z090,CPT,2500,,
0000000093,EK03,EUR,Z060,EXW,0,,
0000000094,EK02,INR,0001,DAP,500,,
0000000095,EK04,USD,0014,EXW,10000,,
0000000096,EK02,INR,0090,DDP,500,,
0000000097,EK02,INR,0001,EXW,10000,,
0000000098,EK03,EUR,0045,CIP,10000,,
0000000099,EK03,EUR,0014,FCA,2500,,
0000000100,EK02,INR,Z090,EXW,0,,
0000000101,EK03,EUR,0045,EXW,2500,,
0000000102,EK03,EUR,Z090,DDP,2500,,
0000000103,EK03,EUR,0014,CIP,0,,
0000000104,EK03,EUR,0060,DDP,0,,
0000000105,EK04,USD,0001,DDP,2500,,
0000000106,EK04,USD,0001,CPT,2500,,
0000000107,EK02,INR,0090,CPT,1000,,
0000000108,EK02,INR,0014,DDP,500,,
0000000109,EK02,INR,0030,CIP,2500,,
0000000110,EK02,INR,Z090,DDP,0,,
0000000111,EK03,EUR,0045,CIP,2500,,
0000000112,EK03,EUR,0090,FCA,0,,
0000000113,EK03,EUR,0001,CPT,0,,
0000000114,EK03,EUR,Z060,DDP,1000,,
0000000115,EK03,EUR,Z060,DDP,0,,
0000000116,EK03,EUR,Z090,EXW,500,,
0000000117,EK03,EUR,Z030,DAP,0,,
0000000118,EK03,EUR,0001,CIP,10000,,
0000000119,EK02,INR,Z090,DAP,2500,,
0000000120,EK03,EUR,0030,DAP,0,,
0000000121,EK03,EUR,0060,EXW,0,,
0000000122,EK03,EUR,0090,CPT,1000,,
0000000123,EK03,EUR,0090,DAP,2500,,
0000000124,EK04,USD,0001,CIP,1000,,
0000000125,EK04,USD,0045,EXW,500,,
0000000126,EK02,INR,Z090,EXW,10000,,
0000000127,EK02,INR,Z060,DDP,10000,,
0000000128,EK03,EUR,Z090,DAP,1000,,
0000000129,EK03,EUR,0030,EXW,0,,
0000000130,EK03,EUR,0030,DAP,10000,,
0000000131,EK03,EUR,0001,CPT,10000,,
0000000132,EK04,USD,0060,EXW,1000,,
0000000133,EK04,USD,0014,EXW,500,,
0000000134,EK02,INR,0001,CPT,1000,,
0000000135,EK02,INR,Z060,EXW,10000,,
0000000136,EK03,EUR,Z060,DAP,0,,
0000000137,EK03,EUR,Z060,DDP,10000,,
0000000138,EK03,EUR,0001,CIP,500,,
0000000139,EK03,EUR,Z090,EXW,10000,,
0000000140,EK03,EUR,0014,DDP,2500,,
0000000141,EK03,EUR,0001,CIP,1000,,
0000000142,EK04,USD,0090,EXW,2500,,
0000000143,EK02,INR,0090,DDP,1000,,
0000000144,EK02,INR,0060,CPT,0,,
0000000145,EK02,INR,0045,CIP,1000,,
0000000146,EK02,INR,Z060,DDP,10000,,
0000000147,EK04,USD,Z030,DDP,0,,
0000000148,EK04,USD,Z030,DDP,10000,,
0000000149,EK04,USD,0001,EXW,1000,,
0000000150,EK03,EUR,0001,FCA,1000,,
0000000151,EK02,INR,Z030,DDP,10000,,
0000000152,EK03,EUR,0030,CIP,0,,
0000000153,EK02,INR,Z090,DAP,500,,
0000000154,EK03,EUR,0014,FCA,1000,,
0000000155,EK03,EUR,0030,FCA,10000,,
0000000156,EK04,USD,0030,DDP,2500,,
0000000157,EK04,USD,0001,CPT,0,,
0000000158,EK02,INR,0060,DAP,10000,,
0000000159,EK03,EUR,0001,CIP,2500,,
0000000160,EK02,INR,Z090,CPT,2500,,
0000000161,EK04,USD,0014,DAP,2500,,
0000000162,EK04,USD,0060,EXW,0,,
0000000163,EK03,EUR,Z060,DAP,1000,,
0000000164,EK02,INR,0001,DAP,2500,,
0000000165,EK03,EUR,Z060,FCA,500,,
0000000166,EK04,USD,0030,DDP,500,,
0000000167,EK03,EUR,Z090,DDP,500,,
0000000168,EK02,INR,0045,EXW,0,,
0000000169,EK04,USD,Z090,CPT,500,,
0000000170,EK02,INR,0045,EXW,1000,,
0000000171,EK02,INR,0001,DAP,10000,,
0000000172,EK04,USD,0060,DDP,1000,,
0000000173,EK03,EUR,0014,FCA,2500,,
0000000174,EK03,EUR,Z030,EXW,1000,,
0000000175,EK03,EUR,Z090,DDP,10000,,
0000000176,EK04,USD,0090,FCA,10000,,
0000000177,EK03,EUR,0001,FCA,0,,
0000000178,EK04,USD,0030,DAP,2500,,
0000000179,EK04,USD,Z060,FCA,500,,
0000000180,EK03,EUR,Z060,CPT,0,,
0000000181,EK03,EUR,0001,DAP,0,,
0000000182,EK04,USD,0030,CIP,10000,,
0000000183,EK02,INR,0014,DDP,0,,
0000000184,EK02,INR,0045,DAP,0,,
0000000185,EK02,INR,0001,EXW,2500,,
0000000186,EK02,INR,Z060,FCA,1000,,
0000000187,EK03,EUR,0014,DAP,1000,,
0000000188,EK04,USD,0045,DAP,2500,,
0000000189,EK03,EUR,0014,CPT,2500,,
0000000190,EK03,EUR,0001,DDP,2500,,
0000000191,EK02,INR,0030,DAP,2500,,
0000000192,EK03,EUR,Z030,DAP,0,,
0000000193,EK04,USD,Z060,FCA,500,,
0000000194,EK03,EUR,0090,DDP,0,,
0000000195,EK03,EUR,0014,DAP,500,,
0000000196,EK02,INR,0045,DDP,0,,
0000000197,EK04,USD,Z060,CIP,1000,,
0000000198,EK04,USD,0014,CPT,1000,,
0000000199,EK03,EUR,Z060,CIP,1000,,
0000000200,EK04,USD,0090,FCA,0,,
0000000201,EK03,EUR,0001,DAP,2500,,
0000000202,EK02,INR,0001,CIP,0,,
0000000203,EK02,INR,Z030,CIP,1000,,
0000000204,EK04,USD,Z030,FCA,1000,,
0000000205,EK03,EUR,Z090,EXW,0,,
0000000206,EK02,INR,Z060,CPT,10000,,
0000000207,EK04,USD,Z090,FCA,2500,,
0000000208,EK03,EUR,0090,FCA,1000,,
0000000209,EK02,INR,Z090,DDP,2500,,
0000000210,EK04,USD,0090,EXW,10000,,
0000000211,EK02,INR,Z090,DAP,1000,,
0000000212,EK02,INR,0045,EXW,10000,,
0000000213,EK02,INR,0030,FCA,0,,
0000000214,EK02,INR,0014,DAP,500,,
0000000215,EK03,EUR,Z060,CPT,0,,
0000000216,EK04,USD,0045,DDP,2500,,
0000000217,EK04,USD,0045,CPT,0,,
0000000218,EK02,INR,0001,FCA,500,,
0000000219,EK02,INR,0045,EXW,2500,,
0000000220,EK03,EUR,Z090,CIP,500,,
0000000221,EK04,USD,Z030,EXW,10000,,
0000000222,EK04,USD,0001,DAP,2500,,
0000000223,EK04,USD,0014,DDP,1000,,
0000000224,EK04,USD,0090,FCA,10000,,
0000000225,EK04,USD,0001,CIP,2500,,
0000000226,EK04,USD,0030,DAP,2500,,
0000000227,EK02,INR,Z030,DDP,500,,
0000000228,EK02,INR,0090,EXW,10000,,
0000000229,EK03,EUR,0045,EXW,1000,,
0000000230,EK03,EUR,Z060,DAP,0,,
0000000231,EK03,EUR,Z060,CIP,10000,,
0000000232,EK03,EUR,0060,CIP,2500,,
0000000233,EK02,INR,0001,CPT,1000,,
0000000234,EK03,EUR,Z030,DDP,1000,,
0000000235,EK03,EUR,0014,CPT,0,,
0000000236,EK03,EUR,0045,DDP,0,,
0000000237,EK03,EUR,0001,EXW,2500,,
0000000238,EK03,EUR,Z090,FCA,10000,,
0000000239,EK03,EUR,Z030,EXW,2500,,
0000000240,EK01,USD,Z090,CPT,0,,
0000000241,EK01,USD,Z060,DDP,500,,
0000000242,EK01,USD,0045,CPT,0,,
0000000243,EK01,USD,0001,DAP,2500,,
0000000244,EK01,USD,0090,EXW,2500,,
0000000245,EK01,USD,0060,CIP,2500,,
0000000246,EK01,USD,0090,DDP,0,,
0000000247,EK01,USD,0030,DDP,0,,
0000000248,EK01,USD,0060,EXW,1000,,
0000000249,EK01,USD,0001,FCA,1000,,
0000000250,EK03,EUR,0060,EXW,0,,
0000000251,EK02,INR,0045,CPT,10000,,
0000000252,EK03,EUR,0001,FCA,500,,
0000000253,EK03,EUR,0014,CIP,1000,,
0000000254,EK03,EUR,Z030,FCA,10000,,
0000000255,EK02,INR,Z090,CIP,10000,,
0000000256,EK02,INR,0014,DDP,2500,,
0000000257,EK02,INR,0090,EXW,1000,,
0000000258,EK03,EUR,0001,FCA,10000,,
0000000259,EK04,USD,0014,CPT,10000,,
0000000260,EK02,INR,Z090,DDP,10000,,
0000000261,EK02,INR,0001,CIP,500,,
0000000262,EK02,INR,0030,CIP,0,,
0000000263,EK02,INR,0014,CPT,1000,,
0000000264,EK03,EUR,0060,CPT,500,,
0000000265,EK04,USD,0001,CIP,2500,,
0000000266,EK02,INR,Z060,DDP,10000,,
0000000267,EK04,USD,0014,CIP,10000,,
0000000268,EK04,USD,0001,EXW,1000,,
0000000269,EK04,USD,0001,CIP,0,,
0000000270,EK04,USD,Z060,DAP,2500,,
0000000271,EK02,INR,Z090,DDP,2500,,
0000000272,EK02,INR,0001,EXW,1000,,
0000000273,EK03,EUR,0030,DAP,2500,,
0000000274,EK02,INR,Z030,DDP,10000,,
0000000275,EK02,INR,Z030,CPT,1000,,
0000000276,EK04,USD,0045,DAP,500,,
0000000277,EK02,INR,Z090,FCA,500,,
0000000278,EK03,EUR,0001,CIP,1000,,
0000000279,EK04,USD,0090,EXW,500,,
0000000280,EK03,EUR,0090,FCA,0,,
0000000281,EK03,EUR,0030,FCA,0,,
0000000282,EK02,INR,0090,CIP,10000,,
0000000283,EK02,INR,0090,CIP,500,,
0000000284,EK04,USD,0001,CIP,0,,
0000000285,EK03,EUR,Z090,EXW,500,,
0000000286,EK04,USD,0090,FCA,1000,,
0000000287,EK04,USD,Z030,FCA,0,,
0000000288,EK02,INR,0030,DAP,2500,,
0000000289,EK04,USD,0001,FCA,0,,
0000000290,EK03,EUR,Z060,DDP,500,,
0000000291,EK02,INR,0090,DAP,2500,,
0000000292,EK02,INR,0030,FCA,0,,
0000000293,EK04,USD,0030,DAP,500,,
0000000294,EK03,EUR,0001,EXW,0,,
0000000295,EK02,INR,0060,CIP,2500,,
0000000296,EK02,INR,0030,CIP,2500,,
0000000297,EK03,EUR,Z030,DDP,10000,,
0000000298,EK03,EUR,Z060,DDP,500,,
0000000299,EK04,USD,0030,DAP,1000,,
0000000300,EK02,INR,Z090,CIP,0,,
0000000301,EK03,EUR,Z030,DDP,2500,,
0000000302,EK03,EUR,0030,DDP,2500,,
0000000303,EK04,USD,0060,DDP,10000,,
0000000304,EK04,USD,Z090,CIP,500,,
0000000305,EK01,USD,Z060,CPT,500,,
0000000306,EK01,USD,0014,DDP,0,,
0000000307,EK01,USD,Z090,DDP,500,,
0000000308,EK01,USD,0001,DAP,2500,,
0000000309,EK01,USD,0030,EXW,0,,
0000000310,EK01,USD,0014,DAP,2500,,
0000000311,EK03,EUR,0090,FCA,2500,,
0000000312,EK04,USD,0030,CPT,1000,,
0000000313,EK03,EUR,Z030,CPT,2500,,
0000000314,EK02,INR,Z060,FCA,10000,,
0000000315,EK02,INR,0045,FCA,2500,,
0000000316,EK02,INR,0060,EXW,0,,
0000000317,EK03,EUR,Z060,CIP,10000,,
0000000318,EK04,USD,0014,DAP,10000,,
0000000319,EK04,USD,0001,DAP,1000,,
0000000320,EK03,EUR,Z090,EXW,2500,,
0000000321,EK03,EUR,Z060,EXW,1000,,
0000000322,EK03,EUR,0045,CIP,1000,,
0000000323,EK03,EUR,0030,DAP,500,,
0000000324,EK03,EUR,0060,EXW,0,,
0000000325,EK03,EUR,0060,DDP,500,,
0000000326,EK03,EUR,0045,FCA,0,,
0000000327,EK02,INR,Z060,EXW,10000,,
0000000328,EK02,INR,Z030,EXW,2500,,
0000000329,EK04,USD,0001,DDP,500,,
0000000330,EK02,INR,0090,CIP,10000,,
0000000331,EK03,EUR,0014,EXW,500,,
0000000332,EK02,INR,0045,DDP,2500,,
0000000333,EK03,EUR,0045,DAP,1000,,
0000000334,EK03,EUR,0030,CPT,1000,,
0000000335,EK04,USD,Z060,FCA,0,,
0000000336,EK02,INR,0014,CIP,10000,,
0000000337,EK03,EUR,0014,DAP,0,,
0000000338,EK02,INR,0060,DAP,10000,,
0000000339,EK04,USD,0045,CIP,1000,,
0000000340,EK02,INR,Z030,DAP,2500,,
0000000341,EK03,EUR,0030,EXW,0,,
0000000342,EK03,EUR,0014,DDP,10000,,
0000000343,EK04,USD,Z030,DAP,10000,,
0000000344,EK04,USD,0030,CPT,0,,
0000000345,EK03,EUR,0030,EXW,2500,,
0000000346,EK03,EUR,0060,CIP,500,,
0000000347,EK02,INR,0045,DDP,0,,
0000000348,EK02,INR,0060,CIP,10000,,
0000000349,EK03,EUR,Z030,CIP,10000,,
0000000350,EK03,EUR,0090,DDP,10000,,
0000000351,EK03,EUR,Z030,FCA,0,,
0000000352,EK03,EUR,Z090,CIP,2500,,
0000000353,EK03,EUR,0001,DDP,10000,,
0000000354,EK03,EUR,0001,DAP,0,,
0000000355,EK02,INR,0045,DAP,0,,
0000000356,EK02,INR,0060,CIP,0,,
0000000357,EK02,INR,Z060,CIP,2500,,
0000000358,EK04,USD,0045,DAP,2500,,
0000000359,EK03,EUR,Z030,EXW,10000,,
0000000360,EK03,EUR,0030,DAP,500,,
0000000361,EK02,INR,Z030,CPT,10000,,
0000000362,EK03,EUR,0045,CIP,1000,,
0000000363,EK04,USD,0060,DDP,2500,,
0000000364,EK03,EUR,0045,FCA,500,,
0000000365,EK03,EUR,0014,CIP,2500,,
0000000366,EK03,EUR,0060,DDP,1000,,
0000000367,EK02,INR,0014,CPT,10000,,
0000000368,EK02,INR,0014,DDP,500,,
0000000369,EK02,INR,0030,CIP,2500,,
0000000370,EK03,EUR,0001,DAP,10000,,
0000000371,EK02,INR,0030,CPT,10000,,
0000000372,EK02,INR,0014,FCA,2500,,
0000000373,EK04,USD,Z090,FCA,0,,
0000000374,EK03,EUR,0045,CPT,0,,
0000000375,EK02,INR,0090,CPT,1000,,
0000000376,EK04,USD,0060,CPT,2500,,
0000000377,EK03,EUR,0060,FCA,0,,
0000000378,EK03,EUR,0014,DAP,500,,
0000000379,EK03,EUR,0001,CPT,0,,
0000000380,EK02,INR,Z030,CIP,500,,
0000000381,EK02,INR,0060,CPT,0,,
0000000382,EK03,EUR,Z090,CPT,500,,
0000000383,EK03,EUR,0030,EXW,1000,,
0000000384,EK04,USD,Z030,CIP,0,,
0000000385,EK03,EUR,Z090,CIP,10000,,
0000000386,EK03,EUR,0060,CIP,0,,
0000000387,EK02,INR,0014,FCA,2500,,
0000000388,EK04,USD,Z030,DDP,2500,,
0000000389,EK03,EUR,0090,CPT,10000,,
0000000390,EK03,EUR,0045,CPT,2500,,
0000000391,EK03,EUR,0090,FCA,10000,,
0000000392,EK04,USD,Z030,DDP,1000,,
0000000393,EK02,INR,0001,CPT,1000,,
0000000394,EK02,INR,Z060,EXW,0,,
0000000395,EK02,INR,Z060,FCA,0,,
0000000396,EK02,INR,0001,DAP,10000,,
0000000397,EK04,USD,Z030,EXW,10000,,
0000000398,EK03,EUR,0001,DAP,0,,
0000000399,EK03,EUR,0045,EXW,1000,,
0000000400,EK04,USD,0090,DDP,2500,,
0000000401,EK04,USD,0090,EXW,1000,,
0000000402,EK02,INR,0014,EXW,0,,
0000000403,EK02,INR,Z030,CPT,0,,
0000000404,EK04,USD,0030,EXW,2500,,
0000000405,EK02,INR,Z060,FCA,2500,,
0000000406,EK02,INR,0090,FCA,2500,,
0000000407,EK02,INR,0045,CPT,10000,,
0000000408,EK03,EUR,0045,EXW,500,,
0000000409,EK04,USD,0090,CIP,500,,
0000000410,EK03,EUR,0001,FCA,10000,,
0000000411,EK04,USD,0090,FCA,500,,
0000000412,EK02,INR,0060,CIP,500,,
0000000413,EK03,EUR,0045,FCA,500,,
0000000414,EK02,INR,0090,DDP,500,,
0000000415,EK02,INR,Z060,FCA,10000,,
0000000416,EK03,EUR,Z030,DAP,500,,
0000000417,EK02,INR,0060,EXW,10000,,
0000000418,EK03,EUR,0014,DAP,500,,
0000000419,EK03,EUR,0045,CIP,2500,,
0000000420,EK02,INR,0001,FCA,1000,,
0000000421,EK02,INR,Z090,CPT,1000,,
0000000422,EK04,USD,0090,CPT,0,,
0000000423,EK03,EUR,0060,CPT,2500,,
0000000424,EK03,EUR,0060,CIP,0,,
0000000425,EK02,INR,0014,CPT,500,,
0000000426,EK02,INR,0030,DDP,500,,
0000000427,EK04,USD,0045,DAP,2500,,
0000000428,EK03,EUR,0045,FCA,500,,
0000000429,EK03,EUR,0014,DDP,10000,,
0000000430,EK02,INR,Z030,EXW,0,,
0000000431,EK03,EUR,0045,CIP,1000,,
0000000432,EK02,INR,0090,EXW,2500,,
0000000433,EK03,EUR,Z090,FCA,0,,
0000000434,EK03,EUR,0001,FCA,1000,,
0000000435,EK03,EUR,Z060,DAP,500,,
0000000436,EK02,INR,0030,CIP,500,,
0000000437,EK03,EUR,Z090,DDP,500,,
0000000438,EK03,EUR,0001,EXW,500,,
0000000439,EK04,USD,0060,CIP,500,,
0000000440,EK04,USD,0001,DDP,1000,,
0000000441,EK03,EUR,0045,FCA,0,,
0000000442,EK04,USD,0001,EXW,1000,,
0000000443,EK03,EUR,0001,CPT,1000,,
0000000444,EK02,INR,0090,DDP,1000,,
0000000445,EK02,INR,0045,DAP,1000,,
0000000446,EK02,INR,0060,CPT,1000,,
0000000447,EK03,EUR,0014,CPT,2500,,
0000000448,EK02,INR,0030,CIP,1000,,
0000000449,EK03,EUR,0014,CPT,1000,,
0000000450,EK04,USD,0014,DDP,2500,,
0000000451,EK02,INR,Z030,EXW,2500,,
0000000452,EK03,EUR,0030,FCA,1000,,
0000000453,EK03,EUR,0045,DAP,2500,,
0000000454,EK03,EUR,0014,DDP,0,,
0000000455,EK02,INR,Z060,DDP,10000,,
0000000456,EK03,EUR,0060,EXW,0,,
0000000457,EK03,EUR,Z030,FCA,0,,
0000000458,EK03,EUR,Z060,CIP,0,,
0000000459,EK02,INR,Z030,CIP,2500,,
0000000460,EK03,EUR,0045,CIP,1000,,
0000000461,EK04,USD,0060,DDP,10000,,
0000000462,EK04,USD,Z060,CPT,500,,
0000000463,EK03,EUR,Z090,CIP,2500,,
0000000464,EK04,USD,0030,EXW,500,,
0000000465,EK02,INR,0090,DAP,10000,,
0000000466,EK02,INR,0060,FCA,500,,
0000000467,EK04,USD,Z030,EXW,500,,
0000000468,EK03,EUR,Z030,CIP,1000,,
0000000469,EK03,EUR,0045,FCA,500,,
0000000470,EK02,INR,0060,DDP,10000,,
0000000471,EK03,EUR,0045,CPT,2500,,
0000000472,EK02,INR,0001,DDP,2500,,
0000000473,EK04,USD,Z090,EXW,500,,
0000000474,EK03,EUR,0001,DDP,500,,
0000000475,EK04,USD,Z060,CPT,0,,
0000000476,EK02,INR,0014,DDP,1000,,
0000000477,EK04,USD,Z030,DDP,0,,
0000000478,EK03,EUR,0060,FCA,0,,
0000000479,EK04,USD,0045,FCA,2500,,
0000000480,EK03,EUR,0045,CPT,500,,
0000000481,EK02,INR,0014,FCA,500,,
0000000482,EK04,USD,0014,DAP,1000,,
0000000483,EK03,EUR,0090,EXW,1000,,
0000000484,EK04,USD,0090,CIP,2500,,
0000000485,EK03,EUR,Z090,EXW,2500,,
0000000486,EK04,USD,Z060,CIP,500,,
0000000487,EK02,INR,Z030,EXW,10000,,
0000000488,EK02,INR,0045,FCA,0,,
0000000489,EK03,EUR,0090,DAP,0,,
0000000490,EK02,INR,Z090,DDP,2500,,
0000000491,EK02,INR,0090,DAP,10000,,
0000000492,EK02,INR,Z060,EXW,2500,,
0000000493,EK03,EUR,0001,FCA,0,,
0000000494,EK03,EUR,0030,FCA,0,,
0000000495,EK03,EUR,0045,CPT,10000,,
0000000496,EK02,INR,Z090,EXW,0,,
0000000497,EK02,INR,0001,DDP,10000,,
0000000498,EK04,USD,0014,FCA,2500,,
0000000499,EK02,INR,0030,FCA,0,,
0000000500,EK02,INR,Z060,CPT,2500,,
0000000501,EK04,USD,0030,EXW,1000,,
0000000502,EK02,INR,Z090,FCA,10000,,
0000000503,EK03,EUR,Z060,EXW,1000,,
0000000504,EK03,EUR,0030,DDP,1000,,
0000000505,EK03,EUR,0030,DDP,500,,
0000000506,EK02,INR,Z030,FCA,0,,
0000000507,EK04,USD,0030,EXW,10000,,
0000000508,EK03,EUR,0030,DDP,0,,
0000000509,EK03,EUR,0060,CIP,2500,,
0000000510,EK03,EUR,Z030,CIP,1000,,
0000000511,EK04,USD,0014,CIP,500,,
0000000512,EK02,INR,Z030,DAP,0,,
0000000513,EK04,USD,0030,DAP,2500,,
0000000514,EK02,INR,0030,DDP,0,,
0000000515,EK03,EUR,0001,EXW,1000,,
0000000516,EK04,USD,0001,DAP,0,,
0000000517,EK02,INR,0060,FCA,10000,,
0000000518,EK03,EUR,0030,DAP,1000,,
0000000519,EK03,EUR,Z060,CPT,10000,,
0000000520,EK03,EUR,0030,FCA,0,,
0000000521,EK02,INR,0014,CPT,0,,
0000000522,EK04,USD,0030,EXW,500,,
0000000523,EK03,EUR,0014,FCA,500,,
0000000524,EK03,EUR,0030,FCA,500,,
0000000525,EK02,INR,0090,CIP,500,,
0000000526,EK02,INR,0060,DAP,500,,
0000000527,EK03,EUR,0030,CPT,1000,,
0000000528,EK03,EUR,Z090,FCA,0,,
0000000529,EK02,INR,0014,EXW,2500,,
0000000530,EK03,EUR,Z030,CIP,0,,
0000000531,EK02,INR,Z090,CIP,1000,,
0000000532,EK02,INR,Z060,DAP,0,,
0000000533,EK02,INR,Z060,FCA,0,,
0000000534,EK03,EUR,0045,DAP,10000,,
0000000535,EK04,USD,Z060,FCA,0,,
0000000536,EK03,EUR,Z090,CPT,2500,,
0000000537,EK03,EUR,Z030,CIP,500,,
0000000538,EK03,EUR,0001,CIP,1000,,
0000000539,EK02,INR,0001,CIP,1000,,
0000000540,EK04,USD,Z030,CPT,500,,
0000000541,EK02,INR,Z060,DAP,500,,
0000000542,EK03,EUR,0001,EXW,1000,,
0000000543,EK03,EUR,Z090,DDP,10000,,
0000000544,EK02,INR,Z060,DAP,1000,,
0000000545,EK03,EUR,Z090,CPT,0,,
0000000546,EK03,EUR,0090,FCA,10000,,
0000000547,EK04,USD,0045,FCA,10000,,
0000000548,EK03,EUR,0030,EXW,2500,,
0000000549,EK04,USD,Z090,DAP,10000,,
0000000550,EK02,INR,0001,CPT,2500,,
0000000551,EK02,INR,0030,DAP,0,,
0000000552,EK02,INR,0090,CIP,0,,
0000000553,EK04,USD,0045,EXW,2500,,
0000000554,EK02,INR,0045,DAP,2500,,
0000000555,EK03,EUR,Z090,DAP,500,,
0000000556,EK03,EUR,0045,FCA,2500,,
0000000557,EK02,INR,0090,DAP,10000,,
0000000558,EK03,EUR,Z060,CPT,500,,
0000000559,EK02,INR,0030,CIP,2500,,
0000000560,EK03,EUR,0090,DDP,1000,,
0000000561,EK02,INR,0001,EXW,500,,
0000000562,EK03,EUR,0090,CIP,10000,,
0000000563,EK04,USD,0014,EXW,500,,
0000000564,EK02,INR,0014,DAP,2500,,
0000000565,EK04,USD,0001,EXW,500,,
0000000566,EK03,EUR,0045,EXW,0,,
0000000567,EK02,INR,0060,CIP,10000,,
0000000568,EK03,EUR,Z030,EXW,0,,
0000000569,EK03,EUR,0045,FCA,1000,,
0000000570,EK02,INR,Z090,CIP,10000,,
0000000571,EK04,USD,0014,FCA,500,,
0000000572,EK04,USD,Z090,FCA,0,,
0000000573,EK02,INR,0090,CIP,500,,
0000000574,EK03,EUR,0090,DAP,0,,
0000000575,EK04,USD,0030,CIP,1000,,
