Table,LIFNR,Org_Key,Field,Issue_Type,Issue_Description
LFA1,0000000989,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000990,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000991,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000992,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000993,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000994,,ERDAT,Dormant Vendor,Clinical vendor created in 2013 with zero company code or purchasing org extensions (dormant master data).
LFA1,0000000102,,STCD1,Duplicate Tax Number,Shared tax number 36AAACD1234F1Z8 with vendor 0000000101 (Divi's Laboratories Custom Synthesis). Duplicate vendor legal entity.
LFA1,0000000104,,STCD1,Duplicate Tax Number,Shared tax number CHE-105.824.918 with vendor 0000000103 (Lonza Biologics Custom Synthesis AG). Duplicate vendor legal entity.
LFA1,0000000106,,STCD1,Duplicate Tax Number,Shared tax number DE812948194 with vendor 0000000105 (Schott Pharma Borosilicate Vials). Duplicate vendor legal entity.
LFA1,0000000108,,STCD1,Duplicate Tax Number,Shared tax number US22-1928471 with vendor 0000000107 (West Pharmaceutical Services). Duplicate vendor legal entity.
LFA1,0000000110,,STCD1,Duplicate Tax Number,Shared tax number 36AAACH9876M1Z2 with vendor 0000000109 (Hetero Drugs Bulk API Manufacturing). Duplicate vendor legal entity.
LFA1,0000000112,,STCD1,Duplicate Tax Number,Shared tax number DE918274619 with vendor 0000000111 (Merck KGaA MilliporeSigma Life Science). Duplicate vendor legal entity.
LFA1,0000000114,,STCD1,Duplicate Tax Number,Shared tax number US41-9872134 with vendor 0000000113 (Catalent Pharma Solutions). Duplicate vendor legal entity.
LFA1,0000000116,,STCD1,Duplicate Tax Number,Shared tax number DE560027313 with vendor 0000000115 (Sartorius Stedim Biotech). Duplicate vendor legal entity.
LFA1,0000000121,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Stevanato Group Ompi Vials' matches 'Stevanato Group Ompi Sterile Vials' (0000000120) in Milan, IT."
LFA1,0000000123,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Vetter Pharma Fertigung GmbH' matches 'Vetter Pharma Sterile Fill & Finish' (0000000122) in Mannheim, DE."
LFA1,0000000125,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'World Courier Life Science Logistics' matches 'World Courier Biopharma Cold-Chain' (0000000124) in Durham, US."
LFA1,0000000127,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Granules India API Division' matches 'Granules India Active Pharmaceutical' (0000000126) in Hyderabad, IN."
LFA1,0000000129,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Bachem AG Peptide Synthesis' matches 'Bachem Peptide Synthesis Group' (0000000128) in Schaffhausen, CH."
LFA1,0000000131,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Gerresheimer Boleslawiec Glass' matches 'Gerresheimer Primary Packaging Glass' (0000000130) in Frankfurt, DE."
LFA1,0000000133,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'IQVIA Biotech Clinical Trials' matches 'IQVIA Clinical Research Solutions' (0000000132) in Durham, US."
LFA1,0000000135,,NAME1,Fuzzy Duplicate,"Near duplicate supplier name 'Aurobindo Pharma Active Materials' matches 'Aurobindo Pharma Bulk Chemicals' (0000000134) in Mumbai, IN."
LFA1,0000000150,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000151,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000152,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country DE but is blank.
LFA1,0000000153,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000154,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000155,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IE but is blank.
LFA1,0000000156,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000157,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000158,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000159,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000160,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000161,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000162,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000163,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country DE but is blank.
LFA1,0000000164,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000165,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000166,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000167,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000168,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000169,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000170,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000171,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000172,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000173,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000174,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000175,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country DE but is blank.
LFA1,0000000176,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000177,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000178,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000179,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000180,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IT but is blank.
LFA1,0000000181,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country DE but is blank.
LFA1,0000000182,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000183,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000184,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000185,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000186,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country IN but is blank.
LFA1,0000000187,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000188,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country US but is blank.
LFA1,0000000189,,STCD1,Missing Mandatory Field,Tax Number STCD1 is mandatory for country CH but is blank.
LFA1,0000000195,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000196,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000197,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000198,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000199,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000200,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000201,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000202,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000203,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000204,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000205,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000206,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000207,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000208,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000209,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000210,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000211,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000212,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000213,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000214,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000215,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000216,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000217,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000218,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000219,,PSTLZ,Missing Mandatory Field,Postal Code (PSTLZ) is mandatory in LFA1 but is blank.
LFA1,0000000225,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000226,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000227,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000228,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000229,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000230,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000231,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000232,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000233,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000234,,NAME1,Missing Mandatory Field,Vendor Name (NAME1) is mandatory in LFA1 but is blank.
LFA1,0000000240,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000241,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000242,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000243,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000244,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000245,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000246,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000247,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000248,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000249,,LAND1,Missing Mandatory Field,Country Key (LAND1) is mandatory in LFA1 but is blank.
LFA1,0000000255,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000256,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000257,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000258,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000259,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000260,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000261,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000262,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000263,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000264,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000265,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000266,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000267,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000268,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000269,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000270,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000271,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000272,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000273,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000274,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000275,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000276,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000277,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000278,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000279,,SORTL,Missing Mandatory Field,Search Term (SORTL) is required for matchcode search but is blank.
LFA1,0000000285,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000286,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000287,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000288,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000289,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000290,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000291,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000292,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000293,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000294,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000295,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000296,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000297,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000298,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000299,,KTOKK,Missing Mandatory Field,Account Group (KTOKK) is mandatory for S/4HANA BP qualification but is blank.
LFA1,0000000305,,LAND1,Invalid Country Key,Invalid ISO country code 'IND' (ISO 3166-1 alpha-2 is 'IN').
LFA1,0000000306,,LAND1,Invalid Country Key,Invalid ISO country code 'SWI' (ISO 3166-1 alpha-2 is 'CH').
LFA1,0000000307,,LAND1,Invalid Country Key,Invalid ISO country code 'UK' (ISO 3166-1 alpha-2 is 'GB').
LFA1,0000000308,,LAND1,Invalid Country Key,Invalid ISO country code 'GER' (ISO 3166-1 alpha-2 is 'DE').
LFA1,0000000309,,LAND1,Invalid Country Key,Invalid ISO country code 'USA' (SAP 2-char code is 'US').
LFA1,0000000310,,LAND1,Invalid Country Key,Dummy country code 'XX' used during quick clinical trial vendor creation.
LFA1,0000000315,,PSTLZ,Invalid Postal Code Format,Indian PIN code has 4 digits (expected 6 digits).
LFA1,0000000316,,PSTLZ,Invalid Postal Code Format,Indian PIN code contaminated with text 'HYD'.
LFA1,0000000317,,PSTLZ,Invalid Postal Code Format,Swiss postal code contains country prefix 'CH-'.
LFA1,0000000318,,PSTLZ,Invalid Postal Code Format,US Zip code has 3 digits (expected 5 digits).
LFA1,0000000319,,PSTLZ,Invalid Postal Code Format,City name entered in Postal Code field.
LFA1,0000000320,,PSTLZ,Invalid Postal Code Format,German postal code contains letters / prefix 'PLZ'.
LFA1,0000000321,,PSTLZ,Invalid Postal Code Format,Irish Eircode improperly formatted.
LFA1,0000000325,,NAME1,Text Hygiene Violation,HTML entity '&amp;' present in legal vendor name.
LFA1,0000000326,,NAME1,Text Hygiene Violation,HTML entity '&#39;' present in vendor name.
LFA1,0000000327,,NAME1,Text Hygiene Violation,All-caps casing violation inconsistent with corporate MDG rules.
LFA1,0000000328,,NAME1,Text Hygiene Violation,Trailing whitespace padding in legal vendor name.
LFA1,0000000329,,NAME1,Text Hygiene Violation,Non-breaking space entity '&nbsp;' in vendor name.
LFA1,0000000335,,TELF1,Invalid Phone Format,Alphanumeric text in telephone field.
LFA1,0000000336,,TELF1,Invalid Phone Format,Dummy placeholder phone number.
LFA1,0000000337,,TELF1,Invalid Phone Format,String 'N/A' in phone number field.
LFB1,0000000025,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000025 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000026,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000026 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000027,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000027 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000028,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000028 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000029,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000029 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000030,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000030 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000031,3000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000031 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 3000 (LOEVM is blank)."
LFB1,0000000031,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000031 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000032,5000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000032 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 5000 (LOEVM is blank)."
LFB1,0000000033,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000033 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000034,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000034 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000035,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000035 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000036,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000036 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000037,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000037 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000038,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000038 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000039,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000039 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000040,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000040 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000041,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000041 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000041,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000041 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000042,4000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000042 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 4000 (LOEVM is blank)."
LFB1,0000000042,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000042 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000043,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000043 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000044,3000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000044 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 3000 (LOEVM is blank)."
LFB1,0000000045,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000045 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000046,3000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000046 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 3000 (LOEVM is blank)."
LFB1,0000000046,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000046 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000047,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000047 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
LFB1,0000000048,1000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000048 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 1000 (LOEVM is blank)."
LFB1,0000000049,2000,LOEVM,Cross-Table Inconsistency,"Vendor 0000000049 marked for deletion in LFA1 (LOEVM='X'), but active in LFB1 BUKRS 2000 (LOEVM is blank)."
