MATNR,SPRAS,MAKTX
000000000000100091,DE,Hansen Müllbeutel 60L 10 St
000000000000100091,EN,Hansen Bin bags 60L 10 St
000000000000100092,DE,Bergquell Katzenfutter Fisch 400g
000000000000100092,EN,Bergquell Cat food fish 400g
000000000000100093,DE,Waldbach Hundefutter Rind 400g
000000000000100094,DE,Umkarton Orangensaft
000000000000100095,DE,Handseife lose
000000000000100095,EN,Hand soap bulk
000000000000100096,DE,Rotbuche Taschentücher 15x10
000000000000100097,DE,Kristall Lachsfilet 200g
000000000000100097,EN,Kristall Salmon fillet 200g
000000000000100098,DE,Kristall Croissant 4 St
000000000000100098,EN,Kristall Croissant 4 St
000000000000100099,DE,Gutsherr Thunfisch 185g
000000000000100099,EN,Gutsherr Tuna 185g
000000000000100100,DE,Almtal Taschentücher 15x10
000000000000100100,EN,Almtal Tissues 15x10
000000000000100101,DE,Morgentau Apfelsaft 1L
000000000000100101,EN,Morgentau Apple juice 1L
000000000000100102,DE,Waldbach Croissant 4 St
000000000000100103,DE,Umkarton Katzenfutter Fisch
000000000000100103,EN,Outer case Cat food fish
000000000000100104,DE,Weststrand Pommes frites 1kg
000000000000100104,EN,Weststrand French fries 1kg
000000000000100105,DE,Lindenhof Schokolade Vollmilch 200g
000000000000100105,EN,Lindenhof Milk chocolate 200g
000000000000100106,DE,Umkarton Küchenrolle
000000000000100106,EN,Outer case Kitchen roll
000000000000100107,DE,Rotbuche Vollkornbrot 500g
000000000000100107,EN,Rotbuche Wholemeal bread 500g
000000000000100108,DE,Allzweckreiniger lose
000000000000100108,EN,All-purpose cleaner bulk
000000000000100109,DE,"Almtal Waschpulver 1,35kg"
000000000000100109,EN,"Almtal Washing powder 1,35kg"
000000000000100110,DE,Umkarton Allzweckreiniger
000000000000100110,EN,Outer case All-purpose cleaner
000000000000100111,DE,Gutsherr Gemüsemischung 750g
000000000000100111,EN,Gutsherr Mixed vegetables 750g
000000000000100112,DE,Hansen Shampoo 300ml
000000000000100113,DE,Sonnenhof Pommes frites 1kg
000000000000100113,EN,Sonnenhof French fries 1kg
000000000000100114,DE,"Sonnenhof Waschpulver 1,35kg"
000000000000100114,EN,"Sonnenhof Washing powder 1,35kg"
000000000000100115,DE,Weststrand Pizza Salami 350g
000000000000100115,EN,Weststrand Salami pizza 350g
000000000000100116,DE,Speisequark lose
000000000000100116,EN,Quark bulk
000000000000100117,DE,Kristall Brötchen 6 St
000000000000100117,EN,Kristall Bread rolls 6 St
000000000000100118,DE,Kristall Küchenrolle 4 Rollen
000000000000100119,DE,Weststrand Lachsfilet 200g
000000000000100119,EN,Weststrand Salmon fillet 200g
000000000000100120,DE,Kristall Erbsen 400g
000000000000100120,EN,Kristall Peas 400g
000000000000100121,DE,Seeblick Hundefutter Rind 400g
000000000000100121,EN,Seeblick Dog food beef 400g
000000000000100122,DE,Lindenhof Shampoo 300ml
000000000000100122,EN,Lindenhof Shampoo 300ml
000000000000100123,DE,Rotbuche Müllbeutel 60L 10 St
000000000000100123,EN,Rotbuche Bin bags 60L 10 St
000000000000100124,DE,Nordsee Spülmittel 500ml
000000000000100124,EN,Nordsee Washing-up liquid 500ml
000000000000100125,DE,Alpenrose Shampoo 300ml
000000000000100125,EN,Alpenrose Shampoo 300ml
000000000000100126,DE,Umkarton Vollkornbrot
000000000000100126,EN,Outer case Wholemeal bread
000000000000100127,DE,Rotbuche Orangensaft 1L
000000000000100128,DE,Seeblick Bonbon Waldfrucht 150g
000000000000100128,EN,Seeblick Forest fruit sweets 150g
000000000000100129,DE,Morgentau Eiscreme Vanille 900ml
000000000000100129,EN,Morgentau Vanilla ice cream 900ml
000000000000100130,DE,Umkarton Vollkornbrot
000000000000100130,EN,Outer case Wholemeal bread
000000000000100131,DE,Umkarton Taschentücher
000000000000100132,DE,Weststrand Müllbeutel 60L 10 St
000000000000100132,EN,Weststrand Bin bags 60L 10 St
000000000000100133,DE,Morgentau Hundefutter Rind 400g
000000000000100133,EN,Morgentau Dog food beef 400g
000000000000100134,DE,Waldbach Shampoo 300ml
000000000000100134,EN,Waldbach Shampoo 300ml
000000000000100135,DE,Almtal Schlagsahne 200g
000000000000100135,EN,Almtal Whipping cream 200g
000000000000100136,DE,Kristall Handseife 500ml
000000000000100136,EN,Kristall Hand soap 500ml
000000000000100137,DE,Küchenrolle lose
000000000000100137,EN,Kitchen roll bulk
000000000000100138,DE,Kristall Shampoo 300ml
000000000000100138,EN,Kristall Shampoo 300ml
000000000000100139,DE,Waldbach Schokolade Vollmilch 100g
000000000000100139,EN,Waldbach Milk chocolate 100g
000000000000100140,DE,Hundefutter Rind lose
000000000000100140,EN,Dog food beef bulk
000000000000100141,DE,Gutsherr Tomaten gehackt 400g
000000000000100141,EN,Gutsherr Chopped tomatoes 400g
000000000000100142,DE,Almtal Apfelsaft 1L
000000000000100142,EN,Almtal Apple juice 1L
000000000000100143,DE,Almtal Toilettenpapier 10 Rollen
000000000000100143,EN,Almtal Toilet paper 10 Rollen
000000000000100144,DE,Seeblick Pizza Salami 350g
000000000000100144,EN,Seeblick Salami pizza 350g
000000000000100145,DE,Umkarton Küchenrolle
000000000000100145,EN,Outer case Kitchen roll
000000000000100146,DE,Weststrand Shampoo 300ml
000000000000100146,EN,Weststrand Shampoo 300ml
000000000000100147,DE,Waldbach Katzenfutter Fisch 400g
000000000000100148,DE,Umkarton Mais
000000000000100149,DE,Almtal Schokolade Vollmilch 100g
000000000000100149,EN,Almtal Milk chocolate 100g
000000000000100150,DE,Goldähre Pommes frites 1kg
000000000000100151,DE,Hansen Spülmittel 500ml
000000000000100152,DE,Bergquell Magermilch 1L
000000000000100152,EN,Bergquell Skimmed milk 1L
000000000000100153,DE,Bergquell Schokolade Vollmilch 200g
000000000000100153,EN,Bergquell Milk chocolate 200g
000000000000100154,DE,Almtal Müllbeutel 60L 10 St
000000000000100155,DE,Waldbach Bonbon Waldfrucht 150g
000000000000100155,EN,Waldbach Forest fruit sweets 150g
000000000000100156,DE,Dienstleistung Schlagsahne
000000000000100157,DE,Sonnenhof Müllbeutel 60L 10 St
000000000000100157,EN,Sonnenhof Bin bags 60L 10 St
000000000000100158,DE,Goldähre Hundefutter Rind 400g
000000000000100159,DE,Nordsee Spülmittel 500ml
000000000000100159,EN,Nordsee Washing-up liquid 500ml
000000000000100160,DE,Bergquell Toilettenpapier 10 Rollen
000000000000100161,DE,Umkarton Katzenfutter Fisch
000000000000100162,DE,Rotbuche Schnittkäse 200g
000000000000100162,EN,Rotbuche Sliced cheese 200g
000000000000100163,DE,Sonnenhof Magermilch 1L
000000000000100163,EN,Sonnenhof Skimmed milk 1L
000000000000100164,DE,Umkarton Croissant
000000000000100164,EN,Outer case Croissant
000000000000100165,DE,MORGENTAU GEMÜSEMISCHUNG 750G
000000000000100165,EN,Morgentau Mixed vegetables 750g
000000000000100166,DE,Almtal Taschentücher 15x10
000000000000100167,DE,Morgentau Shampoo 300ml
000000000000100167,EN,Morgentau Shampoo 300ml
000000000000100168,DE,Dienstleistung Erbsen
000000000000100169,DE,Alpenrose Shampoo 300ml
000000000000100169,EN,Alpenrose Shampoo 300ml
000000000000100170,DE,"Gutsherr Mineralwasser still 6x0,5L"
000000000000100170,EN,"Gutsherr Still mineral water 6x0,5L"
000000000000100171,DE,Waldbach Brötchen 6 St
000000000000100171,EN,Waldbach Bread rolls 6 St
000000000000100172,DE,Vollkornbrot lose
000000000000100172,EN,Wholemeal bread bulk
000000000000100173,DE,Morgentau Taschentücher 15x10
000000000000100173,EN,Morgentau Tissues 15x10
000000000000100174,DE,Kristall Fruchtgummi 200g
000000000000100174,EN,Kristall Fruit gums 200g
000000000000100175,DE,Morgentau Hundefutter Rind 400g
000000000000100175,EN,Morgentau Dog food beef 400g
000000000000100176,DE,Rotbuche Müllbeutel 60L 10 St
000000000000100176,EN,Rotbuche Bin bags 60L 10 St
000000000000100177,DE,Weststrand Thunfisch 185g
000000000000100177,EN,Weststrand Tuna 185g
000000000000100178,DE,"Sonnenhof Waschpulver 1,35kg"
000000000000100178,EN,"Sonnenhof Washing powder 1,35kg"
000000000000100179,DE,Morgentau Spülmittel 500ml
000000000000100179,EN,Morgentau Washing-up liquid 500ml
000000000000100180,DE,"Sonnenhof Pils 6x0,33L"
000000000000100181,DE,Weststrand Shampoo 300ml
000000000000100181,EN,Weststrand Shampoo 300ml
000000000000100182,DE,Dienstleistung Zahnpasta
000000000000100183,DE,Seeblick Pizza Salami 350g
000000000000100183,EN,Seeblick Salami pizza 350g
000000000000100184,DE,"Morgentau Vollmilch 3,5% 0,5L"
000000000000100185,DE,Waldbach Küchenrolle 4 Rollen
000000000000100185,EN,Waldbach Kitchen roll 4 Rollen
000000000000100186,DE,Umkarton Mais
000000000000100187,DE,Cola lose
000000000000100187,EN,Cola bulk
000000000000100188,DE,Sonnenhof Shampoo 300ml
000000000000100188,EN,Sonnenhof Shampoo 300ml
000000000000100189,DE,Taschentücher lose
000000000000100189,EN,Tissues bulk
000000000000100190,DE,Goldähre Croissant 4 St
000000000000100191,DE,Dienstleistung Pommes frites
000000000000100191,EN,Service French fries
000000000000100192,DE,"Gutsherr Cola 1,5L"
000000000000100192,EN,"Gutsherr Cola 1,5L"
000000000000100193,DE,Waldbach Spülmittel 500ml
000000000000100193,EN,Waldbach Washing-up liquid 500ml
000000000000100194,DE,Lindenhof Gemüsemischung 750g
000000000000100194,EN,Lindenhof Mixed vegetables 750g
000000000000100195,DE,Feldmann Handseife 500ml
000000000000100195,EN,Feldmann Hand soap 500ml
000000000000100196,DE,Alpenrose Vollkornbrot 500g
000000000000100197,DE,Feldmann Katzenfutter Fisch 400g
000000000000100197,EN,Feldmann Cat food fish 400g
000000000000100198,DE,Dienstleistung Handseife
000000000000100198,EN,Service Hand soap
000000000000100199,DE,Thunfisch lose
000000000000100199,EN,Tuna bulk
000000000000100200,DE,Lindenhof Erbsen 400g
000000000000100200,EN,Lindenhof Peas 400g
000000000000100201,DE,"ALMTAL MINERALWASSER STILL 1,5L"
000000000000100201,EN,"Almtal Still mineral water 1,5L"
000000000000100202,DE,Rotbuche Kidneybohnen 400g
000000000000100203,DE,Weststrand Mais 300g
000000000000100203,EN,Weststrand Sweetcorn 300g
000000000000100204,DE,Umkarton Küchenrolle
000000000000100204,EN,Outer case Kitchen roll
000000000000100205,DE,Weststrand Duschgel 250ml
000000000000100205,EN,Weststrand Shower gel 250ml
000000000000100206,DE,Weststrand Allzweckreiniger 750ml
000000000000100206,EN,Weststrand All-purpose cleaner 750ml
000000000000100207,DE,Taschentücher lose
000000000000100207,EN,Tissues bulk
000000000000100208,DE,Rotbuche Gemüsemischung 750g
000000000000100208,EN,Rotbuche Mixed vegetables 750g
000000000000100209,DE,Feldmann Apfelsaft 1L
000000000000100209,EN,Feldmann Apple juice 1L
000000000000100210,DE,Morgentau Taschentücher 15x10
000000000000100210,EN,Morgentau Tissues 15x10
000000000000100211,DE,Gutsherr Zahnpasta 75ml
000000000000100212,DE,Bergquell Pommes frites 1kg
000000000000100212,EN,Bergquell French fries 1kg
000000000000100213,DE,Umkarton Pizza Salami
000000000000100214,DE,Toastbrot lose
000000000000100214,EN,Toast bread bulk
000000000000100215,DE,Goldähre Katzenfutter Fisch 400g
000000000000100215,EN,Goldähre Cat food fish 400g
000000000000100216,DE,Umkarton Bonbon Waldfrucht
000000000000100217,DE,Bergquell Pizza Salami 350g
000000000000100217,EN,Bergquell Salami pizza 350g
000000000000100218,DE,Nordsee Spülmittel 500ml
000000000000100218,EN,Nordsee Washing-up liquid 500ml
000000000000100219,DE,Nordsee Mais 300g
000000000000100219,EN,Nordsee Sweetcorn 300g
000000000000100220,DE,Seeblick Croissant 4 St
000000000000100220,EN,Seeblick Croissant 4 St
000000000000100221,DE,Hansen Hundefutter Rind 400g
000000000000100222,DE,"Lindenhof Vollmilch 3,5% 0,5L"
000000000000100222,EN,"Lindenhof Whole milk 3.5% 0,5L"
000000000000100223,DE,Rotbuche Allzweckreiniger 750ml
000000000000100223,EN,Rotbuche All-purpose cleaner 750ml
000000000000100224,DE,Sonnenhof Katzenfutter Fisch 400g
000000000000100224,EN,Sonnenhof Cat food fish 400g
000000000000100225,DE,Lindenhof Schokolade Vollmilch 200g
000000000000100225,EN,Lindenhof Milk chocolate 200g
000000000000100226,DE,Kristall Bonbon Waldfrucht 150g
000000000000100226,EN,Kristall Forest fruit sweets 150g
000000000000100227,DE,Kristall Pommes frites 1kg
000000000000100228,DE,Seeblick Handseife 500ml
000000000000100228,EN,Seeblick Hand soap 500ml
000000000000100229,DE,Umkarton Allzweckreiniger
000000000000100229,EN,Outer case All-purpose cleaner
000000000000100230,DE,Brötchen lose
000000000000100231,DE,Umkarton Bonbon Waldfrucht
000000000000100232,DE,Küchenrolle lose
000000000000100233,DE,Weststrand Pizza Salami 350g
000000000000100234,DE,Lindenhof Erbsen 400g
000000000000100234,EN,Lindenhof Peas 400g
000000000000100235,DE,Kristall Magermilch 1L
000000000000100235,EN,Kristall Skimmed milk 1L
000000000000100236,DE,Lindenhof Pommes frites 1kg
000000000000100236,EN,Lindenhof French fries 1kg
000000000000100237,DE,Gutsherr Toilettenpapier 10 Rollen
000000000000100238,DE,Lindenhof Orangensaft 1L
000000000000100238,EN,Lindenhof Orange juice 1L
000000000000100239,DE,Feldmann Hundefutter Rind 400g
000000000000100239,EN,Feldmann Dog food beef 400g
000000000000100240,DE,Umkarton Eiscreme Vanille
000000000000100241,DE,Umkarton Butterkeks
000000000000100241,EN,Outer case Butter biscuits
000000000000100242,DE,Seeblick Mais 300g
000000000000100242,EN,Seeblick Sweetcorn 300g
000000000000100243,DE,Bergquell Schnittkäse 400g
000000000000100243,EN,Bergquell Sliced cheese 400g
000000000000100244,DE,xxx
000000000000100245,DE,Lindenhof Zahnpasta 75ml
000000000000100246,DE,Waldbach Toastbrot 750g
000000000000100246,EN,Waldbach Toast bread 750g
000000000000100247,DE,Goldähre Küchenrolle 4 Rollen
000000000000100247,EN,Goldähre Kitchen roll 4 Rollen
000000000000100248,DE,Lindenhof Handseife 500ml
000000000000100248,EN,Lindenhof Hand soap 500ml
000000000000100249,DE,Lindenhof Speisequark 500g
000000000000100249,EN,Lindenhof Quark 500g
000000000000100250,DE,Goldähre Toilettenpapier 10 Rollen
000000000000100250,EN,Goldähre Toilet paper 10 Rollen
000000000000100251,DE,Dienstleistung Katzenfutter Fisch
000000000000100251,EN,Service Cat food fish
000000000000100252,DE,"Goldähre Waschpulver 1,35kg"
000000000000100252,EN,"Goldähre Washing powder 1,35kg"
000000000000100253,DE,Weststrand Küchenrolle 4 Rollen
000000000000100254,DE,Seeblick Katzenfutter Fisch 400g
000000000000100254,EN,Seeblick Cat food fish 400g
000000000000100255,DE,Rotbuche Croissant 4 St
000000000000100255,EN,Rotbuche Croissant 4 St
000000000000100256,DE,Umkarton Bonbon Waldfrucht
000000000000100256,EN,Outer case Forest fruit sweets
000000000000100257,DE,Feldmann Duschgel 250ml
000000000000100257,EN,Feldmann Shower gel 250ml
000000000000100258,DE,Gutsherr Butter mildgesäuert 250g
000000000000100259,DE,Seeblick Allzweckreiniger 750ml
000000000000100260,DE,Almtal Handseife 500ml
000000000000100260,EN,Almtal Hand soap 500ml
000000000000100261,DE,Morgentau Kidneybohnen 400g
000000000000100261,EN,Morgentau Kidney beans 400g
000000000000100262,DE,Seeblick Toastbrot 750g
000000000000100263,DE,Waldbach Küchenrolle 4 Rollen
000000000000100263,EN,Waldbach Kitchen roll 4 Rollen
000000000000100264,DE,Dienstleistung Taschentücher
000000000000100265,DE,Morgentau Taschentücher 15x10
000000000000100265,EN,Morgentau Tissues 15x10
000000000000100266,DE,Goldähre Toilettenpapier 10 Rollen
000000000000100267,DE,Allzweckreiniger lose
000000000000100267,EN,All-purpose cleaner bulk
000000000000100268,DE,Goldähre Apfelsaft 1L
000000000000100269,DE,Gutsherr Butterkeks 200g
000000000000100269,EN,Gutsherr Butter biscuits 200g
000000000000100270,DE,Weststrand Küchenrolle 4 Rollen
000000000000100271,DE,Goldähre Fruchtgummi 200g
000000000000100272,DE,Umkarton Tomaten gehackt
000000000000100272,EN,Outer case Chopped tomatoes
000000000000100273,DE,"Waldbach Eistee Pfirsich 1,5L"
000000000000100273,EN,"Waldbach Iced tea peach 1,5L"
000000000000100274,DE,Butterkeks lose
000000000000100274,EN,Butter biscuits bulk
000000000000100275,DE,Seeblick Duschgel 250ml
000000000000100275,EN,Seeblick Shower gel 250ml
000000000000100276,DE,"Rotbuche Waschpulver 1,35kg"
000000000000100276,EN,"Rotbuche Washing powder 1,35kg"
000000000000100277,DE,Nordsee Thunfisch 185g
000000000000100277,EN,Nordsee Tuna 185g
000000000000100278,DE,Sonnenhof Croissant 4 St
000000000000100278,EN,Sonnenhof Croissant 4 St
000000000000100279,DE,"Kristall Waschpulver 1,35kg"
000000000000100279,EN,"Kristall Washing powder 1,35kg"
000000000000100280,DE,Nordsee Schokolade Vollmilch 100g
000000000000100281,DE,Umkarton Thunfisch
000000000000100281,EN,Outer case Tuna
000000000000100282,DE,"Lindenhof Waschpulver 1,35kg"
000000000000100282,EN,"Lindenhof Washing powder 1,35kg"
000000000000100283,DE,Bonbon Waldfrucht lose
000000000000100283,EN,Forest fruit sweets bulk
000000000000100284,DE,Weststrand Magermilch 1L
000000000000100284,EN,Weststrand Skimmed milk 1L
000000000000100285,DE,Hansen Fruchtgummi 200g
000000000000100285,EN,Hansen Fruit gums 200g
000000000000100286,DE,Alpenrose Küchenrolle 4 Rollen
000000000000100287,DE,Umkarton Toastbrot
000000000000100287,EN,Outer case Toast bread
000000000000100288,DE,Nordsee Schokolade Vollmilch 200g
000000000000100289,DE,Weststrand Katzenfutter Fisch 400g
000000000000100289,EN,Weststrand Cat food fish 400g
000000000000100290,DE,Gutsherr Kidneybohnen 400g
000000000000100290,EN,Gutsherr Kidney beans 400g
000000000000100291,DE,Feldmann Hundefutter Rind 400g
000000000000100292,DE,Lindenhof Bonbon Waldfrucht 150g
000000000000100292,EN,Lindenhof Forest fruit sweets 150g
000000000000100293,DE,Rotbuche Pommes frites 1kg
000000000000100293,EN,Rotbuche French fries 1kg
000000000000100294,DE,Gutsherr Butterkeks 200g
000000000000100294,EN,Gutsherr Butter biscuits 200g
000000000000100295,DE,Waldbach Spülmittel 500ml
000000000000100296,DE,Lindenhof Mais 300g
000000000000100296,EN,Lindenhof Sweetcorn 300g
000000000000100297,DE,Hansen Butterkeks 200g
000000000000100297,EN,Hansen Butter biscuits 200g
000000000000100298,DE,Morgentau Hundefutter Rind 400g
000000000000100299,DE,Sonnenhof Vollkornbrot 500g
000000000000100299,EN,Sonnenhof Wholemeal bread 500g
000000000000100300,DE,Kristall Gemüsemischung 750g
000000000000100301,DE,"Waldbach Vollmilch 3,5% 0,5L"
000000000000100301,EN,"Waldbach Whole milk 3.5% 0,5L"
000000000000100302,DE,Lindenhof Butter mildgesäuert 250g
000000000000100302,EN,Lindenhof Butter mildly soured 250g
000000000000100303,DE,"Bergquell Waschpulver 1,35kg"
000000000000100304,DE,Morgentau Erbsen 400g
000000000000100304,EN,Morgentau Peas 400g
000000000000100305,DE,Umkarton Pizza Salami
000000000000100305,EN,Outer case Salami pizza
000000000000100306,DE,Mais lose
000000000000100306,EN,Sweetcorn bulk
000000000000100307,DE,Morgentau Spülmittel 500ml
000000000000100307,EN,Morgentau Washing-up liquid 500ml
000000000000100308,DE,Dienstleistung Shampoo
000000000000100308,EN,Service Shampoo
000000000000100309,DE,Gutsherr Katzenfutter Fisch 400g
000000000000100310,DE,Hansen Toilettenpapier 10 Rollen
000000000000100310,EN,Hansen Toilet paper 10 Rollen
000000000000100311,DE,Bergquell Fruchtgummi 200g
000000000000100312,DE,"Waldbach Vollmilch 3,5% 0,5L"
