MATNR,BWKEY,VPRSV,BKLAS,VERPR,STPRS,PEINH,LBKUM,SALK3
000000000000100090,2000,V,3100,0.77,0.00,1,1778,1369.06
000000000000100091,1000,V,3100,17.26,0.00,1,3278,56578.28
000000000000100091,2000,V,3100,24.00,0.00,1,925,22200.00
000000000000100092,1000,V,3100,23.98,0.00,1,1349,32349.02
000000000000100092,2000,V,3100,12.46,0.00,1,1159,14441.14
000000000000100093,2000,V,3100,4.54,0.00,1,3651,16575.54
000000000000100094,1000,V,3030,5.13,0.00,1,2607,13373.91
000000000000100094,2000,V,3030,19.13,0.00,1,3536,67643.68
000000000000100095,3000,V,3000,10.89,0.00,1,529,5760.81
000000000000100096,2000,V,3100,5.30,0.00,1,818,4335.40
000000000000100097,1000,V,3100,10.48,0.00,1,3312,34709.76
000000000000100097,2000,V,3100,9.26,0.00,1,1239,11473.14
000000000000100098,2000,V,3100,9.67,0.00,1,503,4864.01
000000000000100099,1000,V,3100,20.83,0.00,1,3538,73696.54
000000000000100100,1000,V,3100,8.41,0.00,1,3970,33387.70
000000000000100100,2000,V,3100,3.19,0.00,1,3793,12099.67
000000000000100101,3000,V,7900,0.00,14.84,1,1797,26667.48
000000000000100102,1000,V,3100,3.61,0.00,1,2036,7349.96
000000000000100103,2000,V,3030,6.22,0.00,1,2878,17901.16
000000000000100104,2000,V,3100,4.48,0.00,1,3875,17360.00
000000000000100105,1000,S,7920,0.00,0.58,1,3173,1840.34
000000000000100105,3000,S,7920,0.00,21.00,1,1157,24297.00
000000000000100106,2000,V,3030,17.05,0.00,1,3278,55889.90
000000000000100107,1000,V,3100,9.06,0.00,1,0,0.00
000000000000100107,2000,V,3100,6.86,0.00,1,0,0.00
000000000000100108,3000,V,3000,6.63,0.00,1,2971,19697.73
000000000000100109,1000,V,3100,9.52,0.00,1,1416,13480.32
000000000000100109,2000,V,3100,0.53,0.00,1,1531,811.43
000000000000100110,1000,V,3030,4.23,0.00,1,3527,14919.21
000000000000100111,1000,V,3100,6.87,0.00,1,2241,15395.67
000000000000100111,2000,V,3100,22.88,0.00,1,3145,71957.60
000000000000100112,2000,V,3100,5.47,0.00,1,585,3199.95
000000000000100113,1000,V,3100,19.74,0.00,1,3845,75900.30
000000000000100113,2000,V,3100,4.46,0.00,1,1413,6301.98
000000000000100114,2000,V,3100,20.95,0.00,1,221,4629.95
000000000000100115,1000,V,3100,15.65,0.00,1,263,4115.95
000000000000100116,3000,V,3000,12.99,0.00,1,975,12665.25
000000000000100117,1000,V,3100,8.19,0.00,1,119,974.61
000000000000100118,1000,V,3100,21.77,0.00,1,249,5420.73
000000000000100118,2000,V,3100,14.13,0.00,1,2890,40835.70
000000000000100119,1000,V,3100,8.66,0.00,1,3356,29062.96
000000000000100119,2000,V,3100,15.03,0.00,1,3224,48456.72
000000000000100120,2000,V,3100,13.47,0.00,1,742,9994.74
000000000000100121,1000,V,3100,13.02,0.00,1,3600,46872.00
000000000000100122,2000,V,3100,18.40,0.00,1,3094,56929.60
000000000000100123,2000,V,3100,19.61,0.00,1,1659,32532.99
000000000000100124,1000,V,3100,18.52,0.00,1,2348,43484.96
000000000000100125,1000,V,3100,3.85,0.00,1,1827,7033.95
000000000000100126,1000,V,3030,14.63,0.00,1,862,12611.06
000000000000100127,1000,V,3100,3.33,0.00,1,1067,3553.11
000000000000100127,2000,V,3100,3.35,0.00,1,927,3105.45
000000000000100128,3000,S,7900,0.00,11.09,1,1976,21913.84
000000000000100129,1000,V,3100,20.89,0.00,1,1269,26509.41
000000000000100130,1000,V,3030,11.72,0.00,1,1254,14696.88
000000000000100131,1000,V,3030,21.42,0.00,1,2801,59997.42
000000000000100132,2000,V,3100,2.27,0.00,1,1624,3686.48
000000000000100133,2000,V,3100,18.83,0.00,1,3329,62685.07
000000000000100134,2000,V,3100,6.48,0.00,1,1133,7341.84
000000000000100135,1000,V,3100,14.63,0.00,1,1513,22135.19
000000000000100135,2000,V,3100,14.31,0.00,1,526,7527.06
000000000000100136,3000,S,7900,0.00,18.03,1,3004,54162.12
000000000000100137,3000,V,3000,10.21,0.00,1,2459,25106.39
000000000000100138,1000,V,3100,3.07,0.00,1,437,1341.59
000000000000100138,2000,V,3100,4.58,0.00,1,1015,4648.70
000000000000100139,1000,V,3100,2.00,0.00,1,1059,2118.00
000000000000100139,2000,V,3100,22.99,0.00,1,1140,26208.60
000000000000100140,3000,V,3000,23.28,0.00,1,3564,82969.92
000000000000100142,1000,V,3100,12.62,0.00,1,7,88.34
000000000000100143,3000,S,7920,0.00,2.20,1,139,305.80
000000000000100144,3000,S,7900,0.00,11.31,1,3406,38521.86
000000000000100145,1000,V,3030,11.95,0.00,1,3019,36077.05
000000000000100145,2000,V,3030,3.81,0.00,1,2333,8888.73
000000000000100146,1000,V,3100,4.05,0.00,1,135,546.75
000000000000100146,2000,V,3100,15.81,0.00,1,3872,61216.32
000000000000100147,1000,V,3100,19.36,0.00,1,3240,62726.40
000000000000100148,1000,V,3030,8.89,0.00,1,1845,16402.05
000000000000100148,2000,V,3030,2.25,0.00,1,1108,2493.00
000000000000100149,1000,V,3100,9.37,0.00,1,3647,34172.39
000000000000100149,2000,V,3100,12.55,0.00,1,2476,31073.80
000000000000100150,2000,V,3100,2.83,0.00,1,2191,6200.53
000000000000100151,1000,V,3100,0.62,0.00,1,353,218.86
000000000000100152,3000,S,7920,0.00,10.72,1,3304,35418.88
000000000000100153,1000,V,3100,8.21,0.00,1,3897,31994.37
000000000000100153,2000,V,3100,2.63,0.00,1,1794,4718.22
000000000000100154,1000,V,3100,10.40,0.00,1,3402,35380.80
000000000000100155,1000,V,3100,15.57,0.00,1,0,0.00
000000000000100157,1000,S,7920,0.00,14.32,1,3867,55375.44
000000000000100157,3000,S,7920,0.00,14.07,1,3501,49259.07
000000000000100158,3000,S,7900,0.00,9.76,1,3642,35545.92
000000000000100159,2000,V,3100,7.00,0.00,1,3523,24661.00
000000000000100160,2000,V,3100,7.10,0.00,1,532,3777.20
000000000000100161,1000,V,3030,9.56,0.00,1,889,8498.84
000000000000100161,2000,V,3030,23.40,0.00,1,3216,75254.40
000000000000100162,1000,V,3100,19.17,0.00,1,1931,37017.27
000000000000100163,2000,V,3100,15.12,0.00,1,310,4687.20
000000000000100165,2000,V,3100,23.30,0.00,1,1198,27913.40
000000000000100166,2000,V,3100,12.36,0.00,1,3945,48760.20
000000000000100167,2000,V,3100,1.28,0.00,1,1309,1675.52
000000000000100170,1000,V,3100,11.45,0.00,1,3866,44265.70
000000000000100171,2000,V,3100,21.04,0.00,1,2649,55734.96
000000000000100172,3000,V,3000,17.87,0.00,1,1952,34882.24
000000000000100173,2000,V,3100,16.50,0.00,1,2631,43411.50
000000000000100174,1000,V,3100,15.25,0.00,1,0,0.00
000000000000100174,2000,V,3100,10.57,0.00,1,0,0.00
000000000000100176,2000,V,3100,21.97,0.00,1,1251,27484.47
000000000000100177,1000,V,3100,0.00,0.00,1,3125,16968.75
000000000000100178,2000,V,3100,5.78,0.00,1,2422,13999.16
000000000000100179,1000,V,3100,6.01,0.00,1,511,3071.11
000000000000100180,1000,V,3100,4.10,0.00,1,99,405.90
000000000000100180,2000,V,3100,13.34,0.00,1,2,26.68
000000000000100181,1000,V,3100,19.22,0.00,1,3393,65213.46
000000000000100181,2000,V,3100,19.55,0.00,1,3460,67643.00
000000000000100183,1000,V,3100,0.58,0.00,1,2665,1545.70
000000000000100184,1000,V,3100,5.22,0.00,1,1397,7292.34
000000000000100184,2000,V,3100,22.85,0.00,1,2154,49218.90
000000000000100185,1000,V,3100,7.86,0.00,1,813,6390.18
000000000000100185,2000,V,3100,23.25,0.00,1,2668,62031.00
000000000000100186,1000,V,3030,14.17,0.00,1,3099,43912.83
000000000000100187,3000,V,3000,6.91,0.00,1,1894,13087.54
000000000000100188,1000,V,3100,16.61,0.00,1,2794,46408.34
000000000000100189,3000,V,3000,21.43,0.00,1,2275,48753.25
000000000000100190,2000,V,3100,9.10,0.00,1,318,2893.80
000000000000100192,2000,V,3100,16.66,0.00,1,993,16543.38
000000000000100193,1000,V,3100,6.85,0.00,1,2193,15022.05
000000000000100194,1000,V,3100,12.38,0.00,1,769,9520.22
000000000000100194,2000,V,3100,0.93,0.00,1,226,210.18
000000000000100195,3000,S,7920,0.00,20.10,1,3009,60480.90
000000000000100196,1000,V,3100,9.66,0.00,1,0,0.00
000000000000100197,1000,V,3100,19.00,0.00,1,882,16758.00
000000000000100199,3000,V,3000,5.69,0.00,1,1773,10088.37
000000000000100200,2000,V,3100,21.33,0.00,1,3862,82376.46
000000000000100202,1000,V,3100,16.89,0.00,1,2021,34134.69
000000000000100202,2000,V,3100,9.71,0.00,1,3569,34654.99
000000000000100203,2000,V,3100,16.52,0.00,1,246,4063.92
000000000000100204,2000,V,3030,1.06,0.00,1,1450,1537.00
000000000000100205,3000,S,7900,0.00,1.19,1,3193,3799.67
000000000000100206,1000,V,3100,1.19,0.00,1,151,179.69
000000000000100207,3000,V,3000,2.72,0.00,1,2679,7286.88
000000000000100208,1000,V,3100,9.58,0.00,1,3509,33616.22
000000000000100208,2000,V,3100,22.90,0.00,1,3961,90706.90
000000000000100209,2000,V,3100,11.81,0.00,1,3356,39634.36
000000000000100210,1000,V,3100,11.29,0.00,1,3869,43681.01
000000000000100211,2000,V,3100,5.49,0.00,1,3729,20472.21
000000000000100212,2000,V,7900,19.85,0.00,1,523,10381.55
000000000000100214,3000,V,3000,8.41,0.00,1,1947,16374.27
000000000000100215,2000,V,3100,20.51,0.00,1,1565,32098.15
000000000000100216,2000,V,3030,15.97,0.00,1,1619,25855.43
000000000000100217,1000,V,3100,12.76,0.00,1,2681,34209.56
000000000000100218,1000,S,7920,0.00,11.26,1,1524,17160.24
000000000000100218,3000,S,7920,0.00,0.23,1,2246,516.58
000000000000100219,1000,V,3100,9.68,0.00,1,0,0.00
000000000000100220,1000,V,3100,3.20,0.00,1,1742,5574.40
000000000000100220,2000,S,3100,12.18,0.00,1,796,9695.28
000000000000100221,1000,V,3100,13.68,0.00,1,2147,29370.96
000000000000100221,2000,V,3100,15.98,0.00,1,1411,22547.78
000000000000100222,1000,V,3100,3.44,0.00,1,2923,10055.12
000000000000100223,2000,V,3100,10.98,0.00,1,992,10892.16
000000000000100224,1000,V,3100,2.63,0.00,1,3868,10172.84
000000000000100225,1000,V,3100,6.25,0.00,1,1412,8825.00
000000000000100226,2000,V,3100,19.02,0.00,1,2543,48367.86
000000000000100227,1000,V,3100,2.09,0.00,1,2548,5325.32
000000000000100228,1000,V,3100,10.21,0.00,1,234,2389.14
000000000000100228,2000,V,3100,7.62,0.00,1,88,670.56
000000000000100229,1000,V,3030,17.95,0.00,1,2200,39490.00
000000000000100230,3000,V,3000,17.76,0.00,1,1761,31275.36
000000000000100231,1000,V,3030,18.96,0.00,1,1973,37408.08
000000000000100231,2000,V,3030,21.58,0.00,1,2515,54273.70
000000000000100232,3000,V,3000,2.45,0.00,1,2305,5647.25
000000000000100233,1000,S,3100,11.84,0.00,1,2128,25195.52
000000000000100233,2000,V,3100,18.27,0.00,1,2126,38842.02
000000000000100234,2000,V,3100,5.02,0.00,1,3798,19065.96
000000000000100235,1000,V,3100,22.87,0.00,1,0,0.00
000000000000100236,2000,V,3100,19.50,0.00,1,2309,45025.50
000000000000100237,1000,V,3100,16.91,0.00,1,88,1488.08
000000000000100237,2000,V,3100,0.83,0.00,1,3174,2634.42
000000000000100239,1000,V,3100,8.48,0.00,1,3949,33487.52
000000000000100239,2000,V,3100,0.20,0.00,1,254,50.80
000000000000100240,2000,V,3030,5.85,0.00,1,878,5136.30
000000000000100241,2000,V,3030,14.96,0.00,1,1949,29157.04
000000000000100242,1000,V,3100,23.96,0.00,1,0,0.00
000000000000100242,2000,V,3100,10.18,0.00,1,0,0.00
000000000000100244,1000,V,3100,0.73,0.00,1,2366,1727.18
000000000000100245,3000,S,7920,0.00,1.45,1,3324,4819.80
000000000000100246,3000,S,7920,0.00,8.57,1,2527,21656.39
000000000000100247,3000,S,7900,0.00,16.78,1,2897,48611.66
000000000000100248,1000,V,3100,12.58,0.00,1,3576,44986.08
000000000000100248,2000,V,3100,22.94,0.00,1,2620,60102.80
000000000000100249,1000,V,3100,7.52,0.00,1,3819,28718.88
000000000000100250,1000,V,3100,8.13,0.00,1,3471,28219.23
000000000000100252,1000,V,3100,21.76,0.00,1,2331,50722.56
000000000000100253,2000,V,3100,8.69,0.00,1,3694,32100.86
000000000000100254,2000,V,3100,6.65,0.00,1,2204,14656.60
000000000000100255,1000,V,3100,7.60,0.00,1,3044,23134.40
000000000000100256,1000,V,3030,11.36,0.00,1,2864,32535.04
000000000000100256,2000,V,3030,18.77,0.00,1,1786,33523.22
000000000000100257,1000,V,3100,7.25,0.00,1,1965,14246.25
000000000000100257,2000,V,3100,22.19,0.00,1,3239,71873.41
000000000000100258,1000,S,7920,0.00,20.96,1,2643,55397.28
000000000000100258,3000,S,7920,0.00,4.20,1,1476,6199.20
000000000000100259,2000,V,3100,16.10,0.00,1,3121,50248.10
000000000000100260,1000,V,3100,20.55,0.00,1,3550,72952.50
000000000000100261,2000,V,3100,17.40,0.00,1,249,4332.60
000000000000100262,1000,V,3100,16.80,0.00,1,1287,21621.60
000000000000100262,2000,V,3100,8.95,0.00,1,2383,21327.85
000000000000100263,2000,V,3100,2.48,0.00,1,0,0.00
000000000000100265,1000,V,3100,17.72,0.00,1,842,14920.24
000000000000100265,2000,V,3100,16.10,0.00,1,3266,52582.60
000000000000100266,2000,V,3100,15.59,0.00,1,2032,31678.88
000000000000100267,3000,V,3000,19.10,0.00,1,2065,39441.50
000000000000100268,1000,V,3100,2.65,0.00,1,1933,5122.45
000000000000100268,2000,V,3100,22.24,0.00,1,2344,52130.56
000000000000100269,3000,S,7900,0.00,22.77,1,2497,56856.69
000000000000100270,1000,V,3100,4.88,0.00,1,2616,12766.08
000000000000100271,1000,V,3100,6.21,0.00,1,1583,9830.43
000000000000100272,2000,V,3030,11.33,0.00,1,3844,43552.52
000000000000100273,2000,S,3100,12.65,0.00,1,3270,41365.50
000000000000100274,3000,V,3000,4.66,0.00,1,1106,5153.96
000000000000100275,1000,V,3100,14.21,0.00,1,787,11183.27
000000000000100276,2000,V,3100,17.61,0.00,1,4000,70440.00
000000000000100277,1000,V,3100,10.02,0.00,1,29,290.58
000000000000100277,2000,V,3100,24.27,0.00,1,1664,40385.28
000000000000100278,1000,V,3100,14.03,0.00,1,2597,36435.91
000000000000100278,2000,V,3100,17.33,0.00,1,141,2443.53
000000000000100279,2000,V,3100,23.88,0.00,1,2363,56428.44
000000000000100280,1000,V,3100,11.44,0.00,1,2502,28622.88
000000000000100281,1000,V,3030,6.38,0.00,1,3426,21857.88
000000000000100282,3000,S,7900,0.00,0.35,1,2981,1043.35
000000000000100283,3000,V,3000,9.80,0.00,1,242,2371.60
000000000000100284,1000,V,3100,21.61,0.00,1,868,18757.48
000000000000100284,2000,V,3100,11.50,0.00,1,3936,45264.00
000000000000100285,2000,V,3100,9.42,0.00,1,3817,35956.14
000000000000100286,1000,V,3100,13.36,0.00,1,2374,31716.64
000000000000100286,2000,V,3100,8.25,0.00,1,3991,32925.75
000000000000100287,1000,V,3030,2.40,0.00,1,2809,6741.60
000000000000100287,2000,V,3030,16.47,0.00,1,349,5748.03
000000000000100288,2000,V,3100,15.62,0.00,1,3188,49796.56
000000000000100289,1000,V,3100,9.85,0.00,1,148,1457.80
000000000000100290,2000,V,3100,1.51,0.00,1,131,197.81
000000000000100291,1000,S,7920,0.00,7.42,1,2331,17296.02
000000000000100291,3000,S,7920,0.00,3.56,1,511,1819.16
000000000000100292,3000,S,7900,0.00,8.26,1,1327,0.00
000000000000100293,1000,V,3100,0.38,0.00,1,0,-5239.00
000000000000100293,2000,V,3100,23.22,0.00,1,0,0.00
000000000000100294,1000,V,3100,22.55,0.00,1,2965,66860.75
000000000000100294,2000,V,3100,15.48,0.00,1,1420,-883.00
000000000000100295,1000,V,3100,21.51,0.00,1,3112,66939.12
000000000000100296,2000,V,3100,19.33,0.00,1,0,0.00
000000000000100297,1000,V,3100,24.19,0.00,1,3467,83866.73
000000000000100297,2000,V,3100,24.08,0.00,1,1570,37805.60
000000000000100298,2000,V,3100,23.69,0.00,1,2009,47593.21
000000000000100299,1000,V,3100,8.88,0.00,1,1044,9270.72
000000000000100300,1000,V,3100,0.25,0.00,1,3399,849.75
000000000000100301,2000,V,3100,18.88,0.00,1,1927,36381.76
000000000000100302,2000,V,3100,13.83,0.00,1,0,0.00
000000000000100303,1000,V,3100,22.11,0.00,1,1912,42274.32
000000000000100304,1000,V,3100,11.98,0.00,1,2070,24798.60
000000000000100306,3000,V,3000,14.57,0.00,1,3719,54185.83
000000000000100307,2000,V,3100,6.02,0.00,1,494,2973.88
000000000000100309,2000,V,3100,17.97,0.00,1,3093,55581.21
000000000000100310,2000,V,3100,7.94,0.00,1,591,4692.54
000000000000100311,2000,V,3100,11.06,0.00,1,746,8250.76
000000000000100312,2000,V,3100,0.00,0.00,1,0,0.00
000000000000100313,1000,V,3100,19.91,0.00,1,16,318.56
000000000000100313,2000,V,3100,6.59,0.00,1,3064,20191.76
000000000000100314,1000,V,3100,0.37,0.00,1,2634,974.58
000000000000100314,2000,V,3100,3.66,0.00,1,2455,8985.30
000000000000100315,1000,V,3100,4.75,0.00,1,858,4075.50
000000000000100315,2000,V,3100,6.33,0.00,1,2945,18641.85
000000000000100316,2000,V,3100,17.12,0.00,1,2797,47884.64
000000000000100317,3000,S,7900,0.00,23.53,1,1857,43695.21
000000000000100318,2000,V,3100,20.47,0.00,1,1314,26897.58
000000000000100320,3000,V,3000,22.04,0.00,1,3601,79366.04
000000000000100321,1000,V,3100,22.55,0.00,1,3371,76016.05
000000000000100321,2000,V,3100,2.62,0.00,1,1089,2853.18
000000000000100322,2000,V,3100,12.20,0.00,1,1279,15603.80
000000000000100323,3000,S,7920,0.00,8.32,1,3053,25400.96
000000000000100324,1000,V,3100,0.00,0.00,1,3982,80675.32
000000000000100324,2000,V,3100,5.25,0.00,0,3061,16070.25
000000000000100325,1000,V,3100,0.22,0.00,1,3174,698.28
000000000000100326,1000,V,3100,7.72,0.00,1,2857,22056.04
000000000000100327,2000,V,3100,1.93,0.00,1,22,42.46
000000000000100328,1000,V,3100,13.61,0.00,1,348,4736.28
000000000000100328,2000,V,3100,11.76,0.00,1,2528,29729.28
000000000000100329,1000,V,3100,18.61,0.00,1,3512,65358.32
000000000000100330,2000,V,3100,11.77,0.00,1,2116,24905.32
000000000000100331,1000,V,3100,18.39,0.00,1,3110,57192.90
000000000000100331,2000,V,3100,6.08,0.00,1,3660,22252.80
000000000000100332,3000,S,7920,0.00,12.22,1,3489,42635.58
000000000000100333,1000,V,3100,3.41,0.00,1,3991,13609.31
000000000000100334,1000,V,3100,20.19,0.00,1,1499,30264.81
000000000000100335,1000,V,3100,16.41,0.00,1,706,11585.46
000000000000100336,1000,V,3030,14.11,0.00,1,3173,44771.03
000000000000100336,2000,V,3030,5.54,0.00,1,3955,21910.70
000000000000100337,2000,V,3100,13.68,0.00,1,3479,47592.72
000000000000100338,1000,V,3100,4.63,0.00,1,199,921.37
000000000000100338,2000,V,3100,14.71,0.00,0,1190,17504.90
000000000000100339,2000,V,3100,17.43,0.00,1,423,7372.89
000000000000100340,1000,V,3100,3.87,0.00,1,998,3862.26
000000000000100340,2000,V,3100,16.16,0.00,1,2512,40593.92
000000000000100341,1000,V,3100,9.97,0.00,1,858,8554.26
000000000000100341,2000,V,3100,4.60,0.00,1,1589,7309.40
000000000000100342,1000,V,3030,1.63,0.00,1,122,198.86
000000000000100343,1000,V,3030,8.32,0.00,1,1950,16224.00
000000000000100344,3000,S,7900,0.00,22.90,1,247,5656.30
000000000000100345,2000,V,3030,9.81,0.00,1,3720,36493.20
000000000000100346,1000,V,3030,14.88,0.00,1,1453,21620.64
000000000000100347,2000,V,3100,8.85,0.00,1,873,7726.05
000000000000100348,1000,V,3100,20.31,0.00,1,3591,72933.21
000000000000100348,2000,V,3100,13.81,0.00,1,2503,34566.43
000000000000100349,1000,V,3100,13.56,0.00,1,2612,35418.72
000000000000100349,2000,V,3100,16.79,0.00,1,3414,57321.06
000000000000100350,2000,V,3100,19.15,0.00,1,2091,40042.65
000000000000100351,3000,V,3000,1.53,0.00,1,2002,3063.06
000000000000100352,1000,V,3100,19.89,0.00,1,1254,24942.06
000000000000100352,2000,V,3100,16.07,0.00,1,1041,16728.87
000000000000100353,1000,V,3100,9.35,0.00,1,3995,37353.25
000000000000100354,1000,V,3030,17.45,0.00,1,2042,35632.90
000000000000100355,1000,V,3100,13.42,0.00,1,594,7971.48
