MATNR,MTART,MBRSH,MATKL,MEINS,BISMT,EAN11,NUMTP,BRGEW,NTGEW,GEWEI,MSTAE,LVORM,ERSDA,ERNAM
000000000000100071,HAWA,H,WG-SUES,ST,,4011429222566,HE,5.899,5.540,KG,,,2017-12-12,A.NOWAK
000000000000100072,HAWA,H,WG-SUES,ST,ALT231177,4006143097989,HE,11.382,10.125,KG,,,2009-12-08,S.KELLER
000000000000100073,VERP,H,WG-VERP,ST,,4026191452653,HE,11.250,9.281,KG,,,2024-07-24,BATCHUSER
000000000000100074,HAWA,H,WG-SUES,ST,,4075518704876,HE,3.664,2.987,KG,,,2015-03-01,M.HOFFMANN
000000000000100075,HAWA,H,WG-TK,ST,,4046650422171,HE,4.509,3.818,KG,,,2022-11-18,A.NOWAK
000000000000100076,HAWA,H,WG-PAPI,ST,,4086969850234,HE,8.835,7.632,KG,,,2020-06-01,T.BRANDT
000000000000100077,HAWA,H,WG-SUES,ST,,4011761544579,HE,9.811,12.049,KG,,,2015-02-19,S.KELLER
000000000000100078,HAWA,H,WG-KOER,ST,ALT414746,4012348372356,HE,7.656,7.094,KG,,,2025-12-20,M.HOFFMANN
000000000000100079,ROH,H,WG-ROH,ST,ALT871651,4010053967621,HE,4.803,4.658,KG,,,2016-07-25,S.KELLER
000000000000100080,NLAG,H,,ST,,4046305980032,HE,,,,,,2012-11-08,T.BRANDT
000000000000100081,HAWA,H,WG-GETR,ST,ALT218170,4088959757417,HE,7.157,6.730,KG,,,2009-06-18,M.HOFFMANN
000000000000100082,HALB,H,WG-TIER,ST,,4074369155226,HE,10.584,9.018,KG,,,2018-07-02,BATCHUSER
000000000000100083,HAWA,H,WG-PAPI,ST,ALT610819,4079888966179,HE,8.313,7.577,KG,,,2009-01-28,S.KELLER
000000000000100084,HAWA,H,WG-TIER,ST,ALT446036,4095559796081,HE,1.589,1.400,KG,,,2025-08-28,S.KELLER
000000000000100085,HAWA,H,WG-PAPI,ST,,4043922443117,HE,6.457,6.027,KG,,,2022-11-06,M.HOFFMANN
000000000000100086,HAWA,H,WG-GETR,ST,ALT233386,4062820811699,HE,0.919,0.818,KG,,,2018-01-11,BATCHUSER
000000000000100087,HAWA,H,WG-TK,ST,,4085298389040,HE,1.177,1.136,KG,,,2009-08-06,M.HOFFMANN
000000000000100088,VERP,H,WG-VERP,ST,,4072373696322,HE,7.392,7.118,KG,,,2025-10-14,M.HOFFMANN
000000000000100089,HAWA,H,WG-KONS,ST,,4037410197590,HE,7.048,6.020,KG,,,2026-10-07,M.HOFFMANN
000000000000100090,HAWA,H,WG-TK,ST,ALT471470,4009982991968,HE,6.141,5.501,KG,,,2013-01-08,A.NOWAK
000000000000100091,XXXX,H,WG-HAUS,ST,ALT873695,4043053731732,HE,9.440,8.547,KG,,,2015-06-12,M.HOFFMANN
000000000000100092,HAWA,H,WG-TIER,ST,,4071474322444,HE,4.766,4.260,KG,,,2011-10-03,S.KELLER
000000000000100093,HAWA,H,WG-TIER,ST,,4079535729515,HE,6.314,5.840,KG,,,2022-12-16,M.HOFFMANN
000000000000100094,VERP,H,WG-VERP,ST,,4022798299035,HE,6.556,5.884,KG,,,2021-05-23,M.HOFFMANN
000000000000100095,ROH,H,WG-ROH,ST,,4046598479824,HE,2.279,1.944,KG,,,2019-09-09,A.NOWAK
000000000000100096,HAWA,H,WG-PAPI,ST,,4018338096875,HE,3.564,2.926,KG,,,2023-02-01,A.NOWAK
000000000000100097,HAWA,H,WG-TK,ST,,4008577716153,HE,7.539,6.926,KG,,,2025-04-19,S.KELLER
000000000000100098,HAWA,H,WG-BACK,ST,,4049217910463,HE,8.526,7.437,KG,,,2026-02-26,S.KELLER
000000000000100099,HAWA,H,WG-KONS,ST,,4003190221916,HE,6.787,6.015,KG,,,2026-03-06,S.KELLER
000000000000100100,HAWA,H,WG-PAPI,ST,,4070790969135,HE,11.499,10.989,KG,,,2010-08-12,M.HOFFMANN
000000000000100101,HALB,H,WG-GETR,ST,,4079865254602,HE,10.434,9.765,KG,,,2020-02-06,S.KELLER
000000000000100102,HAWA,H,WG-BACK,ST,,4024585071268,HE,11.560,10.232,KG,,,2012-08-01,M.HOFFMANN
000000000000100103,VERP,H,WG-VERP,ST,ALT351099,4002497259721,HE,2.080,1.949,KG,,,2016-03-05,T.BRANDT
000000000000100104,HAWA,H,WG-TK,ST,,4060809561801,HE,5.774,4.677,KG,01,,2017-09-10,M.HOFFMANN
000000000000100105,FERT,H,WG-SUES,ST,ALT564367,4014337999797,HE,7.904,7.467,KG,,,2026-11-14,BATCHUSER
000000000000100106,VERP,H,WG-VERP,ST,,4090246501382,HE,11.093,9.296,KG,,,2018-03-14,S.KELLER
000000000000100107,NLAG,H,WG-BACK,PCS,ALT828399,4036025456597,HE,,,,,,2014-02-01,M.HOFFMANN
000000000000100108,ROH,H,WG-ROH,ST,,4027971613394,HE,6.701,6.481,KG,,,2017-11-20,T.BRANDT
000000000000100109,HAWA,H,WG-HAUS,ST,ALT625591,4098658773991,HE,6.550,5.745,KG,,,2019-06-22,T.BRANDT
000000000000100110,VERP,H,WG-VERP,ST,,4097476627899,HE,0.262,0.251,KG,,,2017-10-21,BATCHUSER
000000000000100111,HAWA,H,WG-TK,ST,ALT708291,4023505496471,HE,6.329,5.393,KG,,,2015-10-08,T.BRANDT
000000000000100112,HAWA,H,WG-KOER,ST,,4087230427933,HE,7.572,6.266,KG,,,2017-06-28,A.NOWAK
000000000000100113,HAWA,H,WG-TK,ST,ALT867802,4026206533100,HE,0.289,0.242,KG,,,2022-10-19,A.NOWAK
000000000000100114,HAWA,H,WG-HAUS,ST,ALT332291,4029779646161,HE,7.721,6.731,KG,,,2016-12-23,S.KELLER
000000000000100115,HAWA,H,WG-TK,ST,,4046996633514,HE,0.283,0.230,KG,,,2025-12-04,T.BRANDT
000000000000100116,ROH,H,WG-ROH,ST,,4004004198622,HE,1.441,1.236,KG,,,2020-03-15,T.BRANDT
000000000000100117,HAWA,H,WG-BACK,ST,ALT386986,4070584772453,HE,11.987,10.647,KG,,,2012-01-21,BATCHUSER
000000000000100118,HAWA,H,WG-PAPI,ST,,4012068740904,HE,1.493,1.411,KG,,,2026-06-08,BATCHUSER
000000000000100119,HAWA,H,WG-TK,ST,,4008450622564,HE,2.071,1.961,KG,,,2020-09-27,T.BRANDT
000000000000100120,HAWA,H,WG-KONS,ST,,4015546577271,HE,1.593,1.323,KG,,,2020-05-09,M.HOFFMANN
000000000000100121,HAWA,H,WG-TIER,ST,,4037106967094,HE,1.553,1.325,KG,,,2020-11-04,BATCHUSER
000000000000100122,HAWA,H,WG-KOER,ST,,4024458300815,HE,10.129,8.462,KG,,,2022-12-16,S.KELLER
000000000000100123,HAWA,H,WG-HAUS,ST,ALT534266,4051696356908,HE,3.096,2.729,KG,,,2021-02-05,T.BRANDT
000000000000100124,HAWA,H,WG-HAUS,ST,ALT915907,4064359264441,HE,2.699,2.388,KG,,,2013-04-14,BATCHUSER
000000000000100125,HAWA,H,WG-KOER,ST,,4005121079023,HE,2.744,2.627,KG,,,2020-12-08,S.KELLER
000000000000100126,VERP,H,WG-VERP,ST,ALT211464,4043918327933,HE,6.133,5.746,KG,,,2026-11-09,A.NOWAK
000000000000100127,HAWA,H,WG-GETR,ST,,4018262277616,HE,10.665,9.930,KG,,,2010-03-12,T.BRANDT
000000000000100128,HALB,H,WG-SUES,ST,,4041894376235,HE,5.322,4.804,KG,,,2016-02-08,S.KELLER
000000000000100129,HAWA,H,WG-TK,ST,,4019958392095,HE,9.978,8.484,KG,,,2015-03-14,S.KELLER
000000000000100130,VERP,H,WG-VERP,ST,ALT636777,4053650411161,HE,10.286,8.865,KG,,,2018-08-07,M.HOFFMANN
000000000000100131,VERP,H,WG-VERP,ST,,4084545877521,HE,3.900,3.607,KG,,,2011-12-23,A.NOWAK
000000000000100132,HAWA,H,WG-HAUS,ST,ALT425296,4034655551354,HE,4.178,3.954,KG,,,2022-10-21,A.NOWAK
000000000000100133,HAWA,H,WG-TIER,ST,ALT872527,4013590427382,HE,6.996,5.998,KG,,,2013-10-14,T.BRANDT
000000000000100134,HAWA,H,WG-KOER,ST,ALT806937,4037782765519,HE,7.583,7.150,KG,,,2016-06-11,BATCHUSER
000000000000100135,HAWA,H,WG-MOPRO,ST,,4080932356235,HE,7.396,6.460,KG,,,2011-06-25,S.KELLER
000000000000100136,HALB,H,WG-KOER,ST,,4037592082349,HE,4.727,4.328,KG,,,2018-12-23,T.BRANDT
000000000000100137,ROH,H,WG-ROH,ST,ALT245156,4019684283063,HE,9.984,9.392,KG,,,2015-03-06,BATCHUSER
000000000000100138,HAWA,H,WG-KOER,ST,,4052549721980,HE,6.730,5.845,KG,,,2025-12-08,T.BRANDT
000000000000100139,HAWA,H,WG-SUES,ST,,4043633277476,HE,3.892,3.126,KG,,,2017-05-09,BATCHUSER
000000000000100140,ROH,H,WG-ROH,ST,ALT807137,4019524452888,HE,7.076,5.714,KG,,,2016-11-07,BATCHUSER
000000000000100141,HAWA,H,WG-KONS,ST,,4030212812708,HE,0.000,0.000,KG,,,2022-12-12,S.KELLER
000000000000100142,HAWA,H,WG-GETR,ST,,4071193428458,HE,8.930,7.862,KG,,,2021-03-01,S.KELLER
000000000000100143,FERT,H,WG-PAPI,ST,ALT437430,4057345908405,HE,1.484,1.437,KG,,,2022-11-20,T.BRANDT
000000000000100144,HALB,H,WG-TK,ST,,4034822430772,HE,2.007,1.897,KG,,,2021-03-14,BATCHUSER
000000000000100145,VERP,H,WG-VERP,ST,ALT108617,4066477001939,HE,11.884,11.105,KG,,,2015-04-03,T.BRANDT
000000000000100146,HAWA,H,WG-KOER,ST,,4012675751930,HE,11.265,10.030,KG,,,2017-03-23,A.NOWAK
000000000000100147,HAWA,H,WG-TIER,ST,,4040560309768,HE,11.920,9.939,KG,,,2017-12-03,S.KELLER
000000000000100148,VERP,H,WG-VERP,ST,,4097325644640,HE,3.682,3.327,KG,,,2024-11-15,M.HOFFMANN
000000000000100149,HAWA,H,WG-SUES,ST,ALT746781,4087705738496,HE,1.910,1.693,KG,,,2017-06-03,A.NOWAK
000000000000100150,HAWA,H,WG-TK,ST,,4060279583631,HE,9.140,7.817,KG,,,2017-09-27,A.NOWAK
000000000000100151,HAWA,H,WG-HAUS,ST,,4094415955938,HE,4.284,3.918,KG,,,2021-03-03,T.BRANDT
000000000000100152,FERT,H,WG-MOPRO,ST,,4049427463445,HE,3.413,2.763,KG,,,2022-01-07,A.NOWAK
000000000000100153,HAWA,H,WG-SUES,ST,ALT387790,4078633937419,HE,4.381,3.862,KG,,,2020-02-27,S.KELLER
000000000000100154,HAWA,H,WG-HAUS,ST,,4081627601821,HE,3.789,3.038,KG,,,2019-04-14,T.BRANDT
000000000000100155,NLAG,H,WG-SUES,ST,ALT497976,4052575189532,HE,,,,,,2023-01-05,BATCHUSER
000000000000100156,DIEN,H,WG-DIEN,ST,,,,,,,,,2013-04-27,T.BRANDT
000000000000100157,FERT,H,WG-HAUS,ST,,4023762714431,HE,10.851,9.242,KG,,,2013-10-01,BATCHUSER
000000000000100158,HALB,H,WG-TIER,ST,ALT235224,4097468696452,HE,8.942,8.341,KG,,,2023-07-02,S.KELLER
000000000000100159,HAWA,H,WG-HAUS,ST,ALT780628,4050142311775,HE,0.454,0.396,KG,,,2021-04-18,BATCHUSER
000000000000100160,HAWA,H,WG-PAPI,ST,,4021219064634,HE,9.430,7.971,KG,,,2013-09-20,S.KELLER
000000000000100161,VERP,H,WG-VERP,ST,,4001916769872,HE,8.142,7.397,KG,,,2024-03-23,T.BRANDT
000000000000100162,HAWA,H,WG-MOPRO,ST,,4001465127864,HE,9.081,8.129,KG,,,2024-02-14,A.NOWAK
000000000000100163,HAWA,H,WG-MOPRO,ST,ALT751472,4047829239064,HE,0.451,0.372,KG,,,2009-07-03,T.BRANDT
000000000000100164,VERP,H,WG-VERP,ST,,4061810483342,HE,9.563,8.031,,,,2013-10-15,T.BRANDT
000000000000100165,HAWA,H,WG-TK,ST,ALT399497,4098477727748,HE,0.809,0.734,KG,,,2015-03-18,T.BRANDT
000000000000100166,HAWA,H,WG-PAPI,ST,,4027269795993,HE,5.262,4.338,KG,,,2011-05-01,A.NOWAK
000000000000100167,HAWA,H,WG-KOER,ST,,4032111536716,HE,11.583,10.771,KG,,,2020-03-12,A.NOWAK
000000000000100168,DIEN,H,WG-DIEN,ST,ALT750475,,,,,,,,2010-07-28,S.KELLER
000000000000100169,HAWA,H,WG-KOER,,,4080177094671,HE,7.454,6.407,KG,,,2015-08-06,A.NOWAK
000000000000100170,HAWA,H,WG-GETR,ST,ALT563421,4077913144332,HE,9.167,8.064,KG,,,2017-06-28,S.KELLER
000000000000100171,HAWA,H,WG-BACK,ST,,4032704689027,HE,7.593,6.208,KG,,,2026-01-18,T.BRANDT
000000000000100172,ROH,H,WG-ROH,ST,,4048122541540,HE,1.647,1.451,KG,,,2025-11-10,S.KELLER
000000000000100173,HAWA,H,WG-PAPI,ST,ALT186247,4063426204892,HE,9.348,7.892,KG,,,2013-08-26,S.KELLER
000000000000100174,NLAG,H,WG-SUES,ST,,4089854317454,HE,,,,,,2022-10-23,A.NOWAK
000000000000100175,HAWA,H,WG-TIER,PCS,,4025743839515,HE,5.696,4.564,KG,,,2018-01-15,T.BRANDT
000000000000100176,HAWA,H,WG-HAUS,ST,ALT392024,4016947392852,HE,9.066,7.682,KG,,,2025-03-22,A.NOWAK
000000000000100177,HAWA,H,WG-KONS,ST,ALT788729,4097517453135,HE,7.059,6.681,KG,,,2019-12-12,BATCHUSER
000000000000100178,HAWA,H,WG-HAUS,ST,,4060462969600,HE,1.415,1.352,KG,,,2021-04-09,A.NOWAK
000000000000100179,HAWA,H,WG-HAUS,ST,ALT367246,4003291604588,HE,3.935,3.177,KG,,,2024-05-05,BATCHUSER
000000000000100180,HAWA,H,WG-GETR,ST,,4097568366064,HE,1.665,1.411,KG,,,2026-09-05,T.BRANDT
000000000000100181,HAWA,H,WG-KOER,ST,,4036926184063,HE,7.229,6.553,KG,,,2025-09-19,T.BRANDT
000000000000100182,DIEN,H,WG-DIEN,ST,,,,,,,,,2012-09-24,M.HOFFMANN
000000000000100183,HAWA,H,WG-TK,ST,,4033689333547,HE,2.741,2.197,KG,,,2012-10-07,M.HOFFMANN
000000000000100184,HAWA,H,WG-MOPRO,ST,ALT331940,4033670233818,HE,1.937,1.713,KG,,,2009-11-22,S.KELLER
000000000000100185,HAWA,H,WG-PAPI,ST,,4075527634126,HE,4.808,4.108,KG,,,2022-02-04,T.BRANDT
000000000000100186,VERP,H,WG-VERP,ST,ALT597271,4029822205321,HE,11.729,10.004,KG,,,2024-03-01,S.KELLER
000000000000100187,ROH,H,WG-ROH,ST,ALT490589,4095841117488,HE,11.198,9.359,KG,,,2019-07-08,A.NOWAK
000000000000100188,HAWA,H,,ST,,4032206147117,HE,0.979,0.868,KG,,,2021-01-11,M.HOFFMANN
000000000000100189,ROH,H,WG-ROH,ST,,4008329817053,HE,1.565,1.262,KG,,,2009-07-14,T.BRANDT
000000000000100190,HAWA,H,WG-BACK,ST,,4057049957105,HE,0.979,0.946,KG,,,2010-04-01,A.NOWAK
000000000000100191,DIEN,H,WG-DIEN,ST,,,,,,,,,2022-07-01,M.HOFFMANN
000000000000100192,HAWA,H,WG-GETR,ST,,4028547035978,HE,11.250,9.155,KG,,,2022-09-07,BATCHUSER
000000000000100193,HAWA,H,WG-HAUS,ST,,4074432690258,HE,3.815,3.460,KG,,,2018-07-02,T.BRANDT
000000000000100194,HAWA,H,WG-TK,ST,,4026436512050,HE,3.442,3.154,KG,,,2023-01-18,M.HOFFMANN
000000000000100195,FERT,H,WG-KOER,ST,ALT492765,4028575202458,HE,8.829,8.109,KG,,,2021-08-27,BATCHUSER
000000000000100196,NLAG,H,WG-BACK,ST,,4041610964111,HE,,,,,,2020-05-07,S.KELLER
000000000000100197,HAWA,H,WG-TIER,ST,ALT275277,4079749980085,HE,7.953,7.654,KG,,,2012-05-10,BATCHUSER
000000000000100198,DIEN,H,WG-DIEN,ST,,,,,,,,,2011-01-11,S.KELLER
000000000000100199,ROH,H,WG-ROH,ST,,4030381011315,HE,8.147,7.432,KG,,,2015-06-09,A.NOWAK
000000000000100200,HAWA,H,WG-KONS,ST,,4005588359041,HE,6.569,6.270,KG,,,2023-02-03,A.NOWAK
000000000000100201,HAWA,H,WG-GETR,,,4083919792361,HE,8.710,7.524,KG,,,2016-07-27,M.HOFFMANN
000000000000100202,HAWA,H,WG-KONS,ST,,4026516586131,HE,1.646,1.480,KG,,,2026-01-14,BATCHUSER
000000000000100203,HAWA,H,WG-KONS,ST,,4086461666784,HE,11.840,10.967,KG,,,2025-12-02,T.BRANDT
000000000000100204,VERP,H,WG-VERP,ST,,4031089782637,HE,11.744,9.909,KG,,,2019-03-24,BATCHUSER
000000000000100205,HALB,H,WG-KOER,ST,,4083676317708,HE,0.278,0.230,KG,,,2023-03-07,M.HOFFMANN
000000000000100206,HAWA,H,WG-HAUS,ST,ALT378406,4095598674838,HE,6.794,5.546,KG,,,2011-06-05,M.HOFFMANN
000000000000100207,ROH,H,WG-ROH,ST,,4001913431185,HE,11.437,10.714,KG,,,2012-03-18,S.KELLER
000000000000100208,HAWA,H,WG-TK,ST,ALT519997,4086226064008,HE,10.641,9.924,KG,,,2016-04-06,BATCHUSER
000000000000100209,HAWA,H,WG-GETR,ST,,4059712727107,HE,2.508,2.420,KG,,,2009-01-12,BATCHUSER
000000000000100210,HAWA,H,WG-PAPI,ST,,4026634847015,HE,11.985,10.520,KG,,,2019-08-24,M.HOFFMANN
000000000000100211,HAWA,H,WG-KOER,ST,,4038181568541,HE,6.602,5.901,KG,,,2020-03-15,S.KELLER
000000000000100212,HAWA,H,WG-TK,ST,ALT735825,4083728219134,HE,4.162,3.746,KG,,,2017-08-05,T.BRANDT
000000000000100213,VERP,H,WG-VERP,ST,ALT484994,4086481583023,HE,7.796,6.265,,,,2021-11-21,M.HOFFMANN
000000000000100214,ROH,H,WG-ROH,ST,ALT590539,4024510978464,HE,2.033,1.875,KG,,,2017-03-16,T.BRANDT
000000000000100215,HAWA,H,WG-TIER,ST,,4016153679686,HE,7.234,6.730,KG,,,2015-05-07,S.KELLER
000000000000100216,VERP,H,WG-VERP,ST,,4096150190209,HE,11.690,9.997,KG,,,2018-12-20,BATCHUSER
000000000000100217,HAWA,H,WG-TK,ST,ALT217993,4025993573818,HE,9.556,7.719,KG,,,2017-12-21,M.HOFFMANN
000000000000100218,FERT,H,WG-HAUS,ST,,4093749963558,HE,1.995,1.889,KG,,,2026-04-27,BATCHUSER
000000000000100219,NLAG,H,WG-KONS,ST,ALT230394,4026629545544,HE,,,,,,2019-07-23,S.KELLER
000000000000100220,HAWA,H,WG-BACK,ST,ALT414591,4093249519033,HE,11.340,9.348,KG,,,2018-03-04,M.HOFFMANN
