MATNR,WERKS,LGORT,LABST,INSME,SPEME,LGPBE,LVORM
000000000000100058,1000,0001,576,0,0,B-28-3,
000000000000100058,2000,0002,302,0,0,C-28-3,
000000000000100059,1000,0001,807,0,0,C-26-5,
000000000000100060,1000,0002,186,0,0,A-20-4,
000000000000100061,3000,0001,514,0,0,D-02-5,
000000000000100061,3000,0002,843,0,0,C-10-6,
000000000000100062,3000,0001,838,0,0,B-02-6,
000000000000100062,3000,0002,758,25,0,B-28-1,
000000000000100063,1000,0001,762,0,0,C-20-1,
000000000000100063,1000,0002,847,0,0,D-27-8,
000000000000100063,2000,0002,305,25,0,B-26-8,
000000000000100064,1000,0001,832,0,0,B-24-8,
000000000000100065,1000,0001,417,0,0,A-09-2,
000000000000100065,1000,0002,359,0,0,C-15-3,
000000000000100065,2000,0001,544,0,40,A-25-6,
000000000000100066,3000,0002,794,0,0,D-04-5,
000000000000100067,2000,0002,460,0,0,B-01-7,
000000000000100068,2000,0001,691,25,0,C-23-2,
000000000000100069,1000,0002,769,0,40,B-28-5,
000000000000100070,3000,0001,620,0,40,D-24-3,
000000000000100071,2000,0001,669,25,0,B-05-2,
000000000000100072,2000,0001,10,0,0,B-05-3,
000000000000100072,2000,0002,187,0,0,C-12-1,
000000000000100073,1000,0001,271,25,0,A-02-1,
000000000000100073,1000,0002,758,0,0,B-05-3,
000000000000100074,1000,0002,503,0,40,D-11-8,
000000000000100075,1000,0001,469,0,40,B-01-3,
000000000000100076,1000,0002,412,0,0,A-08-9,
000000000000100078,1000,0001,82,25,0,C-27-6,
000000000000100078,1000,0002,665,25,40,B-01-4,
000000000000100078,2000,0002,160,25,0,C-19-9,
000000000000100079,3000,0002,312,0,40,D-29-4,
000000000000100081,2000,0002,297,0,40,C-09-1,
000000000000100082,3000,0001,160,0,0,B-25-8,
000000000000100082,3000,0002,381,25,0,D-21-7,
000000000000100083,1000,0002,494,0,0,B-14-2,
000000000000100083,2000,0002,475,0,40,C-27-2,
000000000000100084,1000,0001,618,0,0,D-28-2,
000000000000100084,1000,0002,889,0,0,B-03-5,
000000000000100084,2000,0001,7,25,40,A-10-4,
000000000000100084,2000,0002,818,0,40,C-13-3,
000000000000100085,1000,0001,7,0,0,C-09-4,
000000000000100085,1000,0002,310,25,0,A-12-7,
000000000000100085,2000,0001,167,0,0,B-24-3,
000000000000100085,2000,0002,757,0,40,C-28-3,
000000000000100086,1000,0002,230,0,0,A-21-4,
000000000000100086,2000,0002,438,0,0,A-11-4,
000000000000100087,1000,0002,454,0,40,A-20-4,
000000000000100088,1000,0001,494,25,0,C-21-9,
000000000000100089,2000,0001,523,25,40,A-14-7,
000000000000100089,2000,0002,719,0,40,C-26-5,
000000000000100090,2000,0002,37,25,0,B-21-4,
000000000000100091,1000,0002,866,0,0,D-10-9,
000000000000100091,2000,0001,398,0,0,D-27-1,
000000000000100092,1000,0001,604,25,0,D-07-7,
000000000000100092,2000,0002,17,25,0,D-14-7,
000000000000100093,2000,0001,621,25,40,A-27-5,
000000000000100094,1000,0002,466,0,0,C-19-6,
000000000000100094,2000,0001,208,0,0,B-07-6,
000000000000100094,2000,0002,647,0,0,D-08-2,
000000000000100095,3000,0001,93,0,0,D-04-1,
000000000000100095,3000,0002,255,25,0,A-14-7,
000000000000100096,2000,0002,254,0,0,C-13-2,
000000000000100097,1000,0001,118,25,0,C-12-9,
000000000000100097,1000,0002,163,0,40,D-19-1,
000000000000100097,2000,0001,701,0,0,D-13-7,
000000000000100097,2000,0002,691,0,0,A-23-9,
000000000000100098,2000,0001,436,0,0,D-18-9,
000000000000100099,1000,0001,754,0,0,B-10-6,
000000000000100099,1000,0002,364,0,0,C-01-9,
000000000000100100,1000,0001,574,0,0,B-29-4,
000000000000100100,1000,0002,629,0,0,D-16-2,
000000000000100100,2000,0002,542,0,0,A-21-7,
000000000000100101,3000,0001,261,0,40,C-14-3,
000000000000100102,1000,0001,19,0,0,C-16-5,
000000000000100103,2000,0002,551,0,0,D-29-7,
000000000000100104,2000,0002,681,25,40,B-24-3,
000000000000100105,1000,0001,414,25,0,B-15-4,
000000000000100105,3000,0002,285,0,0,B-19-6,
000000000000100106,2000,0002,162,25,0,D-04-3,
000000000000100107,1000,0001,233,0,0,A-01-1,
000000000000100108,3000,0002,439,0,0,A-23-2,
000000000000100109,1000,0001,757,0,40,A-29-4,
000000000000100109,1000,0002,551,0,0,B-03-3,
000000000000100109,2000,0001,641,0,0,D-09-2,
000000000000100109,2000,0002,6,0,0,A-28-1,
000000000000100110,1000,0001,54,0,0,B-20-7,
000000000000100111,1000,0001,78,0,0,B-11-1,
000000000000100111,2000,0001,776,0,0,B-25-8,
000000000000100111,2000,0002,606,0,40,D-21-7,
000000000000100112,2000,0002,20,25,0,D-14-1,
000000000000100113,1000,0001,532,25,40,D-10-6,
000000000000100113,2000,0001,297,0,40,C-15-6,
000000000000100114,2000,0002,58,0,0,B-08-2,
000000000000100115,1000,0001,7,0,0,A-28-8,
000000000000100116,3000,0001,809,25,0,C-08-4,
000000000000100116,3000,0002,713,0,0,A-24-9,
000000000000100117,1000,0001,867,0,0,A-14-3,
000000000000100118,1000,0002,864,0,0,D-24-8,
000000000000100118,2000,0001,592,0,0,D-29-3,
000000000000100118,2000,0002,858,0,0,B-05-7,
000000000000100119,1000,0001,570,0,0,A-21-3,
000000000000100119,2000,0002,828,25,40,D-09-9,
000000000000100120,2000,0001,470,0,0,B-01-5,
000000000000100120,2000,0002,254,0,0,C-08-3,
000000000000100121,1000,0002,302,0,0,A-28-8,
000000000000100122,2000,0001,268,0,40,C-23-7,
000000000000100122,2000,0002,680,0,0,C-02-8,
000000000000100123,2000,0001,897,0,0,B-16-4,
000000000000100123,2000,0002,579,0,40,B-01-3,
000000000000100124,1000,0002,616,0,0,C-08-1,
000000000000100125,1000,0001,749,0,0,A-03-2,
000000000000100126,1000,0001,704,0,0,D-07-4,
000000000000100127,1000,0001,806,25,0,A-20-3,
000000000000100127,2000,0001,151,0,0,C-17-3,
000000000000100127,2000,0002,701,0,0,D-06-9,
000000000000100128,3000,0002,538,25,0,C-11-6,
000000000000100129,1000,0002,395,0,40,A-17-7,
000000000000100130,1000,0001,715,0,0,B-26-4,
000000000000100130,1000,0002,743,25,0,D-14-9,
000000000000100131,1000,0001,550,0,40,A-08-7,
000000000000100132,2000,0001,198,25,0,A-24-8,
000000000000100133,2000,0002,530,25,0,A-11-2,
000000000000100134,2000,0002,332,25,0,A-29-5,
000000000000100135,1000,0001,721,0,0,A-18-3,
000000000000100135,1000,0002,468,0,40,D-07-6,
000000000000100135,2000,0001,142,0,0,D-18-8,
000000000000100135,2000,0002,282,25,0,B-18-4,
000000000000100136,3000,0001,545,0,40,D-27-8,
000000000000100136,3000,0002,298,0,40,C-08-7,
000000000000100137,3000,0002,95,0,40,C-14-8,
000000000000100138,1000,0001,10,0,0,A-02-9,
000000000000100138,2000,0001,732,0,0,A-13-1,
000000000000100138,2000,0002,654,0,0,D-11-9,
000000000000100139,1000,0002,472,0,0,B-03-7,
000000000000100139,2000,0002,447,25,0,B-25-8,
000000000000100140,3000,0001,804,0,40,A-28-5,
000000000000100141,1000,0001,239,0,0,B-10-6,
000000000000100141,2000,0002,730,25,40,D-22-3,
000000000000100142,1000,0001,797,0,40,C-22-2,
000000000000100143,3000,0001,720,0,0,C-16-9,
000000000000100144,3000,0001,739,0,0,B-23-1,
000000000000100145,1000,0001,493,25,0,A-06-3,
000000000000100145,2000,0001,739,0,40,B-29-1,
000000000000100146,1000,0001,620,0,0,A-23-7,
000000000000100146,1000,0002,691,0,0,B-19-3,
000000000000100146,2000,0001,602,25,40,A-10-2,
000000000000100147,1000,0001,143,0,0,D-25-6,
000000000000100147,1000,0002,179,0,0,D-23-6,
000000000000100148,1000,0002,533,0,40,D-08-2,
000000000000100148,2000,0001,467,0,0,A-11-9,
000000000000100149,1000,0001,309,25,0,C-23-7,
000000000000100149,1000,0002,182,0,40,D-06-9,
000000000000100149,2000,0001,793,0,0,C-07-7,
000000000000100150,2000,0001,576,25,0,D-01-1,
000000000000100151,1000,0001,894,0,0,B-29-2,
000000000000100151,1000,0002,563,25,40,A-21-4,
000000000000100152,3000,0001,488,0,0,B-11-8,
000000000000100153,1000,0001,133,0,40,D-18-6,
000000000000100153,1000,0002,320,0,0,C-01-1,
000000000000100153,2000,0001,38,0,0,D-19-3,
000000000000100153,2000,0002,709,0,0,C-07-9,
000000000000100154,1000,0001,781,0,0,C-05-2,
000000000000100157,1000,0001,597,0,40,B-24-7,
000000000000100157,3000,0001,524,25,40,B-03-8,
000000000000100158,3000,0001,822,0,40,C-19-1,
000000000000100158,3000,0002,83,0,0,D-08-3,
000000000000100159,2000,0001,730,0,0,C-09-9,
000000000000100160,2000,0001,664,0,40,C-15-9,
000000000000100161,1000,0001,523,25,0,B-22-1,
000000000000100161,1000,0002,776,0,40,C-18-6,
000000000000100161,2000,0001,343,25,0,D-04-4,
000000000000100161,2000,0002,546,0,0,C-04-3,
000000000000100162,1000,0001,888,0,0,B-06-1,
000000000000100163,2000,0002,494,0,0,C-02-1,
000000000000100164,2000,0001,435,25,0,B-23-7,
000000000000100165,2000,0001,14,25,0,B-05-5,
000000000000100166,2000,0001,813,25,0,A-29-6,
000000000000100166,2000,0002,728,25,0,D-07-6,
000000000000100167,2000,0001,652,0,0,C-17-6,
000000000000100167,2000,0002,40,0,0,C-21-1,
000000000000100170,1000,0001,39,0,0,D-27-7,
000000000000100170,1000,0002,576,0,0,A-01-9,
000000000000100171,2000,0001,453,25,0,A-08-4,
000000000000100171,2000,0002,302,25,0,A-09-6,
000000000000100172,3000,0001,168,25,0,D-05-2,
000000000000100172,3000,0002,122,0,0,C-24-9,
000000000000100173,2000,0001,51,0,0,B-21-1,
000000000000100173,2000,0002,356,0,40,C-24-2,
000000000000100176,2000,0001,8,0,40,D-15-8,
000000000000100177,1000,0002,445,25,0,D-09-3,
000000000000100178,2000,0002,631,0,0,B-23-6,
000000000000100179,1000,0001,260,25,40,C-12-9,
000000000000100180,1000,0002,766,0,0,B-09-9,
000000000000100180,2000,0001,405,0,40,A-20-5,
000000000000100180,2000,0002,843,0,40,A-07-7,
000000000000100181,1000,0001,8,0,0,B-28-9,
000000000000100181,2000,0002,673,0,40,B-24-1,
000000000000100183,1000,0002,751,25,40,A-26-1,
000000000000100184,1000,0001,421,0,0,A-17-4,
000000000000100184,2000,0002,496,0,40,C-02-1,
000000000000100185,1000,0001,326,25,0,C-21-7,
000000000000100185,2000,0002,455,25,0,B-26-3,
000000000000100186,1000,0001,236,25,0,C-03-6,
000000000000100186,1000,0002,477,25,0,A-18-1,
000000000000100187,3000,0002,393,0,0,D-10-7,
000000000000100188,1000,0002,120,0,40,B-03-8,
000000000000100189,3000,0001,355,0,0,D-27-3,
000000000000100189,3000,0002,584,0,0,C-21-5,
000000000000100190,2000,0001,306,0,0,B-11-6,
000000000000100192,2000,0002,761,0,0,B-25-1,
000000000000100193,1000,0002,200,0,0,B-01-8,
000000000000100194,1000,0001,494,0,0,A-14-4,
000000000000100194,1000,0002,458,0,0,D-21-7,
000000000000100194,2000,0001,0,0,0,B-18-5,
000000000000100195,3000,0001,457,25,40,C-27-5,
000000000000100195,3000,0002,770,0,0,C-02-4,
000000000000100197,1000,0002,66,25,0,D-02-5,
000000000000100199,3000,0001,43,0,0,A-15-1,
000000000000100199,3000,0002,718,0,0,D-08-4,
000000000000100200,2000,0001,862,0,0,C-17-5,
000000000000100202,1000,0001,282,0,40,A-25-7,
000000000000100202,2000,0002,423,25,0,C-21-2,
000000000000100203,2000,0002,676,25,40,A-20-2,
000000000000100204,2000,0001,521,0,0,C-05-7,
000000000000100205,3000,0002,389,25,40,D-05-9,
000000000000100206,1000,0001,277,25,0,A-17-7,
000000000000100207,3000,0002,615,0,0,D-28-2,
000000000000100208,1000,0001,463,0,0,B-14-4,
000000000000100208,1000,0002,578,25,40,B-17-6,
000000000000100208,2000,0002,258,0,0,B-17-9,
000000000000100209,2000,0002,333,0,0,C-15-2,
000000000000100210,1000,0002,339,0,0,D-21-9,
000000000000100211,2000,0002,141,0,0,C-22-4,
000000000000100212,2000,0001,839,25,0,A-01-1,
000000000000100213,2000,0002,663,0,0,D-25-4,
000000000000100214,3000,0001,64,0,0,C-03-5,
000000000000100214,3000,0002,886,25,0,D-19-4,
000000000000100215,2000,0001,466,0,0,C-29-4,
000000000000100216,2000,0001,363,0,0,C-21-2,
000000000000100216,2000,0002,209,0,0,C-04-7,
000000000000100217,1000,0001,282,25,40,C-09-9,
000000000000100218,1000,0001,493,0,0,A-14-9,
000000000000100218,1000,0002,885,25,0,B-12-7,
000000000000100218,3000,0002,606,0,0,C-06-9,
000000000000100220,1000,0002,200,0,40,A-08-2,
000000000000100220,2000,0001,534,0,0,D-07-8,
000000000000100220,2000,0002,319,0,0,D-29-7,
000000000000100221,1000,0001,17,25,0,D-09-8,
000000000000100221,2000,0001,891,0,0,D-12-6,
000000000000100221,2000,0002,514,0,0,B-03-5,
000000000000100222,1000,0001,214,0,0,A-11-1,
000000000000100223,2000,0001,72,0,40,B-08-8,
000000000000100224,1000,0001,98,0,0,A-27-3,
000000000000100224,1000,0002,286,0,0,B-23-6,
000000000000100225,1000,0002,96,0,0,B-09-3,
000000000000100226,2000,0001,203,0,0,D-16-9,
000000000000100227,1000,0001,380,25,0,D-19-3,
000000000000100228,1000,0001,268,0,40,C-20-1,
000000000000100228,1000,0002,116,0,0,C-09-1,
000000000000100228,2000,0001,114,25,0,A-23-5,
000000000000100228,2000,0002,619,0,40,A-10-4,
000000000000100229,1000,0002,675,0,0,A-23-2,
000000000000100230,3000,0001,873,0,0,C-26-4,
000000000000100231,1000,0002,273,25,0,A-13-4,
000000000000100231,2000,0001,866,25,0,B-27-7,
000000000000100231,2000,0002,612,0,0,B-21-4,
000000000000100232,3000,0002,478,0,0,A-19-7,
000000000000100233,1000,0001,272,0,40,A-25-4,
000000000000100233,2000,0001,625,0,0,B-03-6,
000000000000100234,2000,0001,751,0,40,D-06-3,
000000000000100234,2000,0002,172,0,40,B-09-5,
000000000000100236,2000,0002,884,0,0,B-10-9,
000000000000100237,1000,0002,663,0,40,C-29-8,
000000000000100237,2000,0001,806,0,40,B-19-5,
000000000000100238,2000,0002,355,0,0,B-02-9,
000000000000100239,1000,0001,213,0,0,D-04-4,
000000000000100239,1000,0002,752,25,0,A-04-8,
000000000000100239,2000,0001,392,0,0,C-12-7,
000000000000100240,2000,0001,183,0,40,A-09-9,
000000000000100241,2000,0001,704,0,0,B-22-1,
000000000000100241,2000,0002,582,0,0,A-12-2,
000000000000100244,1000,0001,585,0,0,B-04-6,
000000000000100245,3000,0001,205,0,0,A-18-2,
000000000000100246,3000,0002,704,25,0,A-28-1,
000000000000100247,3000,0002,600,0,0,B-02-8,
000000000000100248,1000,0002,693,0,0,C-04-7,
000000000000100248,2000,0001,746,0,0,A-28-6,
000000000000100249,1000,0001,399,25,0,D-05-2,
000000000000100249,1000,0002,283,0,0,B-08-7,
000000000000100250,1000,0001,230,0,40,C-17-8,
000000000000100250,1000,0002,271,25,0,B-04-2,
000000000000100252,1000,0002,679,0,0,B-09-6,
000000000000100253,2000,0002,397,25,40,A-27-7,
000000000000100254,2000,0001,362,25,0,B-03-7,
000000000000100255,1000,0001,301,0,40,B-03-5,
000000000000100256,1000,0002,440,0,40,C-11-5,
000000000000100256,2000,0002,761,0,0,B-09-9,
000000000000100257,1000,0001,643,0,40,D-19-9,
000000000000100257,1000,0002,472,0,0,D-29-7,
000000000000100257,2000,0002,0,0,40,D-02-4,
000000000000100258,1000,0001,564,0,0,A-19-5,
000000000000100258,1000,0002,193,0,0,B-14-7,
000000000000100258,3000,0002,520,0,0,C-03-7,
000000000000100259,2000,0002,681,0,0,C-23-8,
000000000000100260,1000,0002,835,0,0,C-15-3,
000000000000100261,2000,0002,317,25,0,C-29-1,
000000000000100262,1000,0001,295,0,0,C-16-5,
000000000000100262,2000,0001,704,0,40,A-10-2,
000000000000100265,1000,0001,763,0,0,C-09-6,
000000000000100265,2000,0001,76,25,0,A-07-2,
000000000000100265,2000,0002,491,25,0,A-18-8,
000000000000100266,2000,0002,757,25,40,A-16-5,
000000000000100267,3000,0002,689,25,0,A-20-9,
000000000000100268,1000,0001,707,25,0,C-24-9,
000000000000100268,1000,0002,385,0,40,C-05-6,
000000000000100268,2000,0002,551,0,0,C-25-1,
000000000000100269,3000,0001,158,25,0,B-29-4,
000000000000100270,1000,0001,762,25,40,C-04-5,
000000000000100270,1000,0002,291,0,0,B-23-8,
000000000000100271,1000,0001,343,0,0,B-27-8,
000000000000100271,1000,0002,491,0,0,C-05-6,
000000000000100272,2000,0002,530,0,40,D-23-2,
000000000000100273,2000,0002,881,0,40,D-29-1,
000000000000100274,3000,0001,770,0,0,D-28-6,
000000000000100274,3000,0002,231,25,0,C-25-9,
000000000000100275,1000,0001,645,0,0,C-22-5,
000000000000100275,1000,0002,821,0,0,C-17-7,
000000000000100276,2000,0001,584,25,0,D-12-1,
000000000000100276,2000,0002,86,0,0,C-15-2,
000000000000100277,1000,0002,859,0,0,B-29-1,
000000000000100277,2000,0002,233,0,0,D-18-5,
000000000000100278,1000,0002,643,0,0,D-21-3,
000000000000100278,2000,0002,131,0,0,C-01-6,
000000000000100279,2000,0001,681,0,40,C-14-6,
000000000000100279,2000,0002,729,25,0,D-13-8,
000000000000100280,1000,0002,75,0,0,C-23-8,
000000000000100281,1000,0002,386,25,0,B-03-8,
000000000000100282,3000,0001,130,0,40,A-17-2,
000000000000100282,3000,0002,296,25,0,B-16-7,
000000000000100283,3000,0001,462,0,0,A-04-1,
000000000000100283,3000,0002,151,0,0,B-28-4,
000000000000100284,1000,0001,331,0,0,D-03-7,
000000000000100284,2000,0001,37,25,0,D-29-4,
000000000000100284,2000,0002,835,0,0,C-02-3,
000000000000100285,2000,0001,239,0,0,C-16-4,
000000000000100286,1000,0001,285,0,0,A-10-8,
000000000000100286,2000,0001,606,0,0,C-16-2,
000000000000100286,2000,0002,59,25,0,C-23-1,
000000000000100287,1000,0001,472,0,0,C-26-9,
000000000000100287,1000,0002,530,25,0,B-22-2,
000000000000100287,2000,0002,124,0,40,C-11-4,
000000000000100288,2000,0001,210,25,0,B-21-2,
000000000000100288,2000,0002,2,0,40,C-21-3,
000000000000100289,1000,0001,474,0,0,B-27-7,
000000000000100289,1000,0002,744,0,40,A-27-6,
000000000000100290,2000,0002,849,0,0,B-06-8,
000000000000100291,1000,0002,534,0,0,D-16-6,
000000000000100291,3000,0001,325,0,0,B-22-1,
000000000000100292,3000,0002,61,0,0,D-09-1,
000000000000100294,1000,0001,688,25,0,B-09-7,
000000000000100294,1000,0002,149,0,0,C-02-7,
000000000000100294,2000,0002,688,0,40,B-03-6,
000000000000100295,1000,0001,506,0,0,B-11-8,
000000000000100295,1000,0002,128,0,40,C-05-7,
000000000000100296,1000,0001,61,0,0,A-01-1,
000000000000100297,1000,0002,620,25,40,A-21-8,
000000000000100297,2000,0001,246,0,0,B-19-5,
000000000000100298,2000,0001,640,0,0,B-11-3,
000000000000100298,2000,0002,405,25,0,D-26-8,
000000000000100299,1000,0001,224,0,40,B-16-6,
000000000000100299,1000,0002,608,25,0,D-10-9,
000000000000100300,1000,0002,433,0,40,C-05-7,
000000000000100301,2000,0001,687,0,40,A-15-4,
000000000000100301,2000,0002,295,0,0,C-10-6,
000000000000100303,1000,0001,240,0,40,B-12-8,
000000000000100303,1000,0002,615,0,0,B-24-4,
000000000000100304,1000,0002,409,0,0,A-28-2,
000000000000100305,1000,0002,76,0,0,D-17-1,
000000000000100306,3000,0002,805,25,40,C-07-5,
000000000000100307,2000,0002,724,0,40,A-26-2,
000000000000100309,2000,0001,234,0,0,A-02-3,
000000000000100309,2000,0002,253,0,0,C-09-8,
000000000000100310,2000,0001,830,0,0,B-02-5,
000000000000100310,2000,0002,690,0,0,A-04-7,
000000000000100311,2000,0001,814,0,0,B-09-6,
000000000000100313,1000,0001,542,0,0,A-10-9,
000000000000100313,2000,0002,321,25,0,A-07-6,
000000000000100314,1000,0002,231,0,0,C-05-8,
000000000000100314,2000,0001,442,25,40,D-25-9,
000000000000100315,1000,0002,633,0,0,C-27-5,
000000000000100315,2000,0002,191,0,0,D-07-1,
000000000000100316,2000,0002,115,0,40,D-24-3,
000000000000100317,3000,0002,438,0,0,C-26-9,
000000000000100318,2000,0002,278,25,40,D-12-9,
000000000000100320,3000,0001,818,0,40,D-22-1,
000000000000100320,3000,0002,121,0,0,B-23-1,
000000000000100321,1000,0001,755,0,0,D-25-6,
000000000000100321,2000,0001,40,0,40,B-04-4,
000000000000100321,2000,0002,433,25,0,D-17-2,
000000000000100322,2000,0002,839,0,40,B-01-8,
000000000000100323,3000,0001,383,0,0,C-28-4,
000000000000100324,1000,0001,86,0,40,B-22-4,
000000000000100324,2000,0001,612,0,0,A-01-5,
000000000000100324,2000,0002,633,0,0,A-09-2,
000000000000100325,1000,0001,501,25,0,A-03-9,
000000000000100325,1000,0002,73,0,0,C-08-8,
000000000000100326,1000,0001,611,25,0,A-16-3,
000000000000100327,2000,0001,181,0,40,B-04-9,
000000000000100327,2000,0002,501,0,40,A-29-5,
000000000000100328,1000,0001,90,25,0,A-24-3,
000000000000100328,1000,0002,422,0,0,D-15-9,
000000000000100328,2000,0001,788,25,0,A-12-2,
000000000000100328,2000,0002,843,0,0,A-22-8,
000000000000100329,1000,0001,427,0,0,C-20-1,
000000000000100330,2000,0001,601,25,0,A-17-8,
000000000000100330,2000,0002,842,0,40,C-05-4,
000000000000100331,1000,0001,15,0,0,C-26-7,
000000000000100331,2000,0001,859,0,0,B-10-2,
000000000000100332,3000,0001,382,0,40,B-04-1,
000000000000100332,3000,0002,485,25,0,B-01-1,
000000000000100333,1000,0002,416,0,0,A-28-9,
000000000000100334,1000,0002,513,0,0,A-22-7,
000000000000100335,1000,0001,2,0,0,A-06-4,
000000000000100335,1000,0002,801,0,0,D-22-4,
000000000000100336,1000,0002,463,0,0,C-18-1,
000000000000100336,2000,0001,184,25,0,C-18-8,
000000000000100336,2000,0002,148,0,0,C-14-3,
000000000000100337,2000,0001,878,0,0,D-29-2,
000000000000100337,2000,0002,630,0,0,B-16-9,
000000000000100338,1000,0002,192,25,40,A-15-5,
000000000000100338,2000,0001,365,0,40,B-11-3,
000000000000100338,2000,0002,765,0,0,C-19-4,
000000000000100339,2000,0002,564,0,0,B-13-6,
000000000000100340,1000,0001,253,0,40,C-02-7,
000000000000100340,1000,0002,7,25,0,C-14-5,
000000000000100340,2000,0002,227,0,40,C-12-9,
000000000000100341,1000,0002,671,25,0,B-05-3,
000000000000100341,2000,0001,93,0,0,D-19-4,
000000000000100341,2000,0002,84,0,0,A-16-4,
000000000000100342,1000,0002,559,0,0,B-23-9,
000000000000100343,1000,0001,47,0,0,B-15-7,
000000000000100343,1000,0002,438,25,0,C-10-4,
000000000000100344,3000,0002,11,0,0,C-24-4,
000000000000100345,2000,0001,741,0,40,A-15-7,
000000000000100345,2000,0002,655,0,0,C-28-4,
000000000000100346,1000,0002,406,0,0,C-10-5,
000000000000100347,2000,0002,896,25,40,A-10-1,
000000000000100348,1000,0001,843,25,0,C-22-5,
000000000000100348,1000,0002,513,25,0,B-01-8,
000000000000100348,2000,0001,878,25,40,C-09-7,
