MATNR,VKORG,VTWEG,DWERK,VERSG,KONDM,KTGRM,MTPOS,MVGR1,LVORM
000000000000100051,S100,20,2000,1,01,03,NORM,A2,
000000000000100052,S300,10,2000,1,01,01,NORM,A2,
000000000000100053,S200,10,1000,1,01,03,NORM,,
000000000000100053,S300,10,1000,1,01,01,NORM,,
000000000000100054,S200,20,1000,1,01,03,NORM,A2,
000000000000100057,S300,10,1000,1,01,01,NORM,B1,
000000000000100058,S300,10,1000,1,01,01,NORM,A2,
000000000000100059,S300,10,1000,1,01,03,NORM,A2,
000000000000100060,S100,20,1000,1,01,03,NORM,A2,
000000000000100060,S300,10,1000,1,01,03,NORM,B1,
000000000000100061,S200,20,3000,1,01,03,NORM,A1,
000000000000100062,S100,20,3000,1,01,03,NORM,A2,
000000000000100063,S200,10,2000,1,01,01,NORM,,
000000000000100064,S200,10,1000,1,01,01,NORM,B1,
000000000000100065,S100,20,1000,1,01,01,NORM,,
000000000000100067,S100,20,2000,1,01,03,NORM,B1,
000000000000100068,S200,20,2000,1,01,01,NORM,B1,
000000000000100069,S300,20,1000,1,01,01,NORM,A1,
000000000000100070,S100,10,3000,1,01,03,NORM,A1,
000000000000100071,S200,20,2000,1,01,03,NORM,B1,
000000000000100072,S100,20,2000,1,01,01,NORM,A2,
000000000000100074,S200,20,1000,1,01,01,NORM,A2,
000000000000100074,S300,20,1000,1,01,03,NORM,B1,
000000000000100075,S200,20,1000,1,01,03,NORM,B1,
000000000000100075,S300,20,1000,1,01,01,NORM,,
000000000000100076,S100,10,1000,1,01,01,NORM,A2,
000000000000100077,S200,20,2000,1,01,03,NORM,A1,
000000000000100078,S100,20,2000,1,01,01,NORM,,
000000000000100080,S100,20,2000,1,01,03,NORM,A1,
000000000000100081,S100,10,2000,1,01,01,NORM,A2,
000000000000100083,S300,10,1000,1,01,03,NORM,B1,
000000000000100084,S300,20,1000,1,01,01,NORM,A1,
000000000000100085,S100,20,2000,1,01,01,NORM,A1,
000000000000100085,S300,10,2000,1,01,01,NORM,B1,
000000000000100086,S200,20,2000,1,01,01,NORM,B1,
000000000000100086,S300,20,2000,1,01,01,NORM,A1,
000000000000100087,S200,10,1000,1,01,01,NORM,,
000000000000100087,S300,20,1000,1,01,03,NORM,,
000000000000100089,S100,20,2000,1,01,01,NORM,,
000000000000100089,S200,10,2000,1,01,03,NORM,B1,
000000000000100090,S200,20,2000,1,01,01,NORM,B1,
000000000000100090,S300,20,2000,1,01,01,NORM,,
000000000000100091,S100,10,2000,1,01,01,NORM,A2,
000000000000100092,S100,10,1000,1,01,03,NORM,,
000000000000100092,S200,20,1000,1,01,03,NORM,B1,
000000000000100093,S300,10,2000,1,01,01,NORM,B1,
000000000000100096,S300,20,2000,1,01,01,NORM,A1,
000000000000100097,S100,20,1000,1,01,01,NORM,B1,
000000000000100098,S100,10,2000,1,01,03,NORM,A2,
000000000000100099,S100,10,1000,1,01,03,NORM,A1,
000000000000100100,S200,20,2000,1,01,01,NORM,,
000000000000100102,S100,20,1000,1,01,01,NORM,B1,
000000000000100104,S200,10,2000,1,01,01,NORM,A1,
000000000000100105,S100,20,3000,1,01,03,NORM,,
000000000000100107,S100,20,1000,1,01,03,NORM,B1,
000000000000100109,S100,20,1000,1,01,03,NORM,A2,
000000000000100109,S200,20,1000,1,01,01,NORM,B1,
000000000000100111,S100,20,2000,1,01,01,NORM,,
000000000000100111,S200,20,2000,1,01,01,NORM,A2,
000000000000100112,S300,20,2000,1,01,01,NORM,A1,
000000000000100113,S100,10,1000,1,01,01,NORM,A1,
000000000000100114,S100,10,9999,1,01,03,NORM,A2,
000000000000100114,S300,20,9999,1,01,03,NORM,,
000000000000100115,S300,20,1000,1,01,03,NORM,A2,
000000000000100117,S200,20,1000,1,01,03,NORM,A2,
000000000000100117,S300,20,1000,1,01,01,NORM,A1,
000000000000100118,S300,20,2000,1,01,01,NORM,A2,
000000000000100119,S100,10,1000,1,01,03,NORM,A2,
000000000000100120,S100,10,2000,1,01,03,NORM,B1,
000000000000100121,S100,20,1000,1,01,01,NORM,A2,
000000000000100122,S100,20,2000,1,01,03,NORM,,
000000000000100123,S100,20,2000,1,01,03,NORM,A2,
000000000000100123,S200,10,2000,1,01,01,NORM,,
000000000000100124,S100,10,1000,1,01,01,NORM,B1,
000000000000100124,S300,20,1000,1,01,01,NORM,B1,
000000000000100125,S200,20,1000,1,01,01,NORM,,
000000000000100125,S300,10,1000,1,01,01,NORM,A2,
000000000000100127,S300,20,9999,1,01,03,NORM,,
000000000000100129,S100,20,1000,1,01,03,NORM,A1,
000000000000100129,S300,20,1000,1,01,03,NORM,A2,
000000000000100132,S300,10,2000,1,01,01,NORM,A1,
000000000000100133,S200,10,2000,1,01,01,NORM,A1,
000000000000100133,S300,10,2000,1,01,01,NORM,B1,
000000000000100134,S100,20,2000,1,01,01,NORM,B1,
000000000000100134,S200,10,2000,1,01,03,NORM,A2,
000000000000100135,S100,20,2000,1,01,01,NORM,A2,
000000000000100135,S200,20,2000,1,01,03,NORM,A1,
000000000000100138,S200,20,1000,1,01,01,NORM,A1,
000000000000100139,S300,20,2000,1,01,01,NORM,A2,
000000000000100141,S100,20,1000,1,01,03,NORM,A1,
000000000000100142,S200,20,1000,1,01,01,NORM,B1,
000000000000100143,S300,10,3000,1,01,03,NORM,A2,
000000000000100146,S100,10,1000,1,01,01,NORM,B1,
000000000000100146,S200,10,1000,1,01,01,NORM,B1,
000000000000100147,S300,10,1000,1,01,03,NORM,A1,
000000000000100149,S300,20,1000,1,01,03,NORM,,
000000000000100150,S200,10,2000,1,01,01,NORM,A1,
000000000000100151,S200,10,1000,1,01,01,NORM,,
000000000000100152,S200,10,3000,1,01,03,NORM,B1,
000000000000100153,S100,10,2000,1,01,03,NORM,,
000000000000100153,S200,10,2000,1,01,01,NORM,A1,
000000000000100154,S300,20,1000,1,01,01,NORM,B1,
000000000000100155,S300,10,1000,1,01,03,NORM,A1,
000000000000100156,S300,10,,1,01,03,DIEN,,
000000000000100157,S100,20,3000,1,01,01,NORM,A1,
000000000000100157,S200,20,3000,1,01,01,NORM,A1,
000000000000100159,S100,20,2000,1,01,01,NORM,,
000000000000100160,S200,20,2000,1,01,01,NORM,A2,
000000000000100162,S300,10,1000,1,01,01,NORM,A1,
000000000000100163,S300,10,2000,1,01,03,NORM,A2,
000000000000100165,S100,10,2000,1,01,01,NORM,B1,
000000000000100165,S200,20,2000,1,01,03,NORM,B1,
000000000000100166,S100,20,2000,1,01,03,NORM,B1,
000000000000100166,S200,20,2000,1,01,03,NORM,,
000000000000100167,S100,10,2000,1,01,03,NORM,B1,
000000000000100168,S200,10,,1,01,03,DIEN,,
000000000000100169,S200,20,1000,1,01,03,NORM,,
000000000000100170,S100,20,1000,1,01,03,NORM,A1,
000000000000100171,S300,20,2000,1,01,03,NORM,B1,
000000000000100173,S300,10,2000,1,01,03,NORM,A1,
000000000000100174,S100,20,1000,1,01,01,NORM,,
000000000000100175,S300,20,1000,1,01,03,NORM,,
000000000000100176,S100,10,2000,1,01,03,NORM,,
000000000000100176,S300,20,2000,1,01,01,NORM,A2,
000000000000100177,S100,20,1000,1,01,03,NORM,,
000000000000100178,S300,20,2000,1,01,01,NORM,A2,
000000000000100179,S100,20,1000,1,01,03,NORM,,
000000000000100179,S200,20,1000,1,01,01,NORM,,
000000000000100180,S100,10,1000,1,01,03,NORM,A1,
000000000000100181,S300,10,2000,1,01,03,NORM,A1,
000000000000100182,S300,10,,1,01,03,DIEN,,
000000000000100183,S100,20,1000,1,01,01,NORM,B1,
000000000000100184,S200,10,2000,1,01,03,NORM,A2,
000000000000100185,S100,20,2000,1,01,01,NORM,,
000000000000100188,S200,10,1000,1,01,01,NORM,B1,
000000000000100190,S100,10,2000,1,01,03,NORM,A2,
000000000000100190,S200,20,2000,1,01,03,NORM,A1,
000000000000100191,S300,10,,1,01,03,DIEN,,
000000000000100192,S100,20,2000,1,01,03,NORM,A1,
000000000000100193,S100,20,1000,1,01,03,NORM,,
000000000000100193,S200,10,1000,1,01,03,NORM,B1,
000000000000100194,S300,10,1000,1,01,01,NORM,A1,
000000000000100195,S200,10,3000,1,01,01,NORM,A2,
000000000000100195,S300,10,3000,1,01,03,NORM,A2,
000000000000100196,S100,10,1000,1,01,01,NORM,,
000000000000100197,S300,10,1000,1,01,03,NORM,A1,
000000000000100198,S100,10,,1,01,03,DIEN,,
000000000000100200,S300,10,9999,1,01,03,NORM,,
000000000000100201,S100,10,1000,1,01,01,NORM,A2,
000000000000100201,S200,10,1000,1,01,01,NORM,A2,
000000000000100202,S200,10,2000,1,01,03,NORM,A2,
000000000000100203,S300,10,2000,1,01,03,NORM,A1,
000000000000100206,S100,10,1000,1,01,03,NORM,B1,
000000000000100208,S200,20,1000,1,01,03,NORM,A1,
000000000000100209,S300,10,2000,1,01,03,NORM,B1,
000000000000100210,S200,10,1000,1,01,01,NORM,A1,
000000000000100211,S200,20,2000,1,01,01,NORM,B1,
000000000000100211,S300,20,2000,1,01,01,NORM,A1,
000000000000100212,S200,10,2000,1,01,03,NORM,A2,
000000000000100215,S100,20,2000,1,01,01,NORM,A2,
000000000000100217,S200,10,1000,1,01,01,NORM,A2,
000000000000100217,S300,20,1000,1,01,03,NORM,,
000000000000100218,S200,20,3000,1,01,,NORM,,
000000000000100219,S200,20,1000,1,01,01,NORM,,
000000000000100220,S100,10,2000,1,01,01,NORM,A1,
000000000000100220,S300,20,2000,1,01,01,NORM,A1,
000000000000100221,S300,20,9999,1,01,03,NORM,B1,
000000000000100222,S300,20,1000,1,01,01,NORM,B1,
000000000000100223,S200,10,2000,1,01,03,NORM,,
000000000000100223,S300,10,2000,1,01,03,NORM,A1,
000000000000100224,S200,20,1000,1,01,01,NORM,B1,
000000000000100225,S300,20,1000,1,01,03,NORM,A1,
000000000000100226,S100,20,2000,1,01,03,NORM,,
000000000000100227,S100,20,1000,1,01,01,NORM,A2,
000000000000100227,S300,20,1000,1,01,03,NORM,A2,
000000000000100228,S100,20,1000,1,01,01,NORM,,
000000000000100233,S200,20,2000,1,01,01,NORM,A1,
000000000000100233,S300,10,2000,1,01,01,NORM,A1,
000000000000100234,S100,10,2000,1,01,03,NORM,A1,
000000000000100234,S200,20,2000,1,01,01,NORM,,
000000000000100235,S100,10,1000,1,01,03,NORM,A1,
000000000000100235,S200,10,1000,1,01,03,NORM,,
000000000000100236,S300,20,2000,1,01,01,NORM,A1,
000000000000100237,S100,10,2000,1,01,01,NORM,B1,
000000000000100237,S200,20,2000,1,01,01,NORM,A2,
000000000000100238,S300,20,2000,1,01,01,NORM,A1,
000000000000100239,S300,20,2000,1,01,01,NORM,A1,
000000000000100242,S300,10,9999,1,01,03,NORM,B1,
000000000000100243,S300,20,1000,1,01,03,NORM,,
000000000000100244,S200,20,1000,1,01,01,NORM,A2,
000000000000100245,S200,10,3000,1,01,03,NORM,A2,
000000000000100245,S300,10,3000,1,01,01,NORM,A1,
000000000000100246,S100,10,3000,1,01,01,NORM,B1,
000000000000100246,S300,10,3000,1,01,03,NORM,A1,
000000000000100248,S100,20,2000,1,01,01,NORM,,
000000000000100249,S300,20,1000,1,01,01,NORM,,
000000000000100250,S200,20,1000,1,01,03,,A2,
000000000000100250,S300,20,1000,1,01,03,NORM,B1,
000000000000100251,S100,10,,1,01,03,DIEN,,
000000000000100252,S300,20,1000,1,01,01,NORM,,
000000000000100253,S100,20,2000,1,01,01,NORM,B1,
000000000000100254,S300,20,2000,1,01,01,NORM,B1,
000000000000100255,S200,10,1000,1,01,03,NORM,A2,
000000000000100257,S100,10,2000,1,01,01,NORM,B1,
000000000000100257,S300,20,2000,1,01,03,NORM,B1,
000000000000100258,S300,10,3000,1,01,03,NORM,A1,
000000000000100259,S100,10,2000,1,01,03,NORM,A2,
000000000000100260,S200,20,1000,1,01,03,NORM,,
000000000000100261,S300,20,2000,1,01,03,NORM,B1,
000000000000100262,S100,10,1000,1,01,03,NORM,A2,
000000000000100262,S200,10,1000,1,01,03,NORM,A2,
000000000000100263,S100,20,2000,1,01,01,NORM,B1,
000000000000100263,S300,20,2000,1,01,01,NORM,A2,
000000000000100264,S100,10,,1,01,03,DIEN,,
000000000000100265,S100,20,2000,1,01,03,NORM,A2,
000000000000100265,S200,20,2000,1,01,01,NORM,,
000000000000100266,S100,10,2000,1,01,01,NORM,A2,
000000000000100266,S200,20,2000,1,01,,NORM,,
000000000000100268,S300,20,1000,1,01,03,NORM,B1,
000000000000100270,S100,10,1000,1,01,01,NORM,A2,
000000000000100270,S200,20,1000,1,01,01,NORM,B1,
000000000000100271,S100,10,1000,1,01,03,NORM,A1,
000000000000100271,S200,20,1000,1,01,01,NORM,A1,
000000000000100273,S200,10,2000,1,01,01,NORM,,
000000000000100273,S300,10,2000,1,01,03,NORM,B1,
000000000000100275,S300,20,1000,1,01,03,NORM,A1,
000000000000100276,S100,10,2000,1,01,01,NORM,A1,
000000000000100276,S200,10,2000,1,01,01,NORM,A2,
000000000000100277,S200,20,1000,1,01,01,NORM,A2,
000000000000100277,S300,10,1000,1,01,01,NORM,A1,
000000000000100278,S300,10,2000,1,01,03,NORM,,
000000000000100279,S300,20,2000,1,01,01,NORM,A1,
000000000000100280,S300,10,1000,1,01,,NORM,,
000000000000100284,S100,10,2000,1,01,01,NORM,,
000000000000100284,S200,20,2000,1,01,01,NORM,,
000000000000100285,S300,20,2000,1,01,01,NORM,A1,
000000000000100286,S100,20,2000,1,01,01,NORM,A2,
000000000000100288,S100,10,2000,1,01,01,NORM,A2,
000000000000100288,S200,10,2000,1,01,01,NORM,B1,
000000000000100289,S100,10,1000,1,01,01,NORM,A1,
000000000000100290,S200,10,2000,1,01,01,NORM,B1,
000000000000100291,S200,10,3000,1,01,03,NORM,A1,
000000000000100293,S200,20,2000,1,01,01,NORM,A1,
000000000000100294,S100,10,1000,1,01,01,NORM,A1,
000000000000100294,S300,10,1000,1,01,01,NORM,,
000000000000100295,S100,10,1000,1,01,03,NORM,,
000000000000100295,S300,20,1000,1,01,03,NORM,,
000000000000100296,S100,20,2000,1,01,01,NORM,,
000000000000100296,S200,10,2000,1,01,03,NORM,,
000000000000100297,S100,20,1000,1,01,01,NORM,A2,
000000000000100298,S100,20,2000,1,01,03,NORM,,
000000000000100298,S200,10,2000,1,01,03,NORM,A2,
000000000000100299,S100,20,1000,1,01,03,NORM,,
000000000000100300,S100,10,1000,1,01,01,NORM,A1,
000000000000100301,S100,10,2000,1,01,03,NORM,,
000000000000100302,S200,20,2000,1,01,01,NORM,A1,
000000000000100303,S100,20,1000,1,01,01,NORM,A2,
000000000000100304,S100,20,1000,1,01,01,NORM,A1,
000000000000100307,S200,10,2000,1,01,03,NORM,,
000000000000100308,S100,10,,1,01,03,DIEN,,
000000000000100309,S100,20,2000,1,01,03,NORM,A2,
000000000000100310,S100,20,2000,1,01,01,NORM,B1,
000000000000100310,S200,10,2000,1,01,01,NORM,A2,
000000000000100311,S100,10,2000,1,01,01,NORM,B1,
000000000000100312,S100,20,2000,1,01,,NORM,,
000000000000100312,S300,10,2000,1,01,03,NORM,B1,
000000000000100313,S300,20,2000,1,01,03,NORM,A2,
000000000000100314,S200,10,2000,1,01,01,NORM,B1,
000000000000100315,S100,10,2000,1,01,01,NORM,A2,
000000000000100316,S100,20,2000,1,01,03,NORM,A2,
000000000000100316,S300,10,2000,1,01,01,NORM,,
000000000000100318,S200,20,2000,1,01,01,NORM,A1,
000000000000100319,S100,10,,1,01,03,DIEN,,
000000000000100321,S200,10,2000,1,01,01,NORM,A1,
000000000000100322,S100,10,2000,1,01,01,NORM,B1,
000000000000100323,S100,10,3000,1,01,03,NORM,B1,
000000000000100323,S200,10,3000,1,01,03,NORM,A1,
000000000000100324,S100,10,1000,1,01,03,NORM,A1,
000000000000100324,S300,10,1000,1,01,03,NORM,B1,
000000000000100325,S200,10,1000,1,01,01,NORM,A2,
000000000000100325,S300,10,1000,1,01,03,NORM,B1,
000000000000100326,S100,10,1000,1,01,01,NORM,B1,
000000000000100326,S200,10,1000,1,01,03,NORM,A2,
000000000000100327,S300,20,2000,1,01,03,NORM,A2,
000000000000100328,S100,20,2000,1,01,01,NORM,A2,
000000000000100328,S200,10,2000,1,01,03,NORM,A1,
000000000000100329,S100,10,1000,1,01,01,NORM,A1,
000000000000100330,S300,20,2000,1,01,,NORM,A1,
000000000000100331,S200,20,1000,1,01,01,NORM,B1,
000000000000100332,S300,10,3000,1,01,03,NORM,,
000000000000100333,S200,20,1000,1,01,03,NORM,A2,
000000000000100334,S200,10,1000,1,01,03,NORM,,
000000000000100335,S300,20,1000,1,01,03,NORM,A2,
000000000000100337,S100,10,2000,1,01,01,NORM,A1,
000000000000100337,S300,10,2000,1,01,01,NORM,,
000000000000100338,S200,10,2000,1,01,01,NORM,,
000000000000100339,S100,20,2000,1,01,01,NORM,,
000000000000100339,S300,20,2000,1,01,03,NORM,A2,
000000000000100340,S200,10,2000,1,01,01,NORM,,
000000000000100340,S300,10,2000,1,01,03,NORM,A2,
000000000000100341,S100,10,1000,1,01,03,NORM,,
000000000000100347,S200,10,2000,1,01,01,NORM,A2,
000000000000100348,S100,20,1000,1,01,03,NORM,B1,
000000000000100348,S200,20,1000,1,01,03,NORM,A1,
000000000000100349,S300,10,2000,1,01,03,NORM,A2,
000000000000100350,S100,20,2000,1,01,01,NORM,B1,
000000000000100350,S200,10,2000,1,01,01,NORM,B1,
000000000000100352,S200,10,1000,1,01,03,NORM,B1,
000000000000100353,S200,20,1000,1,01,03,NORM,A1,
000000000000100355,S100,10,1000,1,01,03,NORM,A1,
000000000000100355,S300,20,1000,1,01,01,NORM,,
000000000000100356,S300,10,2000,1,01,01,NORM,A1,
000000000000100357,S100,20,1000,1,01,01,NORM,B1,
000000000000100358,S100,10,1000,1,01,03,NORM,A1,
000000000000100359,S100,20,1000,1,01,01,NORM,A1,
000000000000100359,S300,20,1000,1,01,01,NORM,B1,
000000000000100360,S100,10,2000,1,01,03,NORM,B1,
000000000000100361,S300,10,2000,1,01,03,NORM,B1,
000000000000100362,S100,20,2000,1,01,01,NORM,A1,
000000000000100363,S100,10,1000,1,01,03,NORM,,
000000000000100365,S100,10,2000,1,01,03,NORM,A2,
000000000000100367,S200,10,2000,1,01,01,NORM,A2,
000000000000100367,S300,20,2000,1,01,01,NORM,A1,
000000000000100368,S200,10,1000,1,01,03,NORM,B1,
000000000000100370,S200,10,2000,1,01,01,NORM,A1,
000000000000100371,S300,20,2000,1,01,01,NORM,,
000000000000100373,S100,10,2000,1,01,03,NORM,,
000000000000100373,S200,10,2000,1,01,03,NORM,A2,
000000000000100375,S200,20,1000,1,01,01,NORM,B1,
000000000000100375,S300,10,1000,1,01,01,NORM,A2,
000000000000100377,S100,20,2000,1,01,03,NORM,,
000000000000100377,S200,20,2000,1,01,01,NORM,,
000000000000100378,S100,10,,1,01,03,DIEN,,
000000000000100379,S200,20,1000,1,01,03,NORM,A2,
000000000000100380,S200,10,2000,1,01,01,NORM,A1,
000000000000100380,S300,10,2000,1,01,03,NORM,,
000000000000100381,S300,20,2000,1,01,01,NORM,A2,
000000000000100383,S200,20,1000,1,01,03,NORM,A2,
000000000000100383,S300,10,1000,1,01,03,NORM,B1,
000000000000100384,S300,20,2000,1,01,03,NORM,A2,
000000000000100385,S200,10,1000,1,01,03,NORM,A1,
000000000000100386,S200,20,2000,1,01,03,NORM,A1,
000000000000100386,S300,20,2000,1,01,01,NORM,B1,
000000000000100387,S300,10,3000,1,01,01,NORM,B1,
000000000000100388,S100,20,2000,1,01,03,NORM,A2,
000000000000100388,S200,10,2000,1,01,01,NORM,A2,
000000000000100390,S300,20,2000,1,01,03,NORM,A1,
000000000000100391,S200,20,2000,1,01,03,NORM,A2,
000000000000100391,S300,20,2000,1,01,01,NORM,A1,
000000000000100393,S200,20,1000,1,01,03,NORM,B1,
000000000000100394,S200,10,3000,1,01,01,NORM,A1,
000000000000100395,S100,10,2000,1,01,01,NORM,B1,
000000000000100395,S300,10,2000,1,01,03,NORM,,
000000000000100396,S300,20,1000,1,01,01,NORM,A1,
000000000000100397,S300,10,,1,01,03,DIEN,,
000000000000100398,S200,20,1000,1,01,03,NORM,,
000000000000100398,S300,20,1000,1,01,03,NORM,B1,
000000000000100402,S300,10,1000,1,01,01,NORM,,
000000000000100403,S200,20,1000,1,01,03,NORM,A2,
000000000000100404,S100,10,2000,1,01,03,NORM,B1,
000000000000100405,S200,10,2000,1,01,01,NORM,,
000000000000100407,S100,20,1000,1,01,01,NORM,,
000000000000100407,S200,20,1000,1,01,03,NORM,A2,
000000000000100409,S100,10,1000,1,01,03,NORM,,
000000000000100410,S200,10,,1,01,03,DIEN,,
000000000000100411,S200,10,1000,1,01,01,NORM,A1,
000000000000100412,S100,20,2000,1,01,03,NORM,B1,
000000000000100413,S100,10,9999,1,01,03,NORM,,
000000000000100413,S200,10,9999,1,01,01,NORM,A2,
000000000000100414,S200,10,2000,1,01,01,NORM,B1,
000000000000100415,S100,10,2000,1,01,03,NORM,,
000000000000100415,S200,20,2000,1,01,03,NORM,,
000000000000100416,S100,20,1000,1,01,03,NORM,A1,
000000000000100417,S100,20,2000,1,01,01,NORM,B1,
000000000000100417,S200,20,2000,1,01,01,NORM,,
000000000000100418,S200,10,1000,1,01,01,NORM,,
000000000000100418,S300,10,1000,1,01,03,NORM,,
000000000000100419,S300,10,,1,01,03,DIEN,,
000000000000100420,S100,20,1000,1,01,03,NORM,A1,
000000000000100420,S300,20,1000,1,01,01,NORM,,
000000000000100421,S100,10,1000,1,01,01,NORM,B1,
000000000000100421,S200,10,1000,1,01,03,NORM,,
000000000000100422,S300,20,1000,1,01,03,NORM,A1,
000000000000100423,S100,10,2000,1,01,03,NORM,A2,
000000000000100424,S200,10,2000,1,01,03,NORM,,
000000000000100424,S300,10,2000,1,01,03,NORM,B1,
000000000000100426,S100,20,1000,1,01,01,NORM,,
000000000000100427,S200,10,2000,1,01,03,NORM,A2,
000000000000100428,S100,20,1000,1,01,01,NORM,A1,
000000000000100428,S300,10,1000,1,01,03,NORM,,
000000000000100430,S300,20,2000,1,01,03,NORM,,
000000000000100432,S200,10,2000,1,01,01,NORM,A1,
000000000000100433,S100,20,1000,1,01,03,NORM,A2,
000000000000100434,S100,10,1000,1,01,01,NORM,,
000000000000100434,S200,20,1000,1,01,01,NORM,A1,
000000000000100437,S200,10,1000,1,01,01,NORM,B1,
000000000000100438,S300,10,1000,1,01,03,NORM,A2,
000000000000100439,S100,10,2000,1,01,03,NORM,A1,
000000000000100440,S100,20,2000,1,01,03,NORM,,
000000000000100442,S300,10,1000,1,01,01,NORM,A1,
000000000000100443,S300,20,2000,1,01,01,NORM,A2,
000000000000100444,S100,20,1000,1,01,01,NORM,A1,
000000000000100444,S300,10,1000,1,01,01,NORM,A2,
000000000000100445,S100,20,2000,1,01,03,NORM,,
000000000000100445,S200,20,2000,1,01,03,NORM,A1,
000000000000100446,S100,10,1000,1,01,03,NORM,A2,
000000000000100447,S200,10,2000,1,01,03,NORM,B1,
000000000000100448,S100,20,1000,1,01,01,NORM,A2,
000000000000100450,S200,20,2000,1,01,01,NORM,A1,
000000000000100451,S100,10,,1,01,03,DIEN,,
000000000000100453,S200,10,2000,1,01,01,NORM,A1,
000000000000100454,S100,20,1000,1,01,03,NORM,,
000000000000100455,S100,10,2000,1,01,03,NORM,A1,
000000000000100455,S300,10,2000,1,01,03,NORM,B1,
000000000000100456,S100,10,1000,1,01,03,NORM,B1,
000000000000100456,S200,20,1000,1,01,01,NORM,,
000000000000100457,S200,20,2000,1,01,03,NORM,B1,
000000000000100458,S200,10,1000,1,01,01,NORM,B1,
000000000000100459,S100,10,2000,1,01,01,NORM,A1,
000000000000100459,S300,20,2000,1,01,01,NORM,,
000000000000100461,S300,20,2000,1,01,01,NORM,,
000000000000100462,S200,10,,1,01,03,DIEN,,
000000000000100463,S300,10,1000,1,01,03,NORM,A2,
000000000000100464,S100,10,1000,1,01,01,NORM,B1,
000000000000100464,S200,20,1000,1,01,01,NORM,,
000000000000100465,S200,20,2000,1,01,01,NORM,,
000000000000100468,S300,20,2000,1,01,01,NORM,B1,
000000000000100469,S100,20,2000,1,01,03,NORM,A1,
000000000000100469,S200,20,2000,1,01,03,NORM,,
000000000000100471,S100,20,2000,1,01,01,NORM,A2,
000000000000100471,S200,10,2000,1,01,01,NORM,A1,
000000000000100473,S200,10,2000,1,01,01,NORM,A1,
000000000000100474,S200,10,2000,1,01,01,NORM,A2,
000000000000100475,S200,10,2000,1,01,01,NORM,,
000000000000100475,S300,10,2000,1,01,01,NORM,B1,
000000000000100476,S100,10,1000,1,01,03,NORM,A2,
000000000000100478,S100,10,3000,1,01,01,NORM,B1,
000000000000100479,S100,10,1000,1,01,01,NORM,A1,
