MATNR,WERKS,EKGRP,DISPO,DISMM,BESKZ,PLIFZ,EISBE,MINBE,MAABC,MMSTA,LVORM
000000000000100088,1000,E10,301,PD,F,5,123,250,A,,
000000000000100089,2000,E03,102,VB,F,11,309,0,B,,
000000000000100090,2000,E01,102,PD,F,2,127,0,B,,
000000000000100091,1000,E10,102,VB,F,9,266,0,B,,
000000000000100091,2000,E03,101,PD,F,11,387,0,B,,
000000000000100092,1000,E01,301,VB,F,20,166,50,A,,
000000000000100092,2000,E01,301,ND,F,9,-158,100,A,,
000000000000100093,2000,E10,301,ND,F,10,21,0,B,,
000000000000100094,1000,E01,102,ND,F,18,287,50,B,,
000000000000100094,2000,E02,201,ND,F,3,343,250,C,,
000000000000100095,3000,E10,101,PD,F,4,266,0,A,,
000000000000100096,2000,E03,102,PD,F,2,67,0,B,,
000000000000100097,1000,E02,101,PD,F,15,250,0,B,,
000000000000100097,2000,E03,301,PD,F,9,188,50,C,,
000000000000100098,2000,E02,301,PD,F,20,247,100,C,,
000000000000100099,1000,E02,201,VB,F,14,66,50,B,,
000000000000100100,1000,E03,101,PD,F,15,287,100,B,,
000000000000100100,2000,E02,201,PD,F,8,139,0,B,,
000000000000100101,3000,,102,PD,E,0,394,0,B,,
000000000000100102,1000,E01,101,PD,F,10,388,0,C,,
000000000000100103,2000,E01,301,PD,F,11,257,250,A,,
000000000000100104,2000,E03,101,ND,F,6,58,0,B,,
000000000000100105,1000,,101,VB,E,0,65,250,C,,
000000000000100105,3000,,102,VB,E,0,185,50,C,,
000000000000100106,2000,E01,101,VB,F,19,102,50,C,,
000000000000100107,1000,E10,101,PD,F,21,87,100,A,,
000000000000100107,2000,E03,102,PD,F,6,262,250,B,,
000000000000100108,3000,E03,101,PD,F,16,369,100,A,,
000000000000100109,1000,E10,201,PD,F,8,271,0,C,,
000000000000100109,2000,E03,102,VB,F,5,33,250,A,,
000000000000100110,1000,E02,102,VB,F,3,194,50,C,,
000000000000100111,1000,E03,201,ND,F,8,248,50,B,,
000000000000100111,2000,E10,102,ND,F,8,350,100,A,,
000000000000100112,2000,E03,101,PD,F,6,361,0,B,,
000000000000100113,1000,E03,201,PD,F,19,30,50,C,,
000000000000100113,2000,E02,102,PD,F,11,228,250,B,,
000000000000100114,2000,E01,102,ND,F,5,287,0,A,,
000000000000100115,1000,E01,101,PD,F,4,325,0,C,,
000000000000100116,3000,E01,102,VB,F,7,382,50,C,,
000000000000100117,1000,E03,102,PD,F,8,93,0,A,,
000000000000100118,1000,E02,101,PD,F,6,153,50,A,,
000000000000100118,2000,E02,201,ND,F,3,340,100,A,,
000000000000100119,1000,E02,102,ND,F,5,253,50,B,,
000000000000100119,2000,E02,301,PD,F,14,166,50,C,,
000000000000100120,2000,E10,101,ND,F,19,239,50,B,,
000000000000100121,1000,E03,301,PD,F,16,233,250,C,,
000000000000100122,2000,E01,101,PD,F,18,342,250,A,,
000000000000100123,2000,E01,301,PD,F,18,104,50,B,,
000000000000100124,1000,E10,102,PD,F,4,73,250,B,,
000000000000100125,1000,E10,102,ND,F,17,76,50,B,,
000000000000100126,1000,E03,102,PD,F,4,355,50,C,,
000000000000100127,1000,E02,301,PD,F,17,364,100,C,,
000000000000100127,2000,E03,102,VB,F,10,193,0,B,,
000000000000100128,3000,,102,PD,E,0,103,0,A,,
000000000000100129,1000,E03,102,ND,F,18,274,0,C,,
000000000000100130,1000,E03,301,PD,F,14,122,100,C,,
000000000000100131,1000,E02,102,ND,F,12,207,50,B,,
000000000000100132,2000,E10,101,ND,F,12,165,0,A,,
000000000000100133,2000,E10,301,PD,F,8,351,0,B,,
000000000000100134,2000,E01,301,PD,F,4,314,0,A,,
000000000000100135,1000,E01,201,PD,F,5,296,250,A,,
000000000000100135,2000,E02,201,PD,F,8,290,0,A,,
000000000000100136,3000,,102,VB,E,0,228,0,C,,
000000000000100137,3000,E10,301,PD,F,4,227,100,A,,
000000000000100138,1000,E10,102,PD,F,8,106,0,A,,
000000000000100138,2000,E01,101,ND,F,0,363,0,B,,
000000000000100139,1000,E01,101,PD,F,19,191,50,B,,
000000000000100139,2000,E02,301,PD,F,12,288,250,C,,
000000000000100140,3000,E10,101,ND,F,5,116,250,C,,
000000000000100141,1000,E01,201,PD,F,15,51,100,B,,
000000000000100141,2000,E03,301,PD,F,8,167,250,C,,
000000000000100142,1000,E10,102,ND,F,3,177,100,B,,
000000000000100143,3000,,101,VB,E,0,275,0,B,,
000000000000100144,3000,,301,ND,E,0,363,250,C,,
000000000000100145,1000,E03,101,PD,F,16,173,100,A,,
000000000000100145,2000,E01,102,ND,F,9,395,100,B,,
000000000000100146,1000,E10,301,ND,F,16,98,0,C,,
000000000000100146,2000,E03,102,PD,F,16,236,250,C,,
000000000000100147,1000,E10,301,VB,F,21,279,250,C,,
000000000000100148,1000,E01,301,PD,F,5,222,50,A,,
000000000000100148,2000,E03,301,PD,F,17,269,100,A,,
000000000000100149,1000,E02,301,PD,F,19,139,100,C,,
000000000000100149,2000,E03,102,VB,F,16,31,100,C,,
000000000000100150,2000,E02,102,ND,F,10,284,100,A,,
000000000000100151,1000,E01,301,PD,F,10,132,50,C,,
000000000000100152,3000,,301,ND,E,0,202,250,B,,
000000000000100153,1000,E10,201,PD,F,11,241,250,A,,
000000000000100153,2000,E03,301,VB,F,2,100,0,C,,
000000000000100153,9999,E01,101,PD,F,7,0,0,C,,
000000000000100154,1000,E02,101,PD,F,2,178,50,A,,
000000000000100155,1000,E02,301,PD,F,10,154,0,C,,
000000000000100157,1000,,201,VB,E,0,123,0,A,,
000000000000100157,3000,,102,VB,E,0,231,0,A,,
000000000000100158,3000,,102,VB,E,0,30,0,C,,
000000000000100159,2000,E10,102,VB,F,5,392,0,B,,
000000000000100160,2000,E10,301,VB,F,13,90,100,C,,
000000000000100161,1000,E10,301,ND,F,11,164,0,C,,
000000000000100161,2000,E01,201,ND,F,8,130,0,A,,
000000000000100162,1000,E03,101,VB,F,21,369,0,A,,
000000000000100163,2000,E03,201,ND,F,18,250,0,A,,
000000000000100164,2000,E03,201,PD,F,19,196,50,C,,
000000000000100165,2000,E01,102,PD,F,8,37,50,A,,
000000000000100166,2000,E02,301,VB,F,19,345,250,A,,
000000000000100167,2000,E03,101,VB,F,19,347,50,A,,
000000000000100170,1000,E03,301,PD,F,5,331,0,A,,
000000000000100171,2000,E02,301,VB,F,13,87,100,B,,
000000000000100172,3000,E10,201,ND,F,17,171,50,A,,
000000000000100173,2000,E01,102,VB,F,21,373,50,C,,
000000000000100174,1000,E10,102,ND,F,10,354,250,B,,
000000000000100174,2000,E02,201,ND,F,15,226,50,B,,
000000000000100176,2000,E10,301,VB,F,2,40,0,B,,
000000000000100177,1000,E10,101,ND,F,13,108,0,B,,
000000000000100178,2000,E03,102,ND,F,12,127,100,B,,
000000000000100179,1000,E03,101,VB,F,10,169,0,A,,
000000000000100180,1000,E01,201,PD,F,6,137,250,C,,
000000000000100180,2000,E10,102,ND,F,17,192,100,A,,
000000000000100181,1000,E01,101,PD,F,15,199,0,C,,
000000000000100181,2000,E03,101,ND,F,8,239,100,C,,
000000000000100183,1000,E03,101,PD,F,19,48,100,C,,
000000000000100184,1000,E10,301,ND,F,16,237,50,B,,
000000000000100184,2000,E02,102,PD,F,9,181,0,A,,
000000000000100185,1000,E10,101,PD,F,16,183,0,B,,
000000000000100185,2000,E10,201,PD,F,3,311,0,C,,
000000000000100186,1000,E03,102,PD,F,7,85,100,C,,
000000000000100187,3000,E03,301,PD,F,4,183,0,A,,
000000000000100188,1000,E02,102,PD,F,18,368,0,B,,
000000000000100189,3000,E10,201,ND,F,19,268,0,C,,
000000000000100190,2000,E01,301,VB,F,17,123,250,A,,
000000000000100192,2000,E01,301,PD,F,20,129,50,B,,
000000000000100193,1000,E01,201,VB,F,11,21,50,A,,
000000000000100194,1000,E02,102,PD,F,13,147,100,C,,
000000000000100194,2000,E02,101,ND,F,6,170,0,B,,
000000000000100195,3000,,101,PD,E,0,176,0,B,,
000000000000100196,1000,E10,201,ND,F,11,259,100,A,,
000000000000100197,1000,E10,201,PD,F,17,329,50,A,,
000000000000100199,3000,E02,102,PD,F,9,273,100,C,,
000000000000100200,2000,E10,102,PD,F,10,186,250,B,,
000000000000100202,1000,E02,201,PD,F,21,286,0,C,,
000000000000100202,2000,E02,301,ND,F,14,264,250,A,,
000000000000100203,2000,E03,102,PD,F,6,215,0,C,,
000000000000100204,2000,,201,VB,F,14,282,0,C,,
000000000000100205,3000,,102,VB,E,0,294,0,C,,
000000000000100206,1000,E01,201,PD,F,20,271,50,C,,
000000000000100207,3000,E10,102,VB,F,13,102,50,B,,
000000000000100208,1000,E03,301,PD,F,20,333,0,B,,
000000000000100208,2000,E02,102,PD,F,5,130,50,C,,
000000000000100209,2000,E02,102,PD,F,21,371,250,A,,
000000000000100210,1000,E02,102,ND,F,16,299,0,A,,
000000000000100211,2000,E03,201,ND,F,3,229,0,C,,
000000000000100212,2000,E10,102,PD,F,9,285,0,C,,
000000000000100213,2000,E01,102,PD,F,20,395,0,A,,
000000000000100214,3000,E01,201,PD,F,12,23,0,C,,
000000000000100215,2000,E01,101,PD,F,2,310,0,A,,
000000000000100216,2000,E03,101,PD,F,14,139,50,B,,
000000000000100217,1000,E10,301,VB,F,15,196,50,A,,
000000000000100218,1000,,301,PD,E,0,169,0,B,,
000000000000100218,3000,,102,ND,E,0,27,100,B,,
000000000000100219,1000,E02,201,VB,F,17,202,100,B,,
000000000000100220,1000,E10,102,ND,F,21,331,250,C,,
000000000000100220,2000,E02,101,PD,F,2,117,0,A,,
000000000000100221,1000,E03,301,ND,F,6,93,0,B,,
000000000000100221,2000,E01,301,,F,9,184,100,A,,
000000000000100222,1000,E01,301,VB,F,6,203,250,B,,
000000000000100223,2000,E02,101,PD,F,17,256,250,B,,
000000000000100224,1000,E02,301,PD,F,9,306,50,C,,
000000000000100225,1000,E02,201,PD,F,7,108,0,B,,
000000000000100226,2000,E03,201,PD,F,21,220,0,B,,
000000000000100227,1000,E01,201,,F,11,147,250,A,,
000000000000100228,1000,E01,101,PD,F,20,297,0,A,,
000000000000100228,2000,E01,101,PD,F,19,348,0,C,,
000000000000100229,1000,E03,201,PD,F,13,372,0,B,,
000000000000100230,3000,E02,201,PD,F,18,244,250,C,,
000000000000100231,1000,E10,102,ND,F,4,330,250,C,,
000000000000100231,2000,E01,301,ND,F,4,317,0,B,,
000000000000100232,3000,E03,301,PD,F,18,97,0,C,,
000000000000100233,1000,E01,301,VB,F,10,171,50,A,,
000000000000100233,2000,E02,201,PD,F,10,76,100,A,,
000000000000100234,2000,E02,102,PD,F,2,269,50,C,,
000000000000100235,1000,E02,102,VB,F,13,1,100,A,,
000000000000100236,2000,E02,102,VB,F,20,195,0,B,,
000000000000100237,1000,E10,101,ND,F,5,152,250,A,,
000000000000100237,2000,E10,201,PD,F,15,96,0,B,,
000000000000100238,2000,E10,102,PD,F,19,248,0,C,,
000000000000100239,1000,E03,102,PD,F,11,312,0,C,,
000000000000100239,2000,E03,101,ND,F,21,376,0,C,,
000000000000100240,2000,E03,101,PD,F,20,142,250,B,,
000000000000100241,2000,E01,101,PD,F,3,324,50,B,,
000000000000100242,1000,E10,301,ND,F,11,336,100,C,,
000000000000100242,2000,E10,102,PD,F,7,48,50,A,,
000000000000100244,1000,E10,301,PD,F,4,4,0,B,,
000000000000100245,3000,,102,PD,E,0,258,0,C,,
000000000000100246,3000,,101,VB,E,0,41,50,C,,
000000000000100247,3000,,301,VB,E,0,200,250,B,,
000000000000100248,1000,E10,201,VB,F,2,392,250,B,,
000000000000100248,2000,E10,201,PD,F,15,37,0,A,,
000000000000100249,1000,E01,201,PD,F,20,125,100,C,,
000000000000100250,1000,E01,101,ND,F,14,252,50,B,,
000000000000100252,1000,E10,102,PD,F,10,13,250,B,,
000000000000100253,2000,,201,VB,F,17,257,250,C,,
000000000000100254,2000,E02,102,ND,F,14,165,50,C,,
000000000000100255,1000,E01,102,ND,F,0,155,100,B,,
000000000000100256,1000,E02,201,PD,F,18,356,100,B,,
000000000000100256,2000,E10,201,ND,F,16,352,100,A,,
000000000000100257,1000,E03,201,ND,F,2,290,0,A,,
000000000000100257,2000,E02,102,ND,F,4,264,250,C,,
000000000000100258,1000,,201,PD,E,0,394,0,A,,
000000000000100258,3000,,101,PD,E,0,323,50,B,,
000000000000100259,2000,E10,102,ND,F,7,356,0,C,,
000000000000100260,1000,E01,201,PD,F,3,165,100,A,,
000000000000100261,2000,E02,301,ND,F,13,10,50,B,,
000000000000100262,1000,E10,101,PD,F,5,183,250,A,,
000000000000100262,2000,E03,102,VB,F,11,293,0,C,,
000000000000100263,2000,E03,301,VB,F,4,51,0,A,,
000000000000100265,1000,E01,201,ND,F,4,328,0,C,,
000000000000100265,2000,E10,101,PD,F,11,323,100,C,,
000000000000100266,2000,E02,101,ND,F,11,92,0,B,,
000000000000100267,3000,E10,301,PD,F,18,170,0,B,,
000000000000100268,1000,E02,101,VB,F,14,272,0,C,,
000000000000100268,2000,E02,301,VB,F,2,188,100,A,,
000000000000100269,3000,,301,VB,E,0,127,100,B,,
000000000000100270,1000,E10,101,PD,F,4,82,0,B,,
000000000000100271,1000,E02,102,VB,F,20,383,250,C,,
000000000000100272,2000,E02,101,PD,F,21,222,100,B,,
000000000000100273,2000,E02,102,PD,F,10,141,0,A,,
000000000000100274,3000,E01,101,VB,F,8,327,0,B,,
000000000000100275,1000,E03,301,PD,F,18,268,0,C,,
000000000000100276,2000,E10,102,ND,F,2,160,0,B,,
000000000000100277,1000,E01,301,ND,F,20,347,0,C,,
000000000000100277,2000,E01,201,PD,F,10,267,0,B,,
000000000000100279,2000,E03,301,PD,F,13,140,50,B,,
000000000000100280,1000,E02,101,VB,F,6,303,250,A,,
000000000000100281,1000,E10,301,ND,F,20,379,100,B,,
000000000000100282,3000,,102,ND,E,0,70,250,B,,
000000000000100283,3000,E10,102,ND,F,15,256,50,C,,
000000000000100284,1000,E10,201,PD,F,9,337,100,C,,
000000000000100284,2000,E10,102,VB,F,5,178,0,C,,
000000000000100285,2000,E01,201,PD,F,21,368,50,B,,
000000000000100286,1000,E01,201,PD,F,18,141,0,B,,
000000000000100286,2000,E02,301,PD,F,17,257,0,C,,
000000000000100287,1000,E01,201,ND,F,0,394,0,B,,
000000000000100287,2000,E03,102,VB,F,17,162,100,A,,
000000000000100288,2000,E01,201,PD,F,13,337,0,B,,
000000000000100289,1000,E03,201,PD,F,16,177,50,A,,
000000000000100290,2000,E02,301,VB,F,12,321,0,B,,
000000000000100291,1000,,201,ND,E,0,111,50,C,,
000000000000100291,3000,,102,PD,E,0,92,250,B,,
000000000000100292,3000,,201,PD,E,0,241,100,B,,
000000000000100293,1000,E10,201,PD,F,13,7,50,C,,
000000000000100293,2000,E03,101,PD,F,4,126,0,C,,
000000000000100294,1000,E01,102,PD,F,14,339,100,C,,
000000000000100294,2000,E01,102,PD,F,12,371,50,C,,
000000000000100295,1000,E02,102,ND,F,18,25,50,B,,
000000000000100296,2000,E10,101,ND,F,4,17,0,A,,
000000000000100297,1000,E01,201,VB,F,16,280,250,C,,
000000000000100297,2000,E10,102,PD,F,17,137,0,A,,
000000000000100297,9999,E01,101,PD,F,7,0,0,C,,
000000000000100298,2000,E02,102,VB,F,18,67,0,B,,
000000000000100299,1000,E01,102,VB,F,18,180,100,B,,
000000000000100300,1000,E01,102,VB,F,7,251,0,B,,
000000000000100301,2000,E02,101,VB,F,19,301,0,B,,
000000000000100302,2000,E10,102,PD,F,2,278,50,C,,
000000000000100303,1000,E10,101,VB,F,12,173,50,B,,
000000000000100304,1000,E01,101,PD,F,4,188,0,A,,
000000000000100305,1000,E03,101,ND,F,6,200,0,B,,
000000000000100306,3000,E01,201,PD,F,13,86,50,A,,
000000000000100307,2000,E01,201,PD,F,11,46,50,A,,
000000000000100309,2000,E02,301,PD,F,17,175,0,C,,
000000000000100310,2000,E02,301,PD,F,15,183,0,A,,
000000000000100311,2000,E02,102,ND,F,15,153,0,C,,
000000000000100312,2000,E01,301,ND,F,21,150,0,A,,
000000000000100313,1000,E03,102,ND,F,8,356,0,C,,
000000000000100313,2000,E10,301,ND,F,17,374,250,B,,
000000000000100314,1000,E01,301,VB,F,16,305,0,C,,
000000000000100314,2000,E03,101,VB,F,3,140,50,B,,
000000000000100315,1000,E10,102,ND,F,4,164,100,A,,
000000000000100315,2000,E10,101,ND,F,15,350,0,C,,
000000000000100316,2000,E02,201,PD,F,7,257,50,A,,
000000000000100317,3000,,301,PD,E,0,347,250,A,,
000000000000100318,2000,E01,201,ND,F,8,86,0,B,,
000000000000100320,3000,E03,101,PD,F,17,124,250,A,,
000000000000100321,1000,E10,101,PD,F,13,136,0,B,,
000000000000100321,2000,E10,201,PD,F,3,14,50,B,,
000000000000100322,2000,E10,101,ND,F,17,397,50,A,,
000000000000100323,3000,,102,PD,E,0,226,50,A,,
000000000000100325,1000,E03,301,ND,F,3,376,100,B,,
000000000000100326,1000,E02,102,ND,F,2,116,100,A,,
000000000000100327,2000,E10,301,PD,F,14,55,100,A,,
000000000000100328,1000,E02,102,ND,F,2,385,250,B,,
000000000000100328,2000,E01,102,VB,F,15,163,0,B,,
000000000000100329,1000,E10,102,PD,F,4,3,250,A,,
000000000000100330,2000,E01,101,PD,F,2,358,0,A,,
000000000000100331,1000,E02,301,PD,F,13,40,250,A,,
000000000000100331,2000,E02,101,VB,F,16,248,0,C,,
000000000000100332,3000,,201,ND,E,0,94,100,B,,
000000000000100333,1000,E03,102,PD,F,12,60,100,A,,
000000000000100334,1000,E03,301,PD,F,14,29,0,C,,
000000000000100335,1000,E02,301,VB,F,7,332,50,B,,
000000000000100336,1000,E10,301,PD,F,3,28,0,A,,
000000000000100336,2000,E01,201,PD,F,5,42,100,A,,
000000000000100337,2000,E03,201,VB,F,3,141,100,C,,
000000000000100338,1000,E03,201,PD,F,3,361,100,C,,
000000000000100338,2000,E01,301,PD,F,7,188,100,B,,
000000000000100339,2000,E03,101,PD,F,14,102,0,C,,
000000000000100340,1000,E01,101,VB,F,12,289,0,C,,
000000000000100340,2000,E03,102,PD,F,6,157,50,A,,
000000000000100341,1000,E01,201,VB,F,3,122,50,B,,
000000000000100341,2000,E01,102,PD,F,18,393,0,B,,
000000000000100342,1000,E02,301,PD,F,19,24,100,A,,
000000000000100343,1000,E10,201,PD,F,20,83,50,C,,
000000000000100344,3000,,201,VB,E,0,45,250,B,,
000000000000100345,2000,E10,201,PD,F,7,41,100,C,,
000000000000100346,1000,E01,301,PD,F,9,165,50,B,,
000000000000100347,2000,E10,201,PD,F,8,305,0,A,,
000000000000100348,1000,E02,102,PD,F,17,239,0,C,,
000000000000100348,2000,E01,201,ND,F,4,98,0,A,,
000000000000100349,1000,E10,301,PD,F,21,252,100,A,,
000000000000100349,2000,E02,201,ND,F,10,331,50,B,,
000000000000100350,2000,E03,201,VB,F,20,155,250,A,,
000000000000100351,3000,E03,102,PD,F,21,341,50,C,,
000000000000100352,1000,E03,102,PD,F,12,194,100,C,,
000000000000100352,2000,E01,102,PD,F,7,204,0,A,,
000000000000100353,1000,E01,102,VB,F,16,306,0,A,,
000000000000100354,1000,E01,101,ND,F,7,133,0,B,,
000000000000100355,1000,E02,301,ND,F,12,353,0,B,,
000000000000100356,1000,E01,301,ND,F,15,371,0,B,,
000000000000100356,2000,E10,201,PD,F,13,286,0,A,,
000000000000100357,1000,E01,301,PD,F,7,374,0,A,,
000000000000100357,2000,E02,301,VB,F,18,324,100,A,,
000000000000100358,1000,E01,102,PD,F,10,267,250,C,,
000000000000100359,1000,E10,101,ND,F,18,145,250,C,,
000000000000100359,2000,E10,301,ND,F,3,276,250,B,,
000000000000100360,2000,E03,101,PD,F,2,84,250,A,,
000000000000100361,2000,E02,102,PD,F,18,82,250,C,,
000000000000100362,2000,E02,101,VB,F,13,216,0,A,,
000000000000100363,1000,E10,301,VB,F,17,22,250,B,,
000000000000100365,1000,E01,102,PD,F,10,120,0,C,,
000000000000100365,2000,E10,201,VB,F,5,371,0,C,,
000000000000100366,3000,E01,201,VB,F,16,332,250,C,,
000000000000100367,2000,E10,201,ND,F,18,400,50,A,,
000000000000100368,1000,E10,201,ND,F,5,343,100,C,,
000000000000100369,3000,,301,VB,E,0,160,50,B,,
000000000000100370,2000,E10,201,PD,F,20,65,50,C,,
000000000000100372,1000,E03,301,ND,F,9,284,100,B,,
000000000000100372,2000,E01,301,VB,F,5,93,250,B,,
000000000000100373,1000,E03,101,PD,F,12,9,0,A,,
000000000000100373,2000,E01,101,PD,F,7,230,0,B,,
000000000000100374,3000,,201,ND,E,0,142,0,A,,
000000000000100376,2000,E01,201,PD,F,14,191,250,C,,
000000000000100377,2000,E03,101,ND,F,9,316,250,A,,
000000000000100379,1000,E03,102,ND,F,6,127,50,C,,
000000000000100381,2000,E10,301,PD,F,8,49,250,A,,
000000000000100382,3000,,201,ND,E,0,320,250,B,,
000000000000100383,1000,E10,201,PD,F,19,105,100,A,,
000000000000100384,1000,E03,301,ND,F,6,50,0,A,,
000000000000100384,2000,E03,102,VB,F,13,189,100,B,,
000000000000100385,1000,E01,301,PD,F,17,276,250,A,,
000000000000100385,2000,E01,201,PD,F,10,296,100,C,,
