KUNNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0002000048,2000,0000140100,Z030,TU,CB002,,
0002000049,1000,0000140100,0001,S,CB001,,
0002000050,1000,0000140000,Z030,,CB001,,
0002000051,2000,0000140000,0002,S,CB001,,
0002000052,1000,0000140100,Z030,TU,CB002,,
0002000053,3000,0000140000,Z030,S,CB002,,
0002000053,2000,0000140000,0001,TU,CB002,,
0002000054,2000,0000140000,NT30,,CB001,,
0002000054,1000,0000140100,0002,TU,CB001,,
0002000055,3000,0000140000,Z030,S,CB001,,
0002000056,3000,0000140000,Z030,TU,,,
0002000057,3000,0000140000,0001,,CB001,,
0002000058,1000,0000140000,NT30,,CB001,,
0002000059,2000,0000140100,NT30,,CB002,,
0002000059,1000,0000140000,0002,TU,CB002,,
0002000060,2000,0000140100,Z030,,,,
0002000061,1000,0000140000,0001,S,CB001,,
0002000062,2000,0000140000,Z014,S,,,
0002000062,1000,0000140100,Z030,TU,CB001,,
0002000063,3000,0000140100,0001,TU,CB001,,
0002000064,1000,0000140100,NT30,S,,,
0002000064,3000,0000140100,0002,TU,CB001,,
0002000065,2000,0000140100,NT30,,CB001,,
0002000065,1000,0000140100,0001,,CB001,,
0002000066,1000,0000140000,Z014,S,CB002,,
0002000066,2000,0000140100,0001,TU,,,
0002000067,3000,0000140100,Z014,S,CB002,,
0002000068,3000,0000140100,0001,S,CB001,,
0002000068,2000,0000140100,Z030,,CB001,,
0002000069,2000,0000140100,0001,,,,
0002000070,2000,0000140000,Z030,S,,,
0002000071,3000,0000140100,0002,,CB001,,
0002000072,2000,0000140000,0001,,,,
0002000073,1000,0000140000,Z030,TU,CB002,,
0002000074,3000,0000140100,0002,S,CB001,,
0002000075,2000,0000140100,Z030,S,CB001,,
0002000076,2000,0000140100,0002,S,,,
0002000077,3000,0000140000,Z014,,CB001,,
0002000078,2000,0000140000,Z030,TU,CB001,,
0002000078,3000,0000140000,0001,TU,CB001,,
0002000079,3000,0000140000,Z030,S,,,
0002000080,2000,0000140100,Z014,,CB001,,
0002000080,3000,0000140100,0001,,,,
0002000081,2000,0000140100,0002,,,,
0002000082,2000,0000140100,0002,,CB002,,
0002000083,1000,0000140100,0002,,CB002,,
0002000084,1000,0000140000,NT30,S,,,
0002000085,2000,0000140100,0001,,,,
0002000086,3000,0000140100,0002,TU,,,
0002000086,2000,0000140100,0001,S,CB002,,
0002000087,2000,0000140000,0002,,,,
0002000088,1000,0000140100,Z030,S,CB001,,
0002000089,1000,0000140100,Z014,TU,CB001,,
0002000089,3000,0000140000,Z030,S,CB002,,
0002000090,1000,0000140000,NT30,,,,
0002000091,1000,0000140100,Z030,S,,,
0002000092,2000,0000140100,0001,TU,CB002,,
0002000092,3000,0000140100,Z014,,CB002,,
0002000093,3000,0000140100,0001,S,CB002,,
0002000094,1000,0000140100,0001,TU,CB001,,
0002000095,3000,0000140100,Z030,,CB001,,
0002000096,3000,0000140000,0001,S,CB002,,
0002000097,2000,0000140000,NT30,TU,,,
0002000098,3000,0000140100,0002,TU,CB001,,
0002000099,2000,0000140000,NT30,S,CB001,,
0002000099,3000,0000140100,Z030,,CB001,,
0002000100,1000,0000140000,0001,,CB001,,
0002000101,2000,0000140000,NT30,S,CB001,,
0002000101,1000,0000140100,Z014,TU,CB001,,
0002000102,3000,0000140100,NT30,TU,CB001,,
0002000102,1000,0000140100,0002,S,CB001,,
0002000103,1000,0000140000,0002,,CB002,,
0002000104,2000,0000140000,0002,S,CB002,,
0002000105,3000,0000140100,0001,TU,CB002,,
0002000106,1000,0000140000,0001,TU,,,
0002000107,2000,0000140000,0001,S,CB002,,
0002000108,2000,0000140100,0001,S,,,
0002000109,3000,0000140000,NT30,S,CB001,,
0002000110,3000,0000140100,Z030,,CB001,,
0002000111,2000,0000140000,0002,TU,,,
0002000111,3000,0000140100,NT30,,,,
0002000112,2000,0000140100,NT30,,CB002,,
0002000112,3000,0000140100,Z030,,CB001,,
0002000113,1000,0000140100,Z030,S,,,
0002000114,3000,0000140000,Z014,,,,
0002000115,2000,0000140100,NT30,,CB001,,
0002000116,3000,0000140100,0002,TU,CB002,,
0002000117,1000,0000140100,0001,,,,
0002000118,3000,0000140100,Z014,TU,CB001,,
0002000119,1000,0000140100,NT30,TU,CB002,,
0002000119,2000,0000140100,Z014,S,CB002,,
0002000120,2000,0000140000,NT30,TU,,,
0002000121,3000,0000140100,Z030,,CB002,,
0002000122,3000,0000140100,Z014,S,CB002,,
0002000123,3000,0000140000,0001,S,CB001,,
0002000124,2000,0000140100,0001,TU,CB002,,
0002000125,1000,0000140100,0002,,,,
0002000126,2000,0000140100,NT30,TU,,,
0002000127,1000,0000140000,0001,,CB002,,
0002000128,2000,0000140100,Z014,TU,CB001,,
0002000129,3000,0000140000,0001,TU,CB001,,
0002000130,2000,0000140000,0002,S,CB002,,
0002000130,1000,0000140100,Z014,,,,
0002000131,1000,0000140100,0001,TU,,,
0002000132,3000,0000140000,0001,,CB001,,
0002000133,1000,0000140100,0001,,CB001,,
0002000134,2000,0000140000,0001,,CB002,,
0002000135,2000,0000140100,NT30,,CB001,,
0002000136,2000,0000140000,Z030,,CB001,,
0002000137,1000,0000140100,Z030,,CB001,,
0002000138,3000,0000140100,0002,TU,CB002,,
0002000139,2000,0000140100,Z030,,,,
0002000139,1000,0000140000,Z030,,CB002,,
0002000140,3000,0000140100,Z014,S,CB002,,
0002000141,3000,0000140100,0002,,CB002,,
0002000142,2000,0000140000,0001,TU,CB001,,
0002000143,2000,0000140000,NT30,,CB001,,
0002000144,3000,0000140100,Z014,,,,
0002000145,3000,0000140100,NT30,TU,,,
0002000146,3000,0000140000,Z030,,,,
0002000147,3000,0000140100,Z030,S,CB002,,
0002000148,1000,0000140100,Z030,S,,,
0002000148,2000,0000140100,NT30,S,CB001,,
0002000149,2000,0000140000,0001,S,,,
0002000150,1000,0000140000,Z030,,,,
0002000151,3000,0000140000,Z014,TU,CB001,,
0002000152,2000,0000140100,Z014,TU,CB001,,
0002000153,3000,0000140100,Z014,,CB001,,
0002000154,1000,0000140000,NT30,,CB001,,
0002000155,3000,0000140000,Z014,TU,CB001,,
0002000156,2000,0000140000,Z014,,CB002,,
0002000156,3000,0000140100,Z014,,CB002,,
0002000157,3000,0000140000,0002,,CB001,,
0002000158,2000,0000140100,Z014,,CB001,,
0002000159,1000,0000140000,Z014,,CB001,,
0002000160,3000,0000140000,Z014,,CB001,,
0002000161,2000,0000140100,0002,,CB001,,
0002000161,3000,0000140000,0001,S,CB001,,
0002000162,3000,0000140000,Z030,TU,CB002,,
0002000163,1000,0000140000,0002,S,CB001,,
0002000164,1000,0000140100,Z014,TU,,,
0002000164,3000,0000140000,0001,,CB002,,
0002000165,2000,0000140100,NT30,,,,
0002000166,3000,0000140000,0001,S,CB002,,
0002000166,1000,0000140000,0002,,CB001,,
0002000167,1000,0000140000,Z014,TU,,,
0002000168,1000,0000140000,NT30,TU,CB002,,
0002000169,2000,0000140000,0002,,CB001,,
0002000170,1000,0000140000,0002,,,,
0002000170,3000,0000140000,Z014,S,CB002,,
0002000171,1000,0000140000,0001,S,CB002,,
0002000171,2000,0000140000,0002,,CB001,,
0002000172,2000,0000140100,0001,,,,
0002000173,3000,0000140000,0002,TU,CB001,,
0002000174,1000,0000140100,0001,TU,,,
0002000174,3000,0000140000,NT30,S,,,
0002000175,1000,0000140100,0001,,CB002,,
0002000176,1000,0000140000,Z014,S,CB001,,
0002000177,2000,0000140000,Z014,S,CB001,,
0002000178,1000,0000140100,0001,,CB001,,
0002000179,2000,0000140000,Z030,,CB002,,
0002000180,1000,0000140100,NT30,S,CB001,,
0002000181,2000,0000140100,0002,TU,,,
0002000181,1000,0000140000,0002,,CB002,,
0002000182,2000,0000140100,0001,,,,
0002000183,3000,0000140000,Z014,,CB002,,
0002000184,2000,0000140100,NT30,TU,CB002,,
0002000185,1000,0000140100,NT30,S,CB002,,
0002000186,2000,0000140000,Z030,S,CB002,,
0002000186,1000,0000140100,Z030,,CB001,,
0002000187,3000,0000140100,0002,,CB002,,
0002000188,2000,0000140100,0002,S,CB002,,
0002000189,3000,0000140000,NT30,S,,,
0002000189,2000,0000140100,0001,S,CB002,,
0002000190,2000,0000140100,Z014,S,CB002,,
0002000191,2000,0000140100,0001,TU,CB001,,
0002000192,2000,0000140100,Z030,,CB002,,
0002000193,2000,0000140000,Z014,,,,
0002000193,3000,0000140000,Z014,S,CB002,,
0002000194,3000,0000140000,Z030,TU,,,
0002000195,3000,0000140100,Z014,,CB001,,
0002000196,3000,0000140100,0002,S,,,
0002000197,2000,0000140100,0001,S,CB002,,
0002000198,3000,0000140000,NT30,S,CB001,,
0002000198,1000,0000140100,0001,S,CB001,,
0002000199,1000,0000140100,0002,S,CB001,,
0002000200,2000,0000140000,0001,,CB001,,
0002000201,2000,0000140000,NT30,TU,,,
0002000202,2000,0000140000,NT30,TU,,,
0002000203,2000,0000140000,Z014,TU,CB001,,
0002000204,1000,0000140000,0001,TU,,,
0002000205,3000,0000140100,0002,,CB001,,
0002000206,1000,0000140100,0002,TU,,,
0002000207,1000,0000140100,NT30,,CB001,,
0002000208,2000,0000140100,0001,,CB001,,
0002000209,2000,0000140100,Z014,,CB001,,
0002000210,2000,0000140000,0002,S,CB002,,
0002000210,1000,0000140100,0001,,CB001,,
0002000211,1000,0000140000,0002,TU,,,
0002000211,2000,0000140000,Z014,TU,CB001,,
0002000212,1000,0000140000,NT30,S,CB001,,
0002000213,3000,0000140100,0002,S,,,
0002000214,1000,0000140000,NT30,TU,,,
0002000215,3000,0000140000,0001,,CB001,,
0002000216,2000,0000140000,Z014,TU,,,
0002000217,3000,0000140000,Z014,,,,
0002000218,3000,0000140000,0002,S,,,
0002000219,3000,0000140000,NT30,TU,CB002,,
0002000220,1000,0000140000,0002,,CB002,,
0002000220,2000,0000140000,Z014,S,,,
0002000221,1000,0000140100,0002,,,,
0002000221,3000,0000140000,0001,,CB002,,
0002000222,3000,0000140100,Z014,TU,,,
0002000223,3000,0000140000,NT30,,,,
0002000223,1000,0000140100,Z014,TU,,,
0002000224,1000,0000140100,NT30,,,,
0002000224,3000,0000140000,Z030,TU,CB001,,
0002000225,2000,0000140000,Z014,,CB002,,
0002000226,3000,0000140000,0002,S,,,
0002000227,1000,0000140000,Z014,TU,CB001,,
0002000228,2000,0000140000,Z014,S,CB001,,
0002000229,3000,0000140100,0002,,,,
0002000229,1000,0000140000,Z014,,CB001,,
0002000230,1000,0000140100,0001,TU,CB002,,
0002000231,1000,0000140000,Z014,S,CB002,,
0002000232,3000,0000140000,Z014,TU,,,
0002000233,3000,0000140100,0002,TU,CB001,,
0002000234,1000,0000140000,Z030,,CB001,,
0002000234,3000,0000140100,0002,TU,,,
0002000235,3000,0000140000,NT30,TU,CB001,,
0002000236,2000,0000140100,Z030,S,CB001,,
0002000237,2000,0000140000,0002,S,CB001,,
0002000237,1000,0000140000,0001,S,CB002,,
0002000238,3000,0000140100,0001,S,CB001,,
0002000239,1000,0000140000,Z014,S,CB002,,
0002000240,3000,0000140100,0001,,,,
0002000241,1000,0000140100,Z030,,CB002,,
0002000242,1000,0000140000,Z014,S,CB001,,
0002000242,3000,0000140000,0002,S,,,
0002000243,1000,0000140100,NT30,S,,,
0002000244,2000,0000140100,Z014,,,,
0002000245,3000,0000140000,0002,TU,,,
0002000246,1000,0000140000,NT30,S,CB001,,
0002000247,2000,0000140000,NT30,,,,
0002000247,3000,0000140100,0002,S,CB002,,
0002000248,3000,0000140100,0001,S,CB002,,
0002000249,3000,0000140100,Z014,S,CB002,,
0002000250,1000,0000140000,NT30,S,CB001,,
0002000251,1000,0000140000,NT30,S,CB001,,
0002000252,1000,0000140000,NT30,TU,CB001,,
0002000252,3000,0000140000,Z030,S,CB001,,
0002000253,3000,0000140100,0002,TU,CB001,,
0002000253,1000,0000140000,NT30,,,,
0002000254,3000,0000140100,Z014,,CB002,,
0002000255,1000,0000140100,Z030,,CB002,,
0002000256,3000,0000140100,Z014,S,,,
0002000257,2000,0000140100,NT30,S,CB001,,
0002000257,3000,0000140000,NT30,TU,,,
0002000258,2000,0000140100,0001,S,,,
0002000259,2000,0000140100,NT30,,,,
0002000260,1000,0000140000,0001,TU,,,
0002000260,3000,0000140000,Z014,,CB002,,
0002000261,1000,0000140000,NT30,S,CB001,,
0002000261,2000,0000140000,Z030,TU,CB002,,
0002000262,1000,0000140000,Z014,S,CB002,,
0002000262,3000,0000140100,0001,S,,,
0002000263,1000,0000140000,Z014,,CB002,,
0002000264,2000,0000140000,0001,TU,CB002,,
0002000265,2000,0000140000,0001,,CB001,,
0002000266,2000,0000140000,0001,,,,
0002000266,3000,0000140100,Z014,,,,
0002000267,2000,0000140000,NT30,S,CB001,,
0002000268,2000,0000140100,0002,S,CB001,,
0002000268,3000,0000140000,Z030,S,,,
0002000269,1000,0000140000,NT30,TU,CB002,,
0002000270,3000,0000140100,Z030,S,CB001,,
0002000271,1000,0000140000,NT30,,,,
0002000271,2000,0000140000,0002,TU,CB002,,
0002000272,2000,0000140000,Z014,S,CB002,,
0002000272,3000,0000140100,Z014,S,CB002,,
0002000273,3000,0000140100,Z030,S,,,
0002000274,2000,0000140100,NT30,TU,CB002,,
0002000275,1000,0000140000,0001,TU,CB002,,
0002000275,3000,0000140100,NT30,S,CB001,,
0002000276,3000,0000140100,0001,S,,,
0002000276,1000,0000140000,NT30,S,CB002,,
0002000277,2000,0000140000,0001,S,,,
0002000278,2000,0000140100,0002,,,,
0002000279,3000,0000140000,NT30,,CB002,,
0002000280,1000,0000140100,0002,TU,CB001,,
0002000280,3000,0000140100,Z014,TU,CB002,,
0002000281,3000,0000140100,Z030,S,,,
0002000282,2000,0000140000,NT30,S,CB002,,
0002000283,2000,0000140100,Z030,TU,CB002,,
0002000284,3000,0000140100,Z014,S,CB001,,
0002000285,2000,0000140000,0001,TU,CB001,,
0002000286,2000,0000140000,0001,S,,,
0002000287,2000,0000140000,0002,,CB002,,
0002000287,3000,0000140100,0002,,CB001,,
0002000288,1000,0000140000,0001,TU,CB001,,
0002000289,2000,0000140100,NT30,TU,CB001,,
0002000290,1000,0000140100,NT30,,CB002,,
0002000291,1000,0000140100,Z014,,,,
0002000292,1000,0000140100,NT30,TU,,,
0002000292,2000,0000140000,0002,TU,CB002,,
0002000293,1000,0000140000,0002,,,,
0002000293,2000,0000140000,Z030,,CB002,,
0002000294,1000,0000140000,Z014,TU,CB002,,
0002000294,2000,0000140000,NT30,S,CB002,,
0002000295,2000,0000140100,Z014,,CB001,,
0002000296,3000,0000140000,0001,TU,CB002,,
0002000297,3000,0000140000,0001,,CB002,,
0002000298,1000,0000140100,Z014,,CB001,,
0002000298,3000,0000140000,0001,S,,,
0002000299,2000,0000140100,Z030,S,CB001,,
0002000299,3000,0000140100,0002,,,,
0002000300,2000,0000140000,0002,S,,,
0002000300,1000,0000140000,Z030,,CB002,,
0002000301,2000,0000140000,Z030,S,CB001,,
0002000301,1000,0000140000,Z030,TU,CB001,,
0002000302,2000,0000140000,0002,S,CB002,,
0002000303,3000,0000140100,0001,TU,CB002,,
0002000303,2000,0000140000,0001,,,,
0002000304,2000,0000140000,0002,TU,CB001,,
0002000305,2000,0000140000,Z030,S,CB001,,
0002000305,3000,0000140100,0001,TU,CB001,,
0002000306,1000,0000140000,0001,,CB001,,
0002000306,3000,0000140100,0002,S,CB001,,
0002000307,3000,0000140100,0002,S,,,
0002000307,2000,0000140100,Z014,,CB001,,
0002000308,2000,0000140000,Z030,,CB002,,
0002000309,1000,0000140000,0001,S,CB001,,
0002000309,2000,0000140000,Z014,TU,,,
0002000310,2000,0000140000,0001,S,,,
0002000311,1000,0000140100,Z014,,CB001,,
0002000312,3000,0000140000,0002,S,,,
0002000313,1000,0000140100,Z014,TU,CB002,,
0002000314,3000,0000140100,0002,,CB002,,
0002000315,3000,0000140100,Z030,S,CB002,,
0002000316,1000,0000140000,NT30,,CB001,,
0002000317,3000,0000140000,0002,S,CB001,,
0002000317,2000,0000140000,NT30,S,CB002,,
0002000318,3000,0000140100,Z030,S,,,
0002000319,3000,0000140000,NT30,,,,
0002000320,1000,0000140100,NT30,,,,
0002000321,1000,0000140000,Z014,S,,,
0002000322,1000,0000140000,0001,TU,CB002,,
0002000322,2000,0000140100,0001,S,CB002,,
0002000323,2000,0000140000,Z014,,CB001,,
0002000323,1000,0000140000,0002,TU,CB002,,
0002000324,2000,0000140100,Z014,,,,
0002000325,2000,0000140000,Z014,,,,
0002000325,3000,0000140100,Z014,S,CB001,,
0002000326,1000,0000140000,Z014,,CB002,,
0002000327,3000,0000140100,Z030,,,,
0002000328,3000,0000140100,Z014,S,,,
0002000329,2000,0000140000,Z014,TU,CB002,,
0002000329,1000,0000140000,0002,S,CB001,,
0002000330,1000,0000140100,NT30,,,,
0002000330,2000,0000140000,Z014,,CB001,,
0002000331,1000,0000140100,NT30,TU,,,
0002000331,3000,0000140000,Z030,TU,CB001,,
0002000332,3000,0000140100,0002,TU,CB002,,
0002000333,1000,0000140000,Z030,TU,CB002,,
0002000333,2000,0000140000,Z030,TU,CB002,,
0002000334,3000,0000140000,0001,TU,CB002,,
0002000334,1000,0000140100,Z030,,CB002,,
0002000335,2000,0000140000,Z030,,CB002,,
0002000336,2000,0000140100,NT30,TU,CB001,,
0002000337,1000,0000140100,Z030,TU,,,
0002000337,3000,0000140100,NT30,,CB001,,
0002000338,1000,0000140100,0002,TU,CB001,,
0002000339,1000,0000140100,Z014,TU,CB001,,
0002000340,2000,0000140100,Z030,TU,CB002,,
0002000341,3000,0000140100,0002,S,CB002,,
0002000342,2000,0000140000,Z014,S,CB002,,
0002000342,1000,0000140000,NT30,S,CB002,,
0002000343,3000,0000140100,Z014,TU,CB002,,
0002000344,3000,0000140000,Z030,S,CB001,,
0002000345,3000,0000140000,Z030,TU,CB002,,
0002000346,2000,0000140000,0001,,,,
0002000346,1000,0000140000,NT30,TU,,,
0002000347,2000,0000140100,0001,TU,CB002,,
0002000348,3000,0000140000,Z030,,CB002,,
0002000349,3000,0000140100,Z030,S,CB002,,
0002000350,1000,0000140100,Z030,TU,,,
0002000350,3000,0000140000,Z030,,CB002,,
0002000351,2000,0000140000,Z030,TU,,,
0002000352,2000,0000140100,NT30,TU,,,
0002000353,3000,0000140000,Z014,S,,,
0002000353,1000,0000140100,Z030,S,CB001,,
0002000354,3000,0000140100,0001,TU,CB002,,
0002000354,2000,0000140000,0001,TU,CB001,,
0002000355,1000,0000140000,0002,TU,CB001,,
0002000355,2000,0000140000,NT30,,CB001,,
0002000356,2000,0000140100,NT30,TU,,,
0002000357,2000,0000140100,0001,,,,
0002000358,3000,0000140100,0001,TU,CB002,,
0002000359,2000,0000140100,Z030,TU,CB002,,
0002000359,1000,0000140000,NT30,,,,
0002000360,1000,0000140100,0002,TU,CB002,,
0002000361,3000,0000140100,0001,TU,,,
0002000362,2000,0000140000,0002,,CB002,,
0002000363,2000,0000140000,Z014,TU,CB001,,
0002000364,3000,0000140100,0002,TU,CB002,,
0002000364,2000,0000140000,0002,,CB001,,
0002000365,1000,0000140100,0002,,CB002,,
0002000366,3000,0000140100,0001,TU,CB001,,
0002000367,2000,0000140000,0002,S,CB001,,
0002000368,3000,0000140000,0001,,CB001,,
0002000368,1000,0000140000,0001,,CB002,,
0002000369,2000,0000140100,0002,TU,CB002,,
0002000369,3000,0000140100,0001,S,CB001,,
0002000370,2000,0000140100,Z014,S,CB002,,
0002000371,2000,0000140000,Z014,S,,,
0002000372,1000,0000140100,0001,S,CB002,,
0002000373,1000,0000140000,Z014,S,,,
0002000373,2000,0000140100,Z014,TU,CB002,,
0002000374,1000,0000140000,0001,S,CB001,,
0002000375,2000,0000140000,0002,S,CB001,,
0002000376,2000,0000140100,Z030,TU,,,
0002000377,2000,0000140000,Z030,TU,,,
0002000378,1000,0000140000,Z030,S,,,
0002000379,2000,0000140000,Z014,,CB001,,
0002000380,2000,0000140100,0002,TU,,,
0002000381,1000,0000140000,NT30,TU,CB001,,
0002000382,3000,0000140100,Z014,TU,,,
0002000383,3000,0000140000,Z014,TU,CB002,,
0002000383,1000,0000140000,Z014,TU,CB002,,
0002000384,1000,0000140000,Z030,,CB002,,
0002000385,3000,0000140100,0001,S,,,
0002000386,1000,0000140000,0001,TU,CB002,,
0002000386,2000,0000140000,Z030,TU,CB002,,
0002000387,2000,0000140100,Z030,S,CB002,,
0002000388,1000,0000140100,NT30,,,,
0002000388,2000,0000140100,0002,TU,CB001,,
0002000389,1000,0000140000,0001,S,CB002,,
0002000390,2000,0000140000,Z014,S,,,
0002000391,2000,0000140100,NT30,TU,CB002,,
0002000391,3000,0000140000,0001,,CB001,,
0002000392,2000,0000140000,Z030,TU,CB001,,
0002000393,1000,0000140100,Z030,TU,CB001,,
0002000394,1000,0000140000,0001,S,CB002,,
0002000394,3000,0000140000,Z014,S,,,
0002000395,2000,0000140000,0001,S,,,
0002000396,2000,0000140100,0001,,CB001,,
0002000396,3000,0000140100,0001,S,,,
0002000397,3000,0000140100,Z030,,CB001,,
0002000398,3000,0000140100,0002,S,CB002,,
0002000399,3000,0000140100,NT30,S,CB002,,
0002000400,2000,0000140000,Z014,S,,,
0002000400,3000,0000140100,0002,TU,,,
0002000401,1000,0000140100,Z030,S,CB002,,
0002000402,1000,0000140000,Z014,S,,,
0002000402,2000,0000140000,0001,S,,,
0002000403,2000,0000140000,NT30,S,CB001,,
0002000404,3000,0000140000,0001,S,CB001,,
0002000404,2000,0000140000,0002,TU,CB001,,
0002000405,1000,0000140000,0002,S,CB001,,
0002000406,3000,0000140000,Z030,S,CB002,,
0002000407,3000,0000140000,0002,TU,CB002,,
0002000407,2000,0000140000,0001,S,CB002,,
0002000408,1000,0000140000,0001,S,CB002,,
0002000408,3000,0000140000,0001,S,CB002,,
0002000409,1000,0000140000,0001,,,,
0002000409,3000,0000140000,NT30,S,CB001,,
0002000410,1000,0000140000,0002,TU,,,
0002000411,1000,0000140000,0001,S,CB001,,
0002000412,2000,0000140000,NT30,TU,CB002,,
0002000413,2000,0000140000,Z030,S,CB002,,
0002000414,2000,0000140100,0001,TU,CB002,,
0002000415,3000,0000140100,Z014,,CB002,,
0002000415,1000,0000140000,Z014,TU,CB002,,
0002000416,3000,0000140000,Z014,S,CB001,,
0002000416,1000,0000140000,NT30,S,CB001,,
0002000417,3000,0000140100,Z030,S,CB001,,
0002000418,2000,0000140000,Z030,TU,CB002,,
0002000419,3000,0000140100,Z030,,CB001,,
0002000420,3000,0000140100,NT30,,CB001,,
0002000421,2000,0000140000,NT30,S,CB002,,
0002000422,2000,0000140100,Z014,TU,,,
0002000423,2000,0000140000,NT30,TU,,,
0002000423,3000,0000140000,Z030,TU,,,
0002000424,2000,0000140100,NT30,TU,CB001,,
0002000425,1000,0000140100,0002,TU,CB001,,
0002000426,1000,0000140000,0002,,CB002,,
0002000426,3000,0000140000,0002,S,CB002,,
0002000427,1000,0000140100,NT30,,CB001,,
0002000428,1000,0000140100,NT30,S,CB001,,
0002000429,2000,0000140000,Z030,S,CB002,,
0002000430,3000,0000140000,NT30,TU,,,
0002000430,2000,0000140100,Z014,S,,,
0002000431,1000,0000140100,NT30,,CB002,,
0002000431,2000,0000140000,Z014,TU,CB001,,
0002000432,2000,0000140100,Z030,TU,CB001,,
0002000433,1000,0000140000,NT30,,CB001,,
0002000434,1000,0000140100,0002,TU,CB001,,
0002000435,3000,0000140000,Z030,TU,,,
0002000435,1000,0000140000,Z030,S,,,
0002000436,1000,0000140100,Z030,TU,CB002,,
0002000436,2000,0000140100,0002,,CB002,,
0002000437,3000,0000140100,NT30,,CB001,,
0002000437,1000,0000140000,NT30,,CB001,,
0002000438,1000,0000140100,Z014,S,CB001,,
0002000438,3000,0000140000,NT30,,CB001,,
0002000439,1000,0000140100,0002,,,,
0002000440,1000,0000140100,Z014,TU,CB001,,
0002000441,1000,0000140000,Z014,,CB001,,
0002000441,3000,0000140100,Z014,S,CB001,,
0002000442,2000,0000140000,Z030,S,CB002,,
0002000443,3000,0000140100,Z030,S,CB001,,
0002000444,3000,0000140100,0001,TU,CB002,,
0002000445,3000,0000140100,Z014,TU,CB001,,
0002000446,2000,0000140000,0002,,CB001,,
0002000447,1000,0000140000,Z030,S,,,
0002000448,2000,0000140000,NT30,,CB001,,
0002000448,1000,0000140000,0002,S,CB001,,
0002000449,1000,0000140100,0002,TU,CB001,,
0002000450,1000,0000140000,Z014,,CB001,,
0002000451,1000,0000140100,Z014,,,,
0002000452,1000,0000140100,Z014,,,,
0002000453,3000,0000140000,Z030,S,,,
0002000454,3000,0000140000,NT30,TU,CB001,,
0002000455,1000,0000140100,Z014,S,,,
0002000455,3000,0000140100,0001,,CB001,,
