KUNNR,KTOKD,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,STCD2,STCD3,STCEG,LOEVM,SPERM,ERDAT
0002000035,KUNA,"Xiamen Lixin-Meilin Furniture Industrial Co., Ltd.",,XIAMEN LIX,No. 16 Jinshan Road,Xiamen,361084,UAE,ZH,+86 755 284 8367,export@xiamen-lixin.com.cn,91858029TV5LWCO6V4,,,,,,2019-04-14
0002000036,KUNA,Pratesi S.p.A.,,PRATESI SP,Via Giuseppe Verdi 227,Prato,59130,IT,IT,+39 06 4081 62594,orders@pratesi-s.it,,,,IT15824268883,,,2021-05-09
0002000037,KUNA,Kuipers Voeding N.V.,,KUIPERSVOE,Industrieweg 41,Venlo,5970 EZ,NL,EN,+31 10 529 1492,finance@kuipers-voeding.nl,,,,NL094317056B81,,,2013-06-15
0002000038,KUNA,"Qingdao Jiade & Zhenxing Co., Ltd.",,QINGDAO JI,"Block 129, Longgang District",Qingdao,266056,CN,ZH,,finance@qingdao-jiade.com.cn,917107110LVT5OOP18,,,,,,2024-01-25
0002000039,KUNA,Foxton-Deverill Facilities Limited,,FOXTONDEVE,102 High Street,London,3699,GB,EN,+44 117 905 1521,info@foxton-deverill.co.uk,,,,,,,2013-04-02
0002000040,KUNA,Sancarre SAS,,SANCARRESA,39 Avenue de la République,Bordeaux,33027,FR,FR,+33 2 6923 8941,achats@sancerre.fr,,,,FROF626815610,,,2015-02-18
0002000041,KUNA,Donautal-Eichberg Elektronik e.K.,,DONAUTALEI,Otto-Hahn-Straße 23,Frankfurt am Main,60307,DE,DE,+49 711 945 0373,,,,,DE948925651,,,2024-06-27
0002000042,KUNA,Westphal Getränke GmbH,,WESTPHAL G,Otto-Hahn-Straße 47,München,80409,DE,DE,+49 341 490 9831,vertrieb@westphal-getranke.de,,,,DE053694661,,,2016-07-25
0002000043,KUNA,Barcelo & Jiménez S.L.,,BARCELOJIM,Calle Industria 106,Madrid,28031,ES,ES,+34 93 272 9684,info@barcelo-jimenez.es,ESV2024003U,,,ESV2024003U,,,2016-10-17
0002000044,KUNA,Clara Lorenz GmbH,,CLARALOREN,Robert-Bosch-Straße 129,Salzburg,5021,XX,DE,+43 316 485905,info@clara-lorenz.at,,,,,,,2025-01-13
0002000045,KUNA,KESSLER-ACKERMANN TECHNIK GMBH,,KESSLERACK,ROBERT-BOSCH-STRASSE 127,Düsseldorf,40217,DE,DE,+49 421 339 4201,vertrieb@kessler-ackermann.de,,,,DE168334150,,,2017-04-11
0002000046,KUNA,Hanse AG,,HANSE AG,Am Handelshof 10,München,80387,DE,DE,+49 69 3171 3677,vertrieb@hanse.de,,,,DE816707283,,,2014-07-26
0002000047,KUNA,Aubry-Montclair Cosmétiques SASU,,AUBRYMONTC,142 Rue du Commerce,Lille,59037,FR,FR,+33 2 8153 8353,comptabilite@aubry-montclair.fr,,,,FR24075936694,,,2024-11-10
0002000048,KUNA,Ackermann Elektronik GmbH,,ACKERMANN,Gewerbepark 127,Köln,50715,DE,DE,+49 211 620 9710,office@ackermann-elektronik.de,DE903397817,,,DE903397817,,,2019-03-05
0002000049,KUNA,Yardley Furniture & Partner Ltd,,YARDLEY FU,16 Station Road,Bristol,BS1 5XL,GB,EN,+44 121 857 7298,orders@yardley-furniture.co.uk,GB623794018,,,,,,2021-08-10
0002000050,KUNA,Andreas Vogel e.K.,,ANDREAS VO,Industriestraße 95,Dortmund,44211,DE,DE,+49 341 525 3041,rechnung@andreas-vogel.de,,,,DE787399280,,,2025-09-24
0002000051,KUNA,One time vendor   services,,ONETIME,,Nürnberg,37002,GB,EN,,,,,,,,,2025-05-18
0002000052,KUNA,Clifton-Brambleton Furniture Inc.,,CLIFTONBRA,172 Airport Road,Chicago,60649,US,EN,+1 973 555 3956,office@clifton-brambleton.com,40-7037618,,,,,,2020-12-17
0002000053,KUNA,Ashulia Accessories & Partner Ltd.,,ASHULIAACC,201 Tejgaon Industrial Area,Narayanganj,1411,BD,EN,+880 2 9738 6662,,195761736-7502,,,,,,2020-08-09
0002000054,KUNA,Schwarzwlad Textil GmbH,,SCHWARZWAL,Bahnhofstraße 50,Dortmund,44140,DE,DE,,verwaltung@schwarzwald-textil.de,,,,,,,2015-09-15
0002000055,KUNA,Kornblum Frischdienst AG,,KORNBLUM F,Otto-Hahn-Straße 38,Frankfurt am Main,,DE,DE,+49 69 8444 8336,einkauf@kornblum-frischdienst.de,,,,DE604264141,,,2023-02-14
0002000056,KUNA,Adler Handels & Partner GmbH & Co. KG,,ADLER HAND,Gewerbepark 147,Köln,50681,DE,DE,+49 89 3440 5575,einkauf@adler-handels.de,,,,,,,2015-06-10
0002000057,KUNA,Jabłoński Serwis & Partner S.A.,,JABŁONSKIS,ul. Kolejowa 96,Gdańsk,80-623,PL,EN,+48 42 640 0632,finance@jabłonski-serwis.pl,PL3856043585,,,,,X,2024-06-07
0002000058,KUNA,Peter  Vogel AG ^ Holdings,,PETER VOGE,Otto-Hahn-Straße 234,Köln,50684,DE,DE,+49 511 244 0112,export@peter-vogel.de,DE408086410,,,DE408086410,,,2021-04-22
0002000059,KUNA,Sonnenfeld AG,,SONNENFELD,Zur Mühle 163,Linz,4020,AT,DE,+43 732 830056,export@sonnenfeld.at,ATU93987994,,,,,,2021-05-20
0002000060,KUNA,Eichberg Systeme GmbH,,EICHBERG S,Am Handelshof 146,Bremen,28234,DE,DE,+49 211 904 7821,vertrieb@eichberg-systeme.de,DE548314004,,,DE548314004,,,2025-07-22
0002000061,KUNA,ZAWADZKI-CIESLAK TECHNOLOGIE SP. Z O.O.,,ZAWADZKICI,ul. Kolejowa 32,Wrocław,50-089,PL,EN,+48 61 220 6488,purchasing@zawadzki-cieslak.pl,PL9115669252,,,,,,2020-06-22
0002000062,KUNA,Vogel Handels e.K.,,VOGELHANDE,Hauptstraße 66,Dresden,01126,DE,DE,+49 511 996 6859,verwaltung@vogel-handels.de,DE283864347,,,DE283864347,,,2022-10-26
0002000063,KUNA,Hanse Logistik GmbH,,HANSELOGIS,Otto-Hahn-Straße 146,Graz,8015,AT,DE,+43 732 969222,,ATU50585525,,,,,,2021-09-09
0002000064,KUNA,Valmy Alimentaire SAS,,VALMY ALIM,212 Rue de l'Industrie,Lyon,69016,FR,FR,+33 1 4646 7743,commercial@valmy-alimentaire.fr,,,,FR29886658910,X,,2026-05-12
0002000065,KUNA,"Ningbo Baolong-Kaiyuan Import & Export Industrial Co., Ltd.",,NINGBO BAO,No. 168 Zhenhai Industrial Zone,Ningbo,315124,CN,ZH,+86 21 9007 8067,ap@ningbo-baolong.com.cn,91601482EZB9BY7BU6,,,,,,2024-07-09
0002000066,KUNA,Sancerre Boissons S.A.,,SANCERRE B,"ZI Nord, Lot 75",Paris,75010,FR,FR,+33 5 7945 8456,,,,,FR63796481151,,,2023-05-12
0002000067,KUNA,Cieślak Tekstylia Sp. z o.o.,,CIESLAK TE,ul. Przemysłowa 24,Kraków,30-085,PL,EN,+48 12 630 6908,billing@cieslak-tekstylia.pl,PL2852357800,,,,,,2017-09-25
0002000068,KUNA,Elbtal Sicherheit AG,,ELBTALSICH,Bahnhofstraße 135,München,80378,DE,DE,+49 421 603 9042,office@elbtal-sicherheit.de,DE772245683,,,DE772245683,,,2021-09-06
0002000069,KUNA,Yıldız Deri AS,,YILDIZ DER,"227. Sokak, Merter",İstanbul,34052,TR,EN,+90 312 761 0316,contact@yıldız-deri.com.tr,8339084703,,,,,,2020-03-17
0002000070,KUNA,Sikora Sp. z o.o.,,SIKORASPZO,ul. Przemysłowa 20,Gdańsk,80-6,PL,EN,+48 42 365 2991,contact@sikora.pl,PL9060698699,,,,,,2024-04-13
0002000071,KUNA,Testlieferant,,TESTLIEFER,"128. Sokak, Merter",Denizli,20056,TR,EN,+90 232 656 3999,admin@sakarya-halı.com.tr,3516324728,,,,,,2025-01-15
0002000072,KUNA,Marion Kornblum AG,,MARION KOR,Hafenstraße 158,Bremen,28215,DE,DE,+49 421 325 2385,rechnung@marion-kornblum.de,,,,DE555067462,,,2016-03-18
0002000073,KUNA,Montclair Propreté SARL,,MONTCLAIR,195 Boulevard Gambetta,Toulouse,31022,FR,FR,+33 3 5255 6630,contact@montclair-proprete.fr,,,,,,,2016-09-13
0002000074,KUNA,Eichberg e.K.,,EICHBERG E,Carl-Benz-Straße 38,Leipzig,04128,DE,DE,+49 40 7828 9950,kontakt@eichberg-e.de,DE291828860,,,DE291828860,,,2024-05-07
0002000075,KUNA,Schouten & Terlouw BV,,SCHOUTEN T,Handelskade 136,Eindhoven,5668 XN,NL,EN,,export@schouten-terlouw.nl,,,,,,,2017-08-04
0002000076,KUNA,Meulenbelt BV,,MEULENBELT,Distributiestraat 137,Utrecht,3537 DJ,NL,EN,+31 30 646 2282,export@meulenbelt-b.nl,NL280198342B83,,,NL280198342B83,,X,2025-07-01
0002000077,KUNA,Aubry Services SAS,,AUBRY SERV,8 Boulevard Gambetta,Paris,75040,FR,FR,+33 3 4759 3033,achats@aubry-services.fr,FR78644883551,,,FR78644883551,,,2020-07-19
0002000078,KUNA,Lindner-Hanse Sicherheit GmbH,,LINDNERHAN,Bahnhofstraße 25,Berlin,10120,DE,DE,+49 711 788 4401,office@lindner-hanse.de,,,,DE999059034,,,2026-04-10
0002000079,KUNA,Ravenscroft Shopfitting Ltd,,RAVENSCROF,"Unit 138, Trafford Park",Bristol,BS1 6ZF,GB,EN,+44 121 714 7375,admin@ravenscroft-shopfitting.co.uk,GB421855896,,,,,,2017-06-08
0002000080,KUNA,Oakridge & Stanmore Co.,,OAKRIDGE S,11 Main Street,Los Angeles,7140X,US,EN,+1 206 555 3865,purchasing@oakridge-stanmore.com,,,,,,,2018-04-01
0002000081,KUNA,HARLOW LOGISTICS CORP.,,HARLOW LOG,235 DISTRIBUTION WAY,Seattle,98104,US,EN,+1 206 555 5123,accounts@harlow-logistics.com,,88-9333504,,,,,2025-11-23
0002000082,KUNA,Hollingwood Foods Ltd,,HOLLINGWOO,"Unit 159, Kingsway Business Park",Birmingham,B7 1DS,GB,EN,+44 141 937 0796,export@hollingwood-foods.co.uk,GB207506775,,,,,,2014-08-12
0002000083,KUNA,BUHLER SICHERHEIT & PARTNER E.K.,,BUHLERSICH,ROBERT-BOSCH-STRASSE 100,FRANKFURT AM MAIN,60331,DE,DE,+49 30 6653 6364,vertrieb@buhler-sicherheit.de,,,,DE059118245,,,2025-04-06
0002000084,KUNA,Martin Westpahl GmbH,,MARTINWEST,Fabrikweg 107,Münster,48143,DE,DE,,buchhaltung@martin-westphal.de,,,,,,,2013-09-06
0002000085,KUNA,Piotrowski Sp. z o.o.,,PIOTROWSKI,ul. Kolejowa 221,Warszawa,00-202,PL,EN,tbd,finance@piotrowski.pl,PL6914022041,,,,,,2017-01-25
0002000086,KUNA,Fontaine Technologies SARL,,FONTAINE T,42 Avenue de la République,Marseille,13034,FR,FR,+33 5 7553 5551,contact@fontaine-technologies.fr,FR93835428815,,,FR93835428815,,,2017-08-11
0002000087,KUNA,Ellsworth Distribution Ltd,,ELLSWORTHD,"Unit 210, Trafford Park",Birmingham,B7 5QB,GB,EN,+44 121 939 9653,sales@ellsworth-distribution.co.uk,GB497785534,,,,,,2013-12-05
0002000088,KUNA,Vantage Ltd,,VANTAGE LT,"Unit 94, Kingsway Business Park",Leeds,LS11 9SG,GB,EN,+44 20 2078 7498,export@vantage.co.uk,GB212471771,,,,,,2020-11-08
0002000089,KUNA,Westphal Möbel GmbH,,WESTPHAL M,Zur Mühle 16,Dortmund,44159,DE,DE,+49 30 3243 2141,rechnung@westphal-mobel.de,DE537929815,,,DE537929815,,,2016-08-07
0002000090,KUNA,Westbrook Textiles Ltd,,WESTBROOK,"Unit 120, Riverside Industrial Estate",Birmingham,B1 3LJ,GB,EN,+44 161 219 1964,orders@westbrook-textiles.co.uk,GB663117790,,,,,,2024-11-28
0002000091,KUNA,Aubry Boissons S.A.,,,202 Boulevard Gambetta,Toulouse,31000,FR,FR,+33 1 2684 2087,contact@aubry-boissons.fr,,,,FR12071652844,,,2018-04-13
0002000092,KUNA,Haustein-Osterbach Reinigung GmbH,,HAUSTEINOS,Fabrikweg 130,Essen,45132,DE,AR,+49 211 296 6682,vertrieb@haustein-osterbach.de,,,,DE173549031,,,2020-08-08
0002000093,DEBI,Böhm Vertriebs KG,,BÖHMVERTRI,Feldweg 119,Bochum,44787,DE,DE,+41 94 2534 4483,buchhaltung@böhmvertriebskg.de,,,,DE037452316,,,2021-10-18
0002000094,KUNA,Metzgerei Amann,,METZGEREIA,Talstraße 87,Mannheim,68159,DE,DE,+33 70 5869 200,info@metzgereiamann.de,,,,DE457930216,,,2012-12-12
0002000095,KUNA,Wendt Partnermarkt Rotterdam,,WENDTPARTN,Feldweg 168,Rotterdam,3011 AA,NL,EN,+49 51 1137 5778,bestellung@wendtpartnermarktr.nl,,,,NL574736446,,,2018-07-07
0002000096,KUNA,Kaufmann Handels GmbH & Co. KG,,KAUFMANNHA,Brückenstraße 195,Hannover,30159,DE,DE,+33 94 3880 4102,buchhaltung@kaufmannhandelsgmb.de,DE686219674,,,DE243276417,,,2026-11-12
0002000097,KUNA,Metzgerei Rohde,,METZGEREIR,Hauptstraße 140,Bochum,44787,DE,DE,+31 56 3024 226,buchhaltung@metzgereirohde.de,DE242590155,,,DE881914523,,,2016-05-22
0002000098,ZCUS,Kiosk Dittrich Hannover,,KIOSKDITTR,Schulstraße 187,Hannover,30159,DE,DE,+49 57 2939 6458,buchhaltung@kioskdittrichhanno.de,,,,DE246760601,,,2011-03-08
0002000099,KUNA,Bäckerei Brandes,,BÄCKEREIBR,Bahnhofstraße 73,Bochum,44787,DE,DE,+48 61 3463 5891,buchhaltung@bäckereibrandes.de,DE652475765,,,DE527557574,,,2019-02-11
0002000100,KUNA,Bäckerei Böhm,Zentrale,BÄCKEREIBÖ,Industriering 123,Hannover,30159,DE,DE,+49 64 5212 2521,buchhaltung@bäckereiböhm.de,DE340726268,,,DE156109338,,,2023-04-25
0002000101,KUNA,Bäckerei Stein,Zentrale,BÄCKEREIST,Marktplatz 127,Hamburg,20095,DE,DE,+33 27 5191 147,einkauf@bäckereistein.de,DE079357013,,,DE557686677,,,2023-11-08
0002000102,KUNA,Rohde Partnermarkt Dortmund,Zentrale,ROHDEPARTN,Gewerbepark 189,Dortmund,44135,DE,DE,+48 54 4429 5963,info@rohdepartnermarktd.de,DE999937152,,,DE203516751,,,2021-05-04
0002000103,KUNA,Betriebskantine Sommer AG,,BETRIEBSKA,Gewerbepark 101,Köln,50667,DE,DE,+48 56 9266 6413,einkauf@betriebskantinesom.de,DE394563093,,,DE235556587,,,2023-10-06
0002000104,KUNA,Frank Partnermarkt Münster,,FRANKPARTN,Feldweg 95,Münster,48143,DE,DE,,info@frankpartnermarktm.de,,,,DE448684750,,,2018-10-15
0002000105,KUNA,Bäckerei Bergmann,,BÄCKEREIBE,Bahnhofstraße 230,Münster,48143,DE,DE,+41 40 9828 1341,einkauf@bäckereibergmann.de,DE002963280,,,DE157125195,,,2011-12-07
0002000106,ZCUS,Kiosk Rohde Münster,,KIOSKROHDE,Talstraße 90,Münster,48143,DE,DE,+31 36 5727 6913,info@kioskrohdemünster.de,DE559945839,,,DE576970276,,,2013-08-27
0002000107,KUNA,Bäckerei Gruber,,BÄCKEREIGR,Schulstraße 122,Duisburg,47051,DE,DE,+49 40 8271 6025,einkauf@bäckereigruber.de,DE267734184,,,DE223492395,,,2021-10-08
0002000108,KUNA,Ullrich Partnermarkt Augsburg,,ULLRICHPAR,Bahnhofstraße 162,Augsburg,86150,DE,DE,+33 58 9605 9414,,DE087867753,,,DE197564381,,,2019-11-22
0002000109,ZCUS,Kiosk Thiel Hannover,,KIOSKTHIEL,Talstraße 108,Hannover,30159,DE,DE,+49 67 9156 6825,bestellung@kioskthielhannover.de,,,,DE397098226,,,2010-09-10
0002000110,KUNA,Bäckerei Vetter,,BÄCKEREIVE,Industriering 4,Rotterdam,3011 AA,NL,EN,+49 85 4107 1513,buchhaltung@bäckereivetter.nl,,,,,,,2013-12-12
0002000111,KUNA,Lehmann Partnermarkt Frankfurt am Main,,LEHMANNPAR,Schulstraße 16,Frankfurt am Main,60311,DE,DE,+49 58 4188 7191,einkauf@lehmannpartnermark.de,,,,DE447248246,,,2020-01-02
0002000112,KUNA,Amann Gastronomie GmbH,,AMANNGASTR,Am Hafen 188,Kiel,24103,DE,DE,+31 62 6889 1528,buchhaltung@amanngastronomiegm.de,,,,DE383756461,,,2015-10-07
0002000113,KUNA,Hotel Dittrich München,,HOTELDITTR,Talstraße 33,München,80331,DE,DE,+33 65 4302 9387,info@hoteldittrichmünch.de,,,,DE645685756,,,2025-02-27
0002000114,KUNA,Bergmann Partnermarkt Köln,,BERGMANNPA,Brückenstraße 34,Köln,50667,DE,DE,+48 27 5007 553,info@bergmannpartnermar.de,DE896002594,,,DE848736201,,,2011-03-18
0002000115,KUNA,Bäckerei Brandes 7,,BÄCKEREIBR,Feldweg 211,Duisburg,47051,DE,DE,+48 87 8320 104,einkauf@bäckereibrandes7.de,DE003209373,,,DE457592515,,,2010-06-26
0002000116,KUNA,Bäckerei Frank,,BÄCKEREIFR,Feldweg 112,Hannover,30159,DE,DE,+43 55 1932 2286,info@bäckereifrank.de,,,,DE249480149,,,2023-06-19
0002000117,DEBI,Ziegler Vertriebs KG,,ZIEGLERVER,Bahnhofstraße 218,Hannover,30159,DE,DE,+48 28 4818 7544,einkauf@zieglervertriebskg.de,DE155011603,,,DE005141951,,,2018-05-12
0002000118,KUNA,Metzgerei Rohde 19,,METZGEREIR,Am Hafen 240,Köln,50667,DE,DE,+33 33 3144 5502,bestellung@metzgereirohde19.de,DE623097169,,,DE981233507,,,2014-01-17
0002000119,DEBI,Gruber Großhandel GmbH,,GRUBERGROS,Feldweg 171,Rotterdam,3011 AA,NL,EN,+31 39 1502 1171,einkauf@grubergroßhandelgm.nl,,,,NL311231085,,,2023-04-27
0002000120,KUNA,Rohde Handels GmbH & Co. KG,,ROHDEHANDE,Hauptstraße 49,Kiel,24103,DE,DE,+48 57 3334 1307,bestellung@rohdehandelsgmbhco.de,DE773573238,,,DE047841653,,,2011-10-27
0002000121,KUNA,Metzgerei Sievers,,METZGEREIS,Marktplatz 226,Bochum,44787,DE,DE,+33 25 1272 7810,buchhaltung@metzgereisievers.de,,,,DE884980300,,,2020-04-17
0002000122,KUNA,Stein Gastronomie GmbH,Zentrale,STEINGASTR,Marktplatz 219,Mannheim,68159,DE,DE,+31 55 3983 508,info@steingastronomiegm.de,,,,DE757452857,,,2018-09-26
0002000123,ZCUS,Kiosk Thiel Karlsruhe,,KIOSKTHIEL,Industriering 193,Karlsruhe,76133,DE,DE,+33 25 4984 8018,info@kioskthielkarlsruh.de,DE462130883,,,DE817752755,,,2017-01-05
0002000124,KUNA,Böhm Gastronomie GmbH,Zentrale,BÖHMGASTRO,Feldweg 101,Dresden,01067,DE,DE,+33 39 3513 7752,einkauf@böhmgastronomiegmb.de,,,,DE208798073,,,2012-11-21
0002000125,KUNA,Metzgerei Vetter,,METZGEREIV,Brückenstraße 12,Freiburg,79098,DE,DE,+49 54 2935 8206,buchhaltung@metzgereivetter.de,DE983792030,,,DE892079841,,,2011-08-04
0002000126,KUNA,Betriebskantine Clemens AG,,BETRIEBSKA,Lindenweg 117,Bonn,53111,DE,DE,+49 30 8354 2170,info@betriebskantinecle.de,DE296618290,,,DE142605145,,,2023-03-10
0002000127,ZCUS,Kiosk Vetter Augsburg,,KIOSKVETTE,Schulstraße 29,Augsburg,86150,DE,DE,+48 84 3787 582,bestellung@kioskvetteraugsbur.de,,,,DE954312451,,,2025-02-20
0002000128,ZCUS,Kiosk Brandes Karlsruhe,,KIOSKBRAND,Gewerbepark 203,Karlsruhe,1981,DE,DE,+33 94 7569 2520,buchhaltung@kioskbrandeskarlsr.de,,,,DE782952520,,,2010-03-18
0002000129,KUNA,Betriebskantine Wendt AG,,BETRIEBSKA,Talstraße 138,Bremen,28195,DE,DE,+33 77 7052 3976,buchhaltung@betriebskantinewen.de,DE122061660,,,DE132279093,,,2023-07-28
0002000130,ZCUS,Kiosk Amann Essen,,KIOSKAMANN,Industriering 114,Essen,45127,DE,DE,+31 36 1927 5428,einkauf@kioskamannessen.de,,,,DE906382434,,,2019-05-10
