KUNNR,VKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0002000042,S200,EUR,0001,DDP,0,,
0002000043,S100,EUR,0001,DAP,2500,,
0002000043,S300,EUR,Z014,DAP,0,,
0002000044,S200,EUR,Z014,EXW,2500,,
0002000045,S300,EUR,0001,DDP,1000,,
0002000046,S100,EUR,0001,DDP,250,,
0002000047,S100,EUR,NT30,EXW,0,,
0002000047,S200,EUR,0001,EXW,1000,,
0002000048,S300,EUR,Z014,DAP,0,,
0002000049,S100,EUR,0001,DAP,2500,,
0002000050,S100,EUR,0001,FCA,250,,
0002000051,S200,EUR,NT30,EXW,2500,,
0002000051,S300,EUR,NT30,EXW,0,,
0002000052,S200,EUR,Z014,DDP,500,,
0002000052,S300,EUR,Z030,EXW,0,,
0002000053,S300,EUR,0001,EXW,250,,
0002000054,S200,EUR,NT30,DDP,1000,,
0002000055,S300,EUR,0001,DAP,250,,
0002000055,S200,EUR,Z014,EXW,250,,
0002000056,S200,EUR,0001,FCA,250,,
0002000056,S300,EUR,Z030,FCA,0,,
0002000057,S200,PLN,NT30,DAP,0,,
0002000058,S200,EUR,0001,DAP,500,,
0002000059,S200,EUR,0001,DDP,0,,
0002000059,S100,EUR,Z030,DDP,2500,,
0002000060,S300,EUR,NT30,DDP,0,,
0002000061,S300,PLN,0001,DAP,1000,,
0002000062,S100,EUR,NT30,DAP,500,,
0002000062,S200,EUR,Z030,DDP,2500,,
0002000063,S200,EUR,NT30,EXW,2500,,
0002000063,S100,EUR,0001,DAP,0,,
0002000064,S300,EUR,Z030,DDP,0,,
0002000064,S200,EUR,Z030,DAP,1000,,
0002000065,S300,EUR,0001,DAP,250,,
0002000065,S100,EUR,0001,DAP,0,,
0002000066,S300,EUR,0001,EXW,0,,
0002000067,S200,PLN,0001,DAP,2500,,
0002000067,S300,PLN,Z030,DAP,250,,
0002000068,S300,EUR,Z014,DAP,0,,
0002000069,S300,EUR,NT30,FCA,500,,
0002000070,S300,PLN,Z030,FCA,500,,
0002000070,S100,PLN,Z030,DDP,0,,
0002000071,S100,EUR,Z030,DAP,2500,,
0002000072,S100,EUR,Z014,EXW,0,,
0002000073,S300,EUR,Z030,DAP,0,,
0002000073,S100,EUR,0001,FCA,1000,,
0002000074,S300,EUR,NT30,DDP,1000,,
0002000075,S100,EUR,Z030,DDP,0,,
0002000076,S300,EUR,Z014,FCA,1000,,
0002000077,S200,EUR,NT30,EXW,2500,,
0002000078,S200,EUR,NT30,DAP,500,,
0002000079,S200,EUR,Z030,EXW,250,,
0002000080,S100,EUR,0001,DAP,2500,,
0002000080,S300,EUR,Z014,EXW,500,,
0002000081,S100,EUR,0001,EXW,250,,
0002000082,S300,EUR,Z014,EXW,500,,
0002000083,S100,EUR,0001,DDP,1000,,
0002000084,S100,EUR,NT30,FCA,1000,,
0002000084,S300,EUR,0001,DAP,0,,
0002000085,S300,PLN,0001,FCA,2500,,
0002000086,S200,EUR,Z030,DDP,500,,
0002000086,S300,EUR,Z014,DAP,2500,,
0002000087,S300,EUR,Z030,EXW,250,,
0002000088,S100,EUR,Z014,EXW,0,,
0002000088,S200,EUR,Z014,DDP,500,,
0002000089,S100,EUR,NT30,EXW,0,,
0002000089,S300,EUR,Z014,DDP,1000,,
0002000090,S100,EUR,Z014,FCA,2500,,
0002000091,S200,EUR,Z030,DDP,250,,
0002000092,S300,EUR,NT30,EXW,0,,
0002000093,S300,EUR,Z014,DDP,250,,
0002000094,S200,EUR,0001,EXW,500,,
0002000095,S200,EUR,NT30,EXW,250,,
0002000096,S200,EUR,0001,DAP,0,,
0002000097,S100,EUR,NT30,EXW,250,,
0002000097,S200,EUR,Z014,EXW,500,,
0002000098,S200,EUR,Z014,DDP,250,,
0002000099,S200,EUR,0001,EXW,0,,
0002000099,S100,EUR,Z014,DAP,1000,,
0002000100,S200,EUR,0001,FCA,500,,
0002000100,S300,EUR,NT30,FCA,500,,
0002000101,S300,EUR,Z014,DDP,500,,
0002000102,S100,EUR,NT30,DDP,250,,
0002000102,S200,EUR,Z030,DAP,250,,
0002000103,S200,EUR,NT30,DDP,250,,
0002000104,S200,EUR,Z014,FCA,2500,,
0002000105,S100,EUR,NT30,EXW,500,,
0002000106,S300,EUR,NT30,EXW,500,,
0002000107,S300,EUR,Z030,EXW,2500,,
0002000107,S100,EUR,NT30,DDP,0,,
0002000108,S100,EUR,Z014,DDP,500,,
0002000108,S200,EUR,Z014,EXW,500,,
0002000109,S200,EUR,Z030,DAP,500,,
0002000110,S300,EUR,Z014,EXW,500,,
0002000111,S300,EUR,Z014,DAP,0,,
0002000112,S300,EUR,NT30,DDP,0,,
0002000113,S300,EUR,0001,FCA,1000,,
0002000114,S300,EUR,NT30,DAP,0,,
0002000115,S100,EUR,NT30,FCA,0,,
0002000116,S100,EUR,Z030,FCA,0,,
0002000116,S300,EUR,NT30,DAP,500,,
0002000117,S200,EUR,NT30,DAP,0,,
0002000117,S300,EUR,Z030,DDP,0,,
0002000118,S300,EUR,Z030,FCA,0,,
0002000118,S100,EUR,Z030,FCA,500,,
0002000119,S200,EUR,Z030,FCA,0,,
0002000120,S200,EUR,Z014,EXW,500,,
0002000121,S100,EUR,NT30,DAP,2500,,
0002000122,S100,EUR,Z030,DDP,1000,,
0002000122,S300,EUR,NT30,DAP,500,,
0002000123,S100,EUR,0001,DDP,1000,,
0002000124,S300,EUR,Z014,FCA,0,,
0002000124,S100,EUR,0001,EXW,0,,
0002000125,S300,EUR,0001,EXW,500,,
0002000125,S100,EUR,0001,FCA,0,,
0002000126,S200,EUR,Z014,EXW,0,,
0002000127,S200,EUR,Z014,DAP,1000,,
0002000128,S100,EUR,NT30,EXW,500,,
0002000129,S300,EUR,Z030,DAP,500,,
0002000130,S100,EUR,NT30,FCA,0,,
0002000130,S300,EUR,NT30,DDP,0,,
0002000131,S100,EUR,Z014,FCA,500,,
0002000132,S100,EUR,0001,EXW,1000,,
0002000133,S300,EUR,Z030,FCA,0,,
0002000134,S300,EUR,Z014,DAP,1000,,
0002000134,S100,EUR,0001,FCA,250,,
0002000135,S100,EUR,Z030,EXW,1000,,
0002000136,S200,CHF,0001,FCA,0,,
0002000137,S100,EUR,NT30,FCA,0,,
0002000138,S200,PLN,Z014,EXW,2500,,
0002000139,S200,EUR,0001,EXW,2500,,
0002000140,S200,EUR,Z030,DDP,0,,
0002000141,S100,EUR,Z014,EXW,250,,
0002000142,S100,EUR,NT30,EXW,0,,
0002000143,S300,EUR,Z030,FCA,0,,
0002000143,S100,EUR,Z014,DAP,2500,,
0002000144,S200,EUR,0001,FCA,250,,
0002000145,S300,EUR,0001,DAP,1000,,
0002000146,S200,EUR,Z030,DAP,1000,,
0002000146,S100,EUR,Z014,FCA,500,,
0002000147,S100,EUR,NT30,EXW,500,,
0002000148,S300,EUR,Z014,DAP,500,,
0002000149,S300,EUR,Z014,DAP,0,,
0002000150,S200,EUR,Z014,DDP,1000,,
0002000150,S100,EUR,Z014,DDP,2500,,
0002000151,S100,EUR,0001,DAP,500,,
0002000152,S200,EUR,Z014,DDP,500,,
0002000152,S300,EUR,NT30,DAP,0,,
0002000153,S300,EUR,Z014,FCA,0,,
0002000153,S200,EUR,NT30,FCA,0,,
0002000154,S100,EUR,0001,FCA,0,,
0002000155,S100,EUR,NT30,EXW,2500,,
0002000155,S300,EUR,Z014,EXW,0,,
0002000156,S200,EUR,NT30,EXW,2500,,
0002000157,S300,EUR,Z014,EXW,0,,
0002000157,S200,EUR,0001,EXW,500,,
0002000158,S100,EUR,0001,FCA,250,,
0002000159,S300,EUR,NT30,FCA,500,,
0002000159,S100,EUR,Z014,DDP,2500,,
0002000160,S100,EUR,Z014,DDP,1000,,
0002000161,S200,EUR,0001,EXW,500,,
0002000161,S100,EUR,Z030,FCA,1000,,
0002000162,S200,EUR,Z014,DDP,0,,
0002000163,S300,EUR,NT30,DAP,0,,
0002000163,S200,EUR,Z030,DAP,250,,
0002000164,S300,EUR,Z030,FCA,250,,
0002000165,S200,EUR,NT30,FCA,1000,,
0002000166,S200,EUR,Z030,DDP,500,,
0002000167,S300,EUR,Z014,EXW,1000,,
0002000168,S300,EUR,Z030,DDP,250,,
0002000169,S200,EUR,Z014,DAP,0,,
0002000170,S300,EUR,0001,DAP,250,,
0002000171,S300,EUR,Z014,DDP,1000,,
0002000171,S100,EUR,Z030,EXW,500,,
0002000172,S100,EUR,Z014,FCA,250,,
0002000173,S200,EUR,0001,DDP,0,,
0002000174,S100,EUR,Z014,DDP,0,,
0002000174,S200,EUR,0001,DDP,1000,,
0002000175,S100,EUR,Z030,EXW,2500,,
0002000176,S100,CHF,Z014,DDP,1000,,
0002000177,S300,EUR,Z030,EXW,0,,
0002000178,S200,EUR,Z030,DAP,250,,
0002000179,S200,EUR,Z030,DDP,250,,
0002000179,S300,EUR,Z014,EXW,0,,
0002000180,S200,EUR,NT30,EXW,0,,
0002000180,S100,EUR,NT30,DAP,2500,,
0002000181,S100,EUR,NT30,FCA,0,,
0002000182,S100,EUR,Z014,FCA,250,,
0002000183,S100,EUR,NT30,FCA,250,,
0002000184,S100,CHF,Z030,DDP,500,,
0002000184,S300,CHF,0001,DDP,500,,
0002000185,S300,EUR,0001,FCA,1000,,
0002000186,S100,EUR,Z014,FCA,0,,
0002000187,S100,EUR,Z030,DDP,1000,,
0002000187,S200,EUR,NT30,FCA,0,,
0002000188,S100,EUR,Z030,FCA,500,,
0002000189,S200,EUR,Z030,EXW,250,,
0002000190,S100,EUR,Z014,FCA,1000,,
0002000191,S100,EUR,Z030,DAP,0,,
0002000191,S300,EUR,Z014,DAP,0,,
0002000192,S200,EUR,0001,EXW,250,,
0002000193,S100,EUR,Z014,DAP,0,,
0002000194,S300,EUR,NT30,FCA,0,,
0002000195,S200,EUR,Z030,FCA,500,,
0002000196,S300,CHF,Z030,FCA,0,,
0002000196,S200,CHF,NT30,FCA,0,,
0002000197,S100,EUR,Z030,DAP,500,,
0002000198,S300,EUR,0001,FCA,500,,
0002000198,S200,EUR,NT30,DAP,500,,
0002000199,S300,EUR,0001,EXW,0,,
0002000200,S300,PLN,Z014,DAP,250,,
0002000201,S300,PLN,Z014,DDP,250,,
0002000202,S200,EUR,Z030,DDP,2500,,
0002000202,S100,EUR,Z014,DDP,0,,
0002000203,S100,EUR,Z014,DAP,2500,,
0002000203,S300,EUR,Z030,FCA,2500,,
0002000204,S100,EUR,NT30,EXW,250,,
0002000205,S200,EUR,Z014,DDP,2500,,
0002000205,S100,EUR,Z030,FCA,0,,
0002000206,S100,EUR,Z030,DDP,0,,
0002000207,S200,EUR,0001,EXW,0,,
0002000207,S100,EUR,Z014,FCA,0,,
0002000208,S200,EUR,Z014,DDP,1000,,
0002000208,S100,EUR,Z030,DAP,0,,
0002000209,S300,EUR,0001,FCA,2500,,
0002000210,S300,EUR,0001,EXW,250,,
0002000211,S300,EUR,Z014,EXW,2500,,
0002000211,S200,EUR,NT30,DAP,0,,
0002000212,S300,EUR,NT30,FCA,250,,
0002000213,S100,EUR,0001,FCA,250,,
0002000214,S100,EUR,NT30,DAP,500,,
0002000214,S200,EUR,NT30,DDP,2500,,
0002000215,S100,EUR,0001,EXW,500,,
0002000216,S300,EUR,0001,FCA,0,,
0002000217,S200,EUR,0001,DAP,0,,
0002000218,S300,EUR,Z014,EXW,500,,
0002000219,S300,EUR,NT30,EXW,2500,,
0002000220,S300,EUR,NT30,DAP,500,,
0002000220,S200,EUR,Z030,DAP,500,,
0002000221,S200,EUR,Z014,EXW,1000,,
0002000221,S100,EUR,Z030,EXW,2500,,
0002000222,S100,PLN,NT30,EXW,250,,
0002000223,S200,EUR,Z030,FCA,0,,
0002000224,S100,EUR,Z014,FCA,250,,
0002000225,S200,EUR,NT30,DDP,1000,,
0002000226,S300,EUR,NT30,DAP,500,,
0002000227,S100,CHF,0001,EXW,0,,
0002000228,S100,EUR,Z030,DDP,0,,
0002000228,S300,EUR,0001,FCA,2500,,
0002000229,S300,EUR,NT30,FCA,0,,
0002000230,S100,CHF,Z030,FCA,0,,
0002000231,S200,EUR,Z030,FCA,1000,,
0002000231,S100,EUR,Z014,EXW,250,,
0002000232,S300,EUR,Z030,FCA,1000,,
0002000233,S200,CHF,Z014,FCA,0,,
0002000233,S300,CHF,Z014,EXW,0,,
0002000234,S200,CHF,NT30,DDP,0,,
0002000235,S300,EUR,0001,DDP,1000,,
0002000236,S100,PLN,Z030,FCA,0,,
0002000237,S300,EUR,Z030,DAP,1000,,
0002000237,S200,EUR,Z014,FCA,0,,
0002000238,S300,EUR,Z030,DAP,1000,,
0002000239,S200,EUR,Z014,FCA,0,,
0002000239,S300,EUR,NT30,FCA,1000,,
0002000240,S200,EUR,Z014,DAP,1000,,
0002000241,S200,EUR,NT30,EXW,0,,
0002000242,S100,EUR,Z030,DDP,0,,
0002000243,S200,EUR,NT30,DAP,0,,
0002000243,S300,EUR,NT30,FCA,500,,
0002000244,S100,EUR,NT30,FCA,0,,
0002000245,S300,PLN,0001,FCA,500,,
0002000246,S300,EUR,Z014,DDP,1000,,
0002000247,S300,PLN,0001,FCA,1000,,
0002000247,S100,PLN,Z014,DAP,0,,
0002000248,S100,EUR,NT30,FCA,0,,
0002000249,S300,EUR,Z014,DDP,1000,,
0002000250,S300,EUR,Z030,DAP,1000,,
0002000251,S300,EUR,Z014,DAP,0,,
0002000252,S300,EUR,NT30,DDP,1000,,
0002000253,S300,EUR,0001,DAP,250,,
0002000254,S100,EUR,NT30,DAP,0,,
0002000255,S300,EUR,Z014,FCA,500,,
0002000256,S100,EUR,Z030,DAP,500,,
0002000257,S100,EUR,NT30,EXW,2500,,
0002000258,S300,EUR,0001,DDP,500,,
0002000259,S200,EUR,NT30,DDP,0,,
0002000260,S300,EUR,Z030,DDP,500,,
0002000261,S300,EUR,0001,DAP,500,,
0002000262,S300,EUR,0001,FCA,500,,
0002000262,S200,EUR,0001,EXW,0,,
0002000263,S200,EUR,0001,DDP,1000,,
0002000263,S300,EUR,0001,EXW,250,,
0002000264,S100,EUR,0001,DAP,1000,,
0002000264,S300,EUR,Z014,DDP,1000,,
0002000265,S200,EUR,0001,DDP,0,,
0002000266,S200,EUR,NT30,DDP,500,,
0002000266,S100,EUR,Z014,DDP,2500,,
0002000267,S100,EUR,0001,EXW,0,,
0002000268,S200,EUR,Z030,DAP,500,,
0002000268,S100,EUR,Z014,DDP,0,,
0002000269,S200,EUR,Z014,DDP,250,,
0002000270,S100,CHF,NT30,FCA,250,,
0002000271,S300,EUR,Z014,FCA,500,,
0002000272,S200,EUR,NT30,FCA,500,,
0002000272,S300,EUR,0001,FCA,2500,,
0002000273,S300,EUR,Z014,EXW,0,,
0002000273,S200,EUR,Z014,DAP,1000,,
0002000274,S100,EUR,Z030,FCA,250,,
0002000275,S200,EUR,Z014,DAP,500,,
0002000276,S300,EUR,NT30,EXW,2500,,
0002000277,S300,PLN,NT30,FCA,250,,
0002000278,S100,EUR,NT30,EXW,500,,
0002000279,S100,EUR,NT30,EXW,500,,
0002000280,S300,EUR,NT30,EXW,0,,
0002000281,S200,EUR,Z030,DAP,250,,
0002000281,S300,EUR,Z030,FCA,0,,
0002000282,S200,EUR,0001,FCA,1000,,
0002000283,S200,EUR,Z014,FCA,250,,
0002000284,S200,EUR,NT30,DDP,250,,
0002000285,S200,CHF,0001,DAP,0,,
0002000285,S300,CHF,Z014,DAP,0,,
0002000286,S200,PLN,NT30,DAP,250,,
0002000287,S200,EUR,NT30,EXW,500,,
0002000287,S300,EUR,NT30,FCA,0,,
0002000288,S300,EUR,Z030,DDP,500,,
0002000289,S100,EUR,Z030,DDP,1000,,
0002000290,S300,EUR,0001,EXW,500,,
0002000291,S200,EUR,Z014,DDP,1000,,
0002000291,S300,EUR,0001,DAP,1000,,
0002000292,S300,EUR,NT30,EXW,1000,,
0002000293,S200,EUR,NT30,FCA,250,,
0002000294,S100,PLN,0001,DAP,500,,
0002000295,S200,EUR,NT30,FCA,0,,
0002000296,S300,EUR,Z014,DAP,1000,,
0002000296,S200,EUR,0001,DAP,250,,
0002000297,S300,EUR,NT30,EXW,2500,,
0002000298,S100,EUR,Z014,EXW,250,,
0002000299,S100,EUR,0001,DDP,0,,
0002000300,S200,EUR,Z014,FCA,0,,
0002000301,S100,EUR,NT30,DAP,0,,
0002000302,S100,EUR,NT30,EXW,2500,,
0002000303,S100,EUR,Z030,DDP,0,,
0002000304,S300,EUR,Z030,DDP,2500,,
0002000305,S300,EUR,Z014,DDP,0,,
0002000306,S100,EUR,Z014,DDP,250,,
0002000307,S200,EUR,Z030,EXW,0,,
0002000308,S200,EUR,Z030,DDP,2500,,
0002000309,S100,EUR,Z030,DAP,250,,
0002000309,S200,EUR,Z030,DDP,250,,
0002000310,S100,EUR,Z014,EXW,250,,
0002000311,S300,EUR,0001,EXW,1000,,
0002000311,S100,EUR,Z014,EXW,1000,,
0002000312,S300,EUR,Z030,EXW,250,,
0002000313,S200,PLN,Z030,DDP,2500,,
0002000313,S300,PLN,NT30,FCA,0,,
0002000314,S100,EUR,NT30,FCA,500,,
0002000315,S300,EUR,Z014,EXW,2500,,
0002000316,S300,EUR,Z030,DDP,0,,
0002000317,S300,EUR,Z030,DAP,2500,,
0002000318,S200,EUR,Z014,DAP,500,,
0002000319,S300,EUR,0001,DDP,0,,
0002000320,S300,EUR,Z014,DDP,2500,,
0002000321,S300,EUR,NT30,DAP,1000,,
0002000322,S100,EUR,Z014,DDP,2500,,
0002000323,S300,EUR,Z030,DDP,250,,
0002000323,S200,EUR,Z014,DAP,250,,
0002000324,S100,EUR,Z014,EXW,1000,,
0002000325,S300,EUR,NT30,DAP,250,,
0002000325,S200,EUR,Z030,EXW,0,,
0002000326,S100,EUR,0001,FCA,1000,,
0002000327,S200,EUR,Z014,DDP,1000,,
0002000328,S300,EUR,0001,FCA,1000,,
0002000328,S200,EUR,0001,DDP,500,,
0002000329,S300,EUR,NT30,FCA,500,,
0002000329,S200,EUR,Z030,EXW,500,,
0002000330,S300,EUR,Z014,FCA,2500,,
0002000331,S200,EUR,0001,DAP,0,,
0002000332,S200,EUR,NT30,FCA,0,,
0002000333,S100,EUR,Z030,DDP,250,,
0002000333,S200,EUR,NT30,EXW,2500,,
0002000334,S200,EUR,0001,DAP,500,,
0002000335,S200,EUR,NT30,FCA,0,,
0002000336,S300,CHF,0001,FCA,250,,
0002000337,S100,EUR,Z014,DAP,1000,,
0002000338,S100,EUR,0001,DAP,1000,,
0002000339,S200,EUR,0001,DAP,500,,
0002000339,S100,EUR,NT30,EXW,2500,,
0002000340,S200,EUR,NT30,DDP,0,,
0002000341,S100,EUR,Z014,FCA,500,,
0002000341,S200,EUR,Z030,FCA,0,,
0002000342,S100,EUR,Z014,DAP,0,,
0002000343,S300,PLN,Z014,DAP,2500,,
0002000344,S100,EUR,0001,EXW,250,,
0002000345,S100,EUR,NT30,DAP,250,,
0002000346,S100,EUR,0001,EXW,2500,,
0002000346,S300,EUR,NT30,FCA,250,,
0002000347,S100,EUR,Z030,DAP,500,,
0002000347,S200,EUR,NT30,FCA,500,,
0002000348,S100,EUR,NT30,EXW,0,,
0002000349,S300,EUR,Z030,DDP,0,,
0002000350,S200,EUR,Z030,EXW,2500,,
0002000351,S100,EUR,NT30,DAP,250,,
0002000352,S100,EUR,Z014,EXW,250,,
0002000352,S200,EUR,0001,EXW,1000,,
0002000353,S300,EUR,NT30,FCA,0,,
0002000354,S200,PLN,0001,DAP,1000,,
0002000355,S200,EUR,NT30,FCA,0,,
0002000355,S300,EUR,0001,DAP,500,,
0002000356,S300,EUR,NT30,DAP,0,,
0002000357,S100,EUR,Z014,DAP,0,,
0002000357,S200,EUR,0001,DDP,0,,
0002000358,S100,EUR,Z030,FCA,2500,,
0002000358,S300,EUR,0001,DDP,250,,
0002000359,S100,EUR,NT30,DAP,0,,
0002000359,S300,EUR,Z014,FCA,0,,
0002000360,S200,EUR,0001,DDP,0,,
0002000361,S200,EUR,Z030,FCA,0,,
0002000362,S300,EUR,Z014,DAP,1000,,
0002000362,S200,EUR,0001,DDP,0,,
0002000363,S100,EUR,Z014,DAP,0,,
0002000364,S200,EUR,0001,DDP,1000,,
0002000365,S100,EUR,Z014,DDP,0,,
0002000366,S200,EUR,Z030,EXW,2500,,
0002000367,S200,EUR,Z030,EXW,0,,
0002000368,S100,EUR,Z030,DAP,0,,
0002000368,S300,EUR,0001,EXW,500,,
0002000369,S100,EUR,0001,DAP,0,,
0002000370,S300,EUR,Z030,DDP,0,,
0002000371,S300,EUR,NT30,DDP,250,,
0002000372,S100,EUR,Z030,FCA,0,,
0002000373,S100,EUR,Z014,EXW,0,,
0002000374,S200,EUR,Z030,DDP,500,,
0002000375,S100,EUR,0001,DAP,0,,
0002000376,S200,EUR,Z014,DAP,2500,,
0002000377,S300,EUR,Z030,DDP,250,,
0002000378,S200,EUR,0001,FCA,2500,,
0002000379,S100,EUR,NT30,DDP,1000,,
0002000380,S100,EUR,Z030,FCA,0,,
0002000380,S300,EUR,0001,EXW,2500,,
0002000381,S200,EUR,Z030,DAP,500,,
0002000382,S100,EUR,NT30,EXW,0,,
0002000383,S200,EUR,0001,EXW,0,,
0002000384,S300,CHF,NT30,FCA,0,,
0002000384,S100,CHF,0001,EXW,250,,
0002000385,S200,EUR,Z030,FCA,0,,
0002000386,S300,EUR,NT30,DDP,0,,
0002000387,S200,EUR,Z014,EXW,1000,,
0002000388,S100,EUR,Z030,DAP,0,,
0002000389,S200,EUR,NT30,DDP,500,,
0002000389,S300,EUR,Z030,DAP,500,,
0002000390,S100,EUR,0001,EXW,2500,,
0002000391,S200,EUR,NT30,FCA,500,,
0002000392,S100,EUR,Z030,DDP,500,,
0002000393,S100,EUR,Z030,FCA,250,,
0002000394,S200,EUR,Z030,DDP,500,,
0002000394,S100,EUR,Z030,DAP,500,,
0002000395,S100,EUR,Z014,DDP,2500,,
0002000396,S100,EUR,Z030,FCA,250,,
0002000397,S200,EUR,0001,EXW,1000,,
0002000397,S100,EUR,0001,EXW,0,,
0002000398,S300,EUR,0001,DDP,250,,
0002000399,S100,EUR,Z014,EXW,500,,
0002000400,S200,EUR,Z014,DDP,0,,
0002000401,S100,EUR,Z030,FCA,2500,,
0002000402,S200,EUR,Z030,FCA,2500,,
0002000403,S200,EUR,0001,DDP,0,,
0002000403,S100,EUR,Z030,EXW,250,,
0002000404,S100,EUR,Z014,EXW,1000,,
0002000405,S300,EUR,Z014,DAP,2500,,
0002000405,S100,EUR,NT30,DDP,500,,
0002000406,S300,EUR,Z030,EXW,2500,,
0002000407,S300,EUR,0001,FCA,2500,,
0002000407,S200,EUR,0001,DAP,250,,
0002000408,S200,EUR,0001,FCA,500,,
0002000409,S100,EUR,NT30,FCA,500,,
0002000409,S300,EUR,Z014,DAP,0,,
0002000410,S100,EUR,Z014,FCA,1000,,
0002000411,S200,EUR,NT30,DDP,0,,
0002000412,S300,EUR,NT30,DDP,1000,,
0002000413,S200,EUR,Z014,EXW,2500,,
0002000414,S100,EUR,NT30,DAP,500,,
0002000415,S300,EUR,0001,FCA,2500,,
0002000416,S200,EUR,0001,EXW,250,,
0002000417,S100,EUR,Z030,EXW,250,,
0002000417,S200,EUR,NT30,DDP,250,,
0002000418,S200,EUR,0001,DDP,500,,
0002000418,S300,EUR,Z014,DAP,0,,
0002000419,S300,EUR,0001,FCA,1000,,
0002000419,S200,EUR,NT30,EXW,0,,
0002000420,S300,EUR,NT30,FCA,0,,
0002000420,S200,EUR,NT30,EXW,0,,
0002000421,S300,EUR,0001,DAP,0,,
0002000422,S200,EUR,NT30,DAP,2500,,
0002000423,S200,EUR,Z014,FCA,500,,
0002000423,S100,EUR,NT30,EXW,0,,
0002000424,S100,EUR,NT30,EXW,500,,
0002000424,S200,EUR,NT30,FCA,250,,
0002000425,S100,EUR,0001,EXW,0,,
0002000426,S100,EUR,Z014,DAP,500,,
0002000427,S100,EUR,Z030,DDP,1000,,
0002000428,S100,CHF,Z014,FCA,0,,
0002000429,S100,EUR,0001,DDP,0,,
0002000430,S200,EUR,NT30,EXW,0,,
0002000431,S200,EUR,NT30,DDP,250,,
0002000431,S300,EUR,NT30,EXW,1000,,
0002000432,S100,EUR,NT30,DAP,500,,
0002000433,S100,EUR,Z030,DDP,2500,,
0002000434,S100,PLN,Z030,DAP,250,,
0002000435,S300,EUR,Z014,DDP,1000,,
0002000435,S100,EUR,0001,DAP,1000,,
0002000436,S300,EUR,NT30,DAP,0,,
0002000437,S100,EUR,0001,FCA,1000,,
0002000438,S300,EUR,0001,EXW,250,,
0002000438,S100,EUR,NT30,DAP,250,,
0002000439,S300,EUR,Z014,EXW,500,,
0002000439,S200,EUR,0001,DDP,2500,,
0002000440,S100,EUR,0001,EXW,2500,,
0002000441,S300,EUR,Z030,EXW,250,,
0002000442,S200,EUR,0001,EXW,2500,,
0002000442,S300,EUR,NT30,FCA,500,,
0002000443,S200,EUR,Z030,DDP,0,,
0002000444,S300,EUR,NT30,DAP,2500,,
0002000444,S200,EUR,Z014,FCA,500,,
